iter	RMSE
0	17.05722994
1	16.81433923
2	16.56039355
3	16.391879
4	16.19098334
5	16.07308491
6	15.97691393
7	15.86112704
8	15.75499338
9	15.65385137
10	15.53762531
11	15.47935482
12	15.37548727
13	15.29032611
14	15.23719334
15	15.11447579
16	15.06068683
17	15.00899261
18	14.92494846
19	14.83844988
20	14.78779945
21	14.74268336
22	14.66931151
23	14.62942767
24	14.58972629
25	14.54896408
26	14.50488035
27	14.43505884
28	14.39022705
29	14.3360187
30	14.3005534
31	14.25325762
32	14.21086676
33	14.17135773
34	14.08588676
35	14.043388
36	13.98175429
37	13.90554824
38	13.86836236
39	13.84525725
40	13.81072164
41	13.74870141
42	13.70800901
43	13.67167563
44	13.59775577
45	13.58722157
46	13.52160111
47	13.48921366
48	13.47474833
49	13.44312044
50	13.41739591
51	13.34614857
52	13.33446434
53	13.31527169
54	13.29447666
55	13.26299682
56	13.23679465
57	13.19843993
58	13.16778489
59	13.07611512
60	13.05151705
61	12.94714291
62	12.92416484
63	12.91177268
64	12.88730799
65	12.85653395
66	12.83867712
67	12.74205691
68	12.72948134
69	12.69846522
70	12.60700129
71	12.58588576
72	12.55705285
73	12.53595245
74	12.51006171
75	12.47698327
76	12.46257563
77	12.4266774
78	12.37606293
79	12.35787261
80	12.34270684
81	12.31616022
82	12.30048681
83	12.28594885
84	12.24290264
85	12.22243289
86	12.15969321
87	12.14380503
88	12.12632973
89	12.11084793
90	12.05908854
91	12.03945992
92	12.03060589
93	12.02414989
94	11.98449419
95	11.93131227
96	11.91531792
97	11.90733669
98	11.88712591
99	11.86098994
