iter	Passed	Remaining
0	0	91
1	1	82
2	2	83
3	3	83
4	4	81
5	5	79
6	5	78
7	6	77
8	7	77
9	8	77
10	9	77
11	10	77
12	11	76
13	12	76
14	13	75
15	14	74
16	15	74
17	16	73
18	17	73
19	18	72
20	18	71
21	19	70
22	20	69
23	21	68
24	22	68
25	23	67
26	24	66
27	25	66
28	26	65
29	27	64
30	28	64
31	29	63
32	30	62
33	31	62
34	33	61
35	34	60
36	35	59
37	36	58
38	36	57
39	37	56
40	38	55
41	39	55
42	40	54
43	41	53
44	42	52
45	43	51
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	54	42
56	55	41
57	56	40
58	57	39
59	58	38
60	59	37
61	60	36
62	61	35
63	62	34
64	63	34
65	64	33
66	65	32
67	66	31
68	67	30
69	68	29
70	69	28
71	70	27
72	71	26
73	72	25
74	73	24
75	74	23
76	75	22
77	76	21
78	77	20
79	79	19
80	80	18
81	82	18
82	83	17
83	85	16
84	86	15
85	87	14
86	89	13
87	90	12
88	92	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	100	2
98	101	1
99	102	0
