Segment,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
S1,2.3819175,3.1846647,3.9021297,4.534711,4.732933,5.32256,5.5758495,5.1867166,5.5314174,6.35799,5.2600513,5.388664
S2,5.869045,5.7620277,5.9594035,5.8318324,6.674444,5.966812,6.8929935,6.725346,6.0465465,5.775069,5.88498,5.701568
S3,7.197785,7.2659597,6.924216,7.0795407,8.433118,7.2582917,7.7268267,7.550505,7.0757575,6.9626174,7.203238,6.4312477
S4,4.054089,4.395549,4.4429107,5.1186557,6.4909854,6.0306044,6.077107,6.1350126,5.8770447,6.4291706,6.8869247,5.9851246
S5,2.6780713,2.9654527,4.0464168,4.4208198,5.546725,5.41399,5.0751915,4.973778,5.2247415,6.2207255,6.1771545,5.6417522
S6,3.6339178,3.6584947,4.3158984,5.1195235,5.6508975,6.366586,6.008628,6.209226,6.1246915,7.1859617,6.361437,6.606795
S7,9.041338,8.145841,8.115565,8.322476,8.86267,8.365289,8.649162,8.866389,7.869936,8.271468,7.8473244,7.727454
S8,5.935707,6.2390146,6.2248454,6.722867,8.69747,7.9596753,8.47395,9.084623,8.505082,9.274984,8.9928875,8.494307
S9,2.107025,3.25268,3.79187,5.086213,6.068571,6.3898063,6.653886,7.071352,6.9606805,8.111794,7.6413193,6.9833345
S10,4.19594,4.2248335,4.868201,5.3131914,6.19383,6.022317,5.750688,6.247323,5.9863915,6.7710624,6.031395,5.754117
S11,9.268774,8.082453,8.028712,7.612651,8.896512,7.8527737,7.8553896,8.084157,7.3739843,7.170496,7.4179993,7.0986443
S12,8.501363,7.920902,7.8391705,7.8461146,9.134389,8.229751,8.611682,8.918826,7.982496,8.173096,8.212451,7.487217
S13,8.125311,8.465244,8.030033,8.543962,9.501283,9.12303,8.882164,9.291006,8.83154,9.099503,9.466982,8.371503
S14,8.066905,7.4434347,7.9156594,7.9886117,9.114816,8.22335,7.626459,8.298584,8.037639,8.27541,8.316783,7.22403
S15,4.897025,4.5810905,5.448852,5.8633137,6.0353827,6.4380593,6.2512426,5.688511,5.976059,6.8181753,5.8194346,6.1516
S16,4.550185,4.5642715,5.511494,6.163532,5.8786736,6.245737,6.913126,6.185699,5.7758617,6.805912,5.7914953,6.0258613
S17,2.5672023,3.4454603,4.058714,4.7711134,6.2800975,5.9641695,6.8990426,6.9856176,6.67125,7.5259686,7.2038026,6.884188
S18,2.840572,3.4998088,4.138016,5.168125,6.389488,5.808558,6.659043,6.885079,6.1272025,7.137284,6.7985663,6.3512793
S19,6.0413,5.936054,5.9092255,6.1351323,6.8392997,6.5773864,6.6095533,6.3207936,5.89868,6.1698365,6.4179845,6.2814636
S20,7.2071233,6.7428703,6.7285357,6.9326677,7.78151,7.539955,7.607889,7.161102,6.639313,7.104411,7.6037736,7.1695604
S21,3.824713,4.310002,4.600011,5.103276,6.916148,7.0367365,7.324308,7.1955214,7.398453,8.704437,8.408325,8.198755
S22,2.0820491,2.7808785,3.6524835,4.3558607,5.621193,6.404284,6.620386,6.8204446,7.4041944,8.53182,7.762159,7.9164386
S23,2.2206872,2.977992,3.8304312,4.374935,6.06767,6.2712584,6.7654147,7.9713955,7.693012,8.294537,7.5667357,7.6510153
S24,1.6268907,2.7867196,3.5241084,4.1275425,5.4973693,5.2594643,6.312896,6.7245884,6.265204,7.1250544,6.3533597,6.372759
S25,1.8109058,2.8328216,3.3083742,4.411497,5.377587,5.247408,5.7688656,5.9508414,5.574894,6.2524643,6.2682486,5.411779
S26,3.624373,4.3378787,4.289517,4.949595,5.878798,5.4077168,5.965612,5.912325,5.1197686,5.4762006,5.9096026,5.0606627
S27,5.3397665,5.451102,5.528985,5.998588,6.59767,5.9489827,6.022984,5.813686,4.9286222,5.5717897,5.7470756,4.8888
S28,4.4856215,4.4865026,4.548921,5.2163935,5.8707805,5.9384923,5.8590713,5.28469,5.059961,6.1447196,5.9824367,5.3101735
S29,7.7902427,6.9114213,7.114247,7.300607,7.3682647,7.439851,7.60674,7.0181756,6.53484,7.041345,7.0726123,6.2394156
S30,6.8829746,6.922786,6.8891745,7.1800566,8.279979,7.832958,8.156762,8.253487,8.038198,8.392931,7.984755,7.495373
S31,3.4369495,4.2266374,4.6406636,5.471683,6.102435,5.9762406,6.484677,6.341881,6.1109705,7.1303086,6.2530794,5.67029
S32,3.5708787,4.308315,4.7624726,5.1911144,5.3146963,5.3145585,5.825423,4.954106,5.1922493,5.677427,5.2859488,4.696319
S33,3.8327727,4.399224,4.6445727,4.8205433,5.2591133,4.9906325,5.9135375,5.2278085,5.074723,4.905676,5.2492805,4.620862
S34,4.3325615,4.6208386,4.8211555,5.1936717,5.804714,5.1800385,5.9212627,5.16938,5.011192,5.2051516,5.1988435,4.708661
S35,3.599427,3.7102535,4.0731263,4.496804,5.3454704,5.094198,5.406061,4.812536,4.7800584,5.212582,5.4793196,4.9400244
S36,5.090691,4.8481617,5.3024187,5.327391,6.164486,5.7876177,6.0843506,5.6587152,5.3907213,5.675601,6.0802903,5.4988813
S37,5.2429667,5.4120865,5.397093,5.852072,6.5528774,6.5956826,6.7397366,6.2117453,6.214893,6.8571515,6.608668,6.565537
S38,5.2811627,5.3926654,5.4842763,5.8824673,6.5366235,6.554201,6.9299965,6.5320635,6.4057727,7.0627007,6.656881,6.489196
S39,7.034023,6.888674,6.929463,7.0067253,8.027995,7.522901,8.012593,7.465029,7.4867406,7.9067054,7.6574674,7.296809
S40,5.226215,5.411412,5.556813,5.767756,7.2175756,6.6093493,7.3334455,7.338415,7.185032,7.576025,7.2726374,6.920305
S41,3.9917169,4.333712,4.699796,4.8718677,5.827383,5.622357,6.033192,5.647584,5.874976,6.4038067,5.9274592,5.5859275
S42,8.135975,7.8200545,7.412424,7.3079095,8.150165,7.555928,7.387436,7.518337,7.299762,7.0015554,6.978259,6.462259
S43,11.461637,10.824768,10.191215,9.619596,10.07683,9.052586,9.11049,8.439784,7.9795165,7.7780538,7.9649277,7.250851
S44,8.15243,7.6489,7.4148974,7.0012665,8.77321,7.6577115,7.864489,7.9524384,7.9255514,7.850424,7.9759593,7.0801816
S45,4.865332,5.043763,5.4768023,5.538757,6.7694817,6.5104494,6.729275,6.004733,6.725347,7.3460193,6.9094396,6.645285
S46,3.519879,3.9427567,5.087899,5.1075835,6.147472,6.2709765,6.6191735,6.3919783,7.0887856,7.553647,7.078552,6.947983
S47,2.1859908,2.746557,3.9165752,4.3486185,5.2524877,5.6227016,6.3687887,6.0106144,6.295633,7.0792046,6.309309,6.8236184
S48,2.5712304,3.2505317,3.9971366,5.073523,5.884483,6.151696,6.690181,6.6770177,6.158373,6.9703364,6.974931,6.596183
S49,2.295843,3.4406433,3.832523,4.768597,6.222892,6.118871,6.634121,6.8750153,6.6447835,7.207882,7.6981177,7.2136593
S50,18.914925,17.73254,16.515125,16.100914,15.539224,14.225848,12.688287,11.842492,10.75392,11.624932,11.355409,10.811789
S51,29.474375,28.055584,25.090197,23.85698,21.515944,20.276138,17.863314,15.228952,13.775272,14.648739,14.503619,13.299702
S52,9.554397,10.838977,9.0334,8.002736,12.490248,10.667834,9.868766,13.673094,12.090289,12.325598,13.166085,9.930857
S53,-2.6850455,-1.2934147,1.0233783,1.9889705,4.318843,5.7222314,5.830107,6.5812654,9.092587,12.433149,9.322301,8.950401
S54,4.74152,5.952253,7.2173142,8.082238,9.542935,10.708169,11.19948,13.964494,12.913073,13.000502,11.553391,11.933314
S55,10.36117,11.231517,10.866935,11.212632,12.161943,11.338804,12.514043,13.120521,11.062034,9.997186,10.471074,11.071177
S56,6.23326,8.27822,7.686283,10.318812,11.54789,11.160242,10.178337,9.981967,9.295272,9.556254,12.461545,10.164796
S57,3.7952948,5.630608,5.4963794,7.4358783,7.8306575,7.9938564,6.708612,6.729445,6.52416,6.858911,9.525302,7.7619987
S58,6.6547284,6.7893453,8.206177,9.647734,9.678078,9.180214,6.501232,8.330638,7.2805753,9.6141205,8.9220495,8.585977
