Segment,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
S1,3.924405,3.206395,5.0407834,5.3008094,4.0372953,5.2288365,4.2349844,4.791184,5.703314,5.2447033,4.3062587,4.362126
S2,6.5880594,6.5466905,4.735233,6.236043,6.2000437,6.6280675,4.75654,5.796233,5.109359,4.9685044,5.7797027,6.4854093
S3,6.958097,6.2761583,5.6344614,6.288703,6.6209617,6.466585,6.5457187,6.865606,6.1677747,5.8473425,5.279737,5.924393
S4,2.9370706,3.6556566,4.25009,4.7449017,4.531595,5.5201793,5.761814,5.559481,6.0898232,4.4554796,5.26406,6.8469257
S5,3.1637573,3.445707,4.1990957,5.8327117,3.1206095,4.9840846,4.4589114,4.2961287,4.985067,5.040833,5.921984,5.98796
S6,3.6922476,3.7157435,5.2796717,5.626028,4.297094,4.8134427,5.302791,6.109257,6.503491,5.7161784,5.1900992,6.0514054
S7,9.888734,8.588221,6.617214,8.045169,8.594467,8.515263,6.9589176,7.475298,6.761488,6.98481,7.399419,8.040324
S8,4.5346293,4.854425,4.5711575,5.6136622,6.549045,6.6291823,6.7624564,7.325195,7.2981133,6.1745076,5.5797963,6.9663024
S9,2.003238,3.0211406,2.8680565,5.914718,4.990629,6.6500974,6.6247473,5.339635,6.5572753,5.4156485,6.9199233,7.3896494
S10,4.0604386,4.3775244,5.6936946,5.980434,4.1124105,5.8700905,4.1645784,4.635744,5.5268545,5.2363114,5.8409877,5.5848713
S11,8.961208,9.04509,7.2091937,7.233801,7.7604475,7.083823,6.62706,7.755159,6.331525,5.766259,6.504865,7.862799
S12,9.995964,8.001728,7.0151367,7.6248693,8.279597,7.635352,7.3796115,7.9392147,7.2694516,6.7483106,6.033424,6.622186
S13,7.5599585,9.061242,7.489996,7.629474,7.9973865,9.203612,8.148773,7.7974105,7.9620423,6.051864,6.973833,8.558119
S14,6.293259,6.392373,6.716799,7.458539,6.0657296,7.8260436,6.3417754,5.7209353,6.812435,6.198414,6.9995427,6.339671
S15,6.0420747,4.7658224,6.024971,6.351114,4.8040733,5.321062,6.120804,6.6046333,6.7221975,5.733836,4.775154,5.641203
S16,5.612303,3.9338596,3.8707685,6.4403853,5.3447084,5.307913,4.962881,5.686016,5.870005,6.8348737,5.297651,5.131119
S17,2.2014334,3.3569205,2.9764447,5.3318553,5.6990085,5.570348,5.9425454,6.018735,6.502716,5.955,5.7559886,6.8025074
S18,1.4211792,1.9418112,2.5262918,5.4190683,4.530058,5.7276692,5.3676143,4.9839926,5.765176,6.049612,6.6053348,6.4338036
S19,4.242293,6.153463,5.739369,5.9513245,5.817773,5.927784,5.242427,6.2073183,5.7277293,5.019861,6.455728,7.9697647
S20,6.949129,8.330371,7.066261,6.945301,6.7441306,6.342962,5.897896,7.435091,6.4637303,5.8146787,6.583339,8.344775
S21,4.0026054,5.044155,4.592359,6.291662,5.1656404,6.3587866,6.773315,7.4175596,7.6337934,5.9809365,6.141971,8.367666
S22,3.1371021,3.26627,3.6244376,6.6140637,5.410593,6.8358183,6.594503,5.7191167,7.257095,6.8304496,7.5808578,7.790539
S23,2.5282958,2.9800174,3.4488797,5.669223,5.246007,6.2432823,5.6273746,5.58691,6.718171,6.268144,6.581672,7.107543
S24,2.5321147,2.3151426,2.6285207,5.1917424,5.232801,5.4659843,5.211432,5.0734224,6.0136647,5.8269753,5.8036656,5.9262133
S25,1.5039077,2.1373227,1.6556313,4.6813536,4.367813,4.5350914,4.7732058,4.5461817,5.2720437,4.7242575,4.9034142,6.067461
S26,2.4022045,3.5600977,3.6355972,4.8518724,3.9797065,5.8410363,4.3331094,4.0135145,5.0572133,3.8305228,6.0761757,6.5770907
S27,3.6498818,4.822871,4.990041,5.107439,4.399815,5.1878157,4.4296603,5.302971,5.196606,3.8687212,5.4445577,6.7903
S28,4.872846,5.2580075,4.9017935,5.646886,4.640442,4.5556445,4.9567013,6.189635,5.4992175,4.4583573,4.578296,6.393554
S29,8.492845,8.182963,6.724101,7.5756345,6.8762264,7.780518,6.0369034,6.607676,6.3637223,5.7577133,5.9806175,6.9557004
S30,5.867586,6.249024,5.6963544,6.3396516,6.773191,7.72792,6.5026484,6.6000814,6.847757,5.9602866,6.0039387,6.5292044
S31,5.1877127,4.1768026,4.5976505,5.822569,5.55045,6.731577,5.951837,5.515088,6.0688057,5.2701526,5.3552976,5.5664263
S32,4.4730186,3.623262,4.741036,5.280575,4.3443155,5.207289,4.446642,4.7732506,5.4987473,5.0547404,3.9949212,4.3677278
S33,4.586401,4.3483114,4.1443005,5.3188148,4.2992134,5.5377293,4.0927606,4.599204,4.73768,4.232918,4.8810396,5.351111
S34,4.2246614,3.678459,3.753537,5.365436,4.4400716,5.0791054,4.9478893,5.4264903,4.998641,5.052841,4.537518,5.095022
S35,3.6949375,4.169059,4.262138,5.106966,4.5729384,4.804114,4.7046967,5.415545,5.2924848,4.5477505,4.9894457,6.318022
S36,5.2589703,6.105197,5.5594416,6.3580036,5.0881214,5.8884263,4.8782187,5.702253,5.577055,5.1405816,5.9698005,6.6774635
S37,4.714448,5.2126946,5.5303736,6.050698,5.3693833,5.9898124,6.163541,6.747025,6.733231,5.719459,5.706175,6.915552
S38,6.2075567,5.728649,5.2528486,7.0208797,6.07633,7.1312604,6.372426,6.2232175,6.4494886,6.493659,6.6616206,7.0224543
S39,7.197124,7.4348674,6.7153473,7.3106537,7.236466,8.072258,7.0707607,7.1090646,7.089277,6.4945564,6.8383274,7.3546176
S40,4.554035,4.4831853,4.361371,6.1952767,5.8613353,7.165378,6.429132,6.3961825,6.7386,6.1210976,6.2883987,6.625625
S41,5.4732776,4.766967,5.2357397,6.4270296,5.562709,6.580303,6.180559,6.023094,6.4127703,5.878492,5.841144,5.853911
S42,8.492547,8.373027,7.8382425,7.4106965,7.3457184,8.0364895,6.2032256,6.7578826,6.5793734,6.005521,6.47985,6.868513
S43,11.0624,10.698566,8.886573,8.300241,9.314747,9.121718,7.687533,8.411282,7.1994166,6.388104,7.3452435,7.6892147
S44,8.982733,7.5782967,7.510901,7.4103355,7.4245696,7.4710965,7.81894,8.045361,7.5031023,6.4691734,5.9430966,6.510402
S45,5.343629,5.631545,5.5829415,7.0110855,5.5718694,6.584215,6.4574275,6.246537,7.0464954,6.3634086,5.989093,6.7315025
S46,3.4055412,3.4241195,4.454984,6.254174,4.4402633,5.3215837,5.2297506,5.6548676,6.5803013,6.299363,5.917641,5.8184853
S47,2.9443758,2.511329,3.239266,5.728987,4.7445145,5.23334,5.6694255,6.203625,6.6095753,6.416478,5.736763,6.2557783
S48,2.1981122,2.3465812,2.2516098,5.5135055,5.3015733,4.8500113,5.168157,5.3881483,6.0025387,6.675901,6.129862,6.363004
S49,0.87130886,2.541491,2.4804494,5.2408867,4.499939,5.0949383,5.385713,5.349088,5.758635,5.5317407,6.3307414,7.509583
S50,11.024983,13.477131,12.252068,9.517394,10.745059,11.609961,8.417668,8.117112,8.274924,6.84898,10.502133,11.201969
