Segment,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
S1,6.258255,6.9942946,6.9366145,6.608921,6.5684776,6.7434816,7.1353884,6.67456,7.350542,6.3804326,7.350756,6.683953
S2,6.8503118,7.4740014,7.3598156,6.9599924,6.903488,6.8386292,7.4321423,6.883456,7.4720435,6.4718504,7.4239984,6.6584797
S3,7.7019687,8.183279,7.9482594,7.538986,7.411766,7.08268,7.8997207,7.331532,7.74982,6.7344694,7.6803503,6.9166512
S4,6.837454,7.554181,7.433672,7.1090183,6.9786468,7.1373563,7.5139933,7.1955905,7.753147,6.8027086,7.760708,7.257568
S5,6.1265135,7.0006647,6.98234,6.6767936,6.5721993,7.0530577,7.150783,6.9219885,7.6360517,6.6965704,7.6594653,7.2451773
S6,5.9339204,6.9242363,6.925131,6.6436443,6.5901065,7.14322,7.154104,7.1424217,7.8044887,6.886472,7.8887944,7.6384144
S7,7.511276,8.21377,7.9846997,7.652462,7.571145,7.4168434,8.030005,7.9457803,8.218802,7.2631264,8.287989,7.928378
S8,6.663555,7.5531464,7.4327865,7.171796,7.1147256,7.3411026,7.614324,7.6822057,8.084278,7.192435,8.230914,8.019429
S9,5.909435,6.952429,6.939409,6.703392,6.7105927,7.195336,7.237877,7.4040685,7.930706,7.066506,8.111039,7.9771605
S10,6.2531176,7.085774,7.044793,6.6909227,6.6854415,6.904311,7.2267747,6.9508643,7.575981,6.6144114,7.6045313,7.0703115
S11,7.8813076,8.369354,8.100014,7.6797776,7.5859237,7.144757,8.049337,7.5559244,7.8784366,6.8570895,7.8360634,7.1036057
S12,8.756305,9.108456,8.704699,8.3267355,8.133054,7.4681325,8.554894,8.106648,8.212398,7.219133,8.204669,7.545381
S13,9.517081,9.723682,9.209697,8.871359,8.565658,7.7293954,8.962034,8.496715,8.450534,7.4805126,8.452695,7.8286743
S14,9.153773,9.402484,8.947584,8.6602745,8.275025,7.7362247,8.721561,8.236449,8.338265,7.3994823,8.334443,7.7669697
S15,8.601535,8.903701,8.544888,8.262613,7.819657,7.6165996,8.335342,7.741795,8.091215,7.1414075,8.027141,7.4284143
S16,7.2646885,7.9162245,7.748477,7.546141,7.1455784,7.6067476,7.7256737,7.468208,8.056397,7.163958,8.062764,7.7918158
S17,5.920762,6.9460115,6.9658465,6.8158455,6.5392137,7.5407953,7.1556983,7.285759,8.050453,7.2037086,8.140707,8.188293
S18,5.169084,6.420362,6.5425987,6.3829327,6.259079,7.4292397,6.8688893,7.2425766,8.054398,7.21424,8.191965,8.386834
S19,6.173109,7.125964,7.114812,6.793401,6.697415,7.239692,7.2610297,7.2117047,7.9127812,6.947933,7.907516,7.6605587
S20,7.12939,7.941315,7.774905,7.4403944,7.335044,7.4572973,7.8300805,7.8091464,8.223084,7.253246,8.2567425,7.9933825
S21,6.3481755,7.4083467,7.324887,7.097561,7.048872,7.5197225,7.557958,7.888541,8.302152,7.428914,8.498069,8.528264
S22,5.224356,6.55349,6.6155276,6.4549613,6.52594,7.36418,7.060649,7.657157,8.173897,7.3699474,8.487997,8.711902
S23,4.449996,5.8457766,6.000243,5.8380013,5.9925942,6.9685216,6.576019,7.055106,7.7676716,6.927712,8.039711,8.147682
S24,3.9232135,5.319809,5.4905286,5.3851733,5.5579987,6.634118,6.2086873,6.5488644,7.4435453,6.527139,7.6229153,7.668555
S25,3.5947802,4.9236298,5.084156,5.009898,5.1706405,6.279679,5.894545,5.978306,7.0699363,6.049139,7.1131234,7.0046234
S26,4.2873807,5.4166884,5.473407,5.322803,5.4938736,6.184661,6.1859784,6.0283527,7.0230665,5.9261427,6.979359,6.629136
S27,5.2746468,6.1632805,6.0964346,5.8478446,5.997989,6.2067924,6.636467,6.2260714,7.0527396,5.9131007,6.9572644,6.3380184
S28,5.7692666,6.5890465,6.4746304,6.188268,6.3284965,6.3470798,6.921175,6.507074,7.1848316,6.0810905,7.1418505,6.4726915
S29,7.066845,7.690034,7.457519,7.0533853,7.2011113,6.6518545,7.66599,7.227711,7.5385494,6.4887156,7.570764,6.760813
S30,7.1202507,7.7818727,7.5737567,7.1853933,7.322272,6.8215494,7.7550063,7.4484596,7.6737285,6.7155066,7.803631,7.087126
S31,6.922743,7.538722,7.364455,7.0018973,7.0607824,6.7206926,7.5436726,7.074648,7.459548,6.4940257,7.5268807,6.7425103
S32,6.758785,7.2875495,7.137955,6.779346,6.7309475,6.557947,7.288914,6.5390058,7.163673,6.136658,7.0922165,6.164727
S33,6.6864133,7.2405195,7.12338,6.7498026,6.663766,6.621119,7.2366104,6.488545,7.190164,6.1569314,7.083527,6.187674
S34,6.605021,7.240913,7.1577964,6.7713046,6.6840715,6.7613,7.248852,6.631113,7.336642,6.3235726,7.249927,6.4650645
S35,6.34385,7.106913,7.0670466,6.696699,6.6208973,6.8833866,7.1874785,6.756355,7.474459,6.489147,7.4321136,6.809957
S36,6.737186,7.4902334,7.386866,7.028555,6.9415975,7.092232,7.4755354,7.174569,7.7511644,6.771958,7.7419896,7.226849
S37,6.808912,7.6331396,7.5046964,7.1979885,7.1199183,7.289896,7.6285915,7.5582356,8.011311,7.0760164,8.08654,7.765455
S38,7.083982,7.86716,7.693556,7.395462,7.3127284,7.363004,7.799581,7.7536287,8.111758,7.1858916,8.2107115,7.90105
S39,7.8271174,8.431447,8.152859,7.8319616,7.703298,7.439044,8.156795,7.9750085,8.197414,7.2522826,8.268552,7.8384833
S40,7.262123,7.9885483,7.787074,7.5219617,7.393976,7.4116964,7.8779383,7.802708,8.122688,7.224544,8.239911,7.9282913
S41,7.3881683,8.006626,7.802175,7.4886966,7.3299813,7.272497,7.8319154,7.5193195,7.923406,6.9812236,7.955472,7.4509697
S42,8.639842,8.971284,8.598746,8.2296505,7.9794736,7.441193,8.431834,7.8969107,8.111368,7.115622,8.060136,7.3750525
S43,10.359024,10.324114,9.711614,9.314875,8.901888,7.789536,9.289307,8.538186,8.462213,7.430435,8.342577,7.5127225
S44,10.478072,10.433243,9.80257,9.4828205,8.936076,8.017486,9.349243,8.647908,8.588269,7.6033115,8.491083,7.795586
S45,9.292016,9.52364,9.063891,8.850726,8.26232,8.0435705,8.760059,8.292794,8.497916,7.5853734,8.460972,8.053912
S46,7.5085196,8.162805,7.960706,7.831166,7.310083,7.9179716,7.8986588,7.7700114,8.320775,7.4693437,8.354004,8.277907
S47,6.0848737,7.11532,7.1159844,7.0188437,6.642793,7.782627,7.2708488,7.4947734,8.251513,7.4313006,8.351178,8.551146
