Segment,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
S1,4.5367312,4.4101286,4.684332,4.531021,4.8608894,6.4247723,6.2583494,6.0992155,6.8108993,6.819767,6.4360895,5.299981
S2,4.6404004,4.5905538,4.829879,4.610629,5.069497,6.4966583,6.46171,6.1951284,6.903899,7.02441,6.534684,5.392885
S3,5.507789,5.2871556,5.449286,5.1179695,5.6382055,6.84473,6.9147325,6.5345345,7.1293774,7.379397,6.7561393,5.553338
S4,5.323362,5.1905136,5.3806043,5.152225,5.57437,6.9207206,6.7718453,6.6032166,7.251604,7.4088945,6.8854756,5.7941327
S5,4.2442317,4.49954,4.7190056,4.7490807,5.1042213,6.67711,6.3502383,6.413516,7.2546287,7.214086,6.9229116,5.9653144
S6,3.6721337,4.1521826,4.37288,4.4496036,4.851568,6.403513,6.1612906,6.268538,7.138315,7.0373282,6.818772,5.8767047
S7,4.777715,4.9091125,5.0836034,4.834501,5.4664545,6.7556877,6.7639694,6.448918,7.201188,7.446738,6.8527803,5.74551
S8,5.300727,5.129572,5.3340087,4.9597692,5.5031343,6.803361,6.726411,6.4903116,7.0918126,7.3216767,6.7130594,5.573484
S9,4.420319,4.440458,4.699672,4.5549603,4.953262,6.5201178,6.2679343,6.2023387,6.95848,6.973616,6.602268,5.523778
S10,4.1151614,4.260327,4.514674,4.4001346,4.8340383,6.340189,6.215536,6.110288,6.887708,6.8855243,6.5251484,5.4429984
S11,5.340446,5.2017655,5.365833,5.012819,5.6142044,6.8046794,6.9123135,6.484645,7.122768,7.406278,6.7432265,5.5378747
S12,6.905863,6.352209,6.419076,5.9281135,6.484049,7.394752,7.5678377,7.061481,7.4633493,7.8701973,7.0580845,5.7683015
S13,7.927646,7.117209,7.1144724,6.6975865,7.061406,7.87641,8.004831,7.508979,7.8053308,8.1902075,7.393722,6.0721903
S14,7.9264097,7.1903534,7.1781116,6.950723,7.1336427,8.056366,8.004618,7.703777,8.034259,8.30973,7.639069,6.429365
S15,6.990707,6.66283,6.6741076,6.7256036,6.821992,7.975759,7.7126245,7.6420064,8.184991,8.308283,7.837267,6.8112864
S16,5.4709387,5.6905127,5.7701025,6.0108423,6.15606,7.5930014,7.137444,7.312974,8.09699,8.093507,7.808122,6.9803286
S17,3.8184857,4.528101,4.668248,5.0734177,5.2495656,6.9201097,6.40694,6.7819486,7.7405105,7.5348277,7.501451,6.75741
S18,2.7660928,3.67547,3.968571,4.4485197,4.593505,6.3019066,5.897129,6.429912,7.3504434,7.0133533,7.0668178,6.347224
S19,3.066715,3.9142556,4.1280036,4.355321,4.7871947,6.290848,6.1235857,6.311901,7.2587004,7.1150627,6.968069,6.1128864
S20,4.4087844,4.8161354,4.9671907,4.761979,5.4821157,6.7648797,6.725727,6.517083,7.344661,7.592896,7.0346,6.0295343
S21,4.662042,4.847667,5.0506682,4.8032255,5.4147015,6.8232503,6.607233,6.487071,7.269897,7.474671,6.9342284,5.9224067
S22,3.7294824,4.080795,4.3302836,4.2929215,4.720347,6.3387547,6.0304437,6.1246386,6.9709477,6.8784866,6.6522465,5.646463
S23,2.7974186,3.3020606,3.6198742,3.6856682,4.000503,5.728357,5.4643693,5.6784515,6.5190287,6.2208505,6.1411386,5.1092153
S24,2.2490792,2.7260644,3.2080066,3.2083914,3.5540395,5.2742314,5.005335,5.371532,6.1068025,5.6759515,5.5768847,4.5931315
S25,1.9780079,2.4064472,3.0075865,2.9322128,3.2824938,5.0030003,4.7039475,5.1162825,5.769694,5.286387,5.2131577,4.235514
S26,2.1344562,2.5471847,3.0845776,2.8354716,3.31086,4.9601636,4.7877,5.018792,5.7448893,5.275373,5.116606,4.0974336
S27,2.984538,3.188267,3.5891192,3.0914721,3.6811001,5.2919655,5.3293185,5.0610366,5.8919377,5.7227926,5.299946,4.077133
S28,3.9307833,3.768418,4.1717434,3.527614,4.179357,5.685796,5.7625575,5.3498755,6.073866,6.1084976,5.537102,4.2658205
S29,5.1837616,4.638781,4.998596,4.2162294,4.8731647,6.2181606,6.37797,5.746265,6.3498464,6.574474,5.8126554,4.4542933
S30,6.0634274,5.2348294,5.549345,4.746029,5.262624,6.5157433,6.6548476,6.060173,6.493342,6.7234583,5.9507027,4.549655
S31,5.886926,5.111832,5.3853164,4.848608,5.2165937,6.5427074,6.574324,6.1227603,6.5806994,6.7247076,6.107043,4.7194567
S32,5.342044,4.8191667,5.080244,4.733018,5.079762,6.47252,6.445107,6.1167283,6.66484,6.759448,6.245149,4.9465027
S33,4.877348,4.6291356,4.889137,4.646591,5.024708,6.462957,6.3895783,6.1483135,6.797024,6.8753414,6.406508,5.2150784
S34,4.590285,4.550178,4.8032475,4.617025,5.0425396,6.492866,6.3851447,6.209663,6.925811,7.010731,6.557739,5.4471736
S35,4.2522573,4.422573,4.66905,4.573755,5.00321,6.4723663,6.3134193,6.2584443,7.0312057,7.059925,6.681045,5.648795
S36,4.348824,4.556001,4.7839932,4.6610417,5.161826,6.5791326,6.4508986,6.3396287,7.1281757,7.2244725,6.78255,5.75025
S37,4.706589,4.7993565,5.011887,4.778672,5.3402805,6.6979036,6.597067,6.415281,7.145704,7.3361826,6.799896,5.73202
S38,5.030615,5.0149827,5.2109303,4.9652863,5.49817,6.8096194,6.721971,6.5092177,7.1996055,7.4003224,6.8444295,5.7412333
S39,5.774155,5.5230827,5.6686606,5.342504,5.8564076,7.018982,7.0381,6.704096,7.2733374,7.5436225,6.904877,5.7072515
S40,5.836366,5.5249586,5.6865735,5.397165,5.8051467,7.038979,6.959548,6.728943,7.2701755,7.479223,6.8996263,5.7279997
S41,5.5189614,5.323714,5.493177,5.337575,5.688724,7.0053105,6.8683624,6.691324,7.3209553,7.454634,6.9574547,5.8317204
S42,6.3196573,5.999495,6.0799117,5.832684,6.2534156,7.319284,7.3735185,7.015541,7.5389743,7.818182,7.1743803,5.9746203
S43,8.139179,7.427663,7.36283,6.967123,7.3938727,8.045589,8.299095,7.74548,8.024039,8.490102,7.6431546,6.333467
S44,9.060607,8.187636,8.06515,7.788565,7.993875,8.616944,8.687123,8.300903,8.492985,8.91387,8.1029415,6.876463
S45,8.00075,7.552716,7.4915924,7.594567,7.5836987,8.584522,8.261123,8.258005,8.688612,8.870183,8.357639,7.3911076
S46,5.855598,6.116802,6.1481547,6.55694,6.553978,8.004069,7.4071803,7.7195315,8.499589,8.454748,8.249011,7.5196934
S47,3.838595,4.7380033,4.838773,5.420029,5.5215635,7.2206154,6.6029773,7.088964,8.114483,7.8829627,7.9177723,7.3021517
S48,2.5965428,3.677727,4.0220976,4.6646705,4.7389665,6.480456,5.9558473,6.697902,7.6385903,7.234888,7.3600116,6.8233695
S49,1.906088,2.8989575,3.508098,3.977358,4.2118025,5.8851857,5.4070883,6.3479533,7.1180587,6.5947204,6.7034802,6.2393427
S50,4.5754457,5.0482206,5.131465,4.8828692,5.715289,6.8602347,7.0853376,6.5232477,7.408044,7.809372,7.138377,6.0142026
S51,11.584299,10.233197,9.818837,8.67467,9.613555,9.187912,10.302323,8.825054,8.640308,9.788205,8.237824,6.5230727
S52,12.985927,11.119969,10.806886,10.033562,10.0860615,10.169359,10.468566,9.751305,9.338512,10.057511,8.954057,7.5602694
S53,9.810818,9.098033,9.028961,9.0432415,8.55856,9.596906,9.116896,9.074423,9.337328,9.544904,9.070081,8.213601
S54,7.5010138,7.487292,7.4750366,7.7395864,7.4535937,8.6846895,8.350937,8.351164,8.918077,8.985933,8.671766,7.9121046
S55,7.580748,7.6096215,7.524553,7.68556,7.6592445,8.632191,8.576598,8.36412,8.919473,9.140797,8.655792,7.812195
S56,7.2313104,7.4086823,7.3520083,7.580753,7.5926275,8.6580715,8.380695,8.408456,9.048275,9.212203,8.775425,8.06866
S57,5.5943003,6.352727,6.3687634,6.909581,6.9464374,8.381118,7.7528186,8.107034,9.093312,9.063619,8.870163,8.390385
S58,4.2417307,5.5010495,5.5624113,6.1911726,6.4204693,7.986052,7.2993555,7.7824273,8.974248,8.899005,8.783048,8.420732
S59,3.5920527,5.09859,5.1943126,5.82945,6.1859446,7.704692,7.0773945,7.647892,8.866574,8.763557,8.667331,8.3374195
S60,3.9060593,5.144152,5.229971,5.570092,6.12433,7.546468,7.0805006,7.39067,8.52003,8.571741,8.305106,7.781448
S61,6.0384145,6.230803,6.268151,6.0246587,6.6805787,7.688842,7.7015014,7.380908,8.053311,8.445127,7.7630773,6.7284164
S62,8.66336,7.849245,7.771467,7.2283707,7.725112,8.247432,8.57282,7.9324255,8.119057,8.68239,7.732574,6.3732095
S63,10.193211,8.974041,8.795778,8.396975,8.578688,8.962235,9.205844,8.608338,8.661767,9.163201,8.229789,6.880595
S64,11.033707,9.860843,9.559409,9.399806,9.38896,9.669777,9.816049,9.327699,9.3690605,9.836944,8.978886,7.7385626
S65,12.135705,10.873642,10.440622,10.38999,10.248611,10.318776,10.501447,10.011061,9.944817,10.450859,9.589154,8.373896
S66,12.840293,11.592345,11.070034,11.216519,10.884597,10.879895,10.959387,10.605526,10.504231,10.973654,10.175077,9.07188
S67,11.80208,11.075718,10.590322,11.165316,10.626857,10.981454,10.618116,10.71688,10.877888,11.127076,10.610516,9.848032
S68,9.723622,9.863267,9.42904,10.421574,9.898668,10.674979,9.955952,10.429584,11.018391,11.0685835,10.846825,10.409112
S69,7.6947737,8.600434,8.24127,9.38777,9.084884,10.150036,9.259268,9.961057,10.882758,10.860258,10.786007,10.575977
S70,5.3131914,6.9301476,6.7155013,7.9518056,7.8734612,9.347829,8.237853,9.18753,10.452136,10.312656,10.410004,10.396799
S71,4.0875587,5.9702854,5.8383,6.9451404,7.146149,8.688315,7.719949,8.550326,9.940816,9.835867,9.891271,9.818991
S72,4.2294083,5.832713,5.745639,6.4336514,6.9029565,8.293276,7.593769,8.144432,9.376196,9.46324,9.283648,8.997673
S73,4.298519,5.5837464,5.5739627,6.033414,6.559813,7.9628205,7.336507,7.7587295,8.900792,9.015098,8.750409,8.303487
S74,3.5115654,4.7443824,4.839517,5.301854,5.7188745,7.2930274,6.647387,7.200563,8.306998,8.20116,8.120962,7.5969996
S75,2.6149902,3.6963696,4.04952,4.48124,4.7787623,6.463772,5.9263673,6.6268215,7.5604305,7.256906,7.273718,6.688923
S76,2.0952806,2.929146,3.4710968,3.7024255,4.0589356,5.7270203,5.3203363,6.0348153,6.7909937,6.362679,6.362506,5.688687
S77,1.9263941,2.5756211,3.174266,3.2050655,3.6470397,5.2897625,4.9850583,5.5571637,6.2516246,5.807812,5.7024345,4.8877187
S78,3.8437648,3.9052095,4.2122107,3.720548,4.4456897,5.810404,6.0706964,5.557536,6.310385,6.438933,5.877826,4.581386
S79,7.8454127,6.7695193,6.938601,5.7838554,6.525066,7.2139688,7.824385,6.749922,6.997449,7.5473795,6.383319,4.8577185
S80,10.60542,8.8207,8.762479,7.728515,8.147761,8.4433975,9.013113,8.030051,7.841468,8.444421,7.317796,5.6425037
S81,10.973325,9.281093,9.13298,8.6303835,8.635082,9.051836,9.271538,8.626459,8.5047455,8.93331,8.052158,6.5667377
S82,10.672792,9.333056,9.11051,8.998409,8.814552,9.319404,9.375112,8.918295,8.961475,9.279864,8.553601,7.25822
S83,10.992748,9.823925,9.49846,9.520947,9.324709,9.689466,9.786313,9.356594,9.41042,9.763751,9.053361,7.8393397
S84,10.583906,9.77206,9.430461,9.709579,9.412841,9.923766,9.743961,9.63265,9.818904,10.080689,9.503879,8.535244
S85,8.944727,8.871424,8.5780735,9.252776,8.916109,9.797901,9.243355,9.5200815,10.074617,10.147303,9.840148,9.194018
S86,7.6146407,8.190926,7.912628,8.744454,8.601905,9.614998,8.95798,9.390295,10.211698,10.269888,10.044129,9.596326
S87,8.35271,8.991714,8.59188,9.258385,9.391812,10.030163,9.649377,9.82261,10.593562,10.907046,10.447864,9.941822
S88,9.133505,9.558902,9.139651,9.668381,9.802717,10.355351,9.881533,10.141694,10.756856,11.147299,10.585493,10.097974
S89,8.009692,8.61052,8.323824,9.0418625,9.003051,9.97093,9.178218,9.702321,10.468563,10.640424,10.327015,9.93967
S90,8.453152,8.862938,8.530454,9.09728,9.175948,9.885394,9.484414,9.6277,10.312586,10.600917,10.145523,9.533038
S91,11.857428,11.341529,10.768606,10.818411,11.043058,10.852458,11.121061,10.637524,10.765333,11.487683,10.528111,9.539559
S92,14.08004,12.958841,12.291957,12.372736,12.217297,11.837874,11.943687,11.594884,11.4252615,12.126113,11.124307,10.157673
S93,12.636918,11.97508,11.4556465,12.107752,11.514505,11.767606,11.2213335,11.473927,11.601128,11.907701,11.38506,10.798104
S94,9.864432,10.112763,9.6888275,10.808025,10.194366,11.022947,10.140676,10.76589,11.368711,11.378158,11.249041,10.948966
S95,7.711168,8.673883,8.329224,9.55481,9.203111,10.278405,9.366293,10.103522,11.028421,10.977264,10.954936,10.811783
S96,5.8919134,7.3833885,7.1448646,8.347211,8.265589,9.580447,8.593225,9.441238,10.612774,10.533274,10.567553,10.536109
S97,4.827385,6.488281,6.3410997,7.384536,7.549388,8.969641,8.056309,8.814574,10.090414,10.049614,10.035346,9.939614
S98,3.6695771,5.4095535,5.4259434,6.3566194,6.5880785,8.158366,7.26365,8.144358,9.397719,9.253647,9.303567,9.168667
S99,2.657667,4.39139,4.675279,5.62745,5.801382,7.452743,6.619616,7.7047076,8.851175,8.548424,8.63121,8.513252
S100,3.3573139,4.827473,4.9061437,5.382704,5.972314,7.366857,6.930883,7.344531,8.4980755,8.510129,8.3069725,7.8219795
S101,6.742633,6.9372854,6.8455987,6.5190864,7.3638473,8.072761,8.24867,7.775638,8.389652,8.971524,8.1194515,7.058752
S102,10.432183,9.281425,9.0473795,8.354281,8.895517,9.011616,9.515388,8.679399,8.646545,9.403066,8.250197,6.798366
S103,13.139303,11.211363,10.823425,10.0908785,10.255401,10.062812,10.669219,9.772908,9.317615,9.993652,8.966002,7.3093424
S104,13.6058235,11.73156,11.29268,10.994881,10.7132635,10.678084,10.904586,10.388726,9.976905,10.447852,9.634549,8.237375
S105,10.816487,9.964209,9.682282,10.202227,9.565328,10.289935,9.765478,9.951635,10.141963,10.232817,9.854256,9.066335
S106,7.6875033,7.98133,7.780251,8.742502,8.257577,9.4935055,8.707078,9.23971,9.986895,9.827265,9.80504,9.341811
S107,5.4540257,6.4871807,6.3914785,7.3794365,7.218896,8.698726,7.885063,8.530089,9.586374,9.411649,9.459654,9.16385
S108,3.648623,5.235852,5.2668366,6.3182993,6.341288,7.9951296,7.14035,7.993534,9.231907,8.956968,9.111228,8.939031
S109,2.753619,4.502699,4.7473254,5.7500467,5.8695755,7.5017376,6.7337556,7.7474575,8.92092,8.6229315,8.70729,8.594374
S110,3.2736094,4.8745527,4.973321,5.574653,6.09741,7.508741,6.9948874,7.542623,8.729929,8.706031,8.538476,8.18142
S111,4.127211,5.2134347,5.2784595,5.433861,6.1596026,7.493062,7.0720882,7.293923,8.345659,8.530684,8.133747,7.5288005
S112,4.442411,5.0653353,5.203026,5.1867285,5.837338,7.24422,6.8647957,6.931176,7.867083,8.05068,7.599388,6.79107
S113,4.645897,4.845523,5.0470867,4.856394,5.43266,6.851276,6.6245885,6.5267525,7.3042555,7.4709673,6.9838676,5.967895
S114,4.4534025,4.433438,4.6982794,4.4525986,4.9328084,6.4220495,6.2728434,6.1328325,6.829865,6.9136634,6.4764113,5.3449216
S115,4.15508,4.1402273,4.4249587,4.2330823,4.6516094,6.162362,6.0729866,5.9385056,6.6440573,6.6402655,6.2688365,5.1105967
S116,3.912307,3.9808152,4.2761583,4.105283,4.5281434,6.0376654,5.969504,5.8724976,6.5934024,6.5528255,6.2168813,5.0822735
S117,3.999287,4.0884967,4.3720126,4.1742945,4.655135,6.115706,6.082194,5.93,6.663325,6.679747,6.2870173,5.147676
S118,4.463908,4.450476,4.7119155,4.4024663,4.971312,6.350832,6.3460574,6.086207,6.789132,6.9442434,6.409399,5.2533917
S119,4.43928,4.458855,4.7241616,4.457599,4.9886065,6.420725,6.3149037,6.1470375,6.870405,6.9899187,6.498396,5.3889112
S120,4.537183,4.5146565,4.774814,4.505167,5.0365767,6.46204,6.376602,6.154086,6.8766356,7.016484,6.503714,5.3628154
S121,4.792985,4.6541915,4.905027,4.5623417,5.099243,6.473014,6.4395027,6.1707826,6.8191786,6.9990935,6.4435225,5.2583895
S122,4.7871833,4.6221323,4.8822856,4.578424,5.0646253,6.468152,6.406743,6.1599207,6.8178916,6.9610214,6.436279,5.2557917
S123,4.818827,4.6595154,4.9132767,4.621095,5.100274,6.4909296,6.4415164,6.188884,6.8450418,6.990934,6.465524,5.286805
S124,4.6425004,4.558264,4.8205414,4.5664296,5.036195,6.4687324,6.371705,6.179177,6.865762,6.9867897,6.494805,5.359439
S125,3.8045864,4.0112042,4.2861624,4.2383914,4.601077,6.172675,5.969091,6.024218,6.7917013,6.692554,6.4477835,5.4000897
S126,3.1685011,3.6096728,3.8825283,3.9459608,4.306577,5.9063897,5.7427225,5.867856,6.6977096,6.4877768,6.3640623,5.3358235
S127,3.6727588,3.9373066,4.1974945,4.034813,4.56643,6.01255,6.0208397,5.8916945,6.653087,6.6536736,6.297954,5.1740904
S128,4.570668,4.489905,4.739837,4.327053,4.97241,6.3137116,6.3727446,6.025406,6.686574,6.9125967,6.309104,5.0947495
S129,5.3953133,5.0761323,5.2800574,4.8344235,5.4243164,6.6443567,6.7267356,6.310148,6.8816752,7.1559663,6.485789,5.2143598
S130,6.1820064,5.6700883,5.8160834,5.360898,5.87776,6.977404,7.0794096,6.633159,7.1030736,7.4107437,6.701672,5.395114
S131,7.125516,6.426852,6.486827,6.047739,6.486353,7.4137053,7.5681357,7.0648956,7.426099,7.784974,7.025419,5.6769485
S132,7.6493626,6.8792195,6.8979826,6.5434165,6.8468485,7.7459073,7.8135276,7.4084926,7.7153363,8.047157,7.3173347,6.0225296
S133,7.3473277,6.7658067,6.779938,6.637385,6.8082366,7.8442607,7.7440505,7.5089536,7.918012,8.1380625,7.5504766,6.371305
S134,7.397468,6.9480424,6.915005,6.8536882,7.038392,8.010922,7.9402094,7.7007627,8.146476,8.387268,7.8041835,6.6660767
S135,8.140477,7.6622024,7.5384946,7.458808,7.684207,8.4402895,8.449062,8.16152,8.535109,8.881552,8.204444,7.0828905
S136,8.144108,7.8123546,7.676395,7.74947,7.869796,8.713359,8.508742,8.438133,8.868008,9.149537,8.553481,7.586259
