Segment,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
S1,5.2968316,5.7689548,7.0083666,7.020904,7.4695725,7.1831827,7.5354357,7.8208046,8.352216,7.674244,7.9228926,8.061618
S2,6.448292,6.8667874,7.5904245,7.7628574,8.300702,7.7365103,8.16259,8.373381,8.783302,8.162777,8.064962,8.339551
S3,7.8377767,8.102712,8.408433,8.686418,9.238966,8.448584,8.9,9.020049,9.259123,8.743679,8.34037,8.789655
S4,6.1913257,6.5263634,7.580969,7.6237164,8.04964,7.655649,7.9929967,8.22617,8.642835,8.046732,8.140029,8.394335
S5,5.081697,5.548701,6.909238,6.863547,7.302687,7.086735,7.412105,7.697464,8.261835,7.5701175,7.8918867,8.007405
S6,5.1081495,5.6370554,6.840895,6.864289,7.367383,7.0654144,7.437932,7.7252417,8.301413,7.5872164,7.8169675,7.9304943
S7,8.004997,8.330102,8.444044,8.775266,9.358936,8.5086,8.9628725,9.089744,9.34003,8.807278,8.33091,8.731371
S8,6.316712,6.651978,7.6319466,7.7026134,8.142325,7.705702,8.054611,8.282145,8.684854,8.094476,8.1225815,8.402114
S9,5.0880065,5.554524,6.9114017,6.8742027,7.306031,7.0829034,7.407845,7.7003427,8.258542,7.5714993,7.876968,8.002032
S10,5.684004,6.1701183,7.1575427,7.2593265,7.7706614,7.3444643,7.743091,8.007435,8.505442,7.835536,7.906246,8.096725
S11,8.450392,8.736294,8.750724,9.071178,9.591561,8.754614,9.138024,9.261292,9.474745,8.976081,8.483635,8.851109
S12,9.582078,9.70958,9.595333,9.837753,10.170028,9.409997,9.593393,9.702379,9.812895,9.416999,8.96077,9.25295
S13,10.367361,10.384382,10.19179,10.371895,10.572364,9.877948,9.924482,10.017419,10.057999,9.730477,9.334783,9.55657
S14,9.140676,9.121928,9.498506,9.602631,9.87699,9.266706,9.466467,9.544267,9.633473,9.268271,9.0502,9.438168
S15,7.881502,7.9539657,8.704987,8.775718,9.147435,8.606324,8.928114,9.031111,9.230235,8.779594,8.721095,9.131092
S16,5.7896385,6.104482,7.4562902,7.377444,7.7485166,7.5247254,7.8130245,8.059393,8.526257,7.9104095,8.296266,8.435749
S17,4.191314,4.73615,6.535424,6.165145,6.633269,6.6966047,7.0150814,7.1817656,7.873253,7.1021614,7.717362,7.7998962
