Segment,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
S1,5.337206,5.6225634,5.8767385,5.8355174,6.4635,6.5296364,6.4577003,6.412534,6.999785,7.0040226,6.4996033,7.5080605
S2,5.433705,5.7043533,5.9902387,5.92026,6.5803356,6.6414466,6.5284605,6.5029945,7.0939255,7.0903,6.5945883,7.5854173
S3,5.7165713,5.9667506,6.278117,6.1794453,6.8599052,6.9062815,6.704501,6.73234,7.3060327,7.296564,6.821499,7.7215843
S4,5.7115407,5.9196396,6.373523,6.1737514,6.9649653,7.006609,6.7474475,6.8113527,7.4003696,7.373757,6.9163427,7.876306
S5,5.5101943,5.69406,6.2615857,5.9910593,6.8666816,6.91633,6.6640735,6.7232113,7.3413706,7.3008018,6.8469005,7.9217477
S6,5.3557944,5.490835,6.2587953,5.867436,6.867652,6.9234633,6.6259828,6.7199373,7.36341,7.2996674,6.87077,8.057755
S7,5.623744,5.757858,6.478608,6.1259413,7.0587177,7.106522,6.762305,6.8919888,7.503796,7.437993,7.0280695,8.109039
S8,5.585119,5.724849,6.4425507,6.0909853,7.024541,7.07214,6.736616,6.8639383,7.4724183,7.4137626,6.9994698,8.080175
S9,5.3742495,5.5159,6.269046,5.898391,6.8624096,6.918507,6.6216598,6.726252,7.3517876,7.2948556,6.8711495,8.027921
S10,5.2410007,5.4528384,5.981041,5.765808,6.575633,6.6450357,6.479193,6.494053,7.1169534,7.0847497,6.6191034,7.747813
S11,5.6051702,5.8330207,6.251202,6.0997143,6.8252835,6.879602,6.6596236,6.707246,7.290292,7.269376,6.811734,7.7667823
S12,6.119614,6.336633,6.663098,6.558037,7.210481,7.240286,6.943583,7.0397234,7.5791326,7.5501943,7.1122985,7.921085
S13,6.6767683,6.8934016,7.0335617,7.035891,7.5523076,7.557385,7.2364364,7.343725,7.840418,7.7961144,7.365682,8.054595
S14,6.9409704,7.1662726,7.1818924,7.2404537,7.704968,7.6933866,7.37629,7.4706645,7.952932,7.9081025,7.465099,8.099246
S15,6.9570804,7.188649,7.165659,7.225087,7.712856,7.6950607,7.3918557,7.463497,7.9579697,7.916449,7.4550014,8.098535
S16,6.7082944,6.862183,7.129504,6.9933968,7.706663,7.6938815,7.3406315,7.43977,7.992264,7.910136,7.4712605,8.333281
S17,6.1984563,6.2701616,6.934737,6.550348,7.5448313,7.551152,7.151008,7.2831426,7.9092836,7.7905884,7.3797483,8.514527
S18,5.6260295,5.6487627,6.647173,6.0690784,7.27998,7.3126874,6.8915477,7.045836,7.7311196,7.5971007,7.206572,8.550614
S19,5.3648214,5.449219,6.3731976,5.864614,7.0036616,7.0560384,6.690976,6.8134904,7.4924994,7.399523,6.987998,8.253202
S20,5.532891,5.6076646,6.520476,6.043728,7.113244,7.1658354,6.773754,6.9263124,7.580207,7.475349,7.0893335,8.307098
S21,5.48159,5.5304313,6.541689,6.014034,7.122566,7.176796,6.762735,6.943369,7.59468,7.4798393,7.112403,8.37997
S22,5.137732,5.1861467,6.313483,5.7169843,6.909884,6.9752793,6.580366,6.7594485,7.4267125,7.3265715,6.9534025,8.299929
S23,4.673558,4.770458,5.8076425,5.295866,6.4125257,6.505697,6.2745414,6.3536353,7.0459,6.959426,6.5482635,8.018953
S24,4.217393,4.3530865,5.334664,4.887953,5.9461603,6.0681562,5.9820056,5.9723063,6.693401,6.6146774,6.1733236,7.7720394
S25,3.7908137,3.9760587,4.8606515,4.5076823,5.4753203,5.6270366,5.6945577,5.5886683,6.334422,6.2668962,5.792046,7.4920435
S26,3.6802151,3.9010594,4.6911926,4.421953,5.292371,5.458005,5.5913053,5.4471297,6.1881256,6.131368,5.644771,7.328322
S27,3.846583,4.110226,4.7339597,4.5809274,5.312857,5.4768877,5.6333823,5.4767575,6.1837034,6.1469107,5.65163,7.2029653
S28,4.1240134,4.398609,4.9433703,4.8345995,5.5054297,5.6557283,5.771391,5.643838,6.3149,6.2895045,5.8001957,7.2224326
S29,4.6637506,4.9511466,5.365311,5.319328,5.9044027,6.0257864,6.052391,5.982358,6.592904,6.584999,6.106633,7.2963166
S30,5.0689692,5.360747,5.6847095,5.6669836,6.21978,6.3142023,6.2745,6.243383,6.8144064,6.819367,6.34258,7.3802824
S31,5.250223,5.5821266,5.7186027,5.7951617,6.2660685,6.347288,6.34373,6.2768106,6.8304505,6.856408,6.348767,7.2937665
S32,5.309412,5.6748776,5.664639,5.8134346,6.2322073,6.3081026,6.3546743,6.238723,6.79545,6.8341184,6.294788,7.204832
S33,5.37813,5.711932,5.787761,5.861409,6.3725142,6.440439,6.433006,6.3405275,6.9147367,6.938231,6.4078455,7.3455667
