Segment,F1,F2,F3,F4,F5,F6
S1,8.82184,8.771047,9.098386,8.636633,9.261991,9.304085
S2,4.945612,5.7886267,6.2712107,6.234692,7.6453543,7.9695764
S3,2.1940951,3.095362,4.6563473,4.0366793,5.921192,6.591108
S4,5.232275,5.1028557,5.969329,5.9075933,6.830185,7.1861935
S5,9.493354,8.722752,9.5648155,8.841241,9.317096,8.583134
S6,8.062842,8.440236,9.531175,8.437839,9.188596,9.901166
S7,9.121592,9.451518,9.742452,9.058686,9.531567,10.115096
S8,8.177847,8.098795,8.930225,8.202282,8.912439,9.454474
S9,5.099486,5.3628016,6.601075,6.0428524,6.6177893,6.8237367
S10,4.944074,5.46671,6.5270805,5.997738,6.7224674,6.936871
S11,2.877335,3.7532787,4.9968147,4.6235213,6.376445,6.521325
S12,2.8898175,3.597577,4.7283072,4.40476,6.3528814,6.6514087
S13,5.9367313,6.196977,6.449189,6.3281393,7.4297357,7.414886
S14,6.793975,7.3384247,7.484504,7.352746,8.19798,8.017544
S15,4.179012,4.685368,5.824217,5.4768233,6.794484,7.0276217
S16,2.8020117,3.458478,5.121555,4.4981,5.8528557,6.165332
S17,3.025055,3.425806,4.870676,4.5769095,5.8906355,6.206903
S18,2.2488773,2.9606764,4.597953,3.9095027,5.188589,5.2631316
S19,1.8420167,2.8078542,4.3219604,3.6155999,5.2365413,5.3871264
S20,4.1123257,4.644404,5.1982718,4.9840384,6.127912,6.20767
S21,6.1842136,6.155385,6.374969,6.3407035,7.053038,7.0159497
S22,5.1228976,5.1574483,5.9214163,5.621914,6.243289,6.1773205
S23,8.772708,8.848962,8.683799,8.686218,8.404694,8.482606
S24,7.165176,7.309963,8.05445,7.7533054,8.034565,8.49847
S25,4.181775,4.6867566,5.779414,5.4007444,6.0911493,6.286354
S26,4.7535157,5.0724306,5.979148,5.689856,6.098946,6.2224894
S27,4.3944983,4.67734,5.5587034,5.3101325,5.8763022,5.7434487
S28,4.62726,5.0976925,5.9332223,5.4573436,6.220326,6.2793226
S29,4.276534,4.746827,5.657856,5.235979,6.0902786,6.123786
S30,5.679586,6.030837,6.581072,6.277419,6.90437,6.881369
S31,5.7076383,6.053186,6.695906,6.245782,7.0295954,7.055327
S32,5.748736,6.152907,6.7951794,6.309748,6.9519405,6.994886
S33,7.905344,8.056431,8.447429,8.286678,8.524121,8.654628
S34,5.2439694,5.71117,6.3402653,6.1778564,6.8574,6.9975667
S35,4.7057486,5.151271,6.0528207,5.6131163,6.206307,6.306787
S36,8.785066,8.508583,8.90626,8.587414,8.813946,8.549806
S37,12.598122,11.832519,12.513956,11.191988,11.398841,10.311229
S38,7.6402884,7.8510637,8.352398,7.8704634,8.441667,8.815188
S39,5.22084,5.785344,6.550749,6.3618236,6.8840246,7.0270753
S40,3.7043746,4.021205,5.5129967,5.2909584,6.2375097,6.5743685
S41,2.4545798,3.005641,4.775337,4.273045,5.490433,5.671313
S42,2.6966069,3.5409493,4.9473886,4.362517,5.9008536,6.2029033
S43,2.3067017,3.2776132,4.5044866,4.052841,6.0862966,6.402662
S44,15.946608,14.80718,12.61528,14.183697,13.582114,12.856198
S45,31.882334,30.639587,27.592787,25.726625,23.223284,18.400337
S46,3.6214805,4.4169397,5.564117,5.878126,8.414024,9.5009
S47,-1.8422984,0.113813765,3.7466927,2.2485023,4.01981,6.0267663
S48,7.0344086,6.3263,7.168381,8.695244,8.980578,11.437193
S49,9.70705,8.361972,11.023703,10.343289,11.084069,10.538755
S50,5.001248,6.547786,7.3140707,7.0187864,8.681219,11.25689
S51,4.748181,6.401496,6.8409834,6.282731,8.094365,9.519924
S52,8.003018,7.4200673,7.7391124,8.008057,10.330129,11.020231
S53,5.775385,5.637379,7.64151,6.3654437,7.2908583,6.9662943
S54,7.9897304,10.722829,11.36356,10.811038,12.2029915,13.24744
S55,13.92245,16.001606,15.501134,17.534193,19.10341,19.035131
S56,15.021675,14.009074,15.190692,14.886522,17.609573,17.665693
S57,10.587768,10.041341,10.503452,9.458912,9.734918,9.702117
S58,12.461867,11.977039,12.204811,11.107657,11.198877,11.139236
S59,15.528177,14.607441,15.177219,13.7548065,13.947618,13.07229
S60,12.775498,11.892412,13.1700115,11.959189,12.517268,12.130877
S61,7.738659,8.277366,8.394079,8.29517,8.554342,9.031063
S62,5.8191333,6.4264817,7.2676044,7.0698066,7.469518,7.972224
S63,6.4575486,6.673269,7.354738,7.2607822,7.9668775,8.548171
S64,4.094369,4.6438646,5.9007587,5.730465,6.825436,7.1178985
S65,5.108419,5.805821,6.54678,6.5049872,8.032397,8.666848
S66,6.7957783,7.5650697,7.9746666,7.723706,9.29618,9.488892
S67,5.215009,5.8681407,6.9521556,6.5034595,8.165628,8.606114
S68,4.584387,4.983937,5.984778,5.9382405,7.3495317,7.655094
S69,2.6840994,3.491799,5.1345468,4.5841966,6.9390945,7.4257355
S70,3.1128507,3.9375143,5.197127,4.7127805,6.7931185,7.3209
S71,2.9867516,3.818323,5.2375007,4.534278,6.372513,6.726109
S72,10.508575,10.341839,10.09862,10.364344,10.271663,10.315077
S73,17.085356,16.755087,15.810511,15.024267,14.768284,13.3674135
S74,9.457462,9.187138,9.465284,8.796904,9.427498,9.798156
S75,8.6104965,8.347094,9.20977,8.492566,8.565638,8.731133
S76,8.859578,8.555767,9.840674,9.244805,9.133751,10.097415
S77,12.203692,11.128722,12.309664,11.435403,11.3820505,10.908393
S78,8.330444,8.510014,9.180103,8.68387,9.207407,9.795442
S79,5.7083807,6.482761,7.1603975,6.857159,7.386869,7.952036
S80,7.2940392,7.3325353,7.651203,7.8133435,8.620151,9.360354
S81,13.166093,11.754205,11.336197,11.541422,11.856487,10.6675825
S82,9.184078,9.493634,9.391368,9.306527,10.572204,10.948047
S83,4.9508915,6.0743027,7.178474,6.60885,8.680934,9.451911
S84,10.463461,10.461973,9.967697,10.591176,11.585913,12.6462755
S85,23.339989,21.418072,20.297806,18.603592,19.110134,16.100761
S86,11.017447,11.337149,11.90386,10.969085,11.989023,13.217696
S87,6.160016,7.443618,8.243502,7.7552204,9.123263,10.263196
S88,5.336994,5.7330217,7.132538,7.1114316,8.730606,10.177522
S89,6.1768045,5.8949933,6.6976175,6.921792,8.130508,9.062776
S90,5.82983,6.4063063,7.2731705,6.953391,8.508639,9.397382
S91,6.6939397,7.7189317,8.089584,7.856421,10.119865,10.861855
S92,6.0319424,6.919487,7.020607,7.5571113,10.0833235,10.745523
S93,3.5061674,3.8497708,5.721172,4.91103,6.7115116,7.3028054
S94,9.156957,9.943992,8.642252,10.0828905,10.3899,10.090968
S95,18.752018,20.599928,19.085577,19.07574,18.851063,17.21592
S96,15.874286,17.468117,17.177841,16.171375,16.930185,17.39791
S97,17.49624,16.993715,16.249907,14.968539,14.874122,14.966366
S98,11.556404,11.11407,11.745786,10.86347,10.845594,11.377862
S99,4.844431,5.373364,6.600696,6.513903,6.6880555,7.1205044
S100,2.639235,3.3813791,5.251665,5.0531564,6.0110807,6.7649884
S101,5.4997506,5.494364,6.6038837,6.2743444,7.8156476,7.8330917
S102,3.5227072,4.1177955,5.5314546,4.9708834,6.817539,7.464677
S103,4.2424397,4.9396195,6.091691,5.6759276,7.0734935,7.804964
S104,7.9789815,9.0894375,8.889059,9.79707,9.966006,9.890038
S105,6.4850097,7.6894975,7.915897,8.887508,9.429442,9.639974
S106,6.63634,7.7892313,7.700423,8.574925,8.995093,9.463454
S107,7.280835,8.432942,8.79087,9.100205,9.720702,10.6459675
S108,5.1962113,5.738794,6.7314663,6.735794,8.4924135,9.2899275
S109,3.7425036,4.4501257,5.5394893,5.0774965,6.343364,6.608308
S110,4.228822,4.781301,5.6177354,5.187402,6.090033,6.1071696
S111,5.1102233,5.4505944,6.110509,5.7514224,6.4889417,6.506323
S112,5.6339808,5.9336257,6.52658,6.126818,6.778711,6.764259
S113,4.429102,4.837709,5.718424,5.4099927,6.209768,6.1378775
S114,5.318457,5.736793,6.3443155,6.088606,6.797025,6.805147
S115,5.5774794,5.9928036,6.811008,6.358986,7.05744,7.2510157
S116,4.495946,5.037972,6.032963,5.5058575,6.128641,6.1571083
S117,5.074566,5.651169,6.3254094,6.0402074,6.567599,6.6405187
S118,4.596742,5.038871,5.841546,5.544956,6.2343936,6.240733
S119,3.4534292,3.8808148,5.0743685,4.6993012,5.5050592,5.524472
S120,3.2267988,3.62687,4.8717566,4.505974,5.446045,5.4737225
S121,5.72281,6.156204,6.5819397,6.3909035,7.1555557,6.9408946
S122,5.548574,6.0787854,6.692891,6.3296537,7.1507998,7.224758
S123,6.677318,7.0231514,7.3643966,7.110626,7.4502654,7.7251706
S124,7.775431,7.9123297,8.489463,7.9897113,8.281648,8.3614645
S125,9.118054,8.872569,9.523794,8.847966,9.038806,8.891343
S126,7.635602,7.723885,8.577064,7.887753,7.8815494,8.064502
S127,5.8937483,6.4452295,7.0990996,6.672041,6.9238696,7.0718584
