Segment,F1,F2,F3,F4,F5,F6
S1,11.016636,9.335503,9.548847,9.04631,8.843181,8.90093
S2,2.913695,4.5404115,4.6309047,5.313402,5.838646,6.2475348
S3,4.6160393,4.69146,5.6650424,6.661519,6.7337995,7.080044
S4,6.3551707,6.23107,5.8030868,6.275953,7.2041287,6.808062
S5,9.889106,8.088954,8.162659,8.015963,8.04141,7.7994604
S6,8.662711,9.082772,8.130907,8.239068,7.793195,8.4127245
S7,10.714549,8.933536,9.872286,9.405707,9.778432,9.503599
S8,6.65625,7.6754017,7.0776143,7.5755253,8.3431,8.045779
S9,5.4349647,5.315661,5.2777166,6.188873,5.953701,6.4511504
S10,3.7846317,4.029493,4.395573,4.40078,4.611595,5.7237983
S11,2.9609935,3.7872303,4.3173923,5.2489357,5.8635836,5.917878
S12,3.5149128,4.0130496,4.584681,5.8363028,6.487271,6.9866166
S13,6.863249,6.2045593,5.896538,6.428085,7.52577,7.495121
S14,6.7458467,7.3476443,6.6243443,6.8706527,7.5297155,7.8557205
S15,3.0126278,4.2919474,4.3307524,5.524975,5.723895,6.795707
S16,3.423707,4.216502,4.9675336,6.092452,6.193964,7.215971
S17,2.9472444,3.3535337,4.2682576,5.1890445,5.776966,6.383286
S18,2.466182,2.8332489,3.6570709,4.113108,5.028717,5.8488913
S19,1.9306232,2.4012744,3.1479383,3.982147,4.2111735,4.882104
S20,4.7934117,4.1079545,4.667008,5.0028915,5.774081,6.060481
S21,5.056886,5.103736,4.5887446,5.118448,6.0006146,6.2053328
S22,3.6911557,4.5082536,3.9284234,5.201475,5.052361,5.9225373
S23,8.41709,8.035176,7.241177,7.9066987,7.470958,7.9607267
S24,4.9362936,5.920024,5.5964565,6.2794466,6.5247984,6.7967443
S25,5.086956,5.4056187,5.34557,5.6600623,5.939252,6.471322
S26,4.5375032,4.5116305,4.582353,4.73472,5.1292243,5.8018155
S27,5.1307063,4.7653832,4.8755727,4.9160676,5.4778843,5.329947
S28,4.4608507,4.908265,4.379684,4.76149,5.204924,5.486985
S29,4.083904,4.176433,4.241322,4.9327264,5.169608,5.4715433
S30,5.5167255,5.5653553,5.2090716,5.76125,6.2047386,6.4451423
S31,4.545653,5.217162,4.745024,5.5961976,6.181415,6.694372
S32,6.3219113,6.269694,6.008946,6.3592052,6.526135,7.2260633
S33,8.661188,7.905564,7.641816,7.5294747,7.884506,7.9326167
S34,4.196994,4.8652163,5.110937,5.6669326,6.089843,6.691221
S35,6.571263,6.2839675,6.100158,6.393711,6.654552,7.051078
