Segment,F1,F2,F3,F4,F5,F6
S1,5.9392233,6.5332284,6.4526258,6.976887,7.2928286,8.017304
S2,5.8558125,6.398369,6.3687396,6.9828095,7.150319,7.950764
S3,4.6103034,5.054934,5.4143815,6.3922243,6.4609537,7.2798867
S4,4.63345,5.117836,5.455877,6.3406773,6.5063834,7.2883286
S5,6.3891244,6.982591,6.780642,7.165299,7.512308,8.243934
S6,7.897906,8.44905,7.899814,7.936836,8.312777,9.054267
S7,8.735348,9.18101,8.507599,8.442405,8.785677,9.533657
S8,8.338374,8.651038,8.217704,8.409372,8.594542,9.367149
S9,7.2677946,7.4976125,7.442245,8.015886,8.06922,8.84407
S10,5.6778383,5.866966,6.2674065,7.28725,7.2108717,8.015523
S11,4.0655417,4.2455974,5.0433946,6.384882,6.277677,7.1232677
S12,3.2233212,3.4986567,4.452605,5.8028536,5.7227983,6.582933
S13,4.1320124,4.6064053,5.133845,6.1111193,6.2729864,7.054945
S14,5.6840444,6.313332,6.2940755,6.853054,7.14791,7.879062
S15,5.4020734,5.970912,6.0478983,6.760713,6.9158974,7.70465
S16,4.050363,4.5278797,4.9959817,6.0778675,6.1213584,6.9606657
S17,3.052413,3.5385928,4.2702103,5.4747696,5.4683204,6.356108
S18,2.424471,2.9662824,3.8260071,5.0412745,5.040653,5.9481974
S19,2.0100338,2.6193268,3.5386856,4.725784,4.7461314,5.6614685
S20,2.6240222,3.3472638,3.991838,4.9412823,5.1199403,5.98032
S21,3.8706753,4.68868,4.900427,5.557785,5.893276,6.683832
S22,4.662777,5.4675493,5.468697,6.0205755,6.3836403,7.144425
S23,6.10631,6.8740487,6.530427,6.7485027,7.2034645,7.9388533
S24,6.6134377,7.2758245,6.8885155,7.1057925,7.465102,8.239225
S25,6.0461435,6.5848064,6.4659343,6.9639316,7.193053,7.9787946
S26,5.4472675,5.932184,6.0473776,6.7627926,6.9225297,7.700781
S27,5.1613216,5.618056,5.8528237,6.6444983,6.797871,7.571658
S28,5.0440755,5.5020566,5.781876,6.5971146,6.7523203,7.5199275
S29,4.794039,5.248376,5.6042085,6.478398,6.6166887,7.3870287
S30,5.15479,5.666144,5.883122,6.6395726,6.84232,7.582684
S31,5.5174603,6.0659814,6.153393,6.8281913,7.037944,7.7741923
S32,5.835639,6.3726525,6.3814707,6.981444,7.209258,7.9419975
S33,6.673263,7.2097287,6.9970565,7.3761697,7.6701455,8.394273
S34,6.330256,6.7949963,6.7313695,7.2850485,7.457335,8.219706
S35,6.0049973,6.4390516,6.4961133,7.159985,7.318597,8.064916
S36,7.2386575,7.7046514,7.4266167,7.730644,8.033091,8.744567
S37,9.325593,9.772509,8.990575,8.762465,9.195602,9.880909
S38,9.797563,10.100427,9.342552,9.162586,9.447509,10.17331
S39,8.235276,8.382059,8.178717,8.607367,8.626519,9.397148
S40,5.873882,5.9564724,6.419674,7.5272894,7.358743,8.168164
S41,4.0452905,4.1230216,5.041112,6.480352,6.318476,7.159784
S42,2.941038,3.1418245,4.266459,5.7442517,5.5840664,6.460908
S43,2.251811,2.606472,3.775992,5.208969,5.0870466,5.9832067
S44,6.6974173,7.4442425,7.0155396,7.1990614,7.7610345,8.445941
S45,14.468251,15.260757,12.732371,10.86429,11.95469,12.61037
S46,12.930653,13.257031,11.696603,10.82163,10.876093,11.828035
S47,9.04277,9.12811,8.711815,9.257444,8.909478,9.972566
S48,7.3584013,7.4312363,7.4731035,8.41585,8.128771,9.140435
S49,8.193675,8.343282,8.12609,8.690955,8.629259,9.5802355
S50,7.6040573,7.7123275,7.72432,8.4375725,8.271155,9.230963
S51,5.95238,6.0224304,6.5095177,7.6481924,7.3883038,8.329131
S52,5.0479116,5.164733,5.845654,7.0867786,6.895446,7.8051834
S53,4.8100476,5.0402894,5.6833744,6.8502746,6.7636294,7.626399
S54,5.397322,5.8186936,6.1094637,7.024007,7.073472,7.8846536
S55,7.7715697,8.328583,7.8049626,7.976797,8.318703,9.092438
S56,10.052875,10.528301,9.490458,9.049626,9.530744,10.266313
S57,11.061302,11.37247,10.272865,9.718576,10.124737,10.83404
S58,11.90115,12.059384,10.905968,10.333094,10.675396,11.376829
S59,13.098947,13.14372,11.801683,11.075933,11.412961,12.102539
