Segment,F1,F2,F3,F4,F5,F6
S1,6.7223735,6.612447,6.761354,6.4957433,7.225438,5.9770107
S2,4.623373,4.6143417,5.2323513,5.1058087,5.8363676,5.2379036
S3,3.2815442,3.2917106,4.1496162,4.168858,4.9801083,4.6480637
S4,4.0836673,4.0534964,4.710527,4.687099,5.510337,4.8932962
S5,7.1701326,7.0572963,7.1391554,6.8131576,7.5028977,6.190285
S6,8.185809,8.076003,8.068344,7.5751424,8.136033,6.7909694
S7,8.860375,8.737934,8.708214,8.095075,8.566655,7.245716
S8,7.384102,7.302542,7.6317806,7.1243296,7.6159787,6.770155
S9,6.0237255,5.9569197,6.5440993,6.1856394,6.7596335,6.2086143
S10,3.7713075,3.7487748,4.7079873,4.6094437,5.3267336,5.191893
S11,2.0781808,2.081842,3.2482305,3.3838096,4.254015,4.3033013
S12,1.7350887,1.73785,2.840491,3.0777946,4.0408263,3.9443908
S13,4.3055973,4.2422504,4.7756224,4.797816,5.6911197,4.864755
S14,6.176301,6.0958633,6.310383,6.108997,6.867196,5.6982503
S15,4.4157114,4.4134192,5.033991,4.944113,5.7016106,5.087439
S16,2.4808736,2.5165303,3.492084,3.601433,4.459044,4.2558365
S17,1.4382012,1.4821612,2.5799148,2.8382227,3.799149,3.6930366
S18,0.90087944,0.980245,2.0834575,2.4265819,3.4830034,3.336812
S19,0.63732207,0.78378826,1.8410695,2.2159495,3.3619568,3.1219018
S20,2.3240497,2.3429554,3.0681481,3.3347127,4.3635597,3.7117894
S21,4.074207,4.0661044,4.491068,4.557101,5.4728518,4.487374
S22,4.5963144,4.5937467,4.99868,4.961305,5.7912602,4.8340697
S23,6.697899,6.6347313,6.724789,6.4458346,7.1487722,5.838762
S24,6.047755,6.0170665,6.3399224,6.0631285,6.7205057,5.7600994
S25,5.0406075,5.024466,5.5852013,5.393426,6.0829206,5.4229965
S26,4.360528,4.3444204,5.02863,4.920741,5.6632957,5.1367846
S27,4.2453284,4.2192354,4.9005985,4.828586,5.6059113,5.0545273
S28,4.236607,4.2079177,4.870456,4.81398,5.6075497,5.0223393
S29,3.9111195,3.8930848,4.6017456,4.5842175,5.3983645,4.8638573
S30,4.889496,4.840676,5.3512454,5.2479396,6.03314,5.2449474
S31,5.05651,5.013999,5.513225,5.376688,6.1325336,5.3493843
S32,5.507834,5.4549737,5.8901253,5.6972227,6.420417,5.569206
S33,6.6911926,6.606843,6.851535,6.527061,7.182482,6.114253
S34,5.2270737,5.1956744,5.765193,5.551419,6.2285547,5.5924726
S35,5.358568,5.3053217,5.8403573,5.6305237,6.327187,5.626519
S36,7.617176,7.4942636,7.6106334,7.185512,7.793956,6.579552
S37,10.242431,10.063499,9.7688265,9.040382,9.47916,7.818489
S38,9.417052,9.2851715,9.277622,8.551148,8.93035,7.702916
S39,6.618756,6.5513816,7.1229277,6.6531057,7.1370897,6.6263857
S40,3.5674567,3.550085,4.6298447,4.5142393,5.199499,5.247449
S41,1.9431202,1.9384788,3.176856,3.3141942,4.1811676,4.327549
S42,1.1184561,1.1294162,2.3685892,2.6652646,3.655206,3.7278895
S43,0.72005564,0.80939037,1.973602,2.3350632,3.4451098,3.3657362
S44,10.326381,10.08721,9.417701,8.895166,9.5833025,7.2473593
