Segment,F1,F2,F3,F4,F5,F6
S1,6.2192397,6.327238,5.968332,6.254944,7.287753,6.7927303
S2,6.2065024,6.3194165,5.948683,6.234948,7.2765827,6.7700768
S3,5.8513846,6.0147743,5.643489,6.022337,7.192605,6.65245
S4,5.9002867,6.054273,5.6378183,5.980317,7.0843487,6.4923596
S5,6.635593,6.6847987,6.2512994,6.394452,7.218678,6.678055
S6,7.4353104,7.395561,6.9418116,6.8747854,7.47772,6.982949
S7,8.235705,8.130671,7.634187,7.3518357,7.7909575,7.3023467
S8,8.458347,8.383884,7.846752,7.5021462,8.027929,7.4792814
S9,8.2232685,8.233106,7.6788797,7.397525,8.152518,7.5259523
S10,7.2720904,7.4323792,6.946763,6.946979,8.144443,7.4892297
S11,6.042198,6.348192,5.960864,6.318473,7.940576,7.288407
S12,5.043846,5.427092,5.1276116,5.7693424,7.611324,6.99426
S13,5.1495,5.4507985,5.148407,5.743605,7.3264227,6.7492433
S14,5.677978,5.856649,5.567217,6.02172,7.276686,6.800626
S15,5.665417,5.8253317,5.5467415,6.0083723,7.2192435,6.77957
S16,5.2153416,5.422826,5.146687,5.7254586,7.054167,6.591607
S17,4.710866,4.9677253,4.6674814,5.3610306,6.7811933,6.253907
S18,4.196944,4.4931965,4.1866665,5.002003,6.492906,5.9234743
S19,3.7930856,4.107314,3.7913258,4.6960735,6.1951237,5.5922832
S20,3.9273405,4.1824164,3.8598063,4.7162104,6.0313644,5.454566
S21,4.538451,4.687217,4.333371,5.0118995,6.020274,5.4806004
S22,5.1266932,5.1977777,4.8185587,5.3355193,6.1348705,5.6274486
S23,6.1150513,6.0737476,5.651834,5.901099,6.4058313,5.9378953
S24,6.690502,6.62099,6.1556206,6.249792,6.6894984,6.204153
S25,6.9049835,6.8675356,6.342559,6.3672814,6.88119,6.3103905
S26,6.8426456,6.8669405,6.304957,6.3382745,7.007924,6.348884
S27,6.602906,6.6901975,6.1538563,6.265899,7.12912,6.4508457
S28,6.3340015,6.467757,5.980286,6.1853504,7.2067204,6.5476847
S29,6.0136285,6.1864614,5.752052,6.06288,7.2191916,6.5909686
S30,6.0181556,6.174787,5.7801566,6.105029,7.2417774,6.669345
S31,6.071022,6.207706,5.842392,6.1657925,7.2703843,6.748786
S32,6.304426,6.4051576,6.0304365,6.2893243,7.2961626,6.7921734
S33,6.835434,6.8717895,6.4603615,6.5674706,7.391226,6.893193
S34,6.833159,6.892319,6.4656606,6.5722833,7.4588475,6.932951
S35,6.911322,6.9806805,6.518575,6.5921836,7.4877625,6.9127803
S36,7.490626,7.497522,7.011714,6.927474,7.657146,7.096807
S37,8.592984,8.481955,7.954655,7.573365,7.9973216,7.474583
S38,9.174561,9.044017,8.486572,7.9552155,8.34933,7.815187
S39,8.8051,8.78509,8.23792,7.820873,8.541114,7.9491735
S40,7.6237082,7.791092,7.307783,7.231009,8.486279,7.8356347
S41,6.2217155,6.554199,6.1724763,6.4978385,8.225092,7.565634
S42,4.9845695,5.418821,5.127979,5.79793,7.801593,7.160129
S43,3.9902353,4.467749,4.2614307,5.205534,7.319499,6.731602
S44,5.9090734,6.0330014,5.780222,6.185769,7.3153615,6.911119
S45,10.016555,9.591412,9.134758,8.38853,8.0006485,7.758404
S46,10.730332,10.348347,9.787239,8.846823,8.597959,8.248689
S47,9.798271,9.666385,9.087667,8.411497,8.863564,8.341337
S48,8.931037,8.977004,8.403761,7.9655185,8.900258,8.253447
S49,8.944075,9.006915,8.418336,7.967828,8.9314575,8.235273
S50,8.364801,8.515287,7.968362,7.684246,8.89586,8.173524
S51,7.3710356,7.636039,7.186101,7.1966753,8.750485,8.05058
S52,6.4158363,6.7552204,6.4251122,6.7254915,8.52017,7.899774
S53,5.7756686,6.1261506,5.8958364,6.3927016,8.245115,7.729278
S54,5.660955,5.9485526,5.780871,6.3226304,8.02187,7.625251
S55,6.6177363,6.7154136,6.5451694,6.8305717,8.02511,7.768185
S56,8.342508,8.219917,7.851658,7.6032734,8.103732,7.7795105
S57,9.984038,9.725659,9.0976,8.320102,8.327332,7.801107
S58,10.889001,10.603147,9.94637,8.944866,8.928961,8.402823
S59,11.792729,11.481675,10.805484,9.584677,9.5597,9.040705
S60,12.410906,12.119499,11.410882,10.038043,10.106337,9.544074
S61,12.062694,11.91695,11.19451,9.9243,10.405682,9.726368
S62,10.991219,11.039702,10.40968,9.467645,10.533365,9.819867
S63,9.56729,9.800493,9.309329,8.79563,10.420687,9.728227
S64,7.6877184,8.115345,7.7873507,7.8201485,10.015303,9.362972
