Segment,RMSE,Pearson_r,MAE,R2,Max_Error,MAPE
S1,3.9569410283367046,-0.08742644259892224,3.6719442249999994,-0.03186351345959082,5.419567400000001,1.0878924875121156
S2,4.034989431372893,-0.20483377402888472,3.698735375,-0.07567347316000816,5.7321423,1.159024225801662
S3,4.234476343626618,-0.2723701028556339,3.9641556583333326,-0.2228143999818224,6.283279,1.2674026240336127
S4,4.005676588091808,0.46048277459366554,3.711769850000001,-0.04775175023476064,6.057568,1.3677648865383147
S5,4.295467279037179,-0.0005184873369376796,3.864051433333333,-0.0935614216651035,7.2451773,2719114815709432.5
S6,4.801529303113201,-0.5407870083830918,4.369354325,-0.2681537906268747,7.8887944,2960664293353539.5
S7,4.796807047760414,-0.3222816633517721,4.220281333333332,-0.48301958691782376,7.2631264,2725851112382069.5
S8,4.2963031952977975,-0.005146351195824256,3.635268633333333,-0.19078895624489434,8.084278,3034029282363292.5
S9,4.321075433085445,-0.3363059496410996,3.566033391666666,-0.23544505282848904,7.4040685,2778746678135470.0
S10,4.6292160368096775,-0.37270149961979393,4.013256666666666,-0.20453273401785022,7.2267747,5365696006900323.0
S11,4.941987770618118,0.57244678454475,4.205962108333334,-0.5323052500833136,7.8360634,8288284429554272.0
S12,5.729059768648412,0.6350065204993911,5.034549916666667,-1.3212709073705842,8.204669,1.1672668580299072e+16
S13,6.636091903056105,0.30158710520018917,5.908764874999999,-3.240285029552381,8.871359,1.5418739444217782e+16
S14,6.680194388534124,-0.19819102646203324,6.041673816666667,-3.6518022136085158,8.947584,1.5483459323382834e+16
S15,6.301008571523185,-0.2053262755324048,5.531249533333333,-2.838199522440231,8.903701,1.5092110476923182e+16
S16,5.601486098697597,0.10256167327505716,4.833953125,-1.9501074715170574,8.056397,1.430707838066703e+16
S17,4.788149945701918,0.3768550159660372,4.129399283333334,-0.7532653775696445,7.5407953,1.0704105416728346e+16
S18,4.464655541096042,0.18668218078315693,3.94161475,-0.5773102778299148,7.4292397,1.0110633968152394e+16
S19,4.718720950256359,-0.024408093077847953,4.208652691666667,-0.9491614821487742,7.239692,1.0450347731334352e+16
S20,5.112104889163581,0.3819883708925267,4.491488299999999,-1.8747437198046457,7.941315,1.1443518450679038e+16
S21,4.775659081377174,0.5129144853129319,4.247865058333333,-1.5311335711679206,7.4083467,1.0575566641033692e+16
S22,4.063976606319381,0.38875972870922104,3.6148921916666663,-1.1154086148046387,6.6155276,6903032540920527.0
S23,3.2904579433966714,0.34879246348673215,2.8663323749999994,-0.7021533044300672,5.8457766,3864003137070946.5
S24,2.5677073029728392,0.23739549266187457,2.1802621833333333,-0.3522231477953137,4.342001300000001,1472381904724575.2
S25,2.104089974178785,-0.16055334551876738,1.725520633333333,-0.6362087755032046,4.890102000000001,0.3362900556501412
S26,2.053076261248175,-0.33060462155405873,1.6109485166666666,-0.5569915538890642,4.426593,0.31628832819404945
S27,1.8928676157499125,0.21288197424791558,1.5465631666666668,-0.02548991244372134,3.7367195000000004,0.29610204262568873
S28,2.2363500811537866,-0.13147830721455359,1.9434238083333337,-0.3129782186443688,4.1307334,0.4006016142470273
S29,2.540645767371715,-0.3524784792953391,2.3163217416666666,-1.973838148828989,3.8707639999999994,0.5138808648780889
S30,2.7747722001277957,0.005977254371981826,2.5055703166666667,-0.5494486057084689,4.212874000000001,0.5231820165632644
S31,3.3700096787948004,-0.14933067171034248,2.7385416333333334,-0.06619400201097325,7.957489699999999,0.4733965095086907
S32,3.323905140827144,-0.18028558781053214,2.622724441666667,-0.06510037722683282,7.607783499999999,0.3985933448254098
S33,3.3852992074335293,-0.22104321154551748,2.6020807833333333,-0.06870016269656709,8.543068599999998,0.40913259794809154
S34,3.7212507410787907,0.1887975454395477,3.07706495,0.02234226666027317,7.363357999999999,2426338506093852.5
S35,4.174233425501418,0.013884796948334058,3.2542183,-0.023203077837588237,7.943644999999999,5345048653928692.0
S36,4.700082809077211,0.0546242029454272,3.9300275416666666,-0.09986449649903517,7.7419896,8159320288874813.0
