Segment,1D-CNN,ANN,BiLSTM,LSTM,CNN-LSTM,GRU,Selected
S1,0.18812615598909224,0.1511427661530278,0.16639925660867708,0.24208681983332175,0.228766180019722,0.02347882139616077,LSTM
S2,0.17276000442927097,0.17422625793344207,0.15841506602788105,0.23391881551820592,0.23039992857294478,0.0302799275182551,LSTM
S3,0.15912984954292,0.17846949787466398,0.1506822965775114,0.2246816550804336,0.2557321228805084,0.031304578043962666,CNN-LSTM
S4,0.16726914835515588,0.19496104673760742,0.2075051324148503,0.15911511333686254,0.24530396581150687,0.025845593344016607,CNN-LSTM
S5,0.18569310224724828,0.15371610258468915,0.20451425149251307,0.18311362765116512,0.24816493627801814,0.024797979746367806,CNN-LSTM
S6,0.21757854417784459,0.19033101181503198,0.16784595975227776,0.19727004450151722,0.20076752713742885,0.02620691261589959,1D-CNN
S7,0.1948597552643994,0.22313485931720492,0.1571842359125261,0.21927717908680272,0.1779537708856649,0.027590199533402235,ANN
S8,0.17259605912203535,0.18742725180313455,0.2178763234930562,0.22762787763672623,0.16339186173230527,0.03108062621274267,LSTM
S9,0.18086841172404314,0.17480162498014382,0.22166194996800853,0.20019877128440106,0.19425143126198058,0.02821781078142169,BiLSTM
S10,0.1790757388457811,0.23496689825318057,0.201020887356895,0.17851360107090172,0.18316733065837035,0.023255543814870844,ANN
S11,0.19914077244899836,0.2627317433194429,0.2644006450803535,0.11875788459519906,0.13807327282226747,0.01689568173373587,BiLSTM
S12,0.1606279137466999,0.29487073250295337,0.2436002612706745,0.11424853617937165,0.17043758804393433,0.016214968256366983,ANN
S13,0.13247478644262053,0.2575098164462565,0.17671046108556854,0.1508664226818781,0.26419722688891367,0.01824128645476211,CNN-LSTM
S14,0.20469403318307866,0.2544933019661495,0.14248911464811706,0.20166942445695965,0.1755036459835024,0.021150479762193437,ANN
S15,0.2710354366646804,0.2099224689671207,0.14913526780577901,0.19502438574983763,0.1492956587180047,0.02558678209457907,1D-CNN
S16,0.23463062116185468,0.24142516029493494,0.1734742081063032,0.1626416389720037,0.1615640527575657,0.026264318707336913,ANN
S17,0.1758111482894497,0.1880796034755506,0.2302329036220638,0.19221681332507753,0.18611600482011761,0.027543526467740533,BiLSTM
S18,0.17544302364209685,0.1911679212411123,0.2138006664650453,0.1705679748800455,0.22413138960679016,0.024889024164910963,CNN-LSTM
S19,0.17605587032711187,0.16355212406580324,0.1600748930960674,0.19104237107802702,0.2870346211509233,0.02224012028206748,CNN-LSTM
S20,0.10499947773366002,0.09403945709066976,0.12071653649415037,0.18090206015670549,0.48249975450725857,0.016842714017554997,CNN-LSTM
S21,0.2140278426349877,0.22875103206016276,0.11898703961213133,0.1627863013103234,0.254220372437179,0.021227411945214963,CNN-LSTM
S22,0.23703851559076902,0.2528750204926451,0.11724245979669354,0.14918027099356146,0.21906521730341288,0.024598515822920053,ANN
S23,0.1639973816462694,0.28658681351167015,0.1370020539478481,0.1602880641522857,0.22478625975795424,0.0273394269839732,ANN
S24,0.19697499263872745,0.21856859838391537,0.17072221287982262,0.22501437096697519,0.15637912913565313,0.032340695994906965,LSTM
S25,0.19128289735829584,0.20928627816753925,0.22111499836761447,0.2020777516458925,0.14815060591482102,0.028087468545836693,BiLSTM
S26,0.185479822349704,0.195927982485464,0.21617938693192829,0.22983213152312437,0.14720522748346485,0.025375449226314295,LSTM
S27,0.12698753983751038,0.2782791850801773,0.23010557652201058,0.21459566495646937,0.13362993289948807,0.016402100704344846,ANN
S28,0.20187398445078597,0.18859737205836333,0.17629383597582013,0.16565862635759948,0.25273096745405904,0.014845213703372518,CNN-LSTM
S29,0.09714046386373887,0.08237370631915798,0.08579872100054807,0.30969573053205607,0.4140566768506295,0.010934701433869836,CNN-LSTM
S30,0.10970244411806356,0.201506648249451,0.11123567795442743,0.40983460366417146,0.1515602317316035,0.01616039428228268,LSTM
S31,0.22796652287722716,0.16335373911886641,0.13693061279248714,0.30272045677307496,0.1429384728252418,0.02609019561310094,LSTM
S32,0.2190703261221808,0.12322914758507476,0.14289385738543664,0.2656564086563324,0.21859750598882377,0.0305527542621504,LSTM
S33,0.14568240246626907,0.126478643507219,0.13656033740282505,0.21731366948835276,0.3441455401226731,0.029819407012660087,CNN-LSTM
S34,0.19910795576026208,0.17366410786449285,0.1887702467045821,0.1854071317227424,0.22096934195696602,0.03208121599095452,CNN-LSTM
S35,0.17355998844752307,0.1872662422401423,0.22035476767128606,0.1799259695029336,0.20895609681759578,0.029936935320518235,BiLSTM
S36,0.23678846188452116,0.16943064573372188,0.21009047860252295,0.16957204890923955,0.18906618371137895,0.025052181158616165,1D-CNN
S37,0.23147798583491686,0.19205818783553957,0.17745975657221974,0.1823414720998618,0.1917992191714845,0.024863378485978624,1D-CNN
S38,0.17943864323327977,0.2551787049356564,0.1669728252981085,0.22613387696742784,0.14561912705924057,0.026656822506285566,ANN
S39,0.17122095492655343,0.19766716125036496,0.2118100519324692,0.24486051575828804,0.14923002525035098,0.025211290881973072,LSTM
S40,0.19582947708180728,0.16507958547122567,0.21443151199039726,0.18475956232363297,0.2142909800368381,0.0256088830961002,BiLSTM
S41,0.19314345143443834,0.17224964031486778,0.17407300981872303,0.19691069043753223,0.23843007291139745,0.02519313508304051,CNN-LSTM
S42,0.1960780070298678,0.18414245046766306,0.20058673738560814,0.18641025308788228,0.20309636180972965,0.02968619021924944,CNN-LSTM
S43,0.17333506898359555,0.1931928009245428,0.20025985545290576,0.19275238286432345,0.2174356576341255,0.023024234140506535,CNN-LSTM
S44,0.19777332103393233,0.1879277010174431,0.16116453138326825,0.18358456672815965,0.24972610829633513,0.019823771540861432,CNN-LSTM
S45,0.24877592660397374,0.1716709191128809,0.11864145461876673,0.24108091716758054,0.19641932398600395,0.023411458510794302,1D-CNN
S46,0.2068611616923941,0.23147361271801986,0.15356639231926641,0.203813962465606,0.17452164659964747,0.029763224205065775,ANN
S47,0.1967784278870864,0.22681343285440853,0.18982996766121618,0.17455973722534612,0.18139662425752726,0.030621810114415622,ANN
S48,0.1895355777526149,0.1681998357413944,0.2178374825005214,0.20057580162244876,0.19301346030290364,0.03083784208011689,BiLSTM
S49,0.1858957690405894,0.18825137432742137,0.2133519874110547,0.2023119334185045,0.1848434119880478,0.025345523814381314,BiLSTM
S50,0.18888165557626307,0.20765900190148737,0.1987133025369193,0.19971085616692927,0.17797616327154278,0.02705902054685821,ANN
S51,0.06810327013094161,0.09380097855955244,0.14563297210454634,0.5000657648364879,0.17827918652907482,0.014117827839396295,LSTM
S52,0.26935888024112997,0.18647136410303183,0.14428969656162424,0.24772129468617562,0.13321729997869483,0.018941464429343156,1D-CNN
S53,0.26420646029749595,0.17552384118112066,0.1818846916983373,0.2014543769704944,0.14968900180733388,0.027241628045217448,1D-CNN
S54,0.360778713775492,0.08839354002060157,0.12775778668569626,0.14665777695849758,0.2516661140261547,0.024746068533558045,1D-CNN
S55,0.04454700181830696,0.031127573398291856,0.027154346180496284,0.054050600248832764,0.8381873864788334,0.004933091875237,CNN-LSTM
S56,0.212155379162863,0.18270876219450988,0.10854021907237305,0.19096089006866018,0.27098411285473084,0.03465063664686231,CNN-LSTM
S57,0.2173932542024571,0.12400613351247605,0.16999203003747765,0.21389450744114857,0.23311366444063736,0.04160041036580311,CNN-LSTM
S58,0.25377460439343025,0.13961617084038436,0.191022756960171,0.1976043479905273,0.1848626385461744,0.033119481269312794,1D-CNN
