Segment,LSTM,1D-CNN,ANN,BiLSTM,Selected
S1,0.3788478353797504,0.3012082796418721,0.2720974592800831,0.04784642569829463,LSTM
S2,0.3476278439468096,0.30827439776181864,0.3023201173066465,0.041777640984724834,LSTM
S3,0.35427927268694953,0.28205391346771735,0.32569245620535575,0.037974357639977606,LSTM
S4,0.2987549969720353,0.3197464451189756,0.33971819392496033,0.041780363984028596,ANN
S5,0.33641286332690346,0.32706613201802975,0.2867527960785862,0.04976820857648119,LSTM
S6,0.3119158652251872,0.3336288925605065,0.3137432941202619,0.04071194809404424,1D-CNN
S7,0.379171215507227,0.26285873817568756,0.31815695841832164,0.0398130878987631,LSTM
S8,0.36817386399881485,0.26027971688196094,0.32413536420349215,0.047411054915731506,LSTM
S9,0.3750725441180053,0.2880740000505106,0.2808727881785553,0.05598066765292877,LSTM
S10,0.298586806048038,0.30200244366859447,0.35382378793111385,0.04558696235225342,ANN
S11,0.30723394501061996,0.285221057451621,0.36399076407678604,0.043554233460972744,ANN
S12,0.32502472306449526,0.2638937335624844,0.3719149926378599,0.03916655073515969,ANN
S13,0.37486422007852194,0.24080150711881618,0.34676003274035216,0.03757424006230957,LSTM
S14,0.2960403852453721,0.24950371750650346,0.4242721640221076,0.030183733226017532,ANN
S15,0.2101982398360806,0.40155210172891437,0.36362138652181486,0.02462827191319084,1D-CNN
S16,0.19696044171813568,0.35938696201872167,0.416197765525697,0.027454830737445972,ANN
S17,0.26666659773108675,0.3208065778807535,0.37251939642357346,0.040007427964585895,ANN
S18,0.27559989560909415,0.32596179434079403,0.35576223451587785,0.04267607553423369,ANN
S19,0.2942319281171351,0.34314409647829247,0.32742998266749096,0.035193992737081924,1D-CNN
S20,0.38302522790542715,0.2906136060698567,0.2906357246000801,0.035725441424636586,LSTM
S21,0.24640281146331167,0.3252094239578417,0.4039076042088512,0.024480160369995507,ANN
S22,0.20772740490160319,0.3833377221740129,0.38699632907558257,0.021938543848800136,ANN
S23,0.23670323477988578,0.23940785352436672,0.4970843899891884,0.02680452170655882,ANN
S24,0.32769634442727597,0.2906302516426345,0.34777560972918553,0.03389779420090302,ANN
S25,0.36753822041155493,0.2974197265823607,0.2793170519656741,0.055725001040410706,LSTM
S26,0.35928895164908276,0.3224883439210554,0.265968631093775,0.05225407333608663,LSTM
S27,0.3313562837593353,0.2575187597533039,0.36053699081360285,0.050587965673757895,ANN
S28,0.28159787637720357,0.3488899512702773,0.32789576418555966,0.04161640816695987,1D-CNN
S29,0.6705345885707892,0.16584127393177087,0.1423237254406971,0.021300412056742827,LSTM
S30,0.49841555373073193,0.1505787381338772,0.32609620462246575,0.024909503512925462,LSTM
S31,0.36160557397738513,0.33803365205471414,0.2643073426333564,0.036053431334544216,LSTM
S32,0.4221776310908704,0.3017074209434046,0.22816708491328955,0.047947863052435646,LSTM
S33,0.42332158818221927,0.2756179147229454,0.25065527018877326,0.050405226906062126,LSTM
S34,0.3548591252199397,0.31730090415780005,0.2784450750924044,0.049394895529856736,LSTM
S35,0.33953922773233,0.295764210945425,0.31080948451347257,0.05388707680877242,LSTM
