Segment,1D-CNN,LSTM,BiLSTM,CNN-LSTM,GRU,ANN,Selected
S1,0.1445397992674602,0.1948125980643544,0.24183632692245022,0.24334815601310444,0.16123295041554006,0.014230169317090773,CNN-LSTM
S2,0.23764323954155292,0.19317759716027608,0.17702493021774784,0.2168687632164289,0.15189990395163544,0.0233855659123598,1D-CNN
S3,0.1255262768026592,0.2742381055275947,0.20115644734507487,0.2324936429297516,0.13322231171818816,0.03336321567673119,LSTM
S4,0.1963020871197014,0.23661576215382837,0.17980414961036204,0.17893626577525396,0.17292116475735825,0.03542057058349675,LSTM
S5,0.14069763135611824,0.22589285647278423,0.196972753499941,0.1706190206675167,0.23782807118661067,0.027989666817029392,GRU
S6,0.12879738168388566,0.2540443385459731,0.21514896959698457,0.16396974696841035,0.21289996164950317,0.025139601555243127,LSTM
S7,0.1323979694140196,0.2588032975686939,0.23443243780149398,0.1709847812539948,0.18586731916627844,0.017514194795518797,LSTM
S8,0.1673194237095997,0.18732459571360816,0.21761060208295582,0.1686427524602632,0.22472172570502627,0.03438090032854753,GRU
S9,0.2504072228816669,0.14215808700096016,0.1835685411981231,0.1514624974203909,0.23241360417841886,0.03999004732044095,1D-CNN
S10,0.20301557855550487,0.13282528649403125,0.17009064125461607,0.1676957153164709,0.2886479590375481,0.03772481934182861,GRU
S11,0.2103565778610125,0.15358833827147605,0.16844760258618816,0.1753514925513675,0.2613939638124583,0.03086202491749855,GRU
S12,0.1808222488260601,0.17841152184487447,0.19343336430361788,0.17797142015006645,0.24515452637529472,0.02420691850008577,GRU
S13,0.14777870446253405,0.1783730884945611,0.19368418709417462,0.1805210985117226,0.2774313926195608,0.022211528817445713,GRU
S14,0.1355768870056108,0.22671240791249267,0.21077133405183393,0.18586182700046455,0.2188331112442071,0.022244432785392194,LSTM
S15,0.21116216585244005,0.16318564571680197,0.18093359100895437,0.14722474825681442,0.25315374114695477,0.0443401080180326,GRU
S16,0.22254313135460646,0.10552491345724906,0.16724250858717493,0.1371990022989902,0.345469088568556,0.022021355733422832,GRU
S17,0.2185805113879973,0.13206699824188955,0.22463261748760366,0.2533127745613938,0.13452068117293647,0.03688641714817976,CNN-LSTM
S18,0.23632048258656782,0.25785059808384786,0.17457972121853646,0.21741988644023072,0.08632136902010092,0.027507942650717522,LSTM
S19,0.18174699248609177,0.3330030166456557,0.17634645274221253,0.203436302750693,0.0819384251772136,0.023528810198134707,LSTM
S20,0.2822290938421837,0.2080742725140959,0.15511851000208415,0.1757694457162726,0.13974924027139712,0.03905943765396658,1D-CNN
S21,0.19522046085165903,0.2179606821706489,0.1583767360917268,0.18059507271692804,0.21357725275948222,0.03426979540955594,LSTM
S22,0.19066121682101947,0.24856020455669334,0.16046826246845988,0.1478289126866594,0.22826420597058464,0.02421719749658253,LSTM
S23,0.0372728488193016,0.3841706978448012,0.28851571727436465,0.10928034629137645,0.17238604578445624,0.008374343985700448,LSTM
S24,0.0911910685723716,0.20230571830090618,0.2891119022711412,0.12304773355966982,0.24298439865045707,0.051359178645454744,BiLSTM
S25,0.3850077134740409,0.06847494330926675,0.1374745324430472,0.05936645077288776,0.3189035193410515,0.030772840659706462,1D-CNN
S26,0.1814389034900751,0.06175356633829421,0.42579001910410985,0.09378481520989224,0.19856694529708427,0.038665750560545144,BiLSTM
S27,0.21800752131419554,0.10606010929953254,0.17367148977153316,0.3609553892045411,0.12399792332461242,0.01730756708558718,CNN-LSTM
S28,0.21143835600041222,0.22281401704666945,0.19859635778117973,0.17789152420824528,0.16882739505133584,0.02043234991215734,LSTM
S29,0.17721151649106381,0.22192398721767168,0.24453629872184574,0.22579381466813947,0.1114549950859261,0.019079387815353954,BiLSTM
S30,0.2466051358004539,0.1971251288710425,0.16056094081834868,0.23115617975928426,0.13805237274663965,0.026500242004231282,1D-CNN
S31,0.19871115746770443,0.21385313421711497,0.20011017605600734,0.2301945869699611,0.1330857993622224,0.024045145926989885,CNN-LSTM
S32,0.18669668870721903,0.20363903611979278,0.20497008990159493,0.22357259092155593,0.15409525045158437,0.027026343898255076,CNN-LSTM
S33,0.21499534177269994,0.1815456368430097,0.18682868517740953,0.19120065091920685,0.20012002522914102,0.025309660058531948,1D-CNN
S34,0.19218350799251255,0.21110407492894,0.18177445167844503,0.19790278995459132,0.19438177676305107,0.022653398682460118,LSTM
S35,0.18765196248592467,0.21614459292631272,0.18422531881443877,0.1785223740924491,0.20364022797506812,0.029815523705806972,LSTM
S36,0.1650180762586739,0.21754614410945453,0.20041836144074293,0.17369073724197945,0.21524505208489816,0.028081628864250828,LSTM
S37,0.10348912679806657,0.2790307114877109,0.2363617395673727,0.18011902474487618,0.18205693879053722,0.018942458611437604,LSTM
S38,0.22274265458961415,0.19241513338133728,0.1915578846151083,0.18432969162210983,0.17645016849142453,0.03250446730040598,1D-CNN
S39,0.2024015212804658,0.18598249235710024,0.1927785360641824,0.2002744408750067,0.18998088796971638,0.028582121453527853,1D-CNN
S40,0.19446419082769958,0.1923770598555724,0.19844069005539353,0.19850878179494733,0.1883800704509439,0.02782920701544465,CNN-LSTM
S41,0.19615472389631722,0.18936118438434155,0.19501332922491543,0.20389850822187944,0.18848037049169677,0.027091883780849306,CNN-LSTM
S42,0.20738036567261944,0.20254596202766306,0.1894636949977986,0.19376371336504014,0.17888343006198656,0.0279628338748914,1D-CNN
S43,0.1979879277557071,0.21732559622112232,0.20246892257039314,0.18837309453019396,0.166055080136744,0.027789378785838877,LSTM
S44,0.17306231060069355,0.19970930499581918,0.20848520671829116,0.18937768888906867,0.21596111909162546,0.013404369704502034,GRU
S45,0.013891864706482737,0.5825576729520123,0.21402520546523462,0.12914512316700744,0.05850878512683122,0.0018713485824321746,LSTM
S46,0.29574710999615517,0.18344753021774518,0.15148752331554013,0.11246758502557284,0.16870842658431026,0.08814182486067641,1D-CNN
S47,0.12072500632873616,0.17322469348814426,0.19897885423217895,0.14684942354742708,0.3312699444855272,0.02895207791798571,GRU
S48,0.13661565896045472,0.15764418842699215,0.22925665144924554,0.17108595166666968,0.2924143840275918,0.012983165469045791,GRU
S49,0.1308773731717758,0.18378689357562922,0.20906426676338902,0.24346060308344658,0.2160380695117702,0.016772793893988096,CNN-LSTM
S50,0.36267844373241687,0.14504622811065748,0.1508346645640482,0.1708028398124679,0.14340454194882624,0.027233281831583096,1D-CNN
S51,0.2312059633207232,0.20157166420888237,0.18673690269983967,0.21767178213810076,0.12604852743864733,0.03676516019380628,1D-CNN
S52,0.3171171047530687,0.19103579789070813,0.1643700398272946,0.16944450125317306,0.10903301556445362,0.04899954071130277,1D-CNN
S53,0.21568552112327513,0.22217983926316395,0.20279587003551972,0.19102829996894255,0.13459926845705858,0.033711201152039065,LSTM
S54,0.563402557015071,0.1057031913989597,0.11028949766436762,0.10474910187631666,0.08549574458644421,0.03035990745884006,1D-CNN
S55,0.31555383418949956,0.12494039637388116,0.15625709884584482,0.1604541735089228,0.18746375577826715,0.05533074130358454,1D-CNN
S56,0.14158746119304824,0.13662719333516124,0.16383729411915912,0.21605595432463234,0.31959959313542374,0.0222925038925748,GRU
S57,0.18217919088515402,0.18862257605874674,0.16504274470406777,0.18555977080460206,0.24917329920411643,0.029422418343313494,GRU
S58,0.15060634835041098,0.24116649749574265,0.2156850326607439,0.1621955503875821,0.19874180842155584,0.031604762683964414,LSTM
S59,0.09043412307424742,0.3191630151481322,0.237626911433785,0.1672466726235786,0.17034838871823618,0.015180889002021875,LSTM
S60,0.1584003556731805,0.27530307075982846,0.21165429918594889,0.1581178597911346,0.17598358115059803,0.020540833439309614,LSTM
S61,0.3641326716313985,0.13505912011949173,0.1498064440224286,0.11808471842249992,0.18618838097509507,0.04672866482908536,1D-CNN
S62,0.3862802418426738,0.10922055208274707,0.12437035310213843,0.11909680659904534,0.22878522396215306,0.03224682241124215,1D-CNN
S63,0.23999716025151857,0.12184396670272496,0.13786597537069065,0.1494314296244913,0.3147687462106504,0.03609272183992463,GRU
S64,0.21932126686791398,0.11725697622635298,0.14613458596507004,0.15690964694914208,0.3288460808026133,0.03153144318890812,GRU
S65,0.16723771677269272,0.13177145817763058,0.1460999267365259,0.17937456930737622,0.36058056397146154,0.01493576503431313,GRU
S66,0.1553590690716979,0.19373957040897355,0.19137205405899155,0.20706759702903235,0.23079169965943427,0.021670009771870488,GRU
S67,0.2102572260947292,0.20728865669312677,0.19116813882376246,0.1876159639187468,0.1739468852242092,0.029723129245425126,1D-CNN
S68,0.19840482213293095,0.20532237399312986,0.20946879533846527,0.1976115349300554,0.1536757775166558,0.035516696088763434,BiLSTM
S69,0.21105461596443112,0.2079667366310763,0.19665458065487607,0.20167332739918797,0.14360767130833973,0.03904306804208836,1D-CNN
S70,0.22916391745126793,0.21580187675369225,0.18840462934923285,0.19305385729952224,0.1330963997143888,0.04047931943189755,1D-CNN
S71,0.22324129115637975,0.2204126385377892,0.19058425491457998,0.18907018456090288,0.14043042991568466,0.036261200914664594,1D-CNN
S72,0.3435905899399511,0.11653431402995597,0.12342874684993208,0.12785129199516268,0.14922803964746173,0.1393670175375366,1D-CNN
S73,0.06371889780145293,0.09470920736818982,0.1565767631549254,0.17468845845625738,0.4963777192138585,0.01392895400531504,GRU
S74,0.1965091711086107,0.21219026369655952,0.18144073571081662,0.18343751740539035,0.1978441197042236,0.02857819237439924,LSTM
S75,0.15779924009321208,0.17606604682341076,0.1720049644138438,0.29555801297521656,0.17441690352594055,0.024154832168375582,CNN-LSTM
S76,0.17831113109284813,0.17722347731951588,0.21997496326331528,0.20450482395510344,0.18835000187962653,0.03163560248959147,BiLSTM
S77,0.16450792432895495,0.19818586066536623,0.2553421226988901,0.16124082542009172,0.2054627495715201,0.015260517315176882,BiLSTM
S78,0.23031849715493213,0.1782159035519746,0.16161244267051714,0.21237468238033502,0.1885554136258603,0.028923060616380374,1D-CNN
S79,0.15718699595090355,0.22867012868252523,0.19332194065706138,0.22916466111687855,0.16731585718762518,0.02434041640500657,CNN-LSTM
S80,0.1783454425202949,0.2155706406282598,0.21572338303771046,0.2037694993418029,0.15489405749949828,0.031696976972433406,BiLSTM
S81,0.21668534977863751,0.17668571724790638,0.19328144336765957,0.18697325019373556,0.19772585638767262,0.028648383024388626,1D-CNN
S82,0.18395632084149666,0.1889260618985598,0.18500368860150854,0.20151864023131688,0.21072335858925106,0.029871929837866504,GRU
S83,0.14845034596885864,0.21569768971244632,0.2069147082976913,0.21182481765332292,0.192409584972488,0.024702853395192084,LSTM
S84,0.16144752308931876,0.1919334877048674,0.21639162184953858,0.18848661205855483,0.22405035471183626,0.017690400585883826,GRU
S85,0.027743192777990828,0.4428846674819408,0.24040052296096345,0.1762677010370938,0.11022669968690131,0.002477216055111101,LSTM
S86,0.23077892905856434,0.28222308177602967,0.18560719481901963,0.13716151337497237,0.14248353269715247,0.021745748274262008,LSTM
S87,0.3453558740038385,0.14797867724589028,0.14420291667644267,0.12342905584894708,0.19235558343537357,0.04667789278950806,1D-CNN
