,1D-CNN,ANN,BiLSTM,LSTM,CNN-LSTM,GRU,Selected
S1,0.19468776954019673,0.10872185226454896,0.19702784796740053,0.19782860676237576,0.1978071211589931,0.10392680230648486,LSTM
S2,0.10986396363467826,0.073390557307545,0.3383184679148782,0.31549058204050034,0.1422412529825334,0.020695176119864576,BiLSTM
S3,0.1377027645204594,0.23175438684963334,0.17501750638398533,0.186597730767554,0.2227291149790004,0.046198496499367823,ANN
S4,0.17069877614139736,0.23259103298974443,0.15606244743961248,0.228024079903329,0.15130873504554318,0.06131492848037358,ANN
S5,0.24036454628495263,0.15405244761929204,0.171005832405774,0.23526881671768965,0.11880947752372584,0.08049887944856558,1D-CNN
S6,0.1265640329474298,0.1417347891216203,0.23699111413074808,0.2463388026228743,0.18574853441990177,0.06262272675742561,LSTM
S7,0.09439559276616065,0.21420046198952922,0.38378362681023936,0.1932901338130591,0.07287442699098223,0.041455757630028886,BiLSTM
S8,0.12177605350430856,0.1630015927266206,0.1781867655088271,0.3577588275508995,0.1115399468250739,0.06773681388426987,LSTM
S9,0.22120346364855076,0.1845025804100799,0.13581282084536672,0.23513976445465315,0.16915932825225038,0.05418204238909867,LSTM
S10,0.15966171121327996,0.23762050217687092,0.1852888659175273,0.0638848075671509,0.2811002013939669,0.07244391173120411,CNN-LSTM
S11,0.2539689784969279,0.21744829108630342,0.13816527422262484,0.14438709098361,0.17063312472827855,0.07539724048225532,1D-CNN
S12,0.18515249609880924,0.16854168437047962,0.19970503583925933,0.21393354077758986,0.1678916392682714,0.0647756036455909,LSTM
S13,0.012141114806285222,0.9370704585401193,0.017385638510807887,0.015716763167214032,0.01186964402904019,0.005816380946534122,ANN
S14,0.3844280867398621,0.10236691615070449,0.14166409010626008,0.2167460378384252,0.12354768632290254,0.031247182841845432,1D-CNN
S15,0.18575526117552257,0.24240495397174838,0.1833936867501759,0.15442160999218363,0.15028296663809954,0.08374152147226978,ANN
S16,0.23148839388643838,0.18132551658076765,0.18051692318995738,0.14775210639178826,0.1688786296726579,0.09003843027839027,1D-CNN
S17,0.19153278164519147,0.20406829548541,0.19400712872934522,0.16861022666312206,0.1959974024728926,0.04578416500403861,ANN
S18,0.18448202295548474,0.18287797842774353,0.1956509171879308,0.20753497213536776,0.19712412057815015,0.03232998871532376,LSTM
S19,0.15738202580367996,0.15213010046143652,0.16436152943406154,0.2698171779480437,0.18077475254626715,0.07553441380651095,LSTM
S20,0.26475510670021296,0.21974343013437025,0.13360430520272068,0.15455712445954037,0.17445123355777692,0.05288879994537906,1D-CNN
S21,0.1685897656920752,0.24264105458215265,0.15921695154452495,0.1934612411333255,0.18296132212405933,0.05312966492386234,ANN
S22,0.1577612033926403,0.14807045493361515,0.14486630193797728,0.34798422868495255,0.13318011108707356,0.0681376999637409,LSTM
S23,0.13570021065676977,0.08536053986261476,0.3644979167640628,0.24785355916695384,0.10614076866822958,0.06044700488136972,BiLSTM
S24,0.09821646415420082,0.2726068091358616,0.3003040710965722,0.1574099845439987,0.1120215480576002,0.059441123011766454,BiLSTM
S25,0.16373343041930086,0.12783386782643327,0.13895208910890694,0.4436743854492755,0.07790060932096753,0.04790561787511564,LSTM
S26,0.19749269383834533,0.1986402932258174,0.24430518611159038,0.19383610958782202,0.09363892691514862,0.07208679032127593,BiLSTM
