Segment,RMSE,MAE,Pearson's r,R²,Max Error,MAPE
S1,3.956941,3.671944,-0.087426,-0.031864,5.419567,1.087892
S2,4.034989,3.698735,-0.204834,-0.075673,5.732142,1.159024
S3,4.234476,3.964156,-0.27237,-0.222814,6.283279,1.267403
S4,4.005677,3.71177,0.460483,-0.047752,6.057568,1.367765
S5,4.295467,3.864051,-0.000518,-0.093561,7.245177,2719114815709432.5
S6,4.801529,4.369354,-0.540787,-0.268154,7.888794,2960664293353539.5
S7,4.796807,4.220281,-0.322282,-0.48302,7.263126,2725851112382069.5
S8,4.296303,3.635269,-0.005146,-0.190789,8.084278,3034029282363292.5
S9,4.321075,3.566033,-0.336306,-0.235445,7.404068,2778746678135470.0
S10,4.629216,4.013257,-0.372701,-0.204533,7.226775,5365696006900323.0
S11,4.941988,4.205962,0.572447,-0.532305,7.836063,8288284429554272.0
S12,5.72906,5.03455,0.635007,-1.321271,8.204669,1.1672668580299072e+16
S13,6.636092,5.908765,0.301587,-3.240285,8.871359,1.5418739444217782e+16
S14,6.680194,6.041674,-0.198191,-3.651802,8.947584,1.5483459323382834e+16
S15,6.301009,5.53125,-0.205326,-2.8382,8.903701,1.5092110476923182e+16
S16,5.601486,4.833953,0.102562,-1.950107,8.056397,1.430707838066703e+16
S17,4.78815,4.129399,0.376855,-0.753265,7.540795,1.0704105416728346e+16
S18,4.464656,3.941615,0.186682,-0.57731,7.42924,1.0110633968152394e+16
S19,4.718721,4.208653,-0.024408,-0.949161,7.239692,1.0450347731334352e+16
S20,5.112105,4.491488,0.381988,-1.874744,7.941315,1.1443518450679038e+16
S21,4.775659,4.247865,0.512914,-1.531134,7.408347,1.0575566641033692e+16
S22,4.063977,3.614892,0.38876,-1.115409,6.615528,6903032540920527.0
S23,3.290458,2.866332,0.348792,-0.702153,5.845777,3864003137070946.5
S24,2.567707,2.180262,0.237395,-0.352223,4.342001,1472381904724575.2
S25,2.10409,1.725521,-0.160553,-0.636209,4.890102,0.33629
S26,2.053076,1.610949,-0.330605,-0.556992,4.426593,0.316288
S27,1.892868,1.546563,0.212882,-0.02549,3.73672,0.296102
S28,2.23635,1.943424,-0.131478,-0.312978,4.130733,0.400602
S29,2.540646,2.316322,-0.352478,-1.973838,3.870764,0.513881
S30,2.774772,2.50557,0.005977,-0.549449,4.212874,0.523182
S31,3.37001,2.738542,-0.149331,-0.066194,7.95749,0.473397
S32,3.323905,2.622724,-0.180286,-0.0651,7.607783,0.398593
S33,3.385299,2.602081,-0.221043,-0.0687,8.543069,0.409133
S34,3.721251,3.077065,0.188798,0.022342,7.363358,2426338506093852.5
S35,4.174233,3.254218,0.013885,-0.023203,7.943645,5345048653928692.0
S36,4.700083,3.930028,0.054624,-0.099864,7.74199,8159320288874813.0
S37,5.380332,4.544801,-0.444003,-0.277085,8.08654,1.161152673597797e+16
S38,7.137358,6.005505,-0.240807,-0.041894,15.89895,1.1732623801178354e+16
S39,10.211751,7.898663,0.135844,-0.000327,25.761517,1.1852536006846774e+16
S40,10.415322,8.169782,0.112054,-0.000154,25.360089,1.469048753110361e+16
S41,10.726254,8.645604,-0.153392,-0.01149,26.618776,1.7023664725425666e+16
S42,10.563498,8.451025,0.173719,0.012789,25.488632,1.773589181775573e+16
S43,10.651017,8.849672,0.012743,-0.024705,25.061814,1.9369441940665188e+16
S44,10.942251,9.317504,-0.20036,-0.078397,24.250757,2.0975847967900556e+16
S45,11.005674,9.317055,-0.562424,-0.084855,25.55643,2.01848055177017e+16
S46,10.573792,8.429825,-0.391296,-0.030407,26.289917,1.4805081248322086e+16
S47,10.322342,7.871,-0.105349,-0.019042,26.581156,1.0367891963766772e+16
S48,10.184167,7.172586,-0.098723,-0.043226,27.146061,6552925032748552.0
S49,10.581223,7.056935,-0.313634,-0.16988,27.903142,4410712885055979.5
S50,8.985774,6.754839,-0.044199,-0.007071,24.743029,6879354640699645.0
S51,7.865946,6.816413,-0.650864,-1.28478,14.75821,1.076510993879081e+16
S52,6.087214,5.584616,-0.562708,-0.392974,11.80691,4431132956366416.0
S53,5.032768,4.788101,0.133843,0.004329,7.634357,0.732192
S54,5.406665,5.125444,-0.080273,-0.115575,7.971515,0.713327
S55,5.782637,5.283044,-0.754472,-0.278208,9.190966,0.78643
S56,5.630264,4.96715,-0.687037,-0.308549,8.546785,0.660965
S57,5.348958,4.633034,-0.301492,-0.320004,9.313534,0.480872
S58,5.730051,4.887862,-0.356267,-0.251594,9.115311,2.637951
S59,5.756015,4.903799,-0.454186,-0.336005,8.663618,2.719864
S60,5.820787,5.209472,-0.623947,-0.348121,9.280794,2.664439
S61,5.504947,4.984606,-0.611251,-0.201061,9.732582,3.175004
S62,5.458737,4.712595,0.310006,-0.034858,9.938417,3729887591487720.0
S63,5.039948,4.334542,0.78083,0.182871,9.522945,5801645013779742.0
S64,5.648268,5.20418,0.946934,-0.101917,8.779131,9232590529992038.0
S65,6.86617,6.283538,0.792127,-1.521207,10.468448,1.0340506437622664e+16
S66,7.809659,7.408084,0.125188,-2.231584,11.934804,1.0953990156562794e+16
S67,8.013675,7.596689,-0.204937,-0.833217,11.260946,1.1185240239629074e+16
S68,7.86998,7.468482,-0.390424,-0.534659,11.367817,1.0839006502676586e+16
S69,7.311613,6.599779,-0.216454,-0.294469,10.395576,1.048173031473775e+16
S70,6.180494,5.268209,0.525467,0.023782,9.556466,9925040740098446.0
S71,6.230359,5.384585,0.541203,0.088325,9.827414,9636993135031614.0
S72,6.297372,5.459993,0.377072,0.064345,10.689573,9850534313763136.0
S73,6.370707,5.631982,0.209952,0.031829,10.332553,9040951219438342.0
S74,5.881607,5.013837,0.224671,0.030432,12.225096,4964617508745706.0
S75,6.120818,5.091936,0.337952,-0.146317,12.719715,1794635287211211.0
S76,6.470406,5.071028,0.107485,-0.827175,13.327281,0.47578
S77,7.181781,5.836188,-0.5646,-1.732578,13.827718,0.468982
S78,6.308682,5.159367,-0.256485,-0.962203,12.492221,0.411499
S79,6.91282,4.569739,-0.110628,-0.483268,18.898703,0.310689
S80,7.09445,5.048182,-0.232518,-0.510506,17.768621,0.374687
S81,7.236491,5.036374,-0.331825,-0.45731,18.66421,0.383349
S82,6.969157,5.501737,-0.152436,-0.219082,17.288413,0.49665
S83,6.595501,5.144442,0.071997,-0.051255,16.790394,0.493099
S84,6.728142,5.512399,0.160743,0.005969,16.039858,0.610949
S85,6.77434,5.207263,0.172831,-0.007729,17.38911,0.569828
S86,7.179225,5.91505,0.278375,0.041924,17.214957,3245322038980851.5
S87,7.089656,6.283144,0.393895,0.033105,14.886468,3558051997105458.0
S88,7.121806,6.202502,0.546878,0.028593,15.068394,3548811736570000.5
S89,7.448516,6.51708,0.466097,0.058842,15.291748,3993493035476905.5
S90,7.534905,6.741771,0.482863,0.059254,14.086145,4182444184943016.5
S91,7.844176,7.077413,-0.266023,-0.327253,11.972708,4493356940617980.5
S92,8.193773,7.557363,-0.509797,-0.577028,10.359315,3887850597817800.5
S93,7.905459,7.243955,-0.381062,-0.324105,10.996683,4127054788425957.0
S94,7.585877,6.963533,-0.376137,-0.186105,11.28109,4233792726694420.5
S95,7.611807,7.043731,-0.372181,-0.130549,10.098229,3789865030125162.0
S96,7.765143,7.070192,-0.623131,-0.132069,10.916898,3636488189415619.5
S97,7.829951,7.392117,-0.372273,-0.126949,10.191032,3233913295224815.5
S98,7.437163,6.669913,-0.285065,-0.127998,12.065712,2.173672
S99,7.563528,6.735936,-0.53264,-0.227158,12.157335,2.059382
S100,7.327455,6.594159,-0.469375,-0.136217,12.230896,2.030256
S101,6.661763,6.112556,0.264125,-0.212297,9.027742,2.404875
S102,6.807561,6.241032,0.635928,-0.752374,10.3223,2.785601
S103,7.210245,6.515294,0.238339,-4.762397,12.573837,3.234685
S104,7.59171,6.849391,-0.487265,-11.459361,13.047269,3.447533
S105,5.949594,5.374064,-0.4108,-7.660569,9.134838,2.057855
S106,5.063043,4.541144,-0.188993,-4.950341,8.662893,1.735716
S107,4.376473,4.011072,-0.01611,-3.83505,7.057125,1.405526
S108,3.567104,3.306352,0.073062,-3.058766,5.928578,0.857816
S109,3.440211,3.300666,-0.103656,-2.935271,4.56486,0.797547
S110,4.11255,3.867833,-0.02339,-11.805518,5.968473,0.979682
