Segment,RMSE,MAE,Pearson's r,R²,Max Error,MAPE
S1,3.807168,3.543103,0.310217,0.044772,5.300019,0.860541
S2,3.765047,3.326565,0.307725,0.063438,6.530503,0.855398
S3,3.621309,3.157508,0.364256,0.105681,6.48203,0.888675
S4,3.592977,3.270202,0.486773,0.157024,6.219396,1.0201
S5,4.085061,3.477053,0.151399,0.010947,7.10046,2238782309082322.0
S6,4.690747,4.027218,-0.243189,-0.21031,7.927866,2559084919860365.5
S7,4.405797,3.751222,-0.324667,-0.251098,7.446738,2794760540160477.5
S8,4.469125,3.843439,-0.584402,-0.288516,7.091813,2661557048561783.5
S9,4.465323,3.852341,-0.505324,-0.319306,7.359542,2327737521512134.5
S10,4.793908,4.211383,-0.479568,-0.291764,7.684839,4375447598293843.5
S11,4.64123,4.059662,-0.329318,-0.351475,6.804679,7162892866519588.0
S12,4.941993,4.233579,0.128782,-0.727283,7.870197,1.020089045816454e+16
S13,5.542254,4.833959,0.46494,-1.957625,8.190208,1.3570485500802998e+16
S14,5.901572,5.248034,-0.093149,-2.630601,8.30973,1.4586013252127854e+16
S15,5.852594,5.212689,-0.477614,-2.311343,8.308283,1.4453077612116998e+16
S16,5.190603,4.638244,-0.181468,-1.533185,8.09699,1.3364937836110086e+16
S17,4.410185,4.006125,0.012477,-0.487393,6.92011,9517068244224242.0
S18,3.969504,3.461849,0.054859,-0.246849,6.301907,7971769271002853.0
S19,3.610441,3.078765,0.307839,-0.14109,6.290848,7341380540261451.0
S20,3.367441,2.971355,0.835888,-0.247382,5.482116,7516290404339344.0
S21,3.347226,2.92691,0.731864,-0.243422,5.050668,7267159492022528.0
S22,2.774623,2.384032,0.548217,0.013948,4.330284,4556352166305731.0
S23,2.308757,2.039116,0.451429,0.162003,4.171643,2289134354356174.0
S24,2.549084,2.093477,0.040554,-0.332679,6.34596,844079353920561.4
S25,2.757583,2.176991,-0.428214,-1.810395,6.967787,0.375717
S26,2.806265,2.142465,-0.42581,-1.908931,6.815422,0.356257
S27,2.636648,1.833467,-0.167255,-0.989735,6.711733,0.279439
S28,2.187879,1.454845,0.114454,-0.25668,5.969217,0.227984
S29,1.299957,0.960921,0.489734,0.221449,2.518161,0.206328
S30,2.433705,1.666369,-0.139189,-0.191951,6.750345,0.294834
S31,3.559912,2.382439,-0.192834,-0.189741,9.980543,0.328121
S32,3.280881,2.311793,0.415912,-0.037706,8.454851,0.291976
S33,3.049228,2.271432,0.703951,0.132955,7.824659,0.304051
S34,3.654568,2.992834,0.362982,0.057066,7.774189,2044324082931867.2
S35,4.268892,3.55372,0.030201,-0.070136,8.441556,4627388569128153.0
S36,4.70116,4.010515,-0.106865,-0.100369,8.249101,7414903755738113.0
S37,5.169138,4.560092,-0.307141,-0.178794,8.002096,1.013827927693501e+16
S38,7.520145,6.07789,-0.516475,-0.156647,18.058767,1.0490975867002764e+16
S39,10.856704,8.137459,-0.450352,-0.130674,27.892749,1.0718250322437992e+16
S40,10.57705,8.14224,0.120508,-0.031456,26.700374,1.2657233596295798e+16
S41,10.604429,8.522419,0.293481,0.011355,26.145366,1.4652797656422088e+16
S42,10.572567,8.229361,0.169115,0.011093,26.061026,1.567682929221333e+16
S43,10.497772,8.361429,0.074656,0.004569,25.85452,1.73702170169918e+16
S44,10.455392,8.681087,0.312939,0.015431,24.912877,1.8325564967935956e+16
S45,10.48311,8.621476,0.318778,0.01572,25.015478,1.769867868662476e+16
S46,10.564036,8.097023,-0.11552,-0.028506,27.046022,1.2584484999955042e+16
S47,10.680888,7.532613,-0.217481,-0.091064,28.179971,8000936421159552.0
S48,10.890174,6.894416,-0.324054,-0.192881,29.577902,4503667106304913.0
S49,11.526423,7.267368,-0.493292,-0.388221,30.701042,2809291404358187.5
S50,9.624768,6.344978,-0.282557,-0.155392,29.024554,3820435689575733.5
S51,6.525784,5.948476,-0.674713,-0.572562,11.584299,8188105571313107.0
S52,6.363879,5.749793,-0.667581,-0.522473,12.985927,4873617999855039.0
S53,5.161905,4.901418,-0.198865,-0.047422,8.686399,0.748051
S54,5.251419,4.920767,0.644356,-0.05243,8.228234,0.614606
S55,4.904175,4.371547,0.964476,0.080649,7.759203,0.571406
S56,4.884995,4.251376,0.749585,0.014944,7.851725,0.51255
