Segment,RMSE,MAE,Pearson's r,R²,Max Error,MAPE
S1,4.089813,3.874965,-0.016663,-0.102326,6.120805,1.211048
S2,4.024248,3.747672,0.337648,-0.069954,6.46259,1.245286
S3,4.487487,4.038102,0.493397,-0.373307,7.138966,1.426681
S4,4.141305,3.765402,0.350602,-0.119905,7.194335,1.480067
S5,4.567683,4.086951,-0.178593,-0.236557,8.007405,3005178847850388.5
S6,4.851642,4.427058,-0.278038,-0.294763,7.816968,2933707660013941.0
S7,5.17578,4.441546,0.246951,-0.726609,8.807278,3305371159912366.0
S8,4.44321,3.586172,0.012711,-0.273616,8.684854,3259425436513931.5
S9,4.563664,3.740091,-0.472742,-0.378057,7.700343,2889938376195427.5
S10,5.133775,4.465516,-0.598429,-0.481417,8.096725,5944682452934769.0
S11,6.027011,5.09719,-0.022381,-1.279009,8.851109,9791335247261290.0
S12,7.033305,6.14,0.18218,-2.498469,10.170028,1.418661917529387e+16
S13,7.960778,7.298956,0.180295,-5.102127,10.371895,1.8409110494023372e+16
S14,7.485098,6.82569,0.145491,-4.840339,9.633473,1.7637115830798496e+16
S15,6.788358,6.032598,0.310153,-3.454889,9.230235,1.6484307929492246e+16
S16,5.549543,4.872894,0.190126,-1.895648,8.526257,1.4153702140437434e+16
S17,4.5767,4.04204,0.116302,-0.601832,7.181766,1.0330777423937642e+16
S18,4.414182,3.963794,-0.142227,-0.541849,6.772316,9491251359360342.0
S19,4.944792,4.429434,0.026511,-1.140401,7.883826,1.107610372172907e+16
S20,5.686553,5.066624,0.49516,-2.557114,9.038916,1.2549913492715502e+16
S21,4.762503,4.298409,0.686397,-1.517207,7.54079,1.033912101778729e+16
S22,3.537847,3.146843,0.603902,-0.603135,6.547021,5945452906241021.0
S23,2.784643,2.519945,0.522925,-0.21906,4.110848,2823453311156425.5
S24,2.250117,1.872446,0.389706,-0.038407,4.175975,1073051779005297.9
S25,2.310757,1.864242,-0.198338,-0.973416,5.079972,0.362721
S26,2.354837,2.00305,-0.299159,-1.048321,4.067497,0.40593
S27,2.626385,2.305836,-0.202001,-0.974275,4.131065,0.470658
S28,3.036235,2.794091,-0.403314,-1.420185,4.320505,0.593586
S29,3.654066,3.394037,0.361995,-5.151512,4.784579,0.752918
S30,3.424908,3.153816,0.441294,-1.360589,5.267024,0.68639
S31,3.36036,3.004131,0.434552,-0.060097,6.161184,0.559556
S32,3.056012,2.561615,0.414267,0.099666,6.623574,0.431146
S33,3.08246,2.586812,0.43282,0.113953,6.765062,0.449612
S34,3.679057,2.891536,0.363491,0.044387,8.20451,3079152348229793.5
S35,4.340557,3.35128,-0.005065,-0.106367,8.099324,6014119327289536.0
S36,5.055684,4.114169,-0.143186,-0.272589,8.324579,9201874479333494.0
S37,5.660206,4.750107,-0.355894,-0.413404,8.818749,1.260090700069628e+16
S38,7.162947,6.001147,-0.009219,-0.049378,15.226588,1.2843148493953128e+16
S39,10.268658,8.055101,-0.141408,-0.011507,24.68164,1.3653486429105466e+16
S40,10.51912,8.420737,-0.15117,-0.020188,25.28353,1.598165265577213e+16
S41,10.723381,9.01845,-0.079468,-0.010949,25.201306,1.9041597151591188e+16
S42,10.69539,9.056452,0.288943,-0.012017,23.936288,2.099834907753881e+16
S43,11.175663,9.816276,-0.227792,-0.128141,23.087558,2.424824133189152e+16
S44,11.268778,10.063341,-0.395257,-0.143718,23.364668,2.4075899833151116e+16
