Segment,RMSE,MAE,Pearson's r,R²,Max Error,MAPE
S1,4.498649,3.814761,0.339206,-0.203519,7.071047,1.42125
S2,3.38717,2.975426,0.473793,0.082105,5.528789,0.567101
S3,5.208893,4.331239,-0.364352,-2.581988,8.704638,0.480689
S4,4.658409,4.084054,-0.897474,-0.558808,6.567725,1.153789
S5,5.329731,4.431697,0.247916,-0.744694,8.583134,6442499847345173.0
S6,6.373124,5.739362,-0.590125,-2.033613,9.188596,6896959586943009.0
S7,6.544089,5.920152,0.402176,-4.043357,9.058686,6799449149011057.0
S8,5.582109,4.579344,0.597837,-1.591802,8.930225,6703026330389117.0
S9,4.11613,3.887743,0.399964,-0.385923,5.362802,4025318547903651.5
S10,4.479253,4.140884,0.197745,-0.498254,6.936871,8917836579134893.0
S11,4.551451,4.158089,-0.368458,-0.546943,6.521325,9681065360985062.0
S12,5.231109,5.04166,-0.820248,-0.881584,6.651409,1.3067231923872384e+16
S13,6.005399,5.763699,-0.623171,-2.328634,7.429736,2.073303395454108e+16
S14,6.638555,6.414196,0.094677,-14.401755,8.19798,2.279846333146669e+16
S15,4.271248,3.864588,0.849259,-1.677627,5.824217,1.513616322480824e+16
S16,2.796944,2.132104,0.75748,-0.026178,5.121555,8543362044939055.0
S17,2.526921,2.154727,0.903928,0.481955,3.693097,4842015865969811.0
S18,2.412085,2.004837,0.85065,0.320419,4.711411,1688007161713661.2
S19,3.211735,2.527192,-0.128191,-1.806444,6.2844,0.392649
S20,2.523204,2.132757,-0.438898,-0.576314,4.701728,0.368417
S21,2.506123,2.235581,-0.606765,-0.481674,3.744615,0.443161
S22,2.444879,2.063932,-0.681526,-0.361172,4.777102,0.379488
S23,4.339006,4.296498,0.270529,-46.562875,4.883799,1.024083
S24,3.377289,3.302655,0.691064,-11.912544,4.334565,0.783959
S25,0.948301,0.790649,0.726447,0.096962,1.700744,0.182513
S26,1.051147,0.798616,0.457454,0.041986,2.279148,0.179994
S27,1.394507,0.999042,0.826453,0.271364,3.056551,0.154576
S28,1.699611,1.477407,0.305954,0.080039,2.579674,0.27942
S29,2.033548,1.666145,-0.353533,-0.825972,3.564021,0.282607
S30,2.31428,1.778016,0.534497,0.103074,4.418631,0.262816
S31,3.955715,3.11599,0.553281,-0.178585,7.644673,0.363778
S32,4.207293,3.557129,0.349126,-0.416231,7.748059,0.393128
S33,4.006911,3.543029,0.210344,0.020701,6.413322,0.598426
S34,5.328769,4.663618,-0.444237,-0.195947,8.359735,5252373130436699.0
S35,6.153053,5.636062,-0.774652,-0.192693,9.548729,9392327579275332.0
S36,6.919133,6.31063,0.091339,-0.524757,8.813946,1.947894358790498e+16
S37,9.959336,9.474442,0.585215,-7.264167,12.513956,3.408925728784221e+16
S38,9.171315,8.573449,0.640758,-0.11141,14.984812,2.4406201410881844e+16
S39,13.762165,11.234609,0.730564,0.008628,26.572925,1.79534172184876e+16
S40,14.111452,10.947413,0.407213,-0.042333,27.36249,1.4871595136398702e+16
S41,14.716066,10.828931,0.117296,-0.133565,29.326955,1.2476447247774128e+16
S42,14.67774,10.362424,-0.046738,-0.2167,28.652611,9727758306621670.0
S43,15.567743,11.092775,-0.514112,-0.565449,30.322387,6423129565107877.0
S44,11.784635,10.51631,0.707264,-0.029214,17.653392,2.0583296772930388e+16
