Segment,RMSE,MAE,Pearson's r,R²,Max Error,MAPE
S1,5.280954,4.418428,-0.716,-0.658493,8.916636,1.672078
S2,4.085737,3.156311,0.583403,-0.335549,7.169095,0.402767
S3,3.921329,3.179964,-0.3046,-1.030018,7.10854,0.349126
S4,4.186767,3.699803,-0.697938,-0.259143,5.608062,1.07649
S5,4.611575,3.756905,0.605319,-0.306192,7.79946,5854274491855158.0
S6,5.528343,4.999326,0.651288,-1.282682,7.793195,5849571683004271.0
S7,6.767345,6.118018,0.132668,-4.393342,9.405707,7059923090059347.0
S8,4.753892,3.830352,0.530745,-0.879767,7.077614,5312456854025350.0
S9,3.904129,3.739486,0.575919,-0.246836,5.315661,3989934816471314.5
S10,3.943618,3.775528,-0.139998,-0.161353,5.723798,7137026967479741.0
S11,4.466537,4.197795,-0.471653,-0.48976,5.917878,8843164345273301.0
S12,5.389471,5.161152,-0.890019,-0.997231,6.986617,1.4494227714982224e+16
S13,5.897948,5.564471,-0.005893,-2.210585,7.52577,2.052554111010911e+16
S14,6.238053,6.045654,0.461508,-12.599448,7.529716,2.1296289252017124e+16
S15,3.62139,3.146651,0.799434,-0.924824,5.524975,1.2880522065820826e+16
S16,3.172319,2.720367,0.880149,-0.320106,4.967534,9463370812557190.0
S17,2.37787,1.922859,0.951285,0.541267,3.516714,4729363650550697.0
S18,2.630205,2.197155,0.681985,0.191956,4.871283,1851116056037970.8
S19,3.284329,2.801491,0.104114,-1.934745,5.917853,0.439933
S20,2.578875,2.110549,-0.574107,-0.64664,5.232992,0.354781
S21,2.355266,1.862505,-0.406634,-0.308664,4.796264,0.327734
S22,2.713682,1.824757,-0.605347,-0.676934,6.208844,0.282859
S23,3.52469,3.488638,0.601101,-30.385526,4.260727,0.829527
S24,1.725271,1.508961,0.486825,-2.369693,2.824798,0.373057
S25,1.17601,1.08838,0.697917,-0.388786,1.960062,0.254456
S26,0.877771,0.660954,0.702918,0.331952,1.76528,0.122562
S27,1.718786,1.416103,0.603786,-0.106912,3.470053,0.225286
S28,1.98922,1.782245,0.14875,-0.260191,3.595076,0.304566
S29,2.249463,1.993947,-0.151242,-1.234307,3.867274,0.316356
