Segment,RMSE,MAE,Pearson's r,R²,Max Error,MAPE
S1,3.924848,3.596564,0.513019,0.083918,5.545056,0.983884
S2,3.707729,3.189297,0.116705,-0.099854,5.851317,0.685205
S3,3.638812,3.019307,-0.538204,-0.748045,5.785226,0.328363
S4,4.270941,3.784002,-0.687612,-0.310281,5.899713,1.044345
S5,4.30292,3.620349,-0.356872,-0.137195,6.678055,5012547668259947.0
S6,4.76146,4.206253,0.382831,-0.693307,7.47772,5612776167596819.0
S7,5.041813,4.356835,0.233737,-1.993607,7.351836,5518287419834853.0
S8,5.269995,4.406629,-0.148234,-1.310073,7.846752,5889771563878118.0
S9,5.568987,4.701861,-0.24505,-1.536959,8.233106,6179768852283635.0
S10,5.565654,4.9574,-0.598869,-1.313166,7.48923,1.1079845950309438e+16
S11,5.267109,4.763433,-0.640256,-1.071663,7.940576,1.143087369400527e+16
S12,5.308106,4.9386,-0.659448,-0.937382,7.611324,1.529341849045688e+16
S13,5.529884,5.328163,-0.496054,-1.822372,7.326423,1.874073755618442e+16
S14,5.349132,5.083479,0.227242,-8.999762,7.276686,1.855653582782534e+16
S15,4.847517,4.374113,0.881493,-2.448888,6.008372,1.7298222961238616e+16
S16,3.801314,3.159348,0.925533,-0.895495,5.422826,1.184811088244291e+16
S17,3.246107,2.668721,0.651777,0.145112,4.967725,7264750028691888.0
S18,2.394201,1.772007,0.711119,0.330459,4.196944,3150225905749140.0
S19,2.512453,1.966601,-0.052247,-0.717406,5.203927,0.298327
S20,2.924874,2.366693,-0.767657,-1.118129,6.040194,0.381041
S21,2.464704,1.925622,-0.512448,-0.433103,5.212783,0.327427
S22,2.23984,1.715321,-0.257899,-0.142437,4.773307,0.296359
S23,1.755179,1.664243,0.47616,-6.7827,2.237895,0.405036
S24,2.229996,2.033708,-0.657369,-4.629677,2.989498,0.502588
S25,2.116956,1.862323,0.104785,-3.500256,3.104984,0.448958
S26,1.843275,1.522551,-0.234523,-1.945949,2.604957,0.347453
S27,1.818472,1.513903,-0.152504,-0.239033,2.990198,0.301896
S28,1.723875,1.300357,0.54559,0.053584,2.847685,0.297311
S29,1.887048,1.444677,-0.728227,-0.572356,3.519192,0.275881
S30,2.522208,2.006779,0.114152,-0.065336,4.630655,0.289105
S31,3.894033,2.885048,0.804518,-0.142116,7.951214,0.310789
S32,4.077572,3.358918,0.693886,-0.330246,7.403837,0.372755
S33,4.358727,3.680226,-0.36595,-0.158818,8.132529,0.507084
S34,5.124473,4.482449,-0.648644,-0.106004,8.234339,5203872590029652.0
S35,5.756193,5.363691,-0.319469,-0.043802,7.719319,1.080904653133548e+16
S36,6.098878,5.667499,0.440855,-0.184669,7.657146,1.6274077759676768e+16
S37,6.631062,6.081483,0.823318,-2.66357,7.997322,2.3268541479512244e+16
S38,9.766422,9.215751,-0.492481,-0.260323,15.984813,2.5396649854371772e+16
S39,13.99128,12.426449,-0.291685,-0.024656,25.650826,2.5256924550032692e+16
S40,13.777115,12.040155,0.424325,0.006473,25.113721,2.2936996457924404e+16
S41,14.444232,12.216054,-0.464392,-0.092074,27.102162,2.144211858517115e+16
S42,14.545552,11.116237,-0.464845,-0.194884,28.472021,1.3949218676336472e+16
S43,14.835307,10.916146,-0.335269,-0.421611,29.132251,7105903115874940.0
S44,12.037086,7.914279,-0.044046,-0.073783,27.690927,8867004750380737.0
S45,6.559527,5.935541,-0.463831,-1.397774,10.016555,1.4717738812448832e+16
S46,6.039097,5.480819,0.044408,-1.483581,10.730332,8054186532793619.0
S47,4.456766,4.339325,0.673205,-0.946058,5.711497,1.057802
S48,4.168346,3.911492,0.372388,-0.643597,5.703761,0.955427
S49,4.786864,4.505556,-0.352286,-0.450972,6.306915,1.020359
S50,4.850567,4.410552,0.287347,0.033493,6.526476,0.842759
