Segment,RMSE,Pearson_r,MAE,R2,Max_Error,MAPE
S1,4.007173113612402,-0.33591373689894893,3.841645666666666,-0.23868112850024037,5.1209039999999995,1.164122892940986
S2,4.462322258865665,0.12541007322627507,4.301264266666667,-0.3793940846498751,5.690424500000001,1.5919439682944285
S3,5.739200785742906,0.23544035581414308,5.5583422833333325,-1.648729725979699,7.138966,2.471673197292589
S4,4.433179206087715,0.20447351843374023,4.194287583333334,-0.6371122554512947,6.34964,1.6842768315911767
S5,4.356738828704658,-0.1164219385357988,3.9869555,-0.09640304854557158,6.051298999999999,1.1563708324013808
S6,4.334004073332607,0.06822524838958452,4.0335487500000005,-0.03402239751038372,6.4918505,1.0370221189839153
S7,4.129644947555036,0.7278396891054215,3.589390166666666,-0.014178052965517995,6.630102,1.3019612861183514
S8,3.0220961957160384,0.8457315186410395,2.7495844999999997,0.2693060537773435,4.616712,0.6700564500427056
S9,3.4104771547092203,-0.09198292317657518,2.81013325,-0.5355486421231657,6.245476000000001,0.3141397828538
S10,4.33230456168848,-0.7341743613292484,3.943797866666667,-0.34820332691135825,6.1444643,1.1858744340761178
S11,5.439071755144699,-0.6106038532478169,4.580231833333333,-0.817013386235242,8.754614,6571212724695423.0
S12,6.821678272306786,-0.4426895334578226,6.023435500000001,-2.475665145707573,10.170028,7633622385191255.0
S13,7.368433227407417,-0.570195665578141,6.710956666666665,-5.393984416119011,10.371895,7785143742854321.0
S14,6.375411038760468,0.14087822680220932,5.367906166666667,-2.3808164618963468,9.498506,7129578013696073.0
S15,5.820942267518128,0.7923395273135083,4.894988616666667,-1.7717086953669638,7.9539657,5970246160439620.0
S16,4.928494582436558,0.45358144677304424,4.272271383333334,-0.8138565798249997,7.5247254,9993760716452532.0
S17,4.622912075274633,-0.16443641560823258,4.285793116666667,-0.5958998900743031,6.6966047,1.0005402371369296e+16
S18,5.292429839864066,-0.9224330065642828,5.1922922,-0.9259555541978162,6.407166,1.3899202749714808e+16
S19,6.389102320101647,-0.8711372152193839,6.132506833333333,-2.7675749889558188,7.8838263,2.215220744345814e+16
S20,7.324448699141268,-0.3000012840588394,7.075459083333333,-17.74877929199766,9.038916,2.5099826985431004e+16
S21,5.853881225229994,0.5662002489122104,5.385012883333332,-4.029538952901205,7.5407896,2.067824203557458e+16
S22,3.913439611788485,0.7215169561226679,3.2499468499999993,-1.0089649665651779,6.5470214,1.1890905812482042e+16
S23,2.760607906894846,0.8775849552301718,2.386727,0.38170865940555654,4.1108484,5646906622312851.0
S24,2.120661089223284,0.8372745256259035,1.5326217333333336,0.47471099447634857,4.175975,2146103558010595.2
S25,2.6035793364431252,0.05285256941165689,1.9411958000000002,-0.8442451103501396,5.079971700000001,0.3027578576951034
S26,2.431486261326484,-0.2037833233598749,2.0939076166666672,-0.46379997114649196,3.988391,0.3755982934682574
S27,2.787534394599135,-0.5775741469874331,2.416550733333333,-0.8331096201745345,3.9165305000000004,0.48767953620724946
S28,3.171550869060908,-0.8452697802786393,3.0032513333333335,-1.2905589027862354,3.9494640000000008,0.6203836726853472
S29,4.240502980259968,-0.2659816574642851,4.154738,-44.4278708014998,4.784579000000001,0.9943132064714842
S30,3.8741056558985596,0.06235363255766348,3.7360789166666666,-15.990975056300233,5.267024,0.8945462183236698
S31,2.9906570169782314,0.6334104080570383,2.8889589333333334,-7.981452110327499,4.2713773999999995,0.6599038590510063
S32,2.1910917737439255,0.5141023208816549,1.98373565,-3.162615457486968,3.787631,0.4310206390544265
S33,1.6692619929475585,0.73045585215972,1.5747558166666666,-0.044043314316956295,2.6374604999999995,0.30841532926922927
S34,1.97973811126995,0.5069615584523138,1.6069085833333334,-0.24820477363525728,3.7637739999999997,0.36354010157072664
S35,1.897171923315542,-0.16325528106107934,1.482190216666667,-0.5892727466969767,3.9836615,0.29920226159099916
S36,2.4708324640826818,0.14732657345057498,2.045451966666667,-0.022377403174099975,4.0418528,0.35410155039876984
S37,3.6231371605346827,0.31641850594109056,2.9367257666666666,0.011263654226914999,6.872223599999999,0.39168418897696505
S38,3.3683787728808077,0.689547789735704,2.9671761999999995,0.09224126572720992,6.026496,0.3900316830175381
S39,3.878985483487489,0.5646472941686819,3.3789339999999997,0.08223340553389469,5.798976,0.5942901344072901
S40,5.032084486381104,-0.2117736023474106,4.29877075,-0.06648354393137912,8.049858,6042222914864235.0
S41,6.251609421163378,-0.8369867921499665,5.688586916666666,-0.23120719378700105,8.625265,1.2535920433373294e+16
S42,7.45795973591403,-0.592519753432929,6.628005416666666,-0.7714843304261016,9.8923235,2.139569172721253e+16
S43,9.574782842509501,0.6934479902292687,9.020468333333334,-6.638291041760126,11.273153,3.2940831876863348e+16
S44,10.881060252863046,-0.8579745299041001,10.735691000000001,-0.5644199183535126,13.477841000000002,3.268829853255805e+16
S45,13.689335535552937,0.3956701469463741,12.40423775,0.01909308039119717,24.579913,2.672455346830053e+16
S46,13.689548594139787,0.504636030902384,11.524846816666667,0.0190625468027803,25.922774,2.0105790012359476e+16
S47,14.028687164173116,0.34110184131841725,11.146203833333333,-0.030142067309204768,27.484400400000002,1.6613749451732208e+16
S48,14.33586442000647,0.07244534977477636,10.400510483333333,-0.1606813398150826,27.677238600000003,1.1002509687148266e+16
S49,15.480057184669537,-0.7529738519405602,11.373294666666666,-0.5478642276454115,29.963611200000003,7899257751652483.0
S50,11.55627345005928,0.3020740223523814,9.338919333333335,0.010287129269194173,22.546612000000003,1.6253817566153104e+16
