Segment,1D-CNN,ANN,BiLSTM,LSTM,Selected
S1,0.29522788949616285,0.2645290839462744,0.38045482889491217,0.0597881976626501,BiLSTM
S2,0.5709932165134471,0.25939718412164897,0.1380248219119465,0.03158477745295694,1D-CNN
S3,0.27669619314872934,0.36065900655565236,0.30819663039034695,0.054448169905271064,ANN
S4,0.22786236412852104,0.34997416066569287,0.38434107103043,0.03782240417535598,BiLSTM
S5,0.26323698952418695,0.21736699654044822,0.46843305750651,0.05096295642885515,BiLSTM
S6,0.43444653047492005,0.2252989744217634,0.275619433529082,0.06463506157423415,1D-CNN
S7,0.32040060152108474,0.2753958999629031,0.29855162256572165,0.10565187595029023,1D-CNN
S8,0.3431889261388311,0.237497793722436,0.36506397919978595,0.05424930093894749,BiLSTM
S9,0.17654110098262374,0.17405421592758083,0.6106011514372716,0.03880353165252389,BiLSTM
S10,0.21794220180244656,0.2772439552741556,0.46627614563457503,0.0385376972888233,BiLSTM
S11,0.0993905680934096,0.3877302141656377,0.5048171649291664,0.008062052811785982,BiLSTM
S12,0.1396777067907553,0.41497340207973815,0.42601668925334024,0.019332201876166903,BiLSTM
S13,0.22662622342597774,0.5436840812312321,0.18369643096370414,0.045993264379085644,ANN
S14,0.42184019422184876,0.3419622492021483,0.16302160397117454,0.07317595260482884,1D-CNN
S15,0.5453504173402565,0.2954448284166572,0.12050586627425519,0.038698887968831204,1D-CNN
S16,0.4350157049872586,0.3278050454982054,0.2122966699308631,0.024882579583672192,1D-CNN
S17,0.29973596333897984,0.2852181962660121,0.37978395068097776,0.03526188971403008,BiLSTM
S18,0.31863070403501015,0.2964287350561887,0.3423841073648725,0.042556453543928584,BiLSTM
S19,0.36950128357299467,0.3195623379910656,0.2668035243042449,0.04413285413169412,1D-CNN
S20,0.44262380996267525,0.25144078082224375,0.23969020556025578,0.06624520365482461,1D-CNN
S21,0.6671501840881623,0.20195474234491184,0.09756774776496006,0.03332732580196568,1D-CNN
S22,0.5952382218579243,0.3382741556079753,0.05371443491777517,0.012773187616324953,1D-CNN
S23,0.33330638472922874,0.5184974980552778,0.12611841654425374,0.02207770067123959,ANN
S24,0.48035834122905097,0.1992659408855925,0.2698155135645973,0.050560204320758986,1D-CNN
