Segment,1D-CNN,ANN,BiLSTM,LSTM,Selected
S1,0.29235435146408006,0.25364452488225264,0.3342990435281702,0.1197020801254969,BiLSTM
S2,0.5508840676209141,0.2421774404274161,0.13818284446044832,0.06875564749122137,1D-CNN
S3,0.27047676131263565,0.30856026700228517,0.31285987121435793,0.10810310047072096,BiLSTM
S4,0.20351191953027836,0.2855823095733983,0.42696251068689633,0.08394326020942701,BiLSTM
S5,0.2561329047754252,0.21579662365868124,0.424202523594202,0.10386794797169173,BiLSTM
S6,0.41296369627682417,0.2231433380033271,0.23375097960118776,0.1301419861186608,1D-CNN
S7,0.2831640659565773,0.25277529325752407,0.2519672010490606,0.2120934397368379,1D-CNN
S8,0.3011023491582192,0.24682647978860786,0.3323224094589091,0.11974876159426415,BiLSTM
S9,0.21952496448771658,0.2229721184437676,0.47488316762435584,0.08261974944415998,BiLSTM
S10,0.23214284663222282,0.29163342876921305,0.39108066634616073,0.08514305825240373,BiLSTM
S11,0.10449984480522458,0.36940478029783236,0.508773770287996,0.01732160460894712,BiLSTM
S12,0.1356959448524081,0.39454242906659526,0.43371584552974685,0.03604578055125011,BiLSTM
S13,0.21988931811958634,0.5140619233801464,0.18336460218786596,0.08268415631240104,ANN
S14,0.4223298869512686,0.2624792584691159,0.16090801077790534,0.1542828438017104,1D-CNN
S15,0.4724862030286994,0.2621868591319129,0.15598145106838815,0.10934548677099963,1D-CNN
S16,0.3855833163187428,0.2839633003794427,0.26324370979855266,0.0672096735032615,1D-CNN
S17,0.2685062020156986,0.2582949365332194,0.3882607865627324,0.08493807488834966,BiLSTM
S18,0.292130985632325,0.2843672756629095,0.32667559010636704,0.09682614859839826,BiLSTM
S19,0.34754639333697324,0.2827480953225218,0.27135657273850766,0.09834893860199696,1D-CNN
S20,0.4266476649267571,0.22170316157018116,0.2240853547673152,0.12756381873574618,1D-CNN
S21,0.6187156149094984,0.17254575109900766,0.11778042667346714,0.09095820731802642,1D-CNN
S22,0.47985493372177135,0.3712210000027689,0.09743826191985266,0.05148580435560698,1D-CNN
S23,0.2997624414995388,0.4700507295657014,0.1644427777327504,0.06574405120200937,ANN
S24,0.4537613567390705,0.1963681398376401,0.24235105165143694,0.1075194517718523,1D-CNN
S25,0.2828856375106233,0.3400039579711375,0.29452236518181985,0.0825880393364192,ANN
S26,0.27296556007893313,0.26330275898578026,0.3576776695894181,0.1060540113458687,BiLSTM
S27,0.21677785782870185,0.31537292174604525,0.39873605006935775,0.06911317035589501,BiLSTM
S28,0.2852957058035366,0.3717288331382174,0.2576339762168941,0.0853414848413521,ANN
S29,0.49491260564988376,0.2917643228654539,0.15641004253022703,0.05691302895443537,1D-CNN
