Segment,1D-CNN,LSTM,BiLSTM,CNN-LSTM,GRU,ANN,Selected
S1,0.0562130136354758,0.2512087647620211,0.26797841384530974,0.24011492805051632,0.17918624084884652,0.005298638857828166,BiLSTM
S2,0.24978453152035274,0.17158505331427476,0.15894733660885027,0.20205682371662556,0.1895109897219403,0.028115265117956995,1D-CNN
S3,0.12346079540678996,0.3050839639764002,0.18233819032072596,0.22847484036598634,0.129216824512342,0.03142538541775558,LSTM
S4,0.2110786909587741,0.2531527772637402,0.1681365388811904,0.18334411834201683,0.14324133019990015,0.041046544354378704,LSTM
S5,0.2818020834687018,0.1628944284433096,0.14634668877170215,0.15798291817723756,0.18793749270876828,0.06303638843028025,1D-CNN
S6,0.10166354900395612,0.2402327022298148,0.2973634896989543,0.15922548337210998,0.17992515241213927,0.02158962328302614,BiLSTM
S7,0.11565413717059389,0.24745869744178228,0.3034765474922794,0.1590018594014688,0.15975455434230146,0.014654204151575256,BiLSTM
S8,0.16151099207792843,0.17632754726114783,0.23585583973334628,0.16449267720165522,0.22644304384985878,0.03536989987606362,BiLSTM
S9,0.2775301410515883,0.12583913794515067,0.1718989136967941,0.14999920075025094,0.22783518363109,0.046897422925125845,1D-CNN
S10,0.22031716054720024,0.10923379420225184,0.14279002423036188,0.17022570843836476,0.31775295587877705,0.03968035670304393,GRU
S11,0.22676512202982946,0.24191849342931776,0.1730344106918905,0.21347184617840775,0.11762336309044855,0.027186764580107044,LSTM
S12,0.1462543647921803,0.34117619732044885,0.2276848329577968,0.15694892464393637,0.10188061729613866,0.026055062989499375,LSTM
S13,0.14868166684992062,0.1948827541853215,0.23724603541038186,0.18096808497773925,0.2115894153349872,0.026632043241650458,BiLSTM
S14,0.12528371962927282,0.23478126235198382,0.24163206682910376,0.19117108104699201,0.18711272791324235,0.020019142229404246,BiLSTM
S15,0.20278440306346457,0.1752191666900117,0.19681364423364175,0.17133957758285562,0.21650282010861047,0.037340388321416236,GRU
S16,0.19821376052364756,0.14003874111186126,0.18323144218826495,0.16460603799466483,0.2884587684214191,0.025451249760141736,GRU
S17,0.14760353407607163,0.06632601593555172,0.12256843652464156,0.14573695604337158,0.4947059284865244,0.02305912893383857,GRU
S18,0.3362688318340635,0.15570958967092002,0.15095445616209852,0.22433107437441074,0.1041750385718671,0.02856100938664037,1D-CNN
S19,0.15563325490896415,0.5396194131520535,0.11045146435747272,0.12998081699120245,0.048728359521255274,0.015586691069052808,LSTM
S20,0.34085418363707093,0.20479289739972392,0.13418122111498654,0.16011007734269933,0.11761058554449212,0.04245103496102703,1D-CNN
S21,0.374186137344771,0.1728682295727458,0.11562295702864965,0.16944383847788375,0.13564320723533543,0.032235630340613705,1D-CNN
S22,0.20485615969764348,0.25418159897961,0.15271840108563892,0.1897763752818701,0.17901824452387646,0.019449220431360013,LSTM
S23,0.01862558485959951,0.25867814427270897,0.5401678747789415,0.09385111294630863,0.08426687955844699,0.004410403583991888,BiLSTM
S24,0.08601775991276642,0.15344187757210376,0.37165419627646484,0.11522816840122067,0.21213373401944888,0.06152426381799525,BiLSTM
S25,0.4816435835210524,0.040904615225824816,0.16335036111812395,0.052885609191134504,0.23156039436984854,0.029655436574015513,1D-CNN
S26,0.1336950198161735,0.054250505183578594,0.21918599004641198,0.0904791672832588,0.3780730196373512,0.1243162980332257,GRU
S27,0.43618284119553125,0.048611650352185024,0.0991762059329425,0.14129193910101517,0.2534321267077308,0.02130523671059411,1D-CNN
S28,0.2693694249457114,0.11762818146391676,0.18325366774654434,0.28814882213243587,0.12010805230695772,0.021491851404432296,CNN-LSTM
S29,0.05671657442461738,0.7467333886801308,0.05339006760356301,0.11822659619054746,0.02174666789131466,0.0031867052098275314,LSTM
