Segment,1D-CNN,ANN,BiLSTM,LSTM,CNN-LSTM,GRU,Selected
S1,0.9734077904772664,0.002956490063962853,0.007099082872402957,0.006776771837101814,0.008108056222335758,0.001651808526929909,1D-CNN
S2,0.3977624419127244,0.18255801064576646,0.109964243458768,0.1114841713168989,0.16007436776802597,0.03815676489781661,1D-CNN
S3,0.1669487366513607,0.16825564052816694,0.12558438294781024,0.1782046062267709,0.3441617338758048,0.016844899770085707,CNN-LSTM
S4,0.1724053969129444,0.34224500340280883,0.14503812337611185,0.19578387694645177,0.12574320740359118,0.01878439195809107,ANN
S5,5.397301362957683e-05,0.00012939770286318338,0.8548963003693086,0.14486610726491675,4.755602962469413e-05,6.665619654998705e-06,BiLSTM
S6,0.12976520568390074,0.1647305926146134,0.2543798153468871,0.22476843926013126,0.16713277420864206,0.0592231728858257,BiLSTM
S7,0.006171961843404615,0.006735652564812073,0.49401944234379663,0.480767772189996,0.010129587608629245,0.00217558344935985,BiLSTM
S8,0.06952276497114773,0.08668907442110542,0.4235169242752719,0.31405482354668923,0.09380492477739996,0.01241148800838569,BiLSTM
S9,0.27486199431472497,0.268302833241978,0.15341080195076393,0.12264759475499891,0.13564731574783978,0.04512945998969401,1D-CNN
S10,0.28754436114959947,0.22075698764440305,0.09213477887001992,0.07933568226856606,0.27160153843881124,0.04862665162859937,1D-CNN
S11,0.2090331672311224,0.5558537020165814,0.045232734565469536,0.0687531581294251,0.11166532885654541,0.009461909200854268,ANN
S12,0.03587976760237685,0.04109081592408709,0.7529834502635401,0.12934902474579835,0.0365462569968823,0.004150684467315508,BiLSTM
S13,0.0019837231729902525,0.9834732716343564,0.009070714937452286,0.0029024617496157435,0.0021930275599121103,0.0003768009456733907,ANN
S14,0.10702428158665113,0.13620607293779666,0.40764429421520737,0.19265598060248734,0.1318758293256387,0.024593541332218465,BiLSTM
S15,0.0,0.0,0.0,0.0,0.0,0.0,1D-CNN
S16,0.0,0.0,0.0,0.0,0.0,0.0,1D-CNN
S17,0.19822909298700428,0.206750647156048,0.16872666541259768,0.12013146933323515,0.19395675940330825,0.11220536570780662,ANN
S18,0.2116634825103303,0.16487403215385318,0.31367298937012394,0.05103000675465555,0.2493641516182614,0.009395337592775064,BiLSTM
S19,0.1027583503778966,0.08275093505433521,0.08948385761636266,0.6263959202576044,0.0926786906725009,0.005932246021299247,LSTM
S20,0.266479019249816,0.23323888745389867,0.13189032734242345,0.17368383767763226,0.1573250062458218,0.03738292203040809,1D-CNN
S21,0.09070351265898462,0.16257128967156928,0.35577129188369083,0.2768672902347632,0.10635066353112083,0.007735952019871097,BiLSTM
S22,0.1424456123273112,0.1316887949641686,0.14234875343565967,0.4321355556120501,0.1318402699425732,0.019541013718236584,LSTM
S23,0.05940864863795592,0.2680571380243761,0.22791673464329015,0.3498292194315568,0.07997543430500416,0.014812824957816023,LSTM
S24,0.14424895332167958,0.2882340955948799,0.2559943625888751,0.1410566729022428,0.1158353439392075,0.05463057165311485,ANN
S25,0.23969655714037705,0.46376732518391206,0.05112622386399388,0.01898456763776936,0.21330646040675483,0.013118865767193778,ANN
S26,0.0032888362836474587,0.010227000829864488,0.024619018751278834,0.9579695478699864,0.0030036678036798803,0.00089192846154412,LSTM
S27,0.3727933099907227,0.16635533308513045,0.12971063491557688,0.08405066078307476,0.1729505752761128,0.07413948594938286,1D-CNN
