Segment,LSTM,1D-CNN,ANN,BiLSTM,Selected
S1,0.577479234878855,0.19268371939620726,0.14309603623661807,0.08674100948831949,LSTM
S2,0.26560930389545895,0.39258013236220696,0.3067401770044666,0.03507038673786738,1D-CNN
S3,0.4572025301521317,0.1788467253414943,0.32566250598428564,0.03828823852208862,LSTM
S4,0.32700690678790195,0.2667171564836988,0.3767642022631922,0.029511734465207298,ANN
S5,0.14789086497731305,0.30179367590251405,0.5318263741774707,0.01848908494270256,ANN
S6,0.43384429521978396,0.20329940385248438,0.28795618381357224,0.07490011711415902,LSTM
S7,0.45680560573517903,0.2445719809111604,0.2213967880675203,0.07722562528614017,LSTM
S8,0.2844824619775563,0.26048383581167045,0.4005692865374746,0.05446441567329861,ANN
S9,0.14897173475936368,0.3709195129000512,0.4495972037356982,0.030511548604886113,ANN
S10,0.1550625498104063,0.35226548595568913,0.46219050313497617,0.030481461098927524,ANN
S11,0.3544408738771226,0.3318491947857286,0.2777071394102132,0.036002791926935174,LSTM
S12,0.4788100750772051,0.21237711342925322,0.2624272495864487,0.04638556190709278,LSTM
S13,0.3440890814060598,0.26632706677038825,0.33031434708707863,0.05926950473647281,LSTM
S14,0.42679175077794773,0.24250591982662714,0.2681397059113664,0.06256262348405861,LSTM
S15,0.2570417749009636,0.3021056069645517,0.39909451303501897,0.04175810509946569,ANN
S16,0.25860055012616606,0.3649057208168981,0.32827460361267913,0.04821912544425614,1D-CNN
S17,0.16269579865661515,0.37776924588563376,0.41517402839709167,0.0443609270606596,ANN
S18,0.21172794629642525,0.4812232263879184,0.277630524339084,0.02941830297657276,1D-CNN
S19,0.6572660757379493,0.19007857907157558,0.1333686013067623,0.019286743883712258,LSTM
S20,0.22435398165017476,0.40842887461709715,0.3477511936559495,0.01946595007677765,1D-CNN
S21,0.20645891829587384,0.4951761389194315,0.27974556681309226,0.018619375971601276,1D-CNN
S22,0.4100447571317095,0.33195099072699835,0.22244420550166633,0.035560046639626024,LSTM
S23,0.5980428214504255,0.10889569989178471,0.1514006452746313,0.14166083338315838,LSTM
S24,0.20814618868250626,0.11476552753797838,0.6030765875200764,0.07401169625943893,ANN
S25,0.04865867412139301,0.6511135409728096,0.27029528585610185,0.02993249904969568,1D-CNN
S26,0.02345006998811774,0.07255160691374404,0.88393059042482,0.02006773267331798,ANN
S27,0.0640411308492928,0.6967569676441767,0.2191677330797119,0.020034168426819175,1D-CNN
S28,0.21406318512304442,0.470857920858507,0.26870825150310484,0.04637064251534415,1D-CNN
S29,0.8636065323691867,0.0860544920188205,0.03867266187568775,0.01166631373630541,LSTM
S30,0.2509587953494123,0.5764766131616422,0.15488239876754098,0.017682192721404623,1D-CNN
S31,0.42317241553414614,0.265479387747976,0.2573850276635107,0.0539631690543669,LSTM
S32,0.33493810487793496,0.2617401655636158,0.36044063656049463,0.04288109299795568,ANN
S33,0.33500517599353374,0.36901673887464653,0.25496651930962044,0.041011565822198816,1D-CNN
S34,0.39659278334841225,0.3306019908592221,0.23079991008756154,0.04200531570480438,LSTM
S35,0.4076538697843801,0.223611494047493,0.32846291749333156,0.040271718674795766,LSTM
S36,0.24997987217390577,0.2669539931784885,0.44638409338028423,0.03668204126732102,ANN
S37,0.5204605458950822,0.18409680060296535,0.21583451780923213,0.07960813569272007,LSTM
S38,0.25880196428146435,0.3390569064163626,0.3618479933057409,0.04029313599643234,ANN
S39,0.2234486431829368,0.3503629013496124,0.3895987324033314,0.03658972306411959,ANN
S40,0.1916757514235604,0.3550607256433661,0.418072252373894,0.035191270559179894,ANN
S41,0.30078914265387496,0.35341496691437624,0.3046658746964852,0.041130015735263384,1D-CNN
S42,0.33632778488470033,0.3215641061177296,0.29927929895526995,0.04282881004229992,LSTM
S43,0.3444739984498566,0.3040242846747065,0.30601130702318385,0.04549040985225266,LSTM
S44,0.3319094284446279,0.3641890927493099,0.2530012377622536,0.05090024104380897,1D-CNN
S45,0.816231771312481,0.0656560777261426,0.06403367825032015,0.05407847271105602,LSTM
S46,0.12121361255144283,0.3456749979152187,0.5177422189263132,0.01536917060702537,ANN
S47,0.37072174957150905,0.10376448245619392,0.4500477513607713,0.07546601661152588,ANN
S48,0.2899856999235903,0.37908715894143014,0.2675354959495275,0.06339164518545186,1D-CNN
S49,0.39058473849961606,0.2803419523122731,0.2555951533287894,0.07347815585932112,LSTM
S50,0.12785190391415988,0.5119053592901117,0.33218490266719186,0.02805783412853626,1D-CNN
S51,0.06347780106718307,0.49659598991570386,0.42746879401629506,0.012457415000818274,1D-CNN
S52,0.31140650636014505,0.37042943937739936,0.28633671058778193,0.03182734367467385,1D-CNN
S53,0.3133455737180168,0.3699546360165874,0.2787909021855625,0.03790888807983236,1D-CNN
S54,0.10453119299982733,0.5499005293603558,0.33040784068093443,0.015160436958882565,1D-CNN
S55,0.007882897676131278,0.6535748048556025,0.3371099036209851,0.00143239384728109,1D-CNN
S56,0.006295433252985825,0.6243924947693075,0.3682571787664843,0.0010548932112227818,1D-CNN
S57,0.2573879550037545,0.3497496796409628,0.3558624939210419,0.03699987143424089,ANN
S58,0.22434185909340537,0.28306112876159334,0.44960509833546086,0.0429919138095414,ANN
S59,0.5105775964259099,0.19661048096985276,0.19866129700839544,0.09415062559584184,LSTM
S60,0.4064331184407966,0.30527188734549426,0.2335817705722407,0.054713223641468134,LSTM
S61,0.1333223902930673,0.45766981172922655,0.38552014685783187,0.02348765111987439,1D-CNN
S62,0.08660069014965978,0.6821442828308951,0.21610445059871808,0.015150576420726976,1D-CNN
S63,0.11524915265487237,0.47602395993807334,0.3899311581607775,0.018795729246277145,1D-CNN
S64,0.3125156629817995,0.31889374020554234,0.20017999654151564,0.16841060027114238,1D-CNN
S65,0.34128734588670434,0.3757694028235912,0.21993512127744927,0.06300813001225578,1D-CNN
S66,0.3973117297841946,0.2560729491511901,0.2892232046220154,0.05739211644260037,LSTM
S67,0.32577676064205663,0.3259254490254573,0.30260073361524953,0.04569705671723633,1D-CNN
S68,0.25136773339000634,0.28386724395129675,0.4184535593694667,0.04631146328923056,ANN
S69,0.2536651281616145,0.35401537507554176,0.3586516393388988,0.033667857423945055,ANN
S70,0.2944596975694247,0.32482326269612594,0.3449337211201408,0.03578331861430837,ANN
S71,0.31403760719397494,0.3164735780285466,0.3314647661603881,0.03802404861708969,ANN
S72,0.020997545070621678,0.11254346906137273,0.8633596993297267,0.00309928653827912,ANN
S73,0.2967847436399302,0.24614301914680572,0.3936437312835273,0.063428505929736,ANN
S74,0.1871835512084088,0.2596681869302626,0.5251937224666431,0.027954539394685066,ANN
S75,0.4939458988934908,0.20563866940932712,0.23249004664057193,0.0679253850566095,LSTM
S76,0.3372340631851504,0.25882180437193764,0.334335018049394,0.06960911439351807,LSTM
S77,0.46318353857856254,0.2972776021488098,0.16020098697147012,0.07933787230115773,LSTM
S78,0.2702549392715588,0.37739274200819295,0.32065482567486403,0.03169749304538317,1D-CNN
S79,0.5203701856716976,0.1851780063535684,0.2446303059785447,0.04982150199618947,LSTM
S80,0.33065999571103244,0.22793238763076948,0.38436611719920255,0.05704149945899557,ANN
S81,0.41311527715922997,0.3387344859067573,0.20105175433189493,0.047098482602118234,LSTM
