Segment,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
S1,4.6543055,4.996444,3.4200866,5.9963465,5.9187393,4.397747,6.1822557,6.809993,5.5011234,5.958824,6.593541,6.5829306
S2,3.95217,4.1104074,2.519185,5.9151425,5.582003,3.906996,6.0148582,6.6897154,5.0427465,5.586766,6.3314824,6.30341
S3,3.696019,4.3044543,2.778576,5.7667556,5.241799,4.1091146,5.783828,6.1488338,5.268656,5.8802824,6.4485803,6.4828787
S4,4.321798,4.5400667,3.2498097,5.797342,5.587376,4.374724,5.8642716,6.21297,5.595963,5.8146973,6.8142323,6.90349
S5,4.435761,5.0526595,3.5836709,6.071483,5.7573857,4.7327323,5.7620187,6.3780127,5.7048907,6.153113,6.862962,6.742404
S6,5.331041,5.303033,4.319104,6.4871144,6.452939,5.2572937,6.003378,6.7182875,5.8501587,6.1995125,6.398068,6.3249645
S7,5.7011867,5.5372577,4.4000583,6.6228704,6.790621,5.5101123,6.855829,7.169988,6.0109553,6.564366,6.678533,6.496929
S8,8.466468,8.109994,7.2619433,8.19393,8.424965,7.8195605,8.1756115,8.084663,7.693245,7.4021697,6.7532315,7.2396903
S9,9.805268,9.242965,7.9860907,8.074724,8.504796,8.231136,8.803841,8.353872,8.07217,7.693663,7.2757983,7.930309
S10,12.42965,11.101215,10.015478,10.015394,10.925974,9.550053,9.520706,10.474287,9.584071,7.7557583,6.612735,9.001073
S11,14.658158,12.106613,12.142543,10.534132,11.492838,11.604605,10.607233,10.40379,10.407617,8.475559,6.4505644,8.852422
S12,13.925455,11.300245,11.96497,10.606883,12.238471,10.732307,11.122963,11.001846,10.691265,8.655964,7.857447,10.053471
S13,11.686029,10.507994,9.232431,10.127256,11.647703,8.825496,9.993264,11.536285,9.307873,8.129501,7.7010465,9.55829
S14,9.552336,9.771545,9.520042,10.139089,9.682208,8.845576,8.428697,10.485317,8.881609,8.8115425,8.562255,9.6817875
S15,9.469746,8.995727,9.101799,10.216066,8.5187645,8.488428,8.2095175,9.929982,9.0544195,8.939949,9.142955,10.761499
S16,7.7336383,7.6851783,7.5652366,10.08596,8.812894,8.963825,8.340617,9.985391,8.241678,8.949995,10.665842,9.331446
S17,7.5258765,8.770364,6.6233897,10.0856905,8.556831,7.8550096,8.4001,10.497029,8.582849,9.79823,10.689179,10.187732
S18,7.126891,8.291138,4.553978,9.471569,8.780738,7.2,8.8773155,9.685921,8.919385,10.542657,11.940362,11.617964
S19,6.310418,7.0512085,4.0528817,9.135302,8.468149,7.130164,8.72993,9.2065935,8.53084,9.762281,11.925484,10.032022
S20,6.3480115,6.626516,4.8709908,8.5755,7.7929344,6.473423,8.734702,8.26241,8.444162,9.474072,11.598397,9.296063
S21,5.6141734,7.144423,4.2367277,7.768178,7.3865833,5.8099914,7.9186225,7.568347,8.489023,9.636234,10.737954,9.405513
S22,4.6673474,5.594027,3.065824,6.6585317,6.4699016,4.4831753,6.8382854,7.227016,6.826382,7.6623306,8.369315,7.8905134
S23,4.0758877,4.692652,2.806947,6.234993,6.032819,4.252179,6.350201,6.565816,6.034761,6.7082787,7.3862104,6.9488997
S24,3.7759707,4.5153556,2.6835723,5.8160477,5.470488,3.9764326,5.9842734,6.183688,5.720006,6.203813,7.1371603,6.866164
S25,3.6293137,4.279336,2.521996,5.6065893,5.3455696,3.8126376,5.791333,6.1751933,5.487951,5.974797,6.841434,6.826122
S26,3.5848804,4.0332828,2.5838687,5.4935474,5.2522464,3.8947709,5.54309,5.809642,5.2023454,5.6106787,6.277623,6.3161807
S27,3.7458975,4.1656294,2.8062177,5.516741,5.2807617,4.013047,5.5686374,5.903211,5.196001,5.62187,6.3210497,6.267139
S28,3.7742758,4.121479,2.7232862,5.5643506,5.309378,4.030752,5.690829,6.024723,5.171877,5.6806655,6.331702,6.226943
S29,3.789738,4.2682047,2.8143816,5.632601,5.407916,4.143748,5.6896844,6.0775843,5.1366534,5.6850896,6.3488855,6.1174135
S30,4.2955894,4.592399,3.2965052,5.7808704,5.6076665,4.5580673,5.9068737,6.313148,5.31495,5.819689,6.4609847,6.2004023
S31,4.7580457,4.995142,3.718053,5.9352,5.9081154,4.896271,6.1317654,6.504544,5.468002,5.9294453,6.541481,6.318294
S32,4.9249444,5.0699944,3.898846,6.0520444,6.128519,4.935257,6.243446,6.669819,5.460997,5.87131,6.5220094,6.2718906
S33,4.992491,5.1422753,3.8638458,6.074375,6.123215,4.9717693,6.2960286,6.779635,5.452592,5.8971167,6.470453,6.3495364
S34,5.1287003,5.1639075,4.131846,6.234602,6.191256,5.180943,6.3297195,6.697755,5.6524816,6.045008,6.5194335,6.4784045
S35,5.3444066,5.323024,4.2023005,6.2493887,6.192319,5.2466426,6.600502,6.7907143,5.7349076,6.084701,6.697758,6.6450024
S36,5.723977,5.775469,4.487547,6.5750504,6.6827497,5.4086227,6.678972,7.099205,5.973176,6.1292424,6.8020835,6.7676516
S37,6.1750517,6.078865,4.814422,6.707457,6.8517737,5.797517,6.7702727,7.2750325,6.271212,6.4018884,6.896017,6.9923086
S38,6.091945,5.895905,4.6218624,6.777064,7.087663,5.528639,6.925635,7.4602647,6.3219514,6.5261407,7.0105944,7.0666056
S39,5.5400634,5.6719017,4.019181,6.6299973,7.0750356,5.0804834,6.7915025,7.470239,6.2066717,6.4186597,6.9953833,6.939458
S40,4.8105035,5.1515174,3.777611,6.5053864,6.377518,4.7576947,6.464332,6.86282,6.073319,6.518677,7.1907506,7.3612585
S41,4.564781,4.849108,3.5468087,6.4947143,6.093127,4.597805,6.203912,6.6537824,6.1014204,6.472882,7.1737237,7.4426756
S42,4.458462,4.7395935,3.6874259,6.3962374,5.854558,4.9903035,6.0453115,6.515535,5.962445,6.457619,7.223033,6.885243
S43,4.567848,4.94073,3.5862334,6.405187,6.010404,4.702479,6.0794296,6.59661,5.9761634,6.5289345,7.187999,7.1474457
S44,4.3276105,5.1551104,3.1147785,6.379003,6.115418,4.5390577,6.1565747,7.0128846,5.8022695,6.6914015,7.329683,7.0508122
S45,4.351941,5.0584955,3.4300892,6.3478,6.134039,4.865736,6.1978297,6.8935366,5.799394,6.6712294,7.2980776,6.6124444
S46,4.675576,5.1299,3.5103023,6.228843,6.203288,4.688357,6.463116,6.866178,5.8886466,6.5204496,7.3023167,6.8028893
S47,4.7356377,5.4355783,3.687222,6.2694583,6.261769,4.9002595,6.4707594,6.8314486,6.008105,6.593349,7.2175393,6.7931776
S48,4.9280243,5.2140775,3.8405232,6.1403837,6.0713573,4.868004,6.406921,6.550762,5.7093334,6.0999756,6.733486,6.658813
S49,4.5681825,4.882742,3.5379393,6.0253754,5.87296,4.5846143,6.1468797,6.669732,5.4814305,5.9988394,6.679764,6.588817
S50,4.7889714,4.7424817,3.7408333,6.1277905,5.965582,4.8895736,6.238453,6.6429296,5.4874916,5.8558044,6.4843397,6.320783
