Segment,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
S1,2.654704,4.5568714,3.279201,5.159485,3.9360547,4.496592,4.1569915,5.55297,5.733636,5.8962536,4.925164,6.1769342
S2,2.5216482,3.4609425,4.2488365,5.6841702,4.270259,4.190331,3.9443984,5.675023,4.083752,4.8175263,5.1951146,6.306078
S3,1.7375441,4.397581,4.089489,5.7245464,4.2855587,3.600561,3.7137508,5.2295513,4.6660843,5.6082654,4.5422926,5.5487113
S4,3.7748256,5.534835,4.915207,5.4717317,4.426028,4.873108,4.5649214,5.5874004,5.266654,6.610609,4.8324013,5.30051
S5,4.991811,5.3739514,4.364035,6.521265,4.310832,4.9089146,5.1078,6.7132955,6.247772,6.047276,5.849,6.4451823
S6,5.887236,6.243863,5.3707676,6.721641,5.2629924,5.3469844,5.2869377,6.3146076,6.3599405,6.300806,5.4178276,6.5416846
S7,6.7314835,6.6002045,7.18456,7.8979464,6.002122,6.32871,6.005536,6.916102,5.7372823,6.099719,6.339056,6.610114
S8,14.172364,12.017727,12.086369,12.135733,9.941476,9.059535,8.864669,8.93536,8.437935,9.276078,7.759077,7.0540285
S9,10.89293,12.050247,11.893909,9.627571,9.204998,8.899389,9.248426,9.514438,8.127679,7.0861263,8.600768,7.0476418
S10,22.650034,18.081266,17.048622,17.103775,14.115817,13.813784,12.722836,10.791667,11.868033,12.360292,9.544526,8.142447
S11,19.608126,19.67453,18.8899,15.970213,13.343614,14.157054,12.620395,11.726132,9.705508,7.8070765,9.758259,6.941718
S12,13.918568,15.731071,13.006332,12.76612,11.654744,12.520467,10.423293,10.325713,10.627382,8.635808,10.70853,6.969056
S13,13.863316,14.192874,15.091227,12.844504,11.930098,12.643159,10.223521,10.121296,9.403385,10.300527,9.639903,6.9671416
S14,9.627318,10.609811,9.493493,11.365713,9.645601,8.883671,7.175588,10.310042,7.7353854,6.17218,10.907993,9.627242
S15,5.0001645,9.816171,8.559068,7.10687,7.709449,7.564612,8.165115,8.223412,7.954209,10.723452,8.166583,8.748045
S16,4.7132792,6.8300557,6.9383645,8.0408945,7.6614456,11.079132,8.28565,9.953416,8.472684,9.336875,10.050815,8.680449
S17,3.217786,6.162305,3.5064344,6.9383307,6.434459,7.809991,6.7348413,9.56381,10.677566,11.804252,8.768735,11.067444
S18,3.3567789,4.988196,6.335253,6.362206,7.6277595,6.9635077,8.858407,9.555076,8.837166,8.411129,9.619855,12.172464
S19,3.8228018,5.1137013,4.6683164,8.539955,6.967301,8.8003025,9.314309,9.225198,9.303779,12.419639,11.04209,11.3931675
S20,2.7069085,6.1269755,6.619293,5.7015443,7.9802537,7.5863404,7.154802,7.9990406,9.0604925,9.906673,8.625184,9.863395
S21,4.569877,5.76258,6.783227,6.2412615,7.486556,8.720237,7.996049,8.714176,10.434808,11.22272,10.681152,12.717817
S22,3.2598436,4.144136,4.4721317,6.1488934,5.43769,6.426099,6.1121407,6.6856966,7.384986,8.857907,7.761384,9.860733
S23,2.6395276,3.9827442,4.1615734,5.3992496,4.625801,5.2824187,4.9091954,6.121645,6.310009,7.272551,6.616416,7.71974
S24,2.4945433,4.236934,3.8510282,5.039306,4.4005833,4.717182,4.5828876,5.803454,5.771482,6.7586703,5.8176737,7.313382
S25,2.9290013,3.900823,3.811953,5.739794,3.7428887,4.4600244,4.361647,5.403876,5.2953167,6.258204,5.809654,7.082434
S26,2.5549254,4.42923,3.7044685,5.5353026,3.8355434,4.0426,3.9227343,5.5748224,4.928725,5.4519672,4.844445,5.9135666
S27,2.9910297,4.790635,4.029544,5.39481,3.9408395,4.213011,4.0300803,5.437582,4.933548,5.792503,4.736406,5.865773
S28,3.0340753,4.4505453,3.8700523,5.624067,3.8599873,4.2466803,4.0325704,5.5706577,4.774127,5.217108,5.0400953,6.0720263
S29,3.187645,4.9783974,4.195141,5.7557435,4.005045,4.2543116,3.8283703,5.476111,5.0390053,5.725006,4.722986,5.763618
S30,4.7216544,5.566144,5.283955,6.243979,4.818298,4.845783,4.6438007,6.1519403,4.8959136,5.670487,5.2835464,6.0118566
S31,5.3821845,6.2981863,5.6587267,6.9449544,4.7921424,5.053041,4.9230742,6.203438,5.4287553,5.9447484,5.704869,5.920201
S32,5.1315107,6.5175776,5.6762066,6.471485,5.0741024,5.271696,4.930133,6.2566657,5.5351405,5.703539,5.343459,5.6960316
S33,5.4406147,6.147709,5.6655483,6.951725,5.2035646,5.2791543,4.88562,6.5015616,5.5317054,5.688323,5.7970796,6.084841
S34,5.6330276,6.4646664,6.2019567,7.011137,5.6054583,5.339929,4.953099,6.740289,5.329574,5.6899366,5.875494,6.169636
S35,4.1105795,6.125643,5.3122206,6.5299563,4.8305225,5.0158424,4.6154933,6.255185,5.3703923,5.659363,5.851494,5.984075
S36,6.7864475,7.068998,6.555166,8.062751,6.163955,6.0849466,5.605177,6.718995,6.367809,6.739757,6.224743,6.2614374
S37,6.019917,6.764191,6.480553,6.9197483,5.5946403,5.5478144,5.5693774,7.2211285,6.2581224,5.7989197,6.936219,6.9702706
S38,4.9881444,6.57913,5.158168,7.2832637,5.351206,5.5621834,5.589585,6.4342403,6.340417,6.4137692,6.3293805,6.743678
S39,4.0375223,5.24569,5.349464,6.2305846,5.1432037,5.817285,4.9916024,6.680632,6.1914186,6.5583935,6.3492036,6.7760453
S40,2.577247,4.607674,3.8309124,5.602263,4.6845756,4.596887,4.167666,6.472465,5.925708,5.9507794,6.2273717,7.169228
S41,2.9878783,4.538921,4.3391705,5.702334,4.5397468,5.075644,4.7524877,5.742391,5.8824043,7.1262155,6.395952,7.4493217
S42,3.433126,4.398364,4.163305,6.4016504,4.435449,5.057878,4.880009,6.3105297,5.889354,6.3454485,6.7144914,7.216745
S43,2.4062002,4.8539147,3.5407596,5.165586,4.1480203,4.611772,4.4938107,5.697568,6.607099,6.784909,5.833284,6.7671814
S44,4.1259046,4.3432674,4.2991095,6.153928,4.6672916,5.296428,5.4767847,6.358464,5.978966,6.594841,6.319964,7.612633
S45,3.5234585,4.559355,4.421257,6.5630393,4.385128,4.910897,4.65786,6.15056,6.2727246,6.800516,6.3679943,7.492046
S46,4.21002,5.41366,5.2146044,5.9877644,5.2470117,5.3170886,5.2782574,6.319656,5.8761377,6.540133,6.104187,6.7620263
S47,5.6763263,5.9749403,5.799114,7.219934,5.340508,5.742546,5.694377,6.705527,6.2969785,7.258826,6.8273416,7.34249
S48,4.4834404,5.738563,5.126959,6.0924525,4.8303227,4.9604993,4.894108,6.486676,5.561425,5.677386,6.13543,6.5281706
S49,3.7937505,5.1417537,4.4543037,6.1196704,4.518946,4.706746,4.5059953,5.8752966,5.2218676,5.7839637,5.643047,6.3571215
S50,5.033951,5.4714975,5.628733,6.866344,5.1204243,5.1470084,4.616635,6.3777823,5.2048774,5.834268,5.7444015,6.1617866
S51,8.258933,8.200611,7.784069,8.62408,6.7116942,6.126586,6.1418023,7.369417,6.7142816,6.9358625,6.513656,6.503814
S52,6.3085556,8.144968,7.0203595,7.2562847,5.695622,6.2960215,6.2621775,6.943805,6.7294664,6.1925216,6.677963,6.317152
S53,9.349344,9.0625725,7.748501,9.732158,7.4306526,7.647301,7.0522532,7.6567874,7.6829433,7.7730284,6.659773,6.6699405
S54,10.9475565,9.4788065,10.257765,9.518925,8.812212,7.6420746,7.773699,9.287552,7.3420105,6.7115,8.155933,7.9350853
S55,10.0928545,10.846181,10.209654,10.844225,9.136244,8.180278,8.4460945,8.597973,7.2366896,7.2672324,8.568602,7.4171667
S56,11.735747,12.263062,11.669083,11.071948,9.42114,9.82741,8.8154335,8.793051,8.510229,9.061364,8.425775,7.05324
S57,13.509706,12.372107,11.327495,11.948743,10.259146,9.225113,9.078819,10.695334,9.023634,7.5573545,9.67098,8.177251
S58,18.47274,16.246748,16.342949,15.026507,13.726033,11.847983,11.84753,10.893085,11.071261,10.65797,10.042929,9.720884
S59,19.989876,18.510225,18.989393,16.203053,13.9416485,13.817908,13.4931,12.107026,10.783569,10.111784,11.491878,8.971599
S60,18.35253,18.932919,17.286722,15.824427,13.276309,14.004568,12.339715,11.410607,11.91758,10.942016,11.89763,8.370898
S61,12.55694,13.799752,13.344876,11.016486,11.527601,11.7755995,11.52577,12.867298,11.068219,10.637919,11.242632,9.75169
S62,6.7180014,9.583686,7.9291997,9.628653,8.582374,8.580489,7.9430366,10.066245,8.69341,10.166737,11.270045,10.50318
S63,5.267924,7.587685,7.934086,7.409369,8.641413,7.7898026,7.4383073,9.443943,8.177762,9.207469,10.033487,9.660754
S64,3.724079,6.3871465,4.765025,6.7671614,6.9611545,7.3317194,7.715833,9.5253,8.759695,10.430431,10.224832,10.546057
S65,3.850443,5.3364754,4.639558,5.9831157,6.809168,7.908003,8.492852,9.94297,8.287871,10.931242,8.683798,10.74115
