Segment,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
S1,8.943325,7.622571,6.2726884,8.718257,9.636802,10.327691,9.134471,7.6896324,8.847265,8.22165,7.4336514,5.5068364
S2,8.90061,7.562162,6.2377934,8.682922,9.614275,10.271541,9.083711,7.625842,8.785802,8.150506,7.3637776,5.4156556
S3,8.907962,7.59057,6.251167,8.699184,9.624692,10.29013,9.096908,7.649438,8.80221,8.183024,7.400864,5.4414296
S4,8.954918,7.6689363,6.2975144,8.740674,9.656728,10.348263,9.148358,7.7228065,8.853499,8.276909,7.496258,5.533396
S5,9.005218,7.734359,6.3414526,8.76977,9.686569,10.390868,9.190108,7.7807546,8.879652,8.354215,7.5710883,5.6051707
S6,9.062213,7.806744,6.405381,8.772922,9.745583,10.378142,9.182465,7.801755,8.772979,8.424583,7.643166,5.5964212
S7,9.148139,7.946311,6.4841676,8.83521,9.8132925,10.456224,9.24992,7.907723,8.807879,8.554682,7.784141,5.7267957
S8,9.513893,8.443429,6.839758,9.012281,10.088089,10.672706,9.465521,8.276021,8.776325,9.119417,8.342348,6.1075344
S9,9.554552,8.511503,6.834874,9.061384,10.106003,10.738122,9.521625,8.331454,8.865946,9.097576,8.345618,6.222119
S10,10.177251,9.26419,7.2769136,9.157346,10.642414,10.845714,9.912798,8.896833,8.679777,9.8244505,9.028545,6.502163
S11,10.338822,9.521558,7.364541,9.225379,10.799817,10.897274,10.005305,9.041091,8.628381,9.918183,9.169093,6.618211
S12,10.338277,9.6522665,7.3539166,9.376523,10.786026,11.073821,10.088145,9.148649,8.868385,9.920659,9.246781,6.875317
S13,10.28609,9.720981,7.3133464,9.504378,10.736595,11.222063,10.148077,9.223384,9.115896,9.906592,9.297515,7.0735483
S14,10.240899,9.797768,7.2821136,9.618566,10.702165,11.360315,10.2246065,9.317567,9.364099,9.93641,9.379618,7.2543483
S15,10.059753,9.712325,7.167119,9.711369,10.552949,11.477469,10.210494,9.287452,9.641613,9.82806,9.331082,7.3757763
S16,9.881586,9.613814,7.060891,9.778983,10.414476,11.572256,10.194403,9.254045,9.894257,9.743846,9.290307,7.4638405
S17,9.743172,9.533615,6.986045,9.834293,10.303265,11.6682415,10.202924,9.248645,10.138896,9.716556,9.284458,7.563883
S18,9.615323,9.400471,6.8927426,9.821168,10.206379,11.687366,10.194419,9.204137,10.3057165,9.642853,9.204425,7.562039
S19,9.534036,9.246952,6.8210335,9.785236,10.10858,11.70013,10.204636,9.165024,10.463141,9.592474,9.112402,7.566664
S20,9.366294,8.896066,6.6913033,9.572128,9.999875,11.428716,9.975336,8.856989,10.171078,9.310849,8.775491,7.145774
S21,9.35676,8.726178,6.6485653,9.506525,9.910675,11.418146,10.001815,8.819288,10.278651,9.273193,8.657023,7.1413116
S22,9.136129,8.188082,6.4569836,9.129382,9.770674,10.8932705,9.577576,8.269341,9.600009,8.761444,8.0687,6.346961
S23,9.001147,7.8841896,6.3359265,8.931367,9.68007,10.623514,9.357094,7.9747753,9.279428,8.469145,7.7370467,5.9355927
S24,8.948647,7.7368407,6.287912,8.832944,9.6382265,10.495021,9.257823,7.8396196,9.124881,8.346678,7.585791,5.742573
S25,8.911719,7.624942,6.2526627,8.754969,9.607832,10.391714,9.178891,7.7329116,8.994575,8.25063,7.4676785,5.588348
S26,8.878903,7.5414042,6.2292833,8.685341,9.595437,10.28802,9.093805,7.632118,8.838809,8.167043,7.3731875,5.4323864
S27,8.8896,7.5470085,6.23983,8.681106,9.604073,10.281612,9.090531,7.6315355,8.815797,8.176264,7.3793736,5.4257565
S28,8.893282,7.545206,6.2407236,8.678,9.605227,10.278109,9.088961,7.6286654,8.808314,8.172697,7.374323,5.422451
S29,8.913326,7.5657434,6.260684,8.678388,9.622464,10.274707,9.088801,7.636294,8.778182,8.195053,7.3949704,5.4214754
S30,8.980171,7.653858,6.324975,8.706676,9.673772,10.307018,9.122643,7.697582,8.759175,8.2923765,7.4911175,5.4809227
S31,9.045247,7.7419868,6.3807197,8.740386,9.7198305,10.348261,9.163611,7.762002,8.762076,8.376887,7.578025,5.554421
S32,9.0593815,7.767579,6.389161,8.747242,9.735874,10.348157,9.162898,7.7675357,8.739998,8.375369,7.5855274,5.5583224
S33,9.104831,7.8467145,6.426541,8.78807,9.768005,10.398055,9.2069025,7.831324,8.777607,8.442395,7.66138,5.6391754
S34,9.150108,7.9280486,6.469126,8.822442,9.807692,10.433269,9.237339,7.885609,8.780294,8.509563,7.739002,5.6977124
S35,9.130933,7.935533,6.4418197,8.848432,9.791611,10.467854,9.259466,7.902876,8.861998,8.483508,7.729764,5.744658
S36,9.226297,8.087329,6.539624,8.911257,9.866845,10.541885,9.327664,8.018508,8.877146,8.652335,7.903554,5.8661137
S37,9.235437,8.130777,6.5417805,8.945957,9.874009,10.5868225,9.360775,8.058591,8.94218,8.669544,7.9361277,5.933405
S38,9.232923,8.156034,6.5383277,8.970319,9.87456,10.616977,9.380484,8.082855,8.991308,8.6769,7.9559674,5.9754558
S39,9.1799345,8.115285,6.486463,8.974578,9.83663,10.62528,9.37679,8.0636015,9.060303,8.613428,7.905265,5.976584
S40,9.137426,8.078999,6.446888,8.981503,9.800277,10.643154,9.385313,8.0588875,9.142774,8.579865,7.8754935,5.992757
S41,9.113614,8.046313,6.427684,8.976577,9.77621,10.645524,9.386798,8.050919,9.180398,8.568695,7.8580747,5.9900484
S42,9.086523,7.995988,6.409309,8.947812,9.757245,10.61003,9.356673,8.009821,9.146692,8.536143,7.817024,5.932259
S43,9.035597,7.917921,6.366417,8.9110985,9.72245,10.564966,9.314177,7.9468274,9.120476,8.462264,7.7386575,5.857238
S44,9.042342,7.9139113,6.378236,8.904859,9.725129,10.562973,9.314778,7.9486876,9.11247,8.483986,7.750551,5.8552775
S45,9.047911,7.8984394,6.385252,8.887641,9.727114,10.544803,9.302894,7.9341683,9.078694,8.4855795,7.7414927,5.831255
S46,9.052182,7.8798714,6.392585,8.862243,9.735176,10.508973,9.275658,7.906021,9.009533,8.475153,7.7224274,5.78193
S47,9.120437,7.9417768,6.445759,8.886651,9.7669525,10.552673,9.326507,7.9704127,9.036822,8.5644865,7.7971077,5.8615093
S48,9.07079,7.8337374,6.3945694,8.812764,9.737152,10.443797,9.236615,7.852428,8.898616,8.431712,7.6581297,5.6977015
S49,9.046553,7.7916455,6.3671346,8.790726,9.718819,10.410421,9.208817,7.8117824,8.86903,8.374996,7.601757,5.6455035
S50,9.081838,7.842782,6.407883,8.798931,9.754511,10.408727,9.210161,7.833412,8.814822,8.428554,7.6571484,5.6472945
S51,9.248428,8.085662,6.5740557,8.888487,9.885128,10.514759,9.311681,8.010243,8.804088,8.697301,7.929223,5.8295794
S52,9.239527,8.105312,6.5480056,8.919213,9.876296,10.556681,9.339271,8.0322075,8.888157,8.662485,7.9161,5.892805
S53,9.380614,8.313567,6.685862,8.999553,9.985134,10.650723,9.4285555,8.184756,8.888431,8.885104,8.143873,6.053195
S54,9.505529,8.5097885,6.8005514,9.079052,10.085386,10.742064,9.511272,8.323461,8.899266,9.064722,8.338417,6.2095933
S55,9.631893,8.714914,6.9073653,9.177462,10.176909,10.864834,9.620695,8.485349,8.975015,9.246081,8.537842,6.413046
S56,9.712885,8.856132,6.970769,9.246791,10.238105,10.94486,9.690782,8.590157,9.023203,9.348753,8.660534,6.5458274
S57,9.878255,9.095387,7.0746126,9.308283,10.382595,11.017465,9.831317,8.780114,9.055913,9.539664,8.859641,6.684397
S58,10.27269,9.612498,7.3271217,9.38503,10.739431,11.109503,10.128616,9.184813,9.0211115,9.992265,9.300724,6.8967934
S59,10.523115,9.994415,7.4828734,9.480872,10.974138,11.217438,10.332854,9.467848,9.049299,10.262391,9.598459,7.106079
S60,10.672005,10.289239,7.575013,9.622108,11.103209,11.392547,10.515647,9.710864,9.2323265,10.45338,9.836863,7.3910317
S61,10.458821,10.154659,7.432194,9.755346,10.88862,11.563759,10.475223,9.640316,9.577053,10.255712,9.71656,7.595666
S62,10.262351,9.991754,7.304448,9.817398,10.701167,11.642843,10.41656,9.54795,9.802992,10.094945,9.595983,7.662316
S63,10.004975,9.738152,7.138155,9.793408,10.51026,11.593267,10.260378,9.345036,9.856504,9.845548,9.381143,7.5270553
S64,9.861553,9.639979,7.0567465,9.863678,10.369659,11.712414,10.277934,9.342107,10.147651,9.814921,9.36784,7.660035
S65,9.685202,9.426167,6.929013,9.801357,10.240341,11.647277,10.1869,9.199056,10.191994,9.648403,9.1964655,7.5236325
