Segment,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
S1,6.416678,6.5463376,7.725569,9.23918,7.7766767,6.902419,7.274819,8.085351,5.7988696,11.00375,9.13542,7.425857
S2,6.3196087,6.523777,7.6467886,9.213499,7.762288,6.849898,7.2189946,8.032884,5.763211,10.989271,9.126699,7.4006157
S3,6.279121,6.5226183,7.610395,9.199897,7.757815,6.8360724,7.2092094,8.021621,5.744687,10.98467,9.121583,7.387024
S4,6.286619,6.5342054,7.610143,9.191175,7.7570577,6.851624,7.238285,8.042487,5.744101,10.983426,9.117592,7.382283
S5,6.3325653,6.5579023,7.6576777,9.196247,7.7603784,6.8852963,7.292417,8.090798,5.765823,10.9858675,9.117159,7.3965144
S6,6.424654,6.6273227,7.746174,9.216598,7.790431,6.9653187,7.3899455,8.184036,5.8144007,10.997154,9.131736,7.4313445
S7,6.5494347,6.7110667,7.8609424,9.260785,7.828452,7.0623274,7.5143733,8.294538,5.886685,11.016355,9.149757,7.4914374
S8,6.959754,7.0922813,8.194222,9.387639,7.997489,7.4016047,7.797823,8.512861,6.07651,11.117956,9.160768,7.648413
S9,7.2814817,7.234449,8.556583,9.5208025,8.073547,7.6063247,8.04337,8.667062,6.2399836,11.208465,9.199411,7.8218484
S10,7.9954185,7.820602,9.207716,9.729446,8.413299,8.223141,8.398512,8.912974,6.5053616,11.468198,9.273548,8.034004
S11,8.406241,8.204291,9.650296,9.94884,8.638293,8.54727,8.71632,9.122954,6.7642884,11.5791,9.366298,8.390471
S12,8.856449,8.41314,10.240519,10.313413,8.822849,8.885285,8.803602,9.333332,6.923178,11.810667,9.553329,8.605166
S13,8.619919,8.359185,10.165634,10.388631,8.888106,8.788787,8.668021,9.298098,6.922842,11.841403,9.708632,8.627285
S14,8.207852,8.244401,9.856138,10.336529,8.894057,8.5934515,8.507416,9.196372,6.8465466,11.808944,9.781422,8.555192
S15,7.7965226,8.057773,9.505967,10.249262,8.843777,8.366116,8.315933,9.036711,6.7195125,11.76258,9.790099,8.436889
S16,7.429068,7.8568177,9.143821,10.150897,8.768971,8.13165,8.08329,8.839736,6.5566983,11.703921,9.763038,8.288998
S17,7.0724077,7.6707363,8.7671175,9.999405,8.666325,7.910148,7.881629,8.635316,6.3715158,11.630658,9.685267,8.113164
