Segment,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
S1,6.3814926,5.283652,6.4738903,6.0023417,7.1184006,5.9623094,7.6398473,6.292983,8.170649,7.354446,7.288184,7.9672947
S2,6.2188153,5.0802426,6.3330374,5.857227,7.012134,5.8006887,7.5272913,6.170382,8.107702,7.2787895,7.1889663,7.863995
S3,6.442175,5.2029133,6.480735,5.946567,7.1126146,5.89252,7.692706,6.230356,8.154099,7.385409,7.29009,7.8787637
S4,6.8970084,5.56101,6.814068,6.204677,7.3484564,6.170406,8.023048,6.427282,8.277342,7.6019235,7.5210147,7.9952927
S5,7.280798,5.9138117,7.1109295,6.4581447,7.5618496,6.4479113,8.299254,6.6282644,8.39535,7.7847085,7.727755,8.133678
S6,8.255111,6.753387,7.852806,7.063343,8.086416,7.1106534,9.009528,7.098862,8.686135,8.256067,8.243454,8.43244
S7,8.84316,7.374724,8.337852,7.5091424,8.432406,7.6155386,9.4397335,7.461088,8.899443,8.540933,8.58128,8.704758
S8,13.0066805,10.68014,11.533701,10.117805,10.411138,10.09551,12.283279,9.370632,10.34551,10.545828,10.688172,9.794922
S9,11.611351,10.171266,10.644767,9.652099,9.916559,9.803253,11.334062,9.133831,10.030265,9.871781,10.120627,9.909947
S10,17.458857,14.668498,14.926894,13.412195,12.731758,13.089582,15.002313,11.584221,11.8807125,12.874614,13.017898,11.493359
S11,17.261383,15.234163,15.058727,13.759618,12.790645,13.636631,14.940757,12.024335,12.101733,12.731027,13.090551,11.978516
S12,15.123218,14.055697,13.751935,12.66088,11.819483,12.946128,13.781679,11.496588,11.713933,11.606743,12.168349,11.672089
S13,13.362387,12.740646,12.449275,11.595255,11.002918,12.055034,12.6731415,10.730067,11.15982,10.793769,11.315479,11.245765
S14,12.284437,11.74603,11.589215,10.808161,10.450145,11.344578,11.999894,10.130814,10.763071,10.290519,10.745853,10.840688
S15,10.295869,10.031382,10.012815,9.443908,9.479622,10.071249,10.684766,9.115723,10.017961,9.334422,9.709816,10.211096
S16,8.954031,8.642527,8.896277,8.412186,8.723454,8.966808,9.73866,8.2961,9.4988785,8.680971,8.94697,9.614847
S17,8.229648,7.7197876,8.237799,7.750122,8.260181,8.188738,9.194216,7.74535,9.17059,8.316881,8.4876995,9.167369
S18,7.556377,6.9001336,7.631565,7.1610117,7.845413,7.483519,8.672126,7.260654,8.863843,7.9737864,8.067965,8.784593
S19,7.025089,6.2396927,7.1461067,6.6864634,7.5180593,6.905987,8.251716,6.869805,8.610224,7.7016864,7.7335052,8.471695
