Segment,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
S1,6.4591365,9.116207,8.954335,5.887567,7.988834,6.853041,8.885166,7.5713415,6.6787667,8.620704,9.070429,5.875382
S2,6.382258,9.053922,8.873494,5.8483715,7.924983,6.813621,8.847127,7.5128446,6.6085014,8.598144,9.047786,5.8376107
S3,6.4033046,9.0633335,8.890596,5.849744,7.934237,6.8138394,8.856111,7.524387,6.623422,8.60528,9.050646,5.850235
S4,6.481022,9.12067,8.968702,5.882708,7.9926353,6.846327,8.893373,7.580375,6.6913743,8.628892,9.071188,5.8902235
S5,6.5492296,9.178609,9.042701,5.9217157,8.051837,6.8866844,8.927243,7.634155,6.755867,8.648987,9.092832,5.92344
S6,6.56767,9.222011,9.082728,5.9700465,8.09625,6.942666,8.939875,7.666511,6.79123,8.652487,9.112339,5.9261613
S7,6.761279,9.385658,9.297756,6.0865183,8.2620125,7.067657,9.035261,7.8179126,6.980676,8.713025,9.175769,6.0239563
S8,7.2204304,9.800324,9.822627,6.394038,8.683648,7.3989162,9.264949,8.194914,7.441328,8.852451,9.338075,6.2471714
S9,7.585561,10.096261,10.226792,6.605354,8.981172,7.629678,9.442517,8.470588,7.8002205,8.972159,9.454435,6.439109
S10,8.226161,10.674596,10.966818,7.0444307,9.566651,8.109081,9.761527,8.995392,8.452326,9.17181,9.68467,6.7552752
S11,8.830212,11.184428,11.651985,7.425554,10.077863,8.530527,10.056163,9.46519,9.061361,9.370066,9.888818,7.0700073
S12,9.508296,11.66599,12.359225,7.734924,10.557449,8.8646345,10.374901,9.934579,9.691035,9.601099,10.074986,7.446107
S13,10.007657,11.976257,12.85175,7.907955,10.863623,9.048267,10.602653,10.252576,10.130639,9.776808,10.192321,7.7358627
S14,10.359447,12.164037,13.174785,7.9868774,11.047477,9.125884,10.758429,10.458261,10.41835,9.901845,10.259501,7.946568
S15,10.488646,12.170002,13.249078,7.9328384,11.048963,9.056771,10.806434,10.494705,10.485151,9.952898,10.253852,8.0399275
S16,10.43218,12.042059,13.125596,7.7881308,10.917676,8.887121,10.767506,10.40144,10.375061,9.939168,10.195006,8.029092
S17,10.261676,11.845839,12.887784,7.6024895,10.720393,8.671128,10.677807,10.237146,10.161553,9.882746,10.108904,7.9489117
S18,9.929416,11.552149,12.494722,7.3669,10.426957,8.403975,10.515002,9.970891,9.810164,9.770413,9.986983,7.7750688
S19,9.550321,11.23915,12.061887,7.126465,10.115953,8.132256,10.333002,9.680122,9.422717,9.640383,9.858355,7.5706697
S20,8.783179,10.6936035,11.272088,6.7879963,9.570076,7.7746115,9.97184,9.146174,8.723725,9.385677,9.651559,7.151518
S21,8.452905,10.440568,10.91014,6.6049113,9.320179,7.569501,9.816529,8.904035,8.399542,9.271456,9.549305,6.968638
S22,7.456572,9.764357,9.921609,6.2264137,8.640155,7.187321,9.349072,8.229668,7.529574,8.946988,9.302744,6.4254756
S23,6.928621,9.399639,9.392801,6.0166245,8.273196,6.973505,9.100622,7.8679266,7.0639057,8.775143,9.168737,6.138779
S24,6.648449,9.205417,9.11052,5.902831,8.0781765,6.8562913,8.968908,7.6755357,6.814791,8.683258,9.096809,5.985953
S25,6.439378,9.062808,8.901874,5.821487,7.934901,6.773327,8.870816,7.53344,6.63079,8.614721,9.04442,5.871607
S26,6.2609816,8.947838,8.729582,5.762544,7.819079,6.7157,8.78767,7.4165707,6.4793024,8.556347,9.003453,5.7732086
S27,6.248146,8.945769,8.720962,5.76576,7.81737,6.719937,8.782645,7.4121165,6.471519,8.55125,9.003209,5.7642374
S28,6.2509,8.952093,8.726995,5.7728057,7.8239026,6.7281203,8.784622,7.4166656,6.476894,8.551849,9.006048,5.7646937
S29,6.261796,8.968779,8.744807,5.7898507,7.8408966,6.7478466,8.790937,7.429917,6.492737,8.554931,9.013433,5.7686453
S30,6.345611,9.046806,8.842779,5.8496947,7.920176,6.813066,8.833102,7.5002375,6.5789475,8.580502,9.044376,5.809183
S31,6.473886,9.157684,8.987721,5.93103,8.032388,6.9013596,8.896474,7.602106,6.706895,8.620908,9.087937,5.873866
S32,6.5603933,9.232241,9.088102,5.989062,8.107009,6.9665084,8.938816,7.670326,6.796574,8.649883,9.118375,5.9192767
S33,6.7170243,9.350639,9.25478,6.0679607,8.225912,7.051322,9.013652,7.783801,6.944298,8.701673,9.16416,6.003389
S34,6.8528504,9.45773,9.40285,6.1429715,8.333338,7.1330748,9.078882,7.88517,7.075685,8.746528,9.206259,6.0756493
S35,6.9785204,9.5366125,9.526415,6.186278,8.411607,7.1783,9.136583,7.9657736,7.1857405,8.790089,9.235652,6.147827
S36,7.1347065,9.659353,9.693383,6.2685223,8.535455,7.2656426,9.211789,8.082634,7.33276,8.839918,9.282742,6.2292075
S37,7.2656484,9.752566,9.827798,6.3257947,8.628875,7.32579,9.273572,8.173913,7.451707,8.8831,9.317785,6.3005433
