Segment,F1,F2,F3,F4,F5,F6
S1,5.756415,5.721578,5.8213196,6.5164003,5.6088657,4.7945623
S2,6.950852,6.260092,6.3044243,7.0007577,5.8101816,5.162935
S3,7.1859856,6.5146747,6.575368,7.2043233,6.0083117,5.0945325
S4,11.883874,9.893872,10.452532,9.319507,7.571891,6.836418
S5,11.529998,10.667028,10.856376,9.98788,8.654791,7.3765564
S6,15.432934,14.415539,13.591765,12.954566,9.906656,9.421188
S7,17.666082,15.724757,15.214196,13.240133,9.576889,9.9856
S8,15.131309,15.294127,14.567538,12.906592,10.388852,9.192132
S9,11.912408,12.9795685,11.825111,12.911746,8.979551,8.507409
S10,10.007956,11.652574,11.160889,11.958632,10.42257,8.538771
S11,9.18878,10.98281,10.805221,10.653344,10.093158,7.810634
S12,8.144716,9.0837,9.440105,9.211115,10.184231,7.6928606
S13,8.984856,8.317711,8.065025,9.325453,9.719611,8.298584
S14,7.518688,6.7421002,7.9145927,8.844063,9.818301,8.414891
S15,6.234104,5.7949443,6.126704,8.563832,8.456879,7.6669126
S16,6.1639037,5.6262574,5.2022557,7.9672494,7.63235,7.2379746
S17,5.430533,5.9841056,5.3910413,8.0214405,7.5811563,6.991154
S18,4.7124295,4.77022,4.625455,6.967088,5.893565,5.045163
S19,4.771892,4.3473215,4.5203013,6.540785,5.3230004,4.3469357
S20,4.445133,4.374843,4.480565,6.195572,5.1070056,4.163689
S21,4.434141,4.39154,4.4948134,6.068948,4.7836924,4.0748844
S22,4.628143,4.407698,4.628069,5.8676395,4.668262,3.9977937
S23,4.847991,4.624228,4.8186016,5.9887137,4.730787,4.0366154
S24,4.885483,4.6439614,4.7905455,6.037664,4.8226705,3.9877033
S25,5.109325,4.667313,4.910246,6.138307,4.931803,4.0641975
S26,5.895479,5.3455997,5.6112885,6.5261407,5.041556,4.199078
S27,6.2822113,5.718265,6.121046,6.8534756,5.32707,4.4291453
S28,6.518008,5.911018,6.27956,7.0807533,5.420872,4.4258213
S29,6.4017744,5.939966,5.9516573,7.0450053,5.3936725,4.4447064
S30,6.7337418,6.108359,6.325446,7.225871,5.518807,4.556996
S31,6.403076,5.9957314,6.385756,7.2569437,5.532341,4.4373612
S32,7.09632,6.596191,6.735915,7.716347,5.8440385,4.929914
S33,7.68482,6.869459,7.1291213,7.7941747,5.8662815,5.088069
S34,7.032528,6.6432786,6.8324056,7.5995235,5.8415637,5.029786
S35,6.5339394,5.997681,6.02553,7.5030007,5.408347,4.7182226
S36,5.490403,5.047792,5.253931,6.929045,5.369117,4.3531394
S37,5.167614,5.1167097,5.223502,6.9067287,5.304557,4.2924204
S38,5.198359,4.9996634,5.357067,6.6561933,5.3266373,4.4168324
S39,5.3847284,5.018535,5.281624,6.6879487,5.5055704,4.605183
S40,5.5496306,4.887595,5.337691,6.76743,5.5714774,4.625401
S41,5.8947377,5.0997214,5.331023,6.6723924,5.5925717,4.6148987
S42,5.763341,5.2529516,5.384576,6.89504,5.549895,4.609724
S43,6.211224,5.68458,6.012944,7.1681952,5.5670114,4.7122335
S44,6.251844,5.858071,5.952237,7.032782,5.514491,4.470837
S45,5.6006384,5.293922,5.5001855,6.7532177,5.206428,4.145949
S46,6.20783,5.708015,5.786499,6.927211,5.0412946,4.119105
S47,8.363236,7.286809,7.9505944,7.635269,5.979237,5.136201
S48,8.281545,7.493404,8.193177,8.130712,6.6201086,5.574707
S49,8.89318,7.9722114,7.9204245,8.520366,6.6711836,5.7983103
S50,10.62519,9.28118,8.820483,8.88328,6.8430905,6.5761037
S51,9.954555,9.575812,9.758418,9.351544,7.718322,6.9760056
S52,10.162478,9.849758,10.293891,9.92712,7.804757,7.271199
S53,11.565068,11.656951,10.528363,9.967914,8.989286,8.300885
S54,14.7564745,13.7088,13.745169,11.271716,10.343131,9.39105
S55,15.737396,15.052659,15.385162,12.054614,11.570125,10.559685
S56,16.613249,15.827839,16.009903,13.25257,12.261924,11.780992
S57,15.247054,14.879778,14.0095415,12.886115,11.694545,11.011796
S58,9.932216,10.853493,10.177688,10.714017,10.037691,8.234742
S59,8.617792,9.232325,9.243826,10.832655,8.025622,7.7360225
S60,6.924641,7.9969563,8.76442,9.033309,8.291788,7.295361
S61,7.3976765,7.278578,7.727883,8.546594,7.5101686,6.9245954
S62,7.66758,6.5057473,6.8345876,7.4161468,7.8594384,7.286685
S63,7.3249245,6.0820646,6.2831464,7.7645044,8.308021,7.5366426
S64,5.6880035,5.3420334,4.9504814,7.944525,7.3603554,7.0650363
S65,5.9142003,5.973381,5.6522303,8.059138,7.549589,6.9718437
S66,7.2875924,7.210534,7.0248194,8.030604,7.192463,6.1184297
S67,7.9032774,7.6959195,7.617726,7.9600215,6.8980517,6.1981874
S68,8.453679,7.7276683,8.031041,8.0785265,6.4729805,5.713346
S69,8.617852,8.181879,7.9846478,8.199309,6.7299414,5.9640536
S70,9.581774,8.98584,8.777521,8.705848,7.111878,6.2877197
S71,9.305022,9.050499,9.278041,9.040177,7.5147357,6.4253035
S72,9.156046,9.072858,9.168481,9.141516,7.440403,6.566685
S73,9.378739,9.20963,8.800151,9.239214,7.270617,6.6555967
S74,8.089514,7.9643655,8.23283,8.509278,7.0303264,6.0747375
S75,9.80775,8.983788,9.033652,8.94956,6.9047375,6.6714597
S76,9.199332,8.467884,8.821547,8.88012,7.6365695,7.083863
S77,7.5594234,7.122829,7.282103,8.234776,6.922258,6.0743628
S78,9.349145,8.468583,7.4828653,8.587449,6.6117725,6.3750043
S79,9.538368,8.235418,9.364906,8.730937,7.824792,7.121079
S80,9.45657,9.244108,9.565833,9.6328,8.069594,7.816579
S81,9.887861,9.316986,8.695125,8.905049,8.248946,7.81848
S82,9.606903,9.18255,8.165078,9.432786,8.214366,7.5390635
S83,6.6639943,7.423575,7.438471,8.383445,7.4524074,5.9415426
S84,7.1234264,6.9331646,7.467951,8.661409,6.820004,5.9892473
S85,6.7146287,7.1238127,7.0060577,8.112767,6.9379845,5.82409
S86,6.5790925,6.9003115,7.176022,8.197386,6.6774273,5.7493844
S87,7.493614,6.3250694,6.72065,7.328595,6.1595645,5.4642177
S88,7.5774164,6.7065396,6.6098385,7.8213415,6.7595067,6.406672
S89,7.1434727,6.7833714,6.721074,7.813659,6.7049384,6.070299
S90,7.0941014,6.5480227,6.5770717,7.7023625,6.590692,5.783641
S91,6.8880615,6.710335,6.4799137,7.7076163,6.5079703,5.4415245
S92,7.2110944,6.964071,7.0155716,7.8360095,6.317523,5.5123334
S93,6.9903326,6.7218213,6.841697,7.6096454,6.085319,5.097478
S94,6.3619933,6.078651,6.3973727,7.49249,5.867462,4.9072595
S95,6.8015165,6.2473702,6.2295675,7.3421426,5.8096795,4.9573374
S96,6.8291144,6.2865276,6.6984744,7.3570504,6.084379,5.2545805
S97,6.5089264,6.130225,6.439922,7.402189,5.959297,5.010167
S98,5.589344,5.1029825,5.182131,6.755626,5.4786916,4.416598
S99,6.325995,5.53542,5.6803703,7.1516953,5.471975,4.5689526
S100,6.229162,5.560099,6.368138,7.1018457,5.722521,4.586709
S101,6.8279266,6.1681213,6.8518825,7.602833,6.021615,5.3665037
S102,7.3766537,6.697745,6.6532326,7.355668,6.1554303,5.4650235
S103,6.67102,6.191404,5.962508,7.347353,5.9971557,5.0053835
S104,5.9800463,5.6537156,5.5814695,7.345496,5.6698546,4.3972774
S105,6.832581,6.0563936,6.861127,7.740993,5.790362,4.781296
S106,6.9856367,7.030839,7.044623,8.055952,5.986125,5.265083
S107,6.8557053,6.60624,6.8543925,7.8043294,5.9805713,5.0973573
S108,6.486007,5.756351,5.7591004,7.0484085,5.3895955,4.432139
S109,4.6786404,4.679641,4.4909987,6.686228,5.520364,4.2932096
