Segment,F1,F2,F3,F4,F5,F6
S1,4.867216,4.8442698,4.788638,4.664581,6.4322305,4.705498
S2,6.1763153,4.865131,4.6803493,4.917636,6.0453672,4.9651303
S3,6.2201214,6.292505,4.4236116,5.1480603,7.119315,5.9784694
S4,8.470651,9.484535,5.966859,7.452827,8.628698,6.9294305
S5,7.6032677,7.9995537,5.5076194,6.8035884,10.165806,6.8528337
S6,10.939132,12.241351,7.9046483,8.443128,13.120829,7.4278502
S7,12.682662,11.249149,7.7437615,10.744591,12.033055,10.488861
S8,9.05453,12.52567,7.1367235,9.51101,13.656765,6.899216
S9,10.266581,10.41326,8.743594,8.150365,12.869787,9.208075
S10,7.774169,10.237637,6.53327,8.472909,9.301225,9.625181
S11,11.257332,10.069842,9.889347,9.208089,10.932739,8.880034
S12,9.957064,8.997933,6.3775754,7.286373,11.074808,8.079686
S13,7.901999,6.975498,10.588897,9.434908,8.1689005,9.058225
S14,9.784502,6.5157795,7.1522384,7.18545,7.754976,9.227921
S15,5.148596,7.4586267,8.168991,8.401839,9.312802,8.958329
S16,6.7693386,7.1525455,8.507455,7.5843244,8.985327,8.503858
S17,2.8934429,5.7611756,7.8652573,5.1710253,8.459551,7.589025
S18,3.4199672,5.711195,5.8429747,4.2979236,7.424447,6.1970387
S19,3.6336164,5.1075697,5.23571,4.564502,6.6512165,5.640718
S20,3.6180763,5.195557,5.096357,4.3177786,6.465163,5.0004764
S21,3.9663196,4.664177,4.918026,4.0186043,6.1921425,4.9057612
S22,4.348289,4.9611044,4.5552354,4.3303347,5.9910045,4.7815056
S23,4.710727,4.681092,4.7192745,4.471756,5.9698396,4.655855
S24,4.4224396,4.9448,4.4676285,4.1919794,6.267211,4.742053
S25,4.6026397,4.918172,4.6123886,4.5300326,5.971782,4.781744
S26,5.0223308,5.530615,4.6091356,4.5915236,6.555362,5.1973524
S27,5.05384,5.52061,4.5620875,4.897793,6.7340255,5.1198225
S28,5.2044086,5.5161996,4.554315,4.9902644,7.086274,4.8840146
S29,5.0976787,5.471474,4.5113153,4.959114,6.8714266,4.997544
S30,5.652703,5.844787,4.5835176,5.2091327,6.811765,5.5620914
S31,5.198653,5.476371,4.584395,5.2035127,7.1511674,5.3296375
S32,5.9432793,6.355464,4.9874086,5.536827,6.9792037,5.4646983
