Segment,F1,F2,F3,F4,F5,F6
S1,6.656874,8.257063,3.54229,8.028393,8.109491,5.472672
S2,6.7703643,8.393755,3.6866422,8.129333,8.219543,5.5227404
S3,6.973975,8.660006,4.0249734,8.453002,8.586587,5.7494364
S4,7.7293415,9.668034,5.283526,9.601811,9.8844,6.5207963
S5,7.847282,9.769422,5.425073,9.762396,10.067465,6.6205735
S6,8.87122,11.079953,6.9749746,11.214437,11.74672,7.603343
S7,9.240183,11.488051,7.445757,11.591769,12.210787,7.8990045
S8,9.410426,11.729069,7.784707,11.954043,12.614358,8.175957
S9,9.471366,11.861768,7.971708,12.204482,12.905585,8.406749
S10,9.521891,11.999569,8.156698,12.464678,13.228047,8.681844
S11,9.35576,11.857384,8.003601,12.418137,13.202611,8.758477
S12,9.155073,11.684562,7.820607,12.339606,13.130406,8.802941
S13,8.983179,11.549911,7.7041106,12.3206,13.112769,8.866559
S14,8.740672,11.292149,7.4365916,12.1312895,12.8916445,8.778687
S15,8.485154,11.046544,7.1550756,11.934666,12.664514,8.674925
S16,8.011621,10.382632,6.2994485,11.03222,11.627086,7.993188
S17,7.7596984,10.208526,5.9680243,10.828383,11.369905,7.858778
S18,7.124145,9.120622,4.6506643,9.307298,9.63906,6.6252146
S19,6.7447677,8.535032,3.8820176,8.4826355,8.682713,5.967344
S20,6.5677795,8.263693,3.5298278,8.102812,8.238867,5.6543574
S21,6.438396,8.055788,3.2612596,7.809152,7.8937697,5.4054317
S22,6.355501,7.8854647,3.0477867,7.557205,7.5869994,5.171603
S23,6.3767834,7.89565,3.0689063,7.5678854,7.5914493,5.160615
S24,6.380782,7.8921432,3.0666144,7.5619745,7.5831103,5.149932
S25,6.426072,7.9306965,3.1226559,7.6029205,7.620569,5.156325
S26,6.5614843,8.108271,3.341058,7.8003554,7.84141,5.282638
S27,6.6983023,8.281561,3.5582194,8.001921,8.069447,5.4150553
S28,6.740147,8.321289,3.5963438,8.027656,8.1023,5.432336
S29,6.8532915,8.473259,3.788406,8.218043,8.321732,5.5714107
S30,6.9679747,8.626253,3.9714856,8.389733,8.519534,5.695489
S31,6.9653764,8.6261425,3.97972,8.4218,8.565323,5.743763
S32,7.1786637,8.92945,4.356307,8.781727,8.97205,5.995251
S33,7.230538,9.000264,4.4522204,8.890589,9.102141,6.090212
S34,7.2541428,9.039285,4.50432,8.955111,9.180657,6.1531053
S35,7.1764393,8.9464245,4.3960304,8.876067,9.098319,6.1252275
S36,7.1063895,8.875039,4.3230495,8.836187,9.056782,6.1205134
S37,7.0507355,8.819837,4.266249,8.798323,9.012493,6.100884
S38,6.9765873,8.726474,4.146994,8.678894,8.873363,6.0116444
S39,6.8607216,8.571641,3.95144,8.4886875,8.656085,5.878481
S40,6.8579335,8.573071,3.960257,8.495502,8.657792,5.8740754
S41,6.846019,8.550001,3.9329994,8.45858,8.609935,5.832485
S42,6.8340034,8.517947,3.8837414,8.38813,8.524704,5.764397
S43,6.945287,8.659824,4.0796957,8.577415,8.733288,5.8760104
S44,6.8116994,8.443396,3.7778661,8.248024,8.359634,5.622203
S45,6.7559505,8.359072,3.662081,8.1298485,8.228275,5.5370812
S46,6.830057,8.4596815,3.7698681,8.2155485,8.324476,5.589911
S47,7.1851373,8.943368,4.3703747,8.774889,8.952724,5.965412
S48,7.208531,8.956796,4.398525,8.821504,9.01612,6.0204363
S49,7.5142236,9.371949,4.912287,9.302439,9.558367,6.3456182
S50,7.802891,9.748049,5.3767533,9.736647,10.052129,6.645404
S51,8.103573,10.14215,5.877713,10.224128,10.609674,6.991583
S52,8.310327,10.406292,6.205277,10.541147,10.977192,7.2221932
S53,8.612812,10.810899,6.7055626,11.020616,11.526542,7.5622883
S54,9.254787,11.655558,7.714857,12.04496,12.682075,8.233238
S55,9.742914,12.267987,8.439971,12.794404,13.543768,8.753939
S56,10.116007,12.762439,9.0638275,13.47668,14.316771,9.240524
S57,9.964455,12.59914,8.949741,13.308598,14.179707,9.285872
S58,9.7391205,12.360784,8.683867,13.09853,13.968052,9.229438
S59,9.356464,11.907162,8.099738,12.577889,13.394703,8.935026
S60,9.179983,11.771794,7.9911914,12.581685,13.40648,9.014278
