Segment,F1,F2,F3,F4,F5,F6
S1,4.1804557,5.114727,6.593421,6.8427033,6.4792,7.4128385
S2,5.688766,6.302331,7.7836804,7.718128,7.161307,8.235554
S3,6.31555,6.90385,8.423765,8.22711,7.6984067,8.798607
S4,13.05811,11.753772,13.643432,11.76936,10.568546,12.056648
S5,9.180084,9.648374,11.343315,10.547569,10.137901,11.363128
S6,18.789688,16.405457,18.630474,15.400405,14.051412,15.794268
S7,16.555977,15.621633,17.74494,15.204977,14.564455,16.139366
S8,12.279399,12.93318,14.841617,13.395284,13.617001,14.84863
S9,9.647926,10.959579,12.731905,11.890835,12.52617,13.553125
S10,8.530088,9.9134445,11.621474,11.001608,11.687029,12.658861
S11,5.81233,7.7551985,9.339715,9.345434,10.215677,11.041172
S12,4.4237328,6.3664846,7.9518003,8.198283,9.050015,9.775024
S13,3.9771488,5.718718,7.2897396,7.5953197,8.247816,8.983197
S14,3.3950496,5.055823,6.6144977,7.0270114,7.5290213,8.256275
S15,2.9455152,4.5314198,6.078067,6.577051,6.942514,7.6617846
S16,3.3784742,4.694136,6.2172117,6.6177144,6.715726,7.5150347
S17,2.669172,4.070624,5.592338,6.1769443,6.2667775,6.9940715
S18,2.858491,4.119467,5.625396,6.1422806,6.078914,6.8521132
S19,2.402181,3.673995,5.1775174,5.838941,5.746883,6.453927
S20,2.5300527,3.727781,5.225077,5.83974,5.682409,6.416697
S21,2.5975358,3.7646756,5.2579923,5.8516173,5.6529117,6.404962
S22,2.9320757,4.049218,5.536704,6.0291476,5.7773223,6.5877204
S23,3.1547935,4.245282,5.7301702,6.182499,5.903284,6.73757
S24,3.0214527,4.1790624,5.6669507,6.1525164,5.9166408,6.7326784
S25,3.483185,4.534903,6.0178833,6.4071093,6.109902,6.9705377
S26,4.645917,5.450791,6.9210253,7.0740705,6.6147084,7.596584
S27,5.118725,5.921535,7.390633,7.4634695,6.996768,8.021699
S28,4.7175684,5.7227106,7.202738,7.371989,7.0532002,8.01937
S29,4.900494,5.8924713,7.3751874,7.504132,7.213815,8.183919
S30,5.422189,6.3184204,7.798581,7.819366,7.4870195,8.504997
S31,4.002591,5.3156624,6.8186073,7.142009,7.0960155,7.955034
S32,6.1712823,6.837232,8.355885,8.181342,7.7996974,8.8559475
S33,5.27034,6.3215237,7.812751,7.8771906,7.66878,8.66194
S34,4.832604,5.9961176,7.4948444,7.6468406,7.537856,8.473849
S35,3.53374,4.9898863,6.505941,6.920231,7.023161,7.816992
S36,2.9040353,4.399126,5.9201555,6.4447427,6.593998,7.3250947
S37,3.0319457,4.3787174,5.892462,6.3731694,6.416034,7.1776953
S38,3.34656,4.553235,6.056962,6.469182,6.3856645,7.199622
S39,2.8973505,4.1985583,5.703711,6.2169266,6.161959,6.93802
S40,3.559207,4.6549807,6.147933,6.517,6.314565,7.1683707
S41,3.9017167,4.9361653,6.423359,6.7295127,6.4618945,7.356926
S42,4.2881694,5.2642765,6.7466016,6.980599,6.6624627,7.5963664
S43,4.9005947,5.779767,7.2567716,7.371446,6.990635,7.983335
S44,4.035043,5.2026215,6.6935606,6.9998765,6.807628,7.698085
S45,3.5059042,4.785456,6.2849417,6.692742,6.6056705,7.4287024
S46,4.7611246,5.67784,7.160976,7.2957606,6.987569,7.9451895
S47,7.966853,8.02474,9.635584,9.007989,8.320574,9.509734
S48,5.50527,6.5932617,8.079275,8.121796,7.873325,8.903172
S49,8.174807,8.436952,10.068625,9.425019,8.924241,10.088159
S50,9.404396,9.491203,11.194869,10.272872,9.748401,10.978229
S51,9.899607,10.048516,11.78592,10.768873,10.344655,11.582186
S52,9.740873,10.100772,11.836575,10.877215,10.621742,11.822412
S53,11.027481,11.086847,12.897575,11.618307,11.32468,12.580958
S54,15.843905,14.601369,16.678146,14.2065735,13.473123,15.007595
S55,16.630407,15.6104,17.740892,15.147661,14.594955,16.155457
S56,15.432739,15.11014,17.188877,14.93737,14.81633,16.252045
S57,8.973579,10.71881,12.457359,11.828658,12.658006,13.655411
S58,6.3146744,8.444572,10.03724,9.981737,11.014022,11.836191
S59,4.7687016,6.84097,8.438108,8.631525,9.643108,10.349537
S60,3.9528618,5.859846,7.4469,7.765014,8.606722,9.296022
S61,3.4334424,5.177298,6.7470493,7.150725,7.7768593,8.478161
S62,3.3045328,4.8612404,6.4110293,6.831153,7.2251587,7.9663844
S63,3.7905924,5.080277,6.606464,6.923873,7.044447,7.8765073
S64,3.5364146,4.83536,6.3531413,6.732883,6.7762995,7.6046786
S65,4.2632623,5.32075,6.8199677,7.050212,6.8844805,7.801016
S66,6.1289363,6.696014,8.205672,8.032875,7.539103,8.632345
S67,7.2684193,7.6365294,9.210481,8.780988,8.205252,9.359373
S68,7.5110884,7.97936,9.571964,9.108729,8.616678,9.762387
S69,7.485673,8.098999,9.69681,9.253727,8.897881,10.014844
S70,9.276877,9.431674,11.131217,10.24151,9.777487,10.982371
S71,7.7637386,8.566809,10.19054,9.708448,9.55982,10.658568
S72,8.050716,8.767182,10.40937,9.843672,9.727054,10.823841
S73,6.4287014,7.663199,9.219459,9.061401,9.177991,10.173196
S74,5.9500084,7.2243476,8.753093,8.69241,8.834666,9.802124
S75,8.363536,8.811522,10.467252,9.783762,9.580009,10.708475
S76,5.168319,6.673324,8.2023325,8.322889,8.555362,9.471432
S77,3.9769142,5.605071,7.143937,7.4800963,7.836791,8.621526
S78,7.377398,7.8772297,9.471785,9.000384,8.742042,9.836367
S79,8.713405,8.953605,10.61958,9.849792,9.438742,10.635749
S80,7.834478,8.52115,10.1433935,9.629094,9.410195,10.54235
S81,8.571791,9.073722,10.739626,10.03963,9.797298,10.950746
S82,6.0466022,7.3883133,8.921476,8.8661995,8.982376,9.969462
S83,5.153606,6.5922213,8.118574,8.2280035,8.448247,9.342509
S84,4.9685593,6.304283,7.8280287,7.9507346,8.112158,9.001306
S85,3.6221967,5.1963563,6.73148,7.1238623,7.4197946,8.18643
S86,4.7701707,5.895655,7.406911,7.5388274,7.524284,8.435328
S87,4.6289363,5.7753153,7.2815485,7.452988,7.38807,8.306951
S88,5.3031154,6.2688007,7.7630982,7.7974257,7.5907836,8.589415
S89,5.584175,6.5223866,8.012721,7.999742,7.7521133,8.782829
S90,4.465213,5.717133,7.2212486,7.449904,7.395346,8.301062
S91,5.626486,6.519511,8.010538,7.9817696,7.712905,8.735226
S92,5.692296,6.62116,8.116548,8.082675,7.8236165,8.852367
S93,4.5632105,5.8130655,7.3159103,7.5277467,7.470307,8.377816
S94,4.217926,5.4931645,7.00024,7.2695947,7.2578306,8.12372
S95,4.814757,5.8804502,7.378073,7.5125093,7.367468,8.30371
S96,5.31141,6.263819,7.7540483,7.789998,7.5503035,8.548176
S97,3.3571992,4.842481,6.3588037,6.8113403,6.9114647,7.700131
S98,2.5268524,4.0375257,5.5592713,6.201793,6.3515105,7.02655
S99,4.4077053,5.36045,6.8530602,7.041321,6.816562,7.7319355
S100,5.028164,5.8918133,7.3743668,7.4539332,7.110344,8.109562
S101,5.42286,6.271061,7.749165,7.7642336,7.3873124,8.425863
S102,5.454609,6.3755317,7.8568926,7.8771644,7.5530787,8.582959
S103,2.959939,4.5473847,6.0640683,6.608121,6.7398634,7.488594
S104,5.2843213,6.1289363,7.612995,7.6380725,7.333272,8.326188
S105,5.0770674,6.0632157,7.551971,7.6396065,7.388336,8.37114
S106,5.3902726,6.3327127,7.8186016,7.846196,7.568553,8.580464
