Segment,F1,F2,F3,F4,F5,F6
S1,4.7774763,9.402534,9.024023,7.0745773,4.779664,8.7983265
S2,4.831475,9.407454,9.042566,7.090661,4.822849,8.8306
S3,5.035397,9.520767,9.16421,7.2741575,5.012114,8.90955
S4,5.5555015,9.786504,9.459048,7.715284,5.4894366,9.116669
S5,5.9189444,9.998122,9.68489,8.048339,5.8267856,9.2616
S6,6.640864,10.363203,10.09527,8.648691,6.4837556,9.558506
S7,7.267967,10.704984,10.472843,9.192229,7.0561614,9.819662
S8,7.8590245,11.105686,10.873738,9.802721,7.6140523,10.034181
S9,8.239471,11.406132,11.1571665,10.248259,7.9809065,10.156309
S10,8.471944,11.623503,11.348789,10.566549,8.21299,10.213546
S11,8.4801855,11.713344,11.403032,10.684388,8.239528,10.179685
S12,8.3250885,11.696094,11.34739,10.639816,8.114236,10.08249
S13,8.08771,11.613259,11.228108,10.50059,7.9119034,9.955623
S14,7.7290015,11.432312,11.01789,10.213777,7.591742,9.793564
S15,7.346155,11.223812,10.7837925,9.887469,7.247969,9.62731
S16,6.669025,10.7648735,10.329904,9.177282,6.604495,9.394297
S17,6.358192,10.580936,10.130902,8.89216,6.3232245,9.267078
S18,5.511638,9.96721,9.547817,7.941446,5.500893,9.007898
S19,5.0549893,9.643791,9.237202,7.438807,5.059911,8.864259
S20,4.8124323,9.473415,9.072228,7.1745296,4.826778,8.786099
S21,4.6341395,9.345422,8.949641,6.9764953,4.654488,8.730241
S22,4.4899497,9.233637,8.846593,6.804913,4.512147,8.689761
S23,4.487452,9.224906,8.84081,6.7935076,4.5082803,8.691688
S24,4.495026,9.225853,8.8435955,6.7958336,4.514572,8.69641
S25,4.5155706,9.230506,8.8522835,6.80514,4.5316253,8.7078905
S26,4.613144,9.278124,8.906671,6.8846855,4.620332,8.748299
S27,4.7510266,9.352123,8.987783,7.004911,4.7472124,8.80355
S28,4.8421774,9.400039,9.042281,7.0807333,4.829442,8.843469
S29,4.988893,9.492452,9.136886,7.22497,4.966941,8.897637
S30,5.1216063,9.571,9.219914,7.348836,5.089545,8.94912
S31,5.218572,9.64727,9.291707,7.4627914,5.18369,8.979597
S32,5.3727,9.7395735,9.387139,7.610612,5.3274865,9.035488
S33,5.488412,9.818126,9.464826,7.7325864,5.4377904,9.074965
S34,5.5555673,9.869279,9.513293,7.8098893,5.5027666,9.096011
S35,5.5486274,9.884873,9.52074,7.827621,5.500609,9.086069
S36,5.504578,9.881751,9.505985,7.8160715,5.4654536,9.058744
S37,5.421113,9.84445,9.460045,7.754757,5.3914037,9.019785
S38,5.297684,9.767684,9.380737,7.6353683,5.275974,8.972965
S39,5.1640935,9.685107,9.295561,7.5060525,5.151186,8.922958
S40,5.0978374,9.640523,9.250024,7.4390097,5.089663,8.897363
S41,5.0389786,9.593404,9.205708,7.3691096,5.0330033,8.878839
S42,4.9890466,9.545249,9.164187,7.2980714,4.98221,8.868206
S43,5.0676613,9.58633,9.208497,7.366501,5.0558925,8.898341
S44,4.971873,9.507118,9.138966,7.2430763,4.958694,8.877518
S45,4.9573092,9.498695,9.131526,7.226883,4.9435596,8.875266
S46,4.997431,9.51486,9.152704,7.254243,4.9778194,8.894572
S47,5.244282,9.64487,9.294918,7.4694405,5.205025,8.990546
S48,5.405608,9.748912,9.4008045,7.630983,5.357501,9.04977
S49,5.6493864,9.884704,9.546528,7.850006,5.582592,9.144444
S50,5.942603,10.047044,9.72205,8.111553,5.852964,9.26016
S51,6.2956133,10.256958,9.941549,8.444457,6.182238,9.393719
S52,6.5920057,10.43619,10.128926,8.7253685,6.4578795,9.507555
S53,6.931392,10.640393,10.342036,9.0472145,6.7734876,9.636345
S54,7.4657583,10.935802,10.6602,9.524975,7.266123,9.844613
S55,8.035666,11.260166,11.0071125,10.043033,7.79291,10.067451
S56,8.61416,11.626256,11.380624,10.614075,8.336548,10.279854
S57,8.878388,11.862466,11.593874,10.957117,8.599171,10.355242
S58,8.854567,11.928169,11.627293,11.031832,8.592579,10.318223
S59,8.549473,11.800324,11.470818,10.810428,8.316773,10.18351
S60,8.35508,11.760916,11.389168,10.733354,8.157564,10.067165
S61,7.904173,11.518959,11.120805,10.348736,7.7462173,9.8771305
S62,7.44204,11.252508,10.834002,9.931802,7.322129,9.688591
S63,7.018614,10.990826,10.559972,9.527985,6.9311833,9.522052
S64,6.6313396,10.744639,10.305065,9.148737,6.57314,9.373823
S65,6.23925,10.470239,10.034372,8.728793,6.202399,9.239161
S66,5.768037,10.094576,9.689072,8.157219,5.7381806,9.107877
S67,5.499032,9.847421,9.475984,7.7851644,5.4626503,9.052176
S68,5.3885455,9.715148,9.374826,7.5872297,5.338027,9.049908
S69,5.616411,9.846708,9.515655,7.794579,5.5482407,9.140879
S70,5.9088073,10.010629,9.692721,8.0561905,5.816877,9.257439
S71,6.1567264,10.171004,9.85641,8.303467,6.0490956,9.349867
S72,6.400436,10.333497,10.019115,8.554127,6.278715,9.436549
S73,6.556845,10.459715,10.13658,8.742557,6.431039,9.48369
S74,6.649806,10.549371,10.214044,8.874558,6.525352,9.50373
S75,6.7906303,10.643072,10.305282,9.024317,6.660051,9.54749
S76,6.811693,10.691502,10.3381815,9.091813,6.6900377,9.538413
S77,6.7020435,10.657559,10.286763,9.02943,6.59661,9.481901
S78,6.6420226,10.60825,10.239053,8.959644,6.539055,9.459377
S79,6.65183,10.588007,10.228542,8.939074,6.5439577,9.470123
S80,6.6662827,10.582557,10.229337,8.93482,6.5552397,9.481557
S81,6.730994,10.60684,10.261178,8.977128,6.6127496,9.5124035
S82,6.605285,10.522921,10.181592,8.840231,6.49001,9.47716
S83,6.549213,10.506872,10.157934,8.806462,6.440238,9.45207
S84,6.4178853,10.435039,10.081383,8.688427,6.316998,9.402585
S85,6.3056803,10.39463,10.026445,8.616991,6.21876,9.348236
S86,6.2132983,10.348525,9.972125,8.544712,6.136105,9.305062
S87,5.9861884,10.194704,9.821196,8.306266,5.9187136,9.227829
S88,6.021308,10.22712,9.846,8.359968,5.958356,9.2286825
S89,6.0584154,10.255122,9.868734,8.407543,5.9990883,9.233647
S90,5.848147,10.10743,9.726407,8.177089,5.7969327,9.167624
S91,5.7157927,9.998859,9.628143,8.011629,5.66498,9.133144
S92,5.6848917,9.964808,9.60069,7.961083,5.6318,9.1299715
S93,5.5592294,9.874057,9.516565,7.8171616,5.5075727,9.095624
S94,5.565366,9.889618,9.527568,7.83741,5.5155506,9.093718
S95,5.5765524,9.900627,9.5367565,7.854209,5.526864,9.095255
S96,5.5977874,9.9114485,9.548615,7.8730483,5.5463543,9.102811
S97,5.5975456,9.934703,9.561244,7.9034386,5.5530014,9.091877
S98,5.4453435,9.854088,9.472847,7.770997,5.412778,9.031723
S99,5.4043374,9.8268,9.443876,7.731474,5.3750696,9.013684
S100,5.365254,9.787992,9.40993,7.6765075,5.335779,9.003579
S101,5.363193,9.769734,9.3987255,7.65338,5.3302865,9.009427
S102,5.441297,9.813009,9.444619,7.723927,5.4037504,9.039033
S103,5.3234425,9.744289,9.374642,7.609667,5.292247,8.999848
S104,5.3237453,9.732238,9.367992,7.593764,5.2884483,9.005532
S105,5.3863993,9.770664,9.407456,7.655041,5.347414,9.028201
S106,5.4550304,9.810558,9.449426,7.7190633,5.4113297,9.054066
S107,5.4505296,9.807284,9.4475155,7.712271,5.4058404,9.054962
S108,5.3398333,9.752624,9.387396,7.618388,5.3029857,9.012991
S109,5.3170877,9.767108,9.388142,7.634141,5.289234,8.99036
S110,5.2370415,9.747472,9.352448,7.5970287,5.223269,8.944758
S111,5.00567,9.611124,9.208959,7.3807707,5.007947,8.85617
S112,4.8070574,9.487016,9.081014,7.1874614,4.8221993,8.781441
S113,4.598078,9.353129,8.945112,6.9788117,4.6257634,8.705533
S114,4.4597883,9.250923,8.846771,6.82436,4.493025,8.659699
S115,4.621913,9.327173,8.93162,6.9585686,4.6441536,8.720717
S116,4.533254,9.244963,8.861978,6.833096,4.5535035,8.705253
S117,4.4745526,9.203227,8.823674,6.76409,4.495358,8.691645
S118,4.3601346,9.130198,8.75253,6.64436,4.384173,8.657084
S119,4.3232884,9.105215,8.729199,6.603836,4.3468356,8.646864
S120,4.3343096,9.128579,8.745703,6.636194,4.360923,8.643533
S121,4.3645372,9.14324,8.761928,6.662495,4.388354,8.653981
S122,4.381932,9.166201,8.779511,6.6962857,4.4085197,8.653795
S123,4.518175,9.237705,8.856297,6.81704,4.535395,8.703692
S124,4.6822896,9.31954,8.948127,6.9542093,4.6864724,8.769603
S125,4.897278,9.441893,9.077701,7.151043,4.8873806,8.85187
S126,5.1238747,9.555624,9.206683,7.337178,5.0935926,8.947324
S127,5.31793,9.620524,9.302022,7.450788,5.258274,9.048672
S128,5.7075715,9.855209,9.547942,7.8193955,5.6205583,9.198409
S129,5.869811,9.998082,9.679524,8.024398,5.7792354,9.249156
S130,5.974126,10.10874,9.773342,8.182494,5.8855824,9.270483
S131,5.9708347,10.141596,9.79162,8.224365,5.8891788,9.254141
S132,5.9844313,10.190587,9.821214,8.294355,5.913422,9.236096
S133,5.865571,10.136532,9.7552595,8.207233,5.8079433,9.179582
S134,5.853563,10.155359,9.757914,8.236705,5.808252,9.154272
S135,5.6919136,10.041752,9.6455,8.064888,5.655671,9.096665
S136,5.5864367,9.96267,9.5688505,7.946577,5.555969,9.060939
S137,5.420078,9.861969,9.464146,7.786089,5.4018636,9.000105
S138,5.131238,9.677663,9.278975,7.493223,5.128037,8.901269
S139,4.76519,9.432916,9.039286,7.107398,4.776154,8.781781
S140,4.5267615,9.270565,8.881221,6.853791,4.546131,8.703593
S141,4.52549,9.287373,8.888147,6.879055,4.551671,8.690675
S142,4.4243426,9.2226095,8.821775,6.7791944,4.457223,8.652538
S143,4.410122,9.1966715,8.801428,6.7460976,4.441322,8.651241
S144,4.4614806,9.208915,8.821853,6.772954,4.4864697,8.676314
S145,4.51658,9.2298,8.849382,6.8090897,4.5356765,8.702983
S146,4.5791655,9.253204,8.8811245,6.848587,4.5901685,8.734756
S147,4.660431,9.2785425,8.920205,6.893198,4.658433,8.778754
S148,4.753699,9.320907,8.973445,6.9606504,4.7393317,8.8246765
S149,4.925128,9.437842,9.089756,7.1399617,4.901449,8.885138
S150,5.1306596,9.571202,9.223748,7.348835,5.095307,8.9571705
S151,5.2713065,9.676354,9.32382,7.508978,5.231362,9.001436
S152,5.2638936,9.70092,9.336853,7.537212,5.23029,8.988473
S153,5.2114906,9.702937,9.322628,7.5308456,5.1895714,8.953416
S154,5.1379814,9.680735,9.287149,7.492327,5.127833,8.912187
S155,4.947095,9.5715475,9.170196,7.3192673,4.951622,8.836415
S156,4.7773495,9.466302,9.060865,7.1558847,4.793638,8.771162
S157,4.685074,9.403343,8.996649,7.0619583,4.708226,8.7352915
S158,4.5993533,9.334745,8.931981,6.9602575,4.6259694,8.708196
S159,4.490313,9.244786,8.850307,6.823952,4.5182996,8.6792555
S160,4.4828157,9.217368,8.83265,6.7868047,4.5058656,8.6870165
S161,4.527292,9.22811,8.85191,6.807346,4.543296,8.712284
S162,4.539691,9.2079525,8.846414,6.779993,4.545476,8.733718
S163,4.6665673,9.273791,8.921486,6.88524,4.6595664,8.788693
S164,4.8693805,9.403945,9.053512,7.088374,4.8504086,8.861904
S165,5.024165,9.512735,9.159943,7.254936,4.9980574,8.914402
S166,5.0744805,9.561813,9.2034025,7.3250227,5.0480986,8.927593
S167,5.265126,9.680992,9.3232765,7.5160284,5.2282853,8.992438
S168,5.337487,9.739694,9.377398,7.6046853,5.299939,9.013078
S169,5.3309493,9.750752,9.382123,7.6170015,5.2971478,9.004814
S170,5.2866187,9.738919,9.36264,7.5939255,5.2593613,8.981489
S171,5.4271483,9.806999,9.437986,7.712318,5.388982,9.034072
S172,5.4802275,9.829069,9.465795,7.7505784,5.4369907,9.058318
S173,5.5377564,9.861971,9.5010605,7.8021765,5.490469,9.081622
S174,5.5162063,9.853355,9.491448,7.7842994,5.470194,9.075162
S175,5.472975,9.831995,9.468154,7.746928,5.4294467,9.0595255
S176,5.4647713,9.826999,9.463224,7.739001,5.4209723,9.056625
S177,5.4600263,9.833558,9.465603,7.747017,5.41886,9.050434
S178,5.4528217,9.849264,9.471477,7.7672706,5.418187,9.037253
S179,5.2452664,9.715999,9.338751,7.556142,5.219978,8.966442
S180,5.1934824,9.701777,9.314582,7.530757,5.1771297,8.936799
S181,5.134622,9.676121,9.281232,7.4902678,5.126748,8.906546
S182,5.06927,9.64497,9.242605,7.4415455,5.070586,8.87456
S183,4.8041763,9.449332,9.058114,7.139671,4.8120317,8.79463
S184,4.761911,9.4123125,9.024474,7.0854874,4.770519,8.782614
S185,4.7516775,9.386829,9.007025,7.051122,4.75646,8.786944
S186,4.8391905,9.426949,9.054105,7.119166,4.8360343,8.8242235
S187,4.953679,9.479695,9.116702,7.207136,4.9391375,8.874618
S188,5.003064,9.498011,9.143376,7.23584,4.980461,8.902822
S189,5.0990605,9.557339,9.205813,7.326773,5.0687575,8.941218
S190,5.221508,9.637847,9.287047,7.4512305,5.183651,8.985411
S191,5.399617,9.745867,9.39867,7.6231413,5.3500004,9.050497
S192,5.560946,9.850566,9.504097,7.7870226,5.5024996,9.107399
S193,5.7824254,9.978429,9.638782,7.992889,5.70846,9.190396
S194,6.074607,10.149484,9.817825,8.2672615,5.9814143,9.299337
S195,6.4389796,10.352393,10.035442,8.59515,6.3188,9.440578
S196,6.7976685,10.561309,10.256452,8.926796,6.6520834,9.579381
S197,7.1042285,10.7482815,10.45146,9.218442,6.9373145,9.697449
S198,7.5272293,10.98867,10.708224,9.602487,7.3275747,9.862497
S199,7.947289,11.234697,10.969011,9.991491,7.7160916,10.026079
S200,8.367094,11.511233,11.246833,10.419366,8.112363,10.176368
S201,8.608379,11.70583,11.4283,10.708519,8.3473425,10.250609
S202,8.67968,11.811022,11.509695,10.854249,8.427234,10.253168
S203,8.55527,11.791891,11.464182,10.807365,8.323223,10.182771
S204,8.380794,11.746631,11.386417,10.723057,8.177054,10.085433
S205,8.029355,11.566744,11.1820135,10.434174,7.8588777,9.933767
S206,7.635203,11.346004,10.94125,10.086179,7.4985857,9.771078
S207,7.157521,11.047542,10.633713,9.621188,7.0526366,9.591494
S208,6.763059,10.795428,10.375195,9.231123,6.684834,9.443903
S209,6.410163,10.564776,10.140848,8.874764,6.3551035,9.315002
S210,5.9204397,10.214027,9.803878,8.332945,5.8831167,9.1597
