Segment,RMSE,MAE,Pearson_r,R2,Max_Error,MAPE
S1,10.397498,6.340293,0.25191,-0.326349,28.311604,0.483714
S2,10.578071,6.557414,0.295643,-0.494503,27.123012,0.406494
S3,10.620164,6.979555,0.264383,-0.507547,28.028899,0.495739
S4,10.915264,7.28217,-0.232307,-0.546846,29.438003,0.590231
S5,11.008383,7.39478,-0.49808,-0.534653,28.055342,0.622276
S6,10.4186,7.045161,0.094286,-0.287792,27.325613,0.668617
S7,10.833981,7.241663,-0.666099,-0.309098,29.412669,0.824716
S8,8.716806,5.687317,0.202666,0.00813,25.702733,0.917696
S9,8.454151,6.035156,0.799239,0.11192,24.007459,1.323786
S10,5.540898,4.97776,0.694043,-0.389952,7.863836,1.627543
S11,6.588877,6.298493,0.752593,-4.086447,8.514821,2.306349
S12,7.390814,7.163422,0.621479,-9.145241,9.142672,2.740109
S13,6.88485,6.68242,0.463383,-13.551114,9.987692,2.727395
S14,6.682001,6.640737,0.392512,-85.764645,7.528638,2.709118
S15,6.597823,6.512975,-0.08256,-83.592335,8.46307,2.704238
S16,6.223945,6.150922,0.393495,-74.876262,7.579143,2.519304
S17,6.372003,6.19735,-0.02638,-63.918285,8.537097,2.565442
S18,5.992677,5.830401,0.704941,-20.750508,7.818806,2.170747
S19,5.20909,4.930605,0.551023,-10.583611,7.66839,1.861555
S20,4.634195,4.529083,0.823146,-7.65242,6.169252,1.589626
S21,4.029194,3.786889,0.660378,-5.676024,5.922107,1.246444
S22,2.395853,2.143517,0.787785,-0.939026,3.353789,0.694033
S23,1.984123,1.502343,0.549744,-0.560243,4.256767,0.49102
S24,2.027008,1.617069,0.370064,0.007613,4.445028,0.43545
S25,1.696879,1.424817,0.491449,0.202764,3.282665,0.311388
S26,1.648033,1.334171,0.471811,0.186537,3.861006,0.283554
S27,2.364099,1.864979,-0.155487,-0.457194,4.275684,0.462708
S28,2.630885,2.15977,-0.351035,-0.651426,4.188261,0.608851
S29,2.50205,2.132671,-0.158977,-0.410727,4.310204,0.609876
S30,2.713556,2.385239,-0.466946,-0.704321,4.913617,0.675956
S31,2.851233,2.451952,-0.436108,-0.814701,4.34334,0.79981
S32,2.704721,2.303644,-0.138114,-0.639352,4.631137,0.770075
S33,2.983335,2.682151,-0.551497,-1.06596,5.607839,0.813887
S34,2.779537,2.564086,-0.15371,-1.01528,4.307777,0.804003
S35,2.767937,2.325686,-0.280978,-0.946992,4.506989,0.755817
S36,2.660409,2.285187,0.149172,-3.376613,4.536369,0.786536
S37,2.928924,2.692555,0.397464,-4.5171,3.973451,0.898697
S38,2.940819,2.566344,0.297475,-3.041329,4.803937,0.894397
S39,2.968196,2.462155,0.404613,-0.109899,6.003684,0.691748
S40,2.6382,2.115045,0.471466,0.059022,5.752391,0.510119
S41,3.126082,2.575735,0.380559,0.141075,6.47026,0.53422
S42,3.385334,2.551,0.585473,0.210734,6.980697,0.432821
S43,3.573567,2.726905,0.712379,0.170483,6.346532,0.361728
