Segment,RMSE,MAE,Pearson_r,R2,Max_Error,MAPE
S1,10.734535,6.668243,0.418403,-0.413731,28.079091,0.438402
S2,10.961191,7.092857,0.345701,-0.60472,28.137704,0.460847
S3,11.351937,7.554347,-0.057835,-0.722457,30.098977,0.537929
S4,10.86505,7.011244,0.022553,-0.532646,28.939619,0.499079
S5,11.139377,7.188273,-0.774152,-0.571393,29.501895,0.566616
S6,10.345798,6.985554,0.223059,-0.269857,27.091086,0.660491
S7,9.937684,6.695735,0.564524,-0.101454,26.628167,0.770658
S8,7.883618,5.87476,0.560763,0.188682,21.795,1.11016
S9,8.067658,5.892045,0.676985,0.191263,22.919797,1.326502
S10,8.475056,8.271882,0.924314,-2.251807,10.835767,2.417219
S11,9.273626,9.004031,0.875008,-9.076062,12.542948,2.776744
S12,7.964691,7.758072,0.690639,-10.781909,9.910016,2.92128
S13,8.561019,8.263069,0.418184,-21.498739,12.11321,3.254356
S14,6.714364,6.573407,0.410476,-86.607133,8.755262,2.622007
S15,5.618508,5.422,0.071777,-60.343936,8.276364,2.247461
S16,5.890798,5.624369,0.050663,-66.970862,8.101115,2.327947
S17,5.586595,5.011695,0.250708,-48.901017,8.376987,2.018377
S18,4.991984,4.670391,0.622731,-14.092951,6.411319,1.783568
S19,5.429011,4.95569,0.532207,-11.582348,8.298083,1.790092
S20,4.133876,3.931893,0.751812,-5.884998,5.533165,1.356548
S21,4.756019,4.588113,0.870066,-8.301836,7.044315,1.36733
S22,2.429317,2.2101,0.841708,-0.993572,4.04206,0.652321
S23,1.91512,1.459522,0.481832,-0.453606,5.027608,0.43411
S24,1.509776,1.144612,0.68069,0.449452,3.125541,0.284709
S25,1.991933,1.624392,0.234516,-0.098588,3.662031,0.348624
S26,1.773884,1.450104,0.432735,0.057554,4.019717,0.298641
S27,2.234952,1.759933,-0.091607,-0.302334,4.538137,0.414523
S28,2.292977,1.947744,-0.056115,-0.254453,4.033345,0.512895
S29,2.615494,2.073365,-0.491016,-0.541552,5.643314,0.535872
S30,2.275615,1.875693,-0.064874,-0.198591,4.625902,0.546338
S31,2.816784,2.273816,-0.540903,-0.771114,4.679542,0.757894
S32,2.327348,1.921251,0.454175,-0.213808,4.217984,0.665416
S33,2.598645,2.370856,0.07637,-0.567515,3.806136,0.745699
S34,2.469992,2.311078,0.587843,-0.591408,3.444255,0.739763
S35,2.587696,1.997937,-0.404397,-0.701681,5.361105,0.628849
S36,3.023852,2.663223,-0.058247,-4.654086,6.024069,0.918695
S37,3.022726,2.674091,-0.268972,-4.876143,4.602987,0.9372
S38,2.574904,2.187919,0.381887,-2.0982,4.540448,0.7763
S39,2.708463,2.102864,0.500549,0.075846,6.167097,0.578621
S40,2.660112,1.973571,0.284593,0.043327,6.71577,0.437918
S41,2.675545,2.033228,0.709393,0.370815,5.816927,0.397
S42,3.333671,2.454789,0.658516,0.23464,7.053788,0.370995
