Segment,RMSE,MAE,Pearson_r,R2,Max_Error,MAPE
S1,9.282599,6.33546,0.224549,-0.057157,24.965462,0.731834
S2,9.18144,5.763431,0.194965,-0.125914,26.186885,0.466998
S3,8.945487,5.582017,0.374411,-0.069588,24.715819,0.417826
S4,8.677335,5.500668,0.611655,0.022422,23.464464,0.468512
S5,9.082925,5.479585,0.328994,-0.044755,24.126158,0.507464
S6,9.260182,5.849812,0.290286,-0.01734,25.039805,0.66615
S7,9.842228,6.587614,-0.064682,-0.080396,27.32856,0.893603
S8,8.977695,6.314309,-0.116941,-0.052131,25.369298,1.101664
S9,8.886546,6.710504,0.146157,0.018754,24.258175,1.438867
S10,5.846608,5.188704,0.105087,-0.54756,8.11602,1.690396
S11,5.859504,5.17488,0.02854,-3.022661,8.36959,2.07587
S12,6.179721,5.711545,0.226233,-6.092766,8.46337,2.345637
S13,6.5911,6.290362,0.181553,-12.335921,9.020019,2.632941
S14,6.974111,6.81711,-0.175784,-93.516433,8.676013,2.846391
S15,6.965422,6.806859,-0.198622,-93.281064,9.928876,2.85464
S16,6.935248,6.801006,0.013033,-93.210306,8.865883,2.834233
S17,6.996565,6.751659,-0.727338,-77.268101,10.201329,2.888083
S18,6.702664,6.391161,-0.320112,-26.209628,9.281118,2.593481
S19,6.439525,6.011024,-0.400577,-16.70223,9.253042,2.396883
S20,6.006459,5.670142,0.019091,-13.535367,8.123974,2.159525
S21,5.642852,5.288753,0.031262,-12.094194,7.990881,1.818928
S22,5.101841,4.578742,-0.247703,-7.792598,8.037775,1.593353
S23,4.580943,4.162803,0.132288,-7.316961,6.824575,1.244811
S24,4.308159,4.081173,-0.138866,-3.48284,6.501559,1.086824
S25,3.788478,3.492639,0.194691,-2.973881,5.606977,0.864209
S26,3.649159,3.163321,0.095622,-2.988332,6.146677,0.791575
S27,3.599873,3.196204,0.375353,-2.378784,6.034105,0.840086
S28,3.824306,3.439347,0.192653,-2.489478,6.396829,0.95472
S29,3.849381,3.277952,0.30521,-2.339126,7.582575,1.018776
S30,4.07726,3.497181,0.301795,-2.847782,6.98164,1.12997
S31,4.442143,3.950154,0.286442,-3.404785,6.723394,1.302807
S32,4.516486,4.051121,0.218125,-3.571184,7.001694,1.335864
S33,4.978951,4.587696,-0.406248,-4.754312,8.236851,1.524572
S34,5.133483,4.521014,-0.538919,-5.874086,8.394587,1.589727
S35,4.795557,4.112588,-0.301488,-4.844265,7.752929,1.391265
S36,4.92599,4.594754,0.017731,-14.00474,7.043938,1.46274
S37,5.031921,4.791188,0.246783,-15.284048,8.303097,1.538539
S38,5.13634,4.774201,-0.254094,-11.328067,7.590834,1.58098
S39,5.252951,4.903931,-0.567857,-2.476203,7.141253,1.400877
S40,4.629853,4.443744,0.076734,-1.898,6.123916,1.126373
S41,4.794969,4.624268,-0.251424,-1.020811,6.585528,1.073426
S42,4.920376,4.564319,-0.408368,-0.667313,7.223606,1.042386
S43,4.88208,4.556999,-0.547766,-0.548215,7.546108,0.864886
S44,4.424069,4.138079,-0.175113,-0.23477,6.706271,0.745297
S45,4.593855,4.216769,-0.113801,-0.166805,8.908877,0.664338
S46,6.875994,5.303883,-0.382242,-0.323277,19.005008,0.648381
S47,7.77129,6.019542,-0.323639,-0.406695,16.98983,0.680352
S48,8.082456,6.587938,-0.267028,-0.680209,16.355226,0.620749
S49,7.38121,5.796439,0.399565,-0.437409,15.917908,0.437003
S50,7.522835,6.001382,0.320671,-0.379118,16.953526,0.516786
S51,7.478254,6.256035,0.29717,-0.168327,15.475257,0.663313
S52,7.200212,6.239943,0.553478,-0.061156,14.230257,0.694243
S53,7.100744,6.298327,0.646886,0.084936,14.801804,0.843832
S54,7.480863,6.568068,0.382619,0.06033,15.707886,1.016626
S55,8.1302,6.985453,-0.147883,-0.07526,17.879573,1.165611
S56,8.344287,7.473955,-0.22648,-0.089666,15.930806,1.324956
S57,8.177177,7.392934,-0.159422,-0.089091,14.908683,1.410807
S58,6.686987,6.255727,0.016048,-0.22495,11.246994,1.432175
S59,5.940766,5.493595,-0.091924,-0.938677,8.525306,1.442502
S60,5.698109,5.037804,-0.299509,-3.836169,8.411077,1.44094
S61,5.344159,4.48645,-0.21451,-2.798719,7.869762,1.273601
S62,5.255586,4.387845,-0.336993,-1.389524,8.338101,1.169787
S63,4.582588,3.667225,-0.007749,-0.943923,7.205518,0.961887
S64,4.052897,3.306456,0.128234,-0.607127,7.169421,0.797287
S65,3.220384,2.622602,0.556389,-0.194869,6.666344,0.551101
S66,2.994516,2.384455,0.372553,-0.260688,5.931449,0.434396
S67,3.229373,2.712785,-0.064904,-0.363405,6.145915,0.435073
S68,2.962773,2.518533,0.304013,-0.021894,4.916645,0.464444
S69,3.238231,2.697896,0.313642,-0.010997,6.361877,0.583212
S70,3.733382,3.176616,-0.050925,-0.191828,6.800105,0.657407
S71,4.406604,3.682267,-0.611962,-0.552731,6.908809,0.718034
S72,3.830895,3.380743,-0.071938,-0.177569,6.057897,0.664706
S73,3.849798,3.385519,-0.03551,-0.143211,7.121134,0.676183
S74,3.797318,3.094923,0.020709,-0.165824,8.409545,0.726784
S75,3.961168,3.113934,0.026432,-0.194082,7.976805,0.773559
S76,4.142194,3.495208,-0.003903,-0.311673,7.373322,0.826662
S77,3.802172,3.487931,0.607303,0.031895,6.443839,0.875552
S78,3.898422,3.443243,0.535344,-0.019514,6.468375,0.920716
S79,4.599257,4.015801,-0.007718,-0.710383,7.355257,1.109266
S80,4.525208,3.875691,-0.350728,-0.884057,7.306839,0.944416
S81,4.007561,3.483979,-0.165127,-0.695502,6.482919,0.760057
S82,4.287886,3.826883,-0.266369,-1.414123,7.656379,0.881296
S83,4.18075,3.623166,-0.208709,-2.424376,9.00126,0.897556
S84,4.117189,3.50284,-0.033068,-2.646639,8.011848,0.870737
S85,4.309702,3.910738,0.14318,-6.675371,7.232573,0.96157
S86,3.942855,3.773835,0.686006,-5.386528,5.232856,0.866554
S87,4.13615,3.621601,-0.024812,-5.989913,6.548896,0.898201
S88,4.094904,3.447177,-0.231013,-5.555355,7.315144,0.885187
S89,3.845508,3.479791,0.438196,-3.715056,6.343272,0.983408
S90,4.367073,3.923363,0.416118,-3.447229,7.115114,1.463572
S91,4.401314,3.748897,0.009863,-3.219578,7.633864,1.538959
S92,4.742169,3.934783,-0.445965,-3.995202,8.172051,1.665257
S93,4.699912,3.849213,-0.260679,-3.918407,8.333358,1.63194
S94,4.190834,3.49702,0.114792,-2.992338,8.3699,1.478648
S95,4.772848,4.063302,0.16575,-2.984577,9.570674,5.903253
S96,5.123899,4.258969,-0.483761,-2.965776,9.567706,7.257532
S97,4.774672,3.701697,-0.251458,-2.480957,8.688659,7.415891
S98,4.346144,3.489835,0.155307,-1.840918,8.933445,7.421826
S99,4.159507,3.579901,0.576532,-1.605479,7.991325,6.749569
S100,5.036827,4.244792,0.182301,-2.145972,9.295171,10.268871
S101,5.067411,4.049744,-0.001881,-2.345563,10.575552,11.615425
S102,4.933156,4.08483,0.270132,-1.944278,9.656643,12.720626
S103,5.440177,4.628554,0.297465,-2.361756,8.960169,14.143109
S104,5.565334,5.011801,0.582516,-2.615513,8.419448,12.810815
S105,6.307157,5.85619,0.088743,-3.797376,9.182595,15.846024
S106,6.685955,5.848291,-0.320222,-5.047738,10.467439,17.328394
S107,6.393227,5.563917,-0.613632,-2.775516,9.58123,11.013936
S108,6.527778,5.874426,-0.279168,-3.72814,10.32737,11.686488
S109,6.613745,6.144689,0.128107,-4.018084,10.147113,11.091704
S110,7.021312,6.616259,0.12317,-5.436368,9.416682,12.765326
S111,7.201575,6.843519,-0.166045,-6.047088,10.14493,12.906206
S112,6.842511,6.536429,0.383262,-5.361884,9.328088,11.485283
S113,6.738234,6.139856,0.267657,-4.675406,8.820458,12.53703
S114,6.707184,6.252743,0.344679,-4.593267,9.496828,13.652116
S115,6.688826,6.100027,-0.400411,-3.185218,9.543169,14.073447
S116,6.608441,6.007132,-0.710731,-2.63091,10.015575,14.021847
S117,5.979621,5.003083,-0.456923,-1.966814,9.11525,13.130314
S118,5.683914,4.704987,-0.214922,-1.087436,10.138151,12.275287
S119,6.214252,5.469067,-0.442107,-0.9341,9.482207,12.96426
S120,5.747926,4.819255,-0.357091,-0.621845,10.230074,13.002756
S121,5.170433,4.38601,0.332647,-0.214597,9.477865,11.64726
S122,4.824161,4.013423,0.312857,-0.16171,8.48005,10.080031
S123,4.736498,3.800535,0.330623,-0.135782,8.831272,8.979373
S124,4.442232,3.707578,0.313018,-0.117465,9.534291,6.450759
S125,4.394215,3.539492,0.465007,-0.05843,8.721934,7.399011
S126,4.11328,3.055552,0.361835,-0.081426,9.841316,1.514696
S127,4.889859,3.910542,-0.220955,-0.581435,11.120685,1.785385
S128,5.252887,4.422055,-0.490067,-0.84618,10.537573,1.830432
S129,5.407016,4.980292,-0.08717,-0.720319,9.635585,3.028753
S130,5.487474,5.197013,0.407854,-0.89536,7.526184,6.256894
S131,5.929079,5.354378,0.325912,-3.22909,8.977111,9.079003
S132,6.471134,6.02623,0.041393,-8.885274,10.285758,10.407591
S133,6.032424,5.817156,0.527136,-9.613063,8.665582,9.783543
S134,6.288834,6.04472,0.421212,-10.666687,9.0619,10.094008
S135,6.490602,5.900552,-0.354148,-9.576445,10.320645,10.886984
S136,6.589916,5.761935,-0.773792,-8.546898,10.611327,11.678792
S137,6.468143,5.68508,-0.616142,-8.055381,10.455459,11.288095
S138,6.278406,5.668055,-0.143413,-6.991007,9.540863,10.22698
S139,6.277528,5.67678,-0.273337,-5.809646,9.752118,9.197804
S140,6.208582,5.48699,-0.172719,-5.610044,9.200425,9.568554
S141,5.643408,5.078263,0.121645,-5.186812,8.968833,8.270443
S142,5.008156,4.568734,0.05893,-3.874328,8.711455,3.716388
S143,4.385803,3.839908,0.214658,-3.934106,6.86937,1.516928
S144,4.4393,3.887288,0.372651,-2.905368,7.728057,11.614213
S145,4.453823,3.994939,0.546201,-2.592536,7.390937,16.331601
S146,4.483353,3.934769,0.409264,-2.748049,8.139438,18.07249
S147,4.993799,4.404697,0.378298,-2.962188,8.914461,21.343513
S148,5.382517,4.90447,0.225847,-3.62599,8.565441,20.100435
S149,5.560776,4.797954,0.011314,-3.949777,9.175603,22.774667
S150,5.805066,4.949959,-0.236666,-4.649772,10.364112,25.588714
S151,6.105716,5.489469,-0.523156,-7.263426,10.011928,24.6779
S152,6.104996,5.299007,-0.544283,-7.323625,9.450577,22.982518
S153,5.958244,5.30417,-0.193054,-6.714656,10.036527,18.777528
S154,6.106398,5.57409,-0.282845,-9.370207,9.528841,20.952188
S155,6.041042,5.420456,-0.303268,-7.344151,9.19699,23.272538
S156,5.471851,4.871681,-0.126183,-6.672651,8.788914,5.611876
S157,4.98864,4.551288,0.107795,-7.376622,7.582987,3.468242
S158,4.913549,4.561704,0.291604,-7.191236,8.712784,3.712956
S159,4.608174,4.393092,-0.273772,-3.8146,7.045632,1.277534
S160,4.189469,4.01615,0.263449,-3.158545,6.133519,1.092386
S161,4.241727,3.947963,0.289336,-3.088782,6.96689,1.152816
S162,4.231885,3.894948,0.439945,-2.826784,5.961842,1.193876
S163,4.946764,4.477422,-0.576932,-1.506393,7.418333,1.264581
S164,4.669074,3.95274,-0.228851,-1.229607,8.204213,1.225381
S165,4.391735,3.629136,0.017638,-0.977661,7.525716,1.16649
S166,4.369135,3.763726,0.20381,-0.898201,7.916385,1.20516
S167,4.736527,4.285725,-0.055819,-1.228214,7.59605,1.305145
S168,4.947971,4.527057,-0.268665,-1.420892,7.873815,1.402867
S169,4.535205,4.102137,0.28211,-1.016076,7.316097,1.302593
S170,4.220498,3.971156,0.575076,-0.771668,6.347791,1.15422
S171,4.871466,4.75818,0.385125,-1.869979,6.858521,1.451737
S172,5.367658,5.182917,-0.273883,-2.454095,7.280264,1.586346
S173,5.180407,4.897532,-0.04627,-2.242429,6.671907,1.560131
S174,4.994024,4.723874,0.231126,-1.983401,6.893904,1.530359
S175,5.271209,5.020724,0.19541,-15.931831,7.065491,1.706774
S176,5.418111,5.067098,-0.188862,-18.212252,8.209244,1.780546
S177,5.630676,5.086839,-0.903314,-20.150784,8.509352,1.857914
S178,5.3821,4.841155,-0.64763,-12.821502,8.519605,1.727486
S179,5.171873,4.710115,-0.450441,-7.658145,7.712938,1.629984
S180,5.130779,4.593821,-0.194254,-8.388863,8.401737,1.603382
S181,4.978593,4.447851,-0.108877,-7.468644,7.623364,1.519234
S182,4.717736,4.171798,-0.077428,-6.660475,6.992069,1.353536
S183,4.337786,3.996348,-0.208915,-3.895427,6.934717,1.116413
S184,3.796057,3.424324,0.093052,-3.401406,6.127788,0.867472
S185,3.835565,3.430841,-0.255759,-1.682531,6.814991,0.77082
S186,3.763625,3.284129,-0.455736,-1.099867,6.170435,0.578772
S187,4.446323,3.619241,-0.668028,-0.669396,10.346941,0.513056
S188,4.361363,3.609239,-0.459678,-0.474665,8.440834,0.449213
S189,4.206688,3.654436,-0.225179,-0.354045,7.645803,0.403282
S190,5.713199,4.381434,-0.375761,-0.473242,15.115252,0.404913
S191,6.254723,4.743094,-0.300181,-0.54909,13.056296,0.409387
S192,6.22634,5.134559,-0.089944,-0.777199,12.322422,0.408568
S193,5.683166,4.615391,0.408379,-0.738049,11.997912,0.338788
S194,5.660018,4.424955,0.382196,-0.817596,12.869231,0.308487
S195,5.638757,4.474788,0.385047,-0.528877,11.459216,0.323518
S196,5.556047,4.542043,0.502886,-0.325739,10.187401,0.357622
S197,5.475956,4.734141,0.566012,-0.050448,10.78367,0.452305
S198,5.624895,4.87383,0.453139,0.040352,11.650326,0.550212
S199,5.939527,5.055078,0.006212,-0.053464,13.811371,0.666523
S200,6.087023,5.312648,-0.117836,-0.090229,11.720999,0.776097
S201,6.123207,5.544808,-0.035951,-0.084878,10.847601,0.895981
S202,5.307997,5.016542,0.050005,-0.367212,7.626134,0.988918
S203,5.090943,4.643392,0.104682,-1.603903,7.476873,1.076298
S204,5.278905,4.918464,0.039179,-10.47933,7.691125,1.194421
S205,5.565472,5.395928,0.129481,-39.164589,7.646527,1.31895
S206,5.793744,5.707414,0.504532,-120.254372,7.215418,1.444303
S207,5.872395,5.770979,0.336059,-240.753525,7.828093,1.499878
S208,5.883465,5.759081,0.042245,-249.308199,7.215334,1.508076
S209,5.828563,5.678288,-0.234248,-235.315871,8.142657,1.500623
S210,5.738682,5.638574,0.451,-165.744368,7.349529,1.496874
S211,5.641376,5.459916,-0.319953,-152.778329,7.746279,1.469962
S212,5.523105,5.287617,-0.524361,-91.512751,8.306145,1.426468
S213,5.439664,5.248755,-0.096656,-75.901412,7.517414,1.428814
S214,5.439048,5.325826,0.537653,-27.405651,6.886622,1.952917
S215,5.390486,5.254266,0.4921,-22.21172,7.279702,2.14579
S216,5.44899,5.190738,0.020737,-24.110493,7.816054,2.258594
S217,5.402684,5.10966,-0.089506,-23.685523,8.272104,2.286126
S218,5.292854,5.120374,0.390996,-21.220608,7.105864,2.21422
S219,5.579361,5.414903,0.511307,-14.508404,8.463537,144.102917
S220,5.847366,5.41742,-0.319269,-16.105248,9.677289,192.506397
S221,6.141411,5.725499,-0.148347,-13.316552,8.941876,215.005481
S222,6.137295,5.785015,0.026789,-13.327606,8.956773,229.963529
S223,6.095983,5.86635,0.340242,-14.186411,8.520781,202.703587
S224,6.478163,6.239733,0.15409,-20.924698,9.240624,238.306513
S225,6.712519,6.459775,0.109429,-20.882852,10.451946,269.468447
S226,6.556317,6.168172,-0.281178,-18.984209,9.673275,250.76385
S227,6.604096,6.264169,-0.071564,-17.469831,10.521073,230.249244
S228,6.575983,6.331217,0.206719,-18.255952,9.766611,168.174543
S229,6.728792,6.412869,-0.108617,-21.377942,8.885313,202.45821
S230,6.673124,6.166151,-0.429529,-14.534728,9.518877,232.364498
S231,6.286973,5.870702,-0.187123,-14.744787,10.055569,11.312099
S232,6.478087,6.115608,-0.134683,-17.451351,9.322122,12.403958
S233,6.251529,6.025426,0.291453,-17.383089,9.845058,7.687109
S234,6.373576,6.170798,0.389338,-16.266365,9.109876,8.486696
S235,6.643386,6.4042,0.251157,-17.640236,8.207996,10.616713
S236,6.468439,6.303353,0.494373,-17.013336,8.514561,10.76802
S237,6.352672,6.173607,0.43946,-17.755569,8.388738,8.893934
S238,6.729444,6.451856,0.020823,-22.545855,8.974289,10.043335
S239,6.730894,6.320456,-0.474376,-24.107904,9.864806,9.226004
S240,6.800956,6.425624,-0.347737,-23.976753,9.802854,10.020152
S241,6.812454,6.512117,-0.128086,-26.051092,9.815867,10.175274
S242,6.994562,6.819138,-0.036772,-88.22336,9.240741,9.705464
S243,7.101872,6.91952,-0.228447,-127.994564,8.860288,9.640239
S244,6.950202,6.726415,-0.288639,-75.279268,9.345703,9.250132
S245,6.76812,6.480347,-0.469513,-53.710493,8.725622,7.741087
S246,6.529331,6.199518,-0.544523,-44.596643,9.431333,6.25921
S247,6.188619,5.847737,-0.42391,-35.199548,8.745603,4.048173
S248,6.0018,5.6271,-0.409743,-27.740636,8.178673,3.69397
S249,5.783123,5.452935,-0.186401,-24.98794,7.964676,3.255241
S250,5.463166,5.193498,0.016914,-27.148764,7.260797,2.595427
S251,5.374903,5.146738,0.158761,-28.57821,7.99023,2.550069
S252,5.168617,5.031266,0.505312,-38.99082,7.125317,1.897959
S253,5.104883,4.991072,0.621494,-41.717878,6.763558,1.817603
S254,5.093173,4.972815,0.59622,-36.533517,6.496786,1.868124
S255,5.141829,5.008969,0.542333,-32.305701,6.686,1.976168
S256,5.364827,5.208297,0.45966,-24.77467,6.710347,2.439484
S257,5.624547,5.390378,0.142369,-26.500268,7.380074,2.805833
S258,5.828956,5.564877,-0.021386,-29.211666,8.194273,3.082488
S259,6.022162,5.721384,-0.319901,-38.623239,8.278902,3.293761
S260,6.118507,5.828596,-0.422655,-50.579509,8.634308,3.33757
S261,6.183778,5.912144,-0.448876,-62.835099,8.620055,3.449479
S262,6.318286,6.120198,-0.122083,-80.710693,9.432624,3.718027
S263,6.448643,6.298636,0.206433,-70.83329,8.827859,4.261543
S264,6.524551,6.389624,0.303026,-66.47525,8.497533,4.588654
S265,6.596246,6.510128,0.599053,-56.603577,7.827748,5.283149
S266,6.706097,6.646438,0.739771,-43.932679,8.222385,9.092736
S267,6.83546,6.741059,0.567698,-41.685948,8.05333,11.209432
S268,6.981047,6.817218,0.277562,-35.54225,8.921755,12.724021
S269,7.207154,6.979087,0.03622,-32.188266,9.640255,14.435406
S270,7.344949,7.094209,-0.069929,-33.0275,9.254668,16.225747
S271,7.464993,7.215597,-0.175972,-41.233255,9.761248,18.082122
S272,7.560911,7.337012,-0.250931,-62.532115,10.350026,19.148235
S273,7.624659,7.346465,-0.645652,-70.806729,9.797978,19.271066
S274,7.537064,7.236862,-0.620999,-57.493691,10.582248,18.114005
S275,7.376362,7.08388,-0.459306,-48.772075,10.637069,16.38939
S276,7.258298,6.959875,-0.379965,-41.259564,9.996161,16.731426
S277,7.054659,6.758175,-0.25538,-34.251853,9.278751,15.897187
S278,6.710222,6.305943,-0.264419,-18.609164,8.510116,9.879436
S279,6.548488,6.306853,-0.466175,-4.816343,9.085406,7.687179
S280,6.188646,5.921298,-0.493317,-2.586178,9.145459,6.432424
S281,5.539649,5.078918,-0.304034,-2.116591,8.424264,5.43888
S282,5.195321,4.596259,-0.393497,-1.42661,7.721931,2.067743
S283,4.677199,4.060048,-0.180051,-1.191271,7.366478,1.524913
S284,4.164542,3.752335,-0.038481,-0.896663,6.719221,1.167244
S285,3.600868,2.931072,0.234167,-0.441826,6.353741,0.946021
S286,3.350486,2.811104,0.150416,-0.351205,6.578981,0.791542
S287,2.80088,2.18594,0.292729,-0.174499,6.357571,0.566939
S288,2.744413,2.065167,0.1689,-0.326755,6.051849,0.44239
S289,2.744525,2.307384,0.092496,-0.439998,5.349107,0.409071
S290,3.058284,2.584633,0.475076,-0.030371,5.428395,1.772065
S291,3.7771,3.205028,0.43984,-0.389399,7.701876,3.054542
S292,4.360149,3.750333,0.556775,-0.816011,8.747774,5.156822
S293,5.028598,4.138255,0.440089,-1.142808,8.959803,7.33244
S294,5.804476,5.099445,0.162109,-2.446046,8.389758,8.735742
S295,6.301487,5.584028,-0.013315,-2.80802,9.653332,10.652484
S296,6.761349,5.866616,-0.111353,-3.780163,10.919243,11.950699
S297,7.024849,6.218607,-0.287339,-5.830196,10.310383,12.587674
S298,7.272704,6.734627,-0.424103,-12.360787,10.454234,13.132517
S299,7.316557,6.807982,-0.417856,-11.485247,10.493596,12.647434
S300,7.287046,6.78693,-0.250971,-11.423497,10.149281,12.659583
S301,8.040272,7.554549,-0.580128,-1.55675,12.084757,12.442984
S302,8.397515,7.842657,-0.490084,-0.504868,14.462769,9.77599
S303,8.021282,7.566852,-0.322836,-0.26273,12.880346,8.644508
S304,7.55163,7.167432,-0.113055,-0.098098,12.37926,5.750334
S305,6.962926,6.374606,0.086907,-0.011588,11.535563,3.723249
S306,6.788696,6.090342,-0.014794,-0.048185,13.051783,3.130534
S307,5.832799,5.074229,0.475937,0.143947,11.650822,1.237143
S308,5.517471,4.862846,0.630764,0.206433,10.47325,0.740214
S309,5.464937,4.527975,0.708761,0.239537,11.347744,0.738377
S310,6.208587,5.247302,0.21705,0.027152,12.380629,0.850531
S311,6.823048,5.929478,-0.014531,-0.050132,14.646778,1.356657
S312,7.435654,6.678407,-0.239787,-0.177912,13.460386,1.505184
S313,6.694895,6.156473,0.030105,-0.027383,11.708056,1.87814
S314,5.757909,5.319406,-0.027509,-0.149334,8.40421,2.054853
S315,5.905951,5.359558,-0.160183,-0.414866,8.158615,2.187147
S316,5.97423,5.45926,-0.052992,-0.823184,8.699792,2.407349
S317,6.035993,5.528414,0.298133,-0.743892,9.942952,2.925774
S318,6.453716,6.076263,0.440261,-1.295493,9.466212,3.777774
S319,6.686684,6.261477,0.21247,-1.466005,9.73549,4.02668
S320,6.519911,6.243837,0.242503,-1.384541,8.86812,3.685214
S321,6.974976,6.589199,-0.472416,-1.746107,9.691887,3.813373
S322,6.59512,6.197139,0.003128,-1.466966,8.959525,3.668466
S323,6.523188,6.081403,-0.269762,-1.551124,10.37021,3.281118
S324,6.402219,5.733687,-0.52881,-8.909218,10.668278,3.378996
