Segment,RMSE,MAE,Pearson_r,R2,Max_Error,MAPE
S1,9.821645,5.929125,-0.08814,-0.183501,28.013858,0.588197
S2,9.643882,5.510029,-0.044201,-0.242189,25.779843,0.364514
S3,9.600022,5.733446,-0.00525,-0.231836,26.603518,0.400114
S4,9.683403,6.148883,-0.027567,-0.217403,26.961103,0.547158
S5,9.977127,6.904135,-0.232492,-0.26059,26.052349,0.740514
S6,9.733787,6.683593,0.034181,-0.124063,24.596129,0.810248
S7,10.03191,7.037375,-0.112939,-0.122441,25.951785,1.004757
S8,9.177979,5.957106,-0.252001,-0.099598,26.720446,1.079588
S9,9.413389,6.640813,-0.299334,-0.101043,26.531246,1.424603
S10,5.718623,5.058047,-0.068597,-0.480548,10.297852,1.557001
S11,5.68907,4.987182,-0.222565,-2.792052,10.030507,2.099823
S12,6.143824,5.577987,-0.082659,-6.010602,8.83265,2.285077
S13,6.485863,6.030334,-0.282966,-11.913466,10.374491,2.622844
S14,6.482743,6.346264,0.126118,-80.667138,9.402696,2.582241
S15,6.36712,6.183999,-0.124988,-77.779965,9.315492,2.576804
S16,6.138974,6.013856,0.365455,-72.818643,8.399179,2.458359
S17,5.965013,5.766634,0.049819,-55.890257,8.450812,2.393675
S18,5.590663,5.254807,-0.025511,-17.930163,8.667962,2.155901
S19,5.10009,4.747035,0.193222,-10.10391,8.24811,1.88167
S20,4.748084,4.511548,0.512543,-8.082923,7.145347,1.728901
S21,4.43564,4.138306,0.237786,-7.090848,6.980965,1.416332
S22,4.140892,3.716933,0.194367,-4.792301,6.253443,1.238293
S23,3.831004,3.459657,0.402558,-4.816746,5.80253,1.022843
S24,3.759676,3.189508,0.008512,-2.414056,6.419598,0.909467
S25,3.568708,2.838841,-0.068017,-2.526203,8.273094,0.794003
S26,2.636765,2.46971,0.868484,-1.082326,4.104541,0.583388
S27,3.635103,3.212416,-0.134233,-2.445239,5.976535,0.838829
S28,3.713834,2.908326,-0.096799,-2.290791,6.925833,0.919371
S29,4.070921,3.169625,-0.431683,-2.734532,8.803131,1.074353
S30,4.116391,3.462587,-0.268078,-2.921994,8.930771,1.112497
S31,4.363464,3.705327,-0.173767,-3.250133,7.922606,1.256247
S32,4.311104,3.559915,-0.003877,-3.164896,7.293134,1.2623
S33,4.459545,3.931499,-0.098479,-3.616352,8.74552,1.326687
S34,4.420613,4.260469,0.104747,-4.09748,6.638285,1.302962
S35,4.440692,4.005691,-0.290213,-4.011329,7.148385,1.270694
S36,4.438421,4.065297,0.072163,-11.181435,7.299008,1.325976
S37,4.525441,4.245346,0.264532,-12.170932,6.287455,1.377246
S38,4.651628,4.151522,-0.182074,-9.111079,7.722506,1.378101
S39,4.482338,4.088351,-0.016643,-1.53109,8.093122,1.181329
S40,3.817726,3.62544,0.503915,-0.970487,5.609517,0.940121
S41,3.795737,3.447543,0.380235,-0.266328,5.550102,0.852949
S42,4.37567,3.990879,-0.075353,-0.318589,7.389377,0.837988
S43,3.26506,2.979968,0.632997,0.307525,5.04821,0.531323
S44,4.018712,3.476489,0.149316,-0.018864,6.790717,0.602971
S45,4.455649,3.792793,0.092983,-0.097655,7.319618,0.582158
S46,6.467958,4.922619,0.152787,-0.170884,17.363051,0.554401
S47,7.197266,5.828948,0.435154,-0.20656,15.640714,0.575947
S48,7.579406,6.534948,0.506228,-0.477567,13.767845,0.575071
S49,7.849959,6.407016,0.234317,-0.625773,18.93595,0.527098
S50,8.110395,6.838247,0.043039,-0.602959,16.583028,0.611566
S51,8.45044,7.248903,-0.326918,-0.491842,17.252124,0.774883
S52,8.368192,7.160724,-0.252733,-0.433349,17.599389,0.796692
S53,8.369439,7.243553,-0.248135,-0.271267,16.78959,0.97236
S54,8.12072,7.211953,-0.036225,-0.107289,15.301089,1.08366
S55,8.003583,7.043407,0.020972,-0.042029,16.222379,1.128715
S56,8.191442,7.180906,-0.07711,-0.050112,17.362186,1.211585
S57,8.259317,7.144781,-0.267638,-0.111081,17.239555,1.262786
S58,6.846061,6.054271,-0.35543,-0.283922,13.6362,1.294665
S59,5.53222,5.027967,-0.080328,-0.6812,9.455994,1.235314
S60,4.905474,4.298801,0.218251,-2.58428,7.357801,1.241305
S61,4.756086,4.139795,0.049049,-2.008693,7.769169,1.162575
S62,4.621434,4.09762,-0.019368,-0.847662,7.425096,1.062999
S63,4.00809,3.511983,0.166023,-0.487074,6.399223,0.865159
S64,3.435135,2.916923,0.270595,-0.154533,6.787892,0.681586
S65,3.521389,2.883277,-0.105264,-0.428672,6.797262,0.534421
S66,2.604335,2.289466,0.348994,0.04644,4.673665,0.374392
S67,3.282954,2.698745,-0.141769,-0.409023,5.743104,0.378085
S68,3.023938,2.282708,0.181097,-0.064523,5.795858,0.400802
S69,3.291525,2.624037,0.167445,-0.044549,6.985741,0.574255
S70,4.39814,3.671059,-0.597169,-0.654044,8.788241,0.75531
S71,3.818376,3.311993,0.000335,-0.165858,8.268024,0.612036
S72,3.286387,2.608869,0.382163,0.133391,6.190093,0.505199
S73,4.067586,3.448706,-0.180866,-0.276215,6.18768,0.628799
S74,3.732089,3.44322,0.018667,-0.126115,5.654637,0.662461
S75,3.521536,3.168282,0.301444,0.056261,5.836208,0.683375
S76,4.46233,3.935153,-0.443517,-0.522257,7.34295,0.857667
S77,4.575741,4.055083,-0.253431,-0.402109,6.85973,1.003783
S78,4.379792,3.905282,-0.083655,-0.286834,7.252364,0.972915
S79,4.140569,3.544896,0.081841,-0.386239,9.135361,0.978368
S80,3.650205,3.449476,0.196387,-0.225889,5.093157,0.708049
S81,3.808221,3.141953,-0.228216,-0.531025,6.410982,0.656786
S82,3.679306,3.364717,-0.096309,-0.77748,5.560878,0.719973
S83,3.685045,3.201162,-0.300216,-1.660472,5.705956,0.739294
S84,3.776635,3.186254,-0.350073,-2.068325,7.623554,0.763764
S85,3.456165,3.109265,0.44382,-3.936214,7.484907,0.782841
S86,3.748206,3.327126,-0.106084,-4.771517,6.342121,0.834668
S87,3.698888,3.005847,-0.2099,-4.590127,7.526488,0.768152
S88,3.328104,2.764182,0.205666,-3.330145,7.133558,0.676243
S89,3.41288,2.816969,0.19487,-2.713825,6.479829,0.908689
S90,4.107347,3.149663,-0.14652,-2.933974,8.112461,1.439936
S91,4.280564,3.053227,-0.554065,-2.991226,9.949266,1.590473
S92,3.900533,2.980336,-0.008749,-2.379457,9.984153,1.393871
S93,3.686982,3.0972,0.262811,-2.026822,7.164857,1.259012
S94,3.828696,3.058064,-0.17766,-2.332177,7.185506,1.31713
S95,4.095448,3.410992,0.308335,-1.933796,7.441378,6.392939
S96,4.296085,3.45419,0.023067,-1.787872,9.113391,7.555054
S97,4.582834,3.101085,-0.483306,-2.206859,10.983517,8.880867
S98,3.845492,2.850314,0.259207,-1.2241,8.201307,5.309193
S99,4.20629,3.403183,-0.048966,-1.664417,8.212008,6.889583
S100,4.377937,3.536346,0.398581,-1.37673,7.427861,9.260833
S101,4.657791,3.697551,-0.05709,-1.826552,9.037565,9.538085
S102,5.064562,3.761536,-0.445437,-2.103223,10.902455,12.9461
S103,5.402112,4.057223,-0.342906,-2.314877,9.200975,13.701266
S104,5.640018,4.374711,-0.30897,-2.7132,10.808985,14.607829
S105,5.861621,5.004326,-0.027411,-3.143544,10.613984,13.675186
S106,5.96177,5.443377,0.030595,-3.808577,9.3556,13.783013
S107,5.791833,5.072459,-0.281732,-2.098618,10.626564,9.859448
S108,5.78422,5.088968,0.178356,-2.712353,9.136605,9.816691
S109,5.996015,5.278063,0.306589,-3.124472,8.106452,10.400557
S110,6.850782,6.544834,-0.492214,-5.12752,9.977936,12.088088
