Segment,RMSE,MAE,Pearson_r,R2,Max_Error,MAPE
S1,13.857207,9.624016,-0.208937,-0.983329,29.033063,0.431959
S2,13.583429,10.159179,0.011105,-1.016027,26.722066,0.494503
S3,13.53973,10.370756,-0.033873,-1.036734,24.648517,0.505932
S4,10.59928,6.740826,0.68092,-0.272369,24.026223,0.343623
S5,12.17845,7.683722,-0.401074,-0.499627,27.893783,0.572993
S6,5.6383,3.810911,-0.217902,-0.227618,11.652407,0.653684
S7,4.233494,3.867634,0.151353,-0.963489,6.351557,0.939183
S8,5.487033,4.827499,-0.050535,-3.402294,7.446473,1.47736
S9,6.693922,6.119855,-0.457583,-8.333552,8.179149,2.125257
S10,7.099374,6.985961,0.295424,-163.025821,8.645486,2.347939
S11,7.543288,7.34288,-0.298467,-96.376477,8.792581,3.027822
S12,7.412311,7.260372,0.125619,-93.024268,9.145346,2.905562
S13,7.634998,7.442584,-0.073844,-85.051293,9.411215,3.587272
S14,7.329916,7.223467,0.549239,-78.995663,9.469297,3.380053
S15,7.219962,6.905663,-0.548286,-77.589548,9.675219,3.411794
S16,6.653573,6.464713,0.296253,-95.93525,8.862992,3.053125
S17,6.310242,5.92037,-0.669246,-89.5708,9.114024,2.634906
S18,5.59165,5.261525,0.05301,-71.844729,7.560962,2.16065
S19,4.786223,4.456094,0.386059,-62.641063,7.196703,1.488336
S20,4.085017,3.589977,0.324006,-8.793546,6.168673,1.087703
S21,3.896129,3.399152,-0.246058,-6.274035,6.094146,0.935681
S22,3.709515,3.035004,-0.380515,-6.457721,6.378142,0.806081
S23,2.703321,2.153159,0.487916,-3.515707,5.10335,0.475015
S24,1.970213,1.79441,0.784637,-3.394697,2.776378,0.304238
S25,3.434866,3.037504,-0.585481,-5.167396,6.015758,0.726358
S26,2.502198,2.035028,0.407178,-0.494416,4.462277,0.430351
S27,3.515588,3.142909,-0.244973,-1.891966,4.724472,0.644186
S28,3.409533,2.728942,-0.141517,-1.727893,6.350149,0.667388
S29,4.079251,2.995672,-0.186381,-1.752012,6.80032,1.068559
S30,3.795522,3.183403,0.607389,-1.173713,6.910438,1.170393
S31,4.700926,4.620448,-0.211882,-2.43096,5.919899,1.37171
S32,4.843004,4.277395,-0.115006,-16.183575,7.225935,1.555927
S33,5.554373,4.81726,-0.9372,-29.354935,7.656922,2.046842
S34,5.222021,4.947151,0.372493,-34.453547,7.830597,1.849579
S35,4.921361,4.55598,0.196224,-25.031649,6.825175,1.532962
S36,4.552325,4.022812,-0.111196,-21.871945,7.222259,1.229725
S37,4.168364,3.448659,-0.170291,-11.174212,7.560724,1.024852
S38,4.077638,3.705461,-0.020689,-9.987978,5.586541,0.982846
S39,3.753026,3.186158,0.164741,-11.907794,5.9041,0.8044
S40,3.060365,2.760029,0.710034,-4.286633,4.538791,0.622608
S41,3.735003,3.224514,0.172471,-0.289333,5.819284,0.714299
S42,5.289373,4.546653,-0.813578,-1.405179,7.960932,1.028615
S43,4.062443,3.573498,0.316644,0.070215,6.567472,0.692658
S44,4.310488,3.92967,0.288767,-0.010277,7.616882,0.541061
S45,4.928642,4.546842,0.00148,-0.829904,7.713698,0.555341
S46,5.798639,5.465035,-0.546572,-2.092484,7.945711,0.622619
S47,4.490451,4.164765,0.689868,-0.613698,6.349534,0.378083
S48,8.371786,7.035796,0.214508,-2.360593,15.737168,0.443083
S49,10.241888,8.349134,-0.380813,-3.141153,19.204346,0.458929
S50,10.537037,8.986863,-0.282158,-3.87728,16.675385,0.479116
S51,10.053232,9.167515,0.068518,-1.131903,14.845389,0.700751
S52,9.316202,8.523169,0.563664,-0.329791,14.350748,0.709156
S53,9.744517,8.439351,0.105199,-0.151149,17.855546,0.961374
S54,8.022998,7.370379,-0.129242,-0.085834,14.053926,1.30735
S55,7.351946,7.208519,-0.509201,-0.85472,9.726676,1.798555
S56,6.95922,6.864404,0.425626,-215.865635,8.157563,2.131653
S57,7.145231,6.967532,-0.339577,-127.115085,8.639405,2.165969
S58,7.332215,7.121402,-0.786198,-180.275519,8.950152,2.299628
S59,6.764555,6.557086,-0.018602,-49.123417,9.108192,1.985567
S60,6.068284,5.417916,-0.110654,-6.589816,8.742058,1.574375
S61,5.197779,4.368439,-0.304316,-2.721392,7.816063,1.112423
S62,4.267058,3.372584,-0.34509,-1.709013,7.947766,0.750164
S63,2.96835,2.333632,0.220295,-0.521657,5.603209,0.445907
S64,1.957648,1.547202,0.553276,0.234174,3.691841,0.165718
S65,3.149595,2.170827,-0.509969,-2.450129,6.863265,0.20551
S66,2.769454,2.210633,0.147167,-1.705224,4.908445,0.216301
S67,3.111363,2.71565,-0.002043,-0.89386,4.33576,0.312207
S68,2.562019,2.325692,0.386032,-0.063813,3.429688,0.270551
S69,3.580298,2.692804,0.012857,-0.530331,7.449253,0.276396
S70,4.384258,3.562882,-0.484001,-0.860156,6.973713,0.807513
S71,4.506235,4.387169,-0.098042,-0.545843,6.576053,1.019792
S72,3.726156,3.326538,0.595718,0.169447,6.270401,0.873112
S73,4.8523,4.063793,-0.082106,-0.215854,7.852854,1.08051
S74,5.753998,5.235822,-0.843142,-0.766877,8.265645,1.272604
S75,4.060962,3.380016,0.274112,0.030891,7.869258,0.92346
S76,3.381087,2.921654,0.433485,0.172702,5.335176,0.577415
S77,3.389481,2.97741,0.17292,-0.070883,5.587648,0.426218
S78,3.576357,3.176587,0.050271,-0.381051,5.198421,0.519346
S79,4.329328,3.495129,0.011176,-1.227133,7.308919,1.034974
S80,4.694762,4.56142,-0.269342,-1.976249,6.37932,1.050637
S81,4.734807,4.178712,-0.192817,-12.434256,6.815924,1.157813
S82,4.321514,3.666149,-0.098667,-7.49944,8.020388,1.040701
S83,4.249192,3.390115,-0.389486,-6.172023,8.345668,0.991151
S84,4.047041,3.587968,0.23698,-4.580581,5.771117,0.93061
S85,3.019104,2.532828,0.365073,-4.091384,5.497101,0.478004
S86,3.164174,2.912187,0.086269,-4.529319,4.913244,0.547087
S87,3.700043,2.866296,-0.464738,-4.656121,6.189728,0.663717
S88,3.713846,3.083132,-0.000643,-4.307932,6.595652,0.715433
S89,3.144271,3.018243,0.85764,-3.161671,4.653553,0.625128
S90,3.533884,3.031476,-0.391857,-5.421873,5.972417,0.630303
S91,4.788949,3.906226,-0.760907,-5.320753,7.911276,1.680265
S92,4.757607,4.20071,0.330068,-4.277558,7.948944,2.183626
S93,3.944352,3.576082,0.713293,-1.768513,6.595294,1.807059
S94,4.73101,3.81075,-0.302193,-2.639422,8.3057,2.275295
S95,5.062375,3.704514,-0.683548,-2.950882,8.678759,2.494057
S96,4.360508,3.537725,0.069072,-2.002608,8.730421,2.036812
S97,4.506252,3.607062,0.208358,-1.604243,8.972707,13.381723
S98,2.982577,2.533345,0.58125,-0.275134,5.293608,7.654884
S99,4.115699,3.601385,-0.191296,-1.517598,7.612304,11.006148
S100,4.235388,2.930615,-0.316901,-1.65273,9.29076,13.20579
S101,4.543434,3.25822,-0.410042,-2.068763,9.650564,13.824343
S102,4.601693,3.655349,0.452485,-1.201096,8.838182,15.004899
S103,4.524981,4.304536,0.097459,-1.712138,6.961166,5.197059
S104,5.469513,4.666599,0.080333,-4.020645,8.76384,12.737791
S105,6.43112,5.856916,-0.267359,-6.524109,9.206605,15.075757
S106,6.871509,6.34286,-0.337575,-22.56813,9.609707,16.356675
S107,7.22517,6.965572,0.046695,-94.670529,9.205824,17.633017
S108,6.703603,6.330052,-0.031914,-31.528891,9.510932,12.817617
S109,6.165197,5.389911,0.189921,-1.998214,9.321213,10.521399
S110,6.718803,6.455323,-0.546891,-2.745689,8.906553,7.364036
S111,5.95723,5.475772,-0.003138,-2.0459,9.165229,5.996664
