Segment,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
S1,6.285679593514138,6.285679593514138,6.285679593514138,6.285679593514138,6.285679593514138,6.285679593514138,6.868398646743757,7.278718124703079,9.627226226459005,6.285679593514138,6.386232331674026,6.386232331674026
S2,6.285679593514138,6.285679593514138,6.285679593514138,6.285679593514138,6.285679593514138,6.868398646743757,7.278718124703079,9.627226226459005,6.285679593514138,6.386232331674026,6.386232331674026,7.278718124703079
S3,6.285679593514138,6.285679593514138,6.285679593514138,6.285679593514138,6.868398646743757,7.278718124703079,9.627226226459005,6.285679593514138,6.386232331674026,6.386232331674026,7.278718124703079,7.653605408112161
S4,6.285679593514138,6.285679593514138,6.285679593514138,6.868398646743757,7.278718124703079,9.627226226459005,6.285679593514138,6.386232331674026,6.386232331674026,7.278718124703079,7.653605408112161,6.285679593514138
S5,6.285679593514138,6.285679593514138,6.868398646743757,7.278718124703079,9.627226226459005,6.285679593514138,6.386232331674026,6.386232331674026,7.278718124703079,7.653605408112161,6.285679593514138,6.285679593514138
S6,6.285679593514138,6.868398646743757,7.278718124703079,9.627226226459005,6.285679593514138,6.386232331674026,6.386232331674026,7.278718124703079,7.653605408112161,6.285679593514138,6.285679593514138,6.994229524800955
S7,6.868398646743757,7.278718124703079,9.627226226459005,6.285679593514138,6.386232331674026,6.386232331674026,7.278718124703079,7.653605408112161,6.285679593514138,6.285679593514138,6.994229524800955,7.653605408112161
S8,7.278718124703079,9.627226226459005,6.285679593514138,6.386232331674026,6.386232331674026,7.278718124703079,7.653605408112161,6.285679593514138,6.285679593514138,6.994229524800955,7.653605408112161,6.285679593514138
S9,9.627226226459005,6.285679593514138,6.386232331674026,6.386232331674026,7.278718124703079,7.653605408112161,6.285679593514138,6.285679593514138,6.994229524800955,7.653605408112161,6.285679593514138,6.285679593514138
S10,6.285679593514138,6.386232331674026,6.386232331674026,7.278718124703079,7.653605408112161,6.285679593514138,6.285679593514138,6.994229524800955,7.653605408112161,6.285679593514138,6.285679593514138,7.078763222131799
S11,6.386232331674026,6.386232331674026,7.278718124703079,7.653605408112161,6.285679593514138,6.285679593514138,6.994229524800955,7.653605408112161,6.285679593514138,6.285679593514138,7.078763222131799,9.44143822613716
S12,6.386232331674026,7.278718124703079,7.653605408112161,6.285679593514138,6.285679593514138,6.994229524800955,7.653605408112161,6.285679593514138,6.285679593514138,7.078763222131799,9.44143822613716,9.44143822613716
S13,7.278718124703079,7.653605408112161,6.285679593514138,6.285679593514138,6.994229524800955,7.653605408112161,6.285679593514138,6.285679593514138,7.078763222131799,9.44143822613716,9.44143822613716,7.653605408112161
