Segment,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
S1,4.720798174995641,5.081852709370921,5.515665666799544,5.514786139454336,5.20824493196614,5.448582330983932,6.959474929258785,7.312596672446922,7.584121630367839,5.520547297437107,5.864473444099885,6.2343666189290925
S2,5.081852709370921,5.515665666799544,5.514786139454336,5.20824493196614,5.448582330983932,6.959474929258785,7.312596672446922,7.584121630367839,5.520547297437107,5.864473444099885,6.2343666189290925,7.207855958832523
S3,5.515665666799544,5.514786139454336,5.20824493196614,5.448582330983932,6.959474929258785,7.312596672446922,7.584121630367839,5.520547297437107,5.864473444099885,6.2343666189290925,7.207855958832523,7.032635806384172
S4,5.514786139454336,5.20824493196614,5.448582330983932,6.959474929258785,7.312596672446922,7.584121630367839,5.520547297437107,5.864473444099885,6.2343666189290925,7.207855958832523,7.032635806384172,5.4623330057029165
S5,5.20824493196614,5.448582330983932,6.959474929258785,7.312596672446922,7.584121630367839,5.520547297437107,5.864473444099885,6.2343666189290925,7.207855958832523,7.032635806384172,5.4623330057029165,5.884716214526003
S6,5.448582330983932,6.959474929258785,7.312596672446922,7.584121630367839,5.520547297437107,5.864473444099885,6.2343666189290925,7.207855958832523,7.032635806384172,5.4623330057029165,5.884716214526003,6.154646279196843
S7,6.959474929258785,7.312596672446922,7.584121630367839,5.520547297437107,5.864473444099885,6.2343666189290925,7.207855958832523,7.032635806384172,5.4623330057029165,5.884716214526003,6.154646279196843,7.174644708233789
S8,7.312596672446922,7.584121630367839,5.520547297437107,5.864473444099885,6.2343666189290925,7.207855958832523,7.032635806384172,5.4623330057029165,5.884716214526003,6.154646279196843,7.174644708233789,6.016302474179568
S9,7.584121630367839,5.520547297437107,5.864473444099885,6.2343666189290925,7.207855958832523,7.032635806384172,5.4623330057029165,5.884716214526003,6.154646279196843,7.174644708233789,6.016302474179568,6.945813748520766
S10,5.520547297437107,5.864473444099885,6.2343666189290925,7.207855958832523,7.032635806384172,5.4623330057029165,5.884716214526003,6.154646279196843,7.174644708233789,6.016302474179568,6.945813748520766,7.848710101257981
S11,5.864473444099885,6.2343666189290925,7.207855958832523,7.032635806384172,5.4623330057029165,5.884716214526003,6.154646279196843,7.174644708233789,6.016302474179568,6.945813748520766,7.848710101257981,9.200393015173844
S12,6.2343666189290925,7.207855958832523,7.032635806384172,5.4623330057029165,5.884716214526003,6.154646279196843,7.174644708233789,6.016302474179568,6.945813748520766,7.848710101257981,9.200393015173844,7.811933407413365
S13,7.207855958832523,7.032635806384172,5.4623330057029165,5.884716214526003,6.154646279196843,7.174644708233789,6.016302474179568,6.945813748520766,7.848710101257981,9.200393015173844,7.811933407413365,6.802781991047175
S14,7.032635806384172,5.4623330057029165,5.884716214526003,6.154646279196843,7.174644708233789,6.016302474179568,6.945813748520766,7.848710101257981,9.200393015173844,7.811933407413365,6.802781991047175,5.620273071603226
S15,5.4623330057029165,5.884716214526003,6.154646279196843,7.174644708233789,6.016302474179568,6.945813748520766,7.848710101257981,9.200393015173844,7.811933407413365,6.802781991047175,5.620273071603226,5.525325650712783
S16,5.884716214526003,6.154646279196843,7.174644708233789,6.016302474179568,6.945813748520766,7.848710101257981,9.200393015173844,7.811933407413365,6.802781991047175,5.620273071603226,5.525325650712783,5.4118401830307725
S17,6.154646279196843,7.174644708233789,6.016302474179568,6.945813748520766,7.848710101257981,9.200393015173844,7.811933407413365,6.802781991047175,5.620273071603226,5.525325650712783,5.4118401830307725,5.669034905712428
S18,7.174644708233789,6.016302474179568,6.945813748520766,7.848710101257981,9.200393015173844,7.811933407413365,6.802781991047175,5.620273071603226,5.525325650712783,5.4118401830307725,5.669034905712428,6.0918490558174385
S19,6.016302474179568,6.945813748520766,7.848710101257981,9.200393015173844,7.811933407413365,6.802781991047175,5.620273071603226,5.525325650712783,5.4118401830307725,5.669034905712428,6.0918490558174385,6.956238116023201
S20,6.945813748520766,7.848710101257981,9.200393015173844,7.811933407413365,6.802781991047175,5.620273071603226,5.525325650712783,5.4118401830307725,5.669034905712428,6.0918490558174385,6.956238116023201,6.324181518070855
S21,7.848710101257981,9.200393015173844,7.811933407413365,6.802781991047175,5.620273071603226,5.525325650712783,5.4118401830307725,5.669034905712428,6.0918490558174385,6.956238116023201,6.324181518070855,4.7510232199160765
S22,9.200393015173844,7.811933407413365,6.802781991047175,5.620273071603226,5.525325650712783,5.4118401830307725,5.669034905712428,6.0918490558174385,6.956238116023201,6.324181518070855,4.7510232199160765,4.707624833063791
S23,7.811933407413365,6.802781991047175,5.620273071603226,5.525325650712783,5.4118401830307725,5.669034905712428,6.0918490558174385,6.956238116023201,6.324181518070855,4.7510232199160765,4.707624833063791,4.700095613743306
S24,6.802781991047175,5.620273071603226,5.525325650712783,5.4118401830307725,5.669034905712428,6.0918490558174385,6.956238116023201,6.324181518070855,4.7510232199160765,4.707624833063791,4.700095613743306,4.995168775954642
S25,5.620273071603226,5.525325650712783,5.4118401830307725,5.669034905712428,6.0918490558174385,6.956238116023201,6.324181518070855,4.7510232199160765,4.707624833063791,4.700095613743306,4.995168775954642,5.552294545797208
S26,5.525325650712783,5.4118401830307725,5.669034905712428,6.0918490558174385,6.956238116023201,6.324181518070855,4.7510232199160765,4.707624833063791,4.700095613743306,4.995168775954642,5.552294545797208,5.847774931877844
S27,5.4118401830307725,5.669034905712428,6.0918490558174385,6.956238116023201,6.324181518070855,4.7510232199160765,4.707624833063791,4.700095613743306,4.995168775954642,5.552294545797208,5.847774931877844,6.355893329900077
S28,5.669034905712428,6.0918490558174385,6.956238116023201,6.324181518070855,4.7510232199160765,4.707624833063791,4.700095613743306,4.995168775954642,5.552294545797208,5.847774931877844,6.355893329900077,6.637415365474279
S29,6.0918490558174385,6.956238116023201,6.324181518070855,4.7510232199160765,4.707624833063791,4.700095613743306,4.995168775954642,5.552294545797208,5.847774931877844,6.355893329900077,6.637415365474279,7.214890026163265
S30,6.956238116023201,6.324181518070855,4.7510232199160765,4.707624833063791,4.700095613743306,4.995168775954642,5.552294545797208,5.847774931877844,6.355893329900077,6.637415365474279,7.214890026163265,5.836444187675847
S31,6.324181518070855,4.7510232199160765,4.707624833063791,4.700095613743306,4.995168775954642,5.552294545797208,5.847774931877844,6.355893329900077,6.637415365474279,7.214890026163265,5.836444187675847,5.4955478194455
S32,4.7510232199160765,4.707624833063791,4.700095613743306,4.995168775954642,5.552294545797208,5.847774931877844,6.355893329900077,6.637415365474279,7.214890026163265,5.836444187675847,5.4955478194455,6.164211574610736
S33,4.707624833063791,4.700095613743306,4.995168775954642,5.552294545797208,5.847774931877844,6.355893329900077,6.637415365474279,7.214890026163265,5.836444187675847,5.4955478194455,6.164211574610736,6.217159455115522
S34,4.700095613743306,4.995168775954642,5.552294545797208,5.847774931877844,6.355893329900077,6.637415365474279,7.214890026163265,5.836444187675847,5.4955478194455,6.164211574610736,6.217159455115522,5.895685833037497
S35,4.995168775954642,5.552294545797208,5.847774931877844,6.355893329900077,6.637415365474279,7.214890026163265,5.836444187675847,5.4955478194455,6.164211574610736,6.217159455115522,5.895685833037497,5.6957566764660505
S36,5.552294545797208,5.847774931877844,6.355893329900077,6.637415365474279,7.214890026163265,5.836444187675847,5.4955478194455,6.164211574610736,6.217159455115522,5.895685833037497,5.6957566764660505,6.121701466534372
S37,5.847774931877844,6.355893329900077,6.637415365474279,7.214890026163265,5.836444187675847,5.4955478194455,6.164211574610736,6.217159455115522,5.895685833037497,5.6957566764660505,6.121701466534372,6.475959974740226
S38,6.355893329900077,6.637415365474279,7.214890026163265,5.836444187675847,5.4955478194455,6.164211574610736,6.217159455115522,5.895685833037497,5.6957566764660505,6.121701466534372,6.475959974740226,6.544023517732348
S39,6.637415365474279,7.214890026163265,5.836444187675847,5.4955478194455,6.164211574610736,6.217159455115522,5.895685833037497,5.6957566764660505,6.121701466534372,6.475959974740226,6.544023517732348,8.729482592447242
S40,7.214890026163265,5.836444187675847,5.4955478194455,6.164211574610736,6.217159455115522,5.895685833037497,5.6957566764660505,6.121701466534372,6.475959974740226,6.544023517732348,8.729482592447242,9.162237240619403
S41,5.836444187675847,5.4955478194455,6.164211574610736,6.217159455115522,5.895685833037497,5.6957566764660505,6.121701466534372,6.475959974740226,6.544023517732348,8.729482592447242,9.162237240619403,8.326098325370237
S42,5.4955478194455,6.164211574610736,6.217159455115522,5.895685833037497,5.6957566764660505,6.121701466534372,6.475959974740226,6.544023517732348,8.729482592447242,9.162237240619403,8.326098325370237,8.949119633945052
S43,6.164211574610736,6.217159455115522,5.895685833037497,5.6957566764660505,6.121701466534372,6.475959974740226,6.544023517732348,8.729482592447242,9.162237240619403,8.326098325370237,8.949119633945052,8.266288551072488
S44,6.217159455115522,5.895685833037497,5.6957566764660505,6.121701466534372,6.475959974740226,6.544023517732348,8.729482592447242,9.162237240619403,8.326098325370237,8.949119633945052,8.266288551072488,7.036964065389914
S45,5.895685833037497,5.6957566764660505,6.121701466534372,6.475959974740226,6.544023517732348,8.729482592447242,9.162237240619403,8.326098325370237,8.949119633945052,8.266288551072488,7.036964065389914,5.677513754405109
S46,5.6957566764660505,6.121701466534372,6.475959974740226,6.544023517732348,8.729482592447242,9.162237240619403,8.326098325370237,8.949119633945052,8.266288551072488,7.036964065389914,5.677513754405109,5.366357188945987
S47,6.121701466534372,6.475959974740226,6.544023517732348,8.729482592447242,9.162237240619403,8.326098325370237,8.949119633945052,8.266288551072488,7.036964065389914,5.677513754405109,5.366357188945987,6.211091548117548
S48,6.475959974740226,6.544023517732348,8.729482592447242,9.162237240619403,8.326098325370237,8.949119633945052,8.266288551072488,7.036964065389914,5.677513754405109,5.366357188945987,6.211091548117548,7.761185804531936
S49,6.544023517732348,8.729482592447242,9.162237240619403,8.326098325370237,8.949119633945052,8.266288551072488,7.036964065389914,5.677513754405109,5.366357188945987,6.211091548117548,7.761185804531936,11.443778720733675
S50,8.729482592447242,9.162237240619403,8.326098325370237,8.949119633945052,8.266288551072488,7.036964065389914,5.677513754405109,5.366357188945987,6.211091548117548,7.761185804531936,11.443778720733675,14.291213891318026
S51,9.162237240619403,8.326098325370237,8.949119633945052,8.266288551072488,7.036964065389914,5.677513754405109,5.366357188945987,6.211091548117548,7.761185804531936,11.443778720733675,14.291213891318026,11.634816680939995
S52,8.326098325370237,8.949119633945052,8.266288551072488,7.036964065389914,5.677513754405109,5.366357188945987,6.211091548117548,7.761185804531936,11.443778720733675,14.291213891318026,11.634816680939995,6.237869723822327
S53,8.949119633945052,8.266288551072488,7.036964065389914,5.677513754405109,5.366357188945987,6.211091548117548,7.761185804531936,11.443778720733675,14.291213891318026,11.634816680939995,6.237869723822327,6.809212086929424
S54,8.266288551072488,7.036964065389914,5.677513754405109,5.366357188945987,6.211091548117548,7.761185804531936,11.443778720733675,14.291213891318026,11.634816680939995,6.237869723822327,6.809212086929424,8.69931603708883
S55,7.036964065389914,5.677513754405109,5.366357188945987,6.211091548117548,7.761185804531936,11.443778720733675,14.291213891318026,11.634816680939995,6.237869723822327,6.809212086929424,8.69931603708883,10.023224121156867
S56,5.677513754405109,5.366357188945987,6.211091548117548,7.761185804531936,11.443778720733675,14.291213891318026,11.634816680939995,6.237869723822327,6.809212086929424,8.69931603708883,10.023224121156867,6.35183624733323
S57,5.366357188945987,6.211091548117548,7.761185804531936,11.443778720733675,14.291213891318026,11.634816680939995,6.237869723822327,6.809212086929424,8.69931603708883,10.023224121156867,6.35183624733323,6.561077833691052
S58,6.211091548117548,7.761185804531936,11.443778720733675,14.291213891318026,11.634816680939995,6.237869723822327,6.809212086929424,8.69931603708883,10.023224121156867,6.35183624733323,6.561077833691052,6.726879143370901
