Segment,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
S1,5.570668225452755,5.56412879777257,5.931758982463049,5.991784485174886,6.0346586455955,6.73430143117549,7.736732501133946,7.658212721215196,7.052749696065134,6.063600939012404,6.427881410575918,7.246935208457216
S2,5.56412879777257,5.931758982463049,5.991784485174886,6.0346586455955,6.73430143117549,7.736732501133946,7.658212721215196,7.052749696065134,6.063600939012404,6.427881410575918,7.246935208457216,7.465498503380782
S3,5.931758982463049,5.991784485174886,6.0346586455955,6.73430143117549,7.736732501133946,7.658212721215196,7.052749696065134,6.063600939012404,6.427881410575918,7.246935208457216,7.465498503380782,6.74966153972609
S4,5.991784485174886,6.0346586455955,6.73430143117549,7.736732501133946,7.658212721215196,7.052749696065134,6.063600939012404,6.427881410575918,7.246935208457216,7.465498503380782,6.74966153972609,6.087865336700439
S5,6.0346586455955,6.73430143117549,7.736732501133946,7.658212721215196,7.052749696065134,6.063600939012404,6.427881410575918,7.246935208457216,7.465498503380782,6.74966153972609,6.087865336700439,6.621331855386183
S6,6.73430143117549,7.736732501133946,7.658212721215196,7.052749696065134,6.063600939012404,6.427881410575918,7.246935208457216,7.465498503380782,6.74966153972609,6.087865336700439,6.621331855386183,7.208482802341289
S7,7.736732501133946,7.658212721215196,7.052749696065134,6.063600939012404,6.427881410575918,7.246935208457216,7.465498503380782,6.74966153972609,6.087865336700439,6.621331855386183,7.208482802341289,7.247432579536341
S8,7.658212721215196,7.052749696065134,6.063600939012404,6.427881410575918,7.246935208457216,7.465498503380782,6.74966153972609,6.087865336700439,6.621331855386183,7.208482802341289,7.247432579536341,6.510121687091298
S9,7.052749696065134,6.063600939012404,6.427881410575918,7.246935208457216,7.465498503380782,6.74966153972609,6.087865336700439,6.621331855386183,7.208482802341289,7.247432579536341,6.510121687091298,7.499268686611772
S10,6.063600939012404,6.427881410575918,7.246935208457216,7.465498503380782,6.74966153972609,6.087865336700439,6.621331855386183,7.208482802341289,7.247432579536341,6.510121687091298,7.499268686611772,8.540726905072606
S11,6.427881410575918,7.246935208457216,7.465498503380782,6.74966153972609,6.087865336700439,6.621331855386183,7.208482802341289,7.247432579536341,6.510121687091298,7.499268686611772,8.540726905072606,9.05981649898351
S12,7.246935208457216,7.465498503380782,6.74966153972609,6.087865336700439,6.621331855386183,7.208482802341289,7.247432579536341,6.510121687091298,7.499268686611772,8.540726905072606,9.05981649898351,8.134626334862192
S13,7.465498503380782,6.74966153972609,6.087865336700439,6.621331855386183,7.208482802341289,7.247432579536341,6.510121687091298,7.499268686611772,8.540726905072606,9.05981649898351,8.134626334862192,7.348567237766786
S14,6.74966153972609,6.087865336700439,6.621331855386183,7.208482802341289,7.247432579536341,6.510121687091298,7.499268686611772,8.540726905072606,9.05981649898351,8.134626334862192,7.348567237766786,6.385736627374149
S15,6.087865336700439,6.621331855386183,7.208482802341289,7.247432579536341,6.510121687091298,7.499268686611772,8.540726905072606,9.05981649898351,8.134626334862192,7.348567237766786,6.385736627374149,5.818245396946767
S16,6.621331855386183,7.208482802341289,7.247432579536341,6.510121687091298,7.499268686611772,8.540726905072606,9.05981649898351,8.134626334862192,7.348567237766786,6.385736627374149,5.818245396946767,5.819130246271832
S17,7.208482802341289,7.247432579536341,6.510121687091298,7.499268686611772,8.540726905072606,9.05981649898351,8.134626334862192,7.348567237766786,6.385736627374149,5.818245396946767,5.819130246271832,6.23847615636348
S18,7.247432579536341,6.510121687091298,7.499268686611772,8.540726905072606,9.05981649898351,8.134626334862192,7.348567237766786,6.385736627374149,5.818245396946767,5.819130246271832,6.23847615636348,7.004950882574511
S19,6.510121687091298,7.499268686611772,8.540726905072606,9.05981649898351,8.134626334862192,7.348567237766786,6.385736627374149,5.818245396946767,5.819130246271832,6.23847615636348,7.004950882574511,7.276208060188817
S20,7.499268686611772,8.540726905072606,9.05981649898351,8.134626334862192,7.348567237766786,6.385736627374149,5.818245396946767,5.819130246271832,6.23847615636348,7.004950882574511,7.276208060188817,6.292530486938943
S21,8.540726905072606,9.05981649898351,8.134626334862192,7.348567237766786,6.385736627374149,5.818245396946767,5.819130246271832,6.23847615636348,7.004950882574511,7.276208060188817,6.292530486938943,5.371279908821951
S22,9.05981649898351,8.134626334862192,7.348567237766786,6.385736627374149,5.818245396946767,5.819130246271832,6.23847615636348,7.004950882574511,7.276208060188817,6.292530486938943,5.371279908821951,5.402568946208612
S23,8.134626334862192,7.348567237766786,6.385736627374149,5.818245396946767,5.819130246271832,6.23847615636348,7.004950882574511,7.276208060188817,6.292530486938943,5.371279908821951,5.402568946208612,5.505183328593208
S24,7.348567237766786,6.385736627374149,5.818245396946767,5.819130246271832,6.23847615636348,7.004950882574511,7.276208060188817,6.292530486938943,5.371279908821951,5.402568946208612,5.505183328593208,5.653446098319609
S25,6.385736627374149,5.818245396946767,5.819130246271832,6.23847615636348,7.004950882574511,7.276208060188817,6.292530486938943,5.371279908821951,5.402568946208612,5.505183328593208,5.653446098319609,6.253439091215681
S26,5.818245396946767,5.819130246271832,6.23847615636348,7.004950882574511,7.276208060188817,6.292530486938943,5.371279908821951,5.402568946208612,5.505183328593208,5.653446098319609,6.253439091215681,6.939707062711963
S27,5.819130246271832,6.23847615636348,7.004950882574511,7.276208060188817,6.292530486938943,5.371279908821951,5.402568946208612,5.505183328593208,5.653446098319609,6.253439091215681,6.939707062711963,7.195389798585898
S28,6.23847615636348,7.004950882574511,7.276208060188817,6.292530486938943,5.371279908821951,5.402568946208612,5.505183328593208,5.653446098319609,6.253439091215681,6.939707062711963,7.195389798585898,7.2599083793400085
S29,7.004950882574511,7.276208060188817,6.292530486938943,5.371279908821951,5.402568946208612,5.505183328593208,5.653446098319609,6.253439091215681,6.939707062711963,7.195389798585898,7.2599083793400085,7.166100548142155
S30,7.276208060188817,6.292530486938943,5.371279908821951,5.402568946208612,5.505183328593208,5.653446098319609,6.253439091215681,6.939707062711963,7.195389798585898,7.2599083793400085,7.166100548142155,6.211107280187432
S31,6.292530486938943,5.371279908821951,5.402568946208612,5.505183328593208,5.653446098319609,6.253439091215681,6.939707062711963,7.195389798585898,7.2599083793400085,7.166100548142155,6.211107280187432,6.100897909548988
S32,5.371279908821951,5.402568946208612,5.505183328593208,5.653446098319609,6.253439091215681,6.939707062711963,7.195389798585898,7.2599083793400085,7.166100548142155,6.211107280187432,6.100897909548988,6.454768353799463
S33,5.402568946208612,5.505183328593208,5.653446098319609,6.253439091215681,6.939707062711963,7.195389798585898,7.2599083793400085,7.166100548142155,6.211107280187432,6.100897909548988,6.454768353799463,6.616587915509407
S34,5.505183328593208,5.653446098319609,6.253439091215681,6.939707062711963,7.195389798585898,7.2599083793400085,7.166100548142155,6.211107280187432,6.100897909548988,6.454768353799463,6.616587915509407,6.492162606517651
S35,5.653446098319609,6.253439091215681,6.939707062711963,7.195389798585898,7.2599083793400085,7.166100548142155,6.211107280187432,6.100897909548988,6.454768353799463,6.616587915509407,6.492162606517651,7.026531654336656
S36,6.253439091215681,6.939707062711963,7.195389798585898,7.2599083793400085,7.166100548142155,6.211107280187432,6.100897909548988,6.454768353799463,6.616587915509407,6.492162606517651,7.026531654336656,7.477496188805864
S37,6.939707062711963,7.195389798585898,7.2599083793400085,7.166100548142155,6.211107280187432,6.100897909548988,6.454768353799463,6.616587915509407,6.492162606517651,7.026531654336656,7.477496188805864,7.417258243022628
S38,7.195389798585898,7.2599083793400085,7.166100548142155,6.211107280187432,6.100897909548988,6.454768353799463,6.616587915509407,6.492162606517651,7.026531654336656,7.477496188805864,7.417258243022628,7.678696386851445
S39,7.2599083793400085,7.166100548142155,6.211107280187432,6.100897909548988,6.454768353799463,6.616587915509407,6.492162606517651,7.026531654336656,7.477496188805864,7.417258243022628,7.678696386851445,7.837564057895499
S40,7.166100548142155,6.211107280187432,6.100897909548988,6.454768353799463,6.616587915509407,6.492162606517651,7.026531654336656,7.477496188805864,7.417258243022628,7.678696386851445,7.837564057895499,8.77789186688876
S41,6.211107280187432,6.100897909548988,6.454768353799463,6.616587915509407,6.492162606517651,7.026531654336656,7.477496188805864,7.417258243022628,7.678696386851445,7.837564057895499,8.77789186688876,9.109992124746165
