Segment,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
S1,5.586182234357415,5.4793323261269,5.5829579202414,5.8566070478295265,5.9570468873311775,6.46938733745501,7.700987198756582,6.7306552588569915,8.303109139908566,6.023142624362274,6.8814033927505225,6.668607375238597
S2,5.4793323261269,5.5829579202414,5.8566070478295265,5.9570468873311775,6.46938733745501,7.700987198756582,6.7306552588569915,8.303109139908566,6.023142624362274,6.8814033927505225,6.668607375238597,7.444531604408463
S3,5.5829579202414,5.8566070478295265,5.9570468873311775,6.46938733745501,7.700987198756582,6.7306552588569915,8.303109139908566,6.023142624362274,6.8814033927505225,6.668607375238597,7.444531604408463,7.271541714757803
S4,5.8566070478295265,5.9570468873311775,6.46938733745501,7.700987198756582,6.7306552588569915,8.303109139908566,6.023142624362274,6.8814033927505225,6.668607375238597,7.444531604408463,7.271541714757803,5.932861867635711
S5,5.9570468873311775,6.46938733745501,7.700987198756582,6.7306552588569915,8.303109139908566,6.023142624362274,6.8814033927505225,6.668607375238597,7.444531604408463,7.271541714757803,5.932861867635711,6.320052485834523
S6,6.46938733745501,7.700987198756582,6.7306552588569915,8.303109139908566,6.023142624362274,6.8814033927505225,6.668607375238597,7.444531604408463,7.271541714757803,5.932861867635711,6.320052485834523,6.985265493873376
S7,7.700987198756582,6.7306552588569915,8.303109139908566,6.023142624362274,6.8814033927505225,6.668607375238597,7.444531604408463,7.271541714757803,5.932861867635711,6.320052485834523,6.985265493873376,8.174542382879805
S8,6.7306552588569915,8.303109139908566,6.023142624362274,6.8814033927505225,6.668607375238597,7.444531604408463,7.271541714757803,5.932861867635711,6.320052485834523,6.985265493873376,8.174542382879805,6.389637772627087
S9,8.303109139908566,6.023142624362274,6.8814033927505225,6.668607375238597,7.444531604408463,7.271541714757803,5.932861867635711,6.320052485834523,6.985265493873376,8.174542382879805,6.389637772627087,7.022694874826924
S10,6.023142624362274,6.8814033927505225,6.668607375238597,7.444531604408463,7.271541714757803,5.932861867635711,6.320052485834523,6.985265493873376,8.174542382879805,6.389637772627087,7.022694874826924,7.316781494537012
S11,6.8814033927505225,6.668607375238597,7.444531604408463,7.271541714757803,5.932861867635711,6.320052485834523,6.985265493873376,8.174542382879805,6.389637772627087,7.022694874826924,7.316781494537012,9.386862755874986
S12,6.668607375238597,7.444531604408463,7.271541714757803,5.932861867635711,6.320052485834523,6.985265493873376,8.174542382879805,6.389637772627087,7.022694874826924,7.316781494537012,9.386862755874986,8.008699252778682
S13,7.444531604408463,7.271541714757803,5.932861867635711,6.320052485834523,6.985265493873376,8.174542382879805,6.389637772627087,7.022694874826924,7.316781494537012,9.386862755874986,8.008699252778682,7.741071346387053
S14,7.271541714757803,5.932861867635711,6.320052485834523,6.985265493873376,8.174542382879805,6.389637772627087,7.022694874826924,7.316781494537012,9.386862755874986,8.008699252778682,7.741071346387053,6.332223478435837
S15,5.932861867635711,6.320052485834523,6.985265493873376,8.174542382879805,6.389637772627087,7.022694874826924,7.316781494537012,9.386862755874986,8.008699252778682,7.741071346387053,6.332223478435837,6.013711720430209
