Segment,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
S1,5.615630595571468,5.435138427594512,5.617474713456503,5.928169088102784,5.856160090238169,6.3902403000048125,7.721412300825497,6.815533459362365,7.605039029184549,5.9278926637873175,6.535095313875449,6.629850711287031
S2,5.435138427594512,5.617474713456503,5.928169088102784,5.856160090238169,6.3902403000048125,7.721412300825497,6.815533459362365,7.605039029184549,5.9278926637873175,6.535095313875449,6.629850711287031,7.36055308974437
S3,5.617474713456503,5.928169088102784,5.856160090238169,6.3902403000048125,7.721412300825497,6.815533459362365,7.605039029184549,5.9278926637873175,6.535095313875449,6.629850711287031,7.36055308974437,6.930104144705921
S4,5.928169088102784,5.856160090238169,6.3902403000048125,7.721412300825497,6.815533459362365,7.605039029184549,5.9278926637873175,6.535095313875449,6.629850711287031,7.36055308974437,6.930104144705921,5.930841252767687
S5,5.856160090238169,6.3902403000048125,7.721412300825497,6.815533459362365,7.605039029184549,5.9278926637873175,6.535095313875449,6.629850711287031,7.36055308974437,6.930104144705921,5.930841252767687,6.0771584722476995
S6,6.3902403000048125,7.721412300825497,6.815533459362365,7.605039029184549,5.9278926637873175,6.535095313875449,6.629850711287031,7.36055308974437,6.930104144705921,5.930841252767687,6.0771584722476995,6.683963895070368
S7,7.721412300825497,6.815533459362365,7.605039029184549,5.9278926637873175,6.535095313875449,6.629850711287031,7.36055308974437,6.930104144705921,5.930841252767687,6.0771584722476995,6.683963895070368,7.379165190190348
S8,6.815533459362365,7.605039029184549,5.9278926637873175,6.535095313875449,6.629850711287031,7.36055308974437,6.930104144705921,5.930841252767687,6.0771584722476995,6.683963895070368,7.379165190190348,6.483584038856932
S9,7.605039029184549,5.9278926637873175,6.535095313875449,6.629850711287031,7.36055308974437,6.930104144705921,5.930841252767687,6.0771584722476995,6.683963895070368,7.379165190190348,6.483584038856932,7.041935509944333
S10,5.9278926637873175,6.535095313875449,6.629850711287031,7.36055308974437,6.930104144705921,5.930841252767687,6.0771584722476995,6.683963895070368,7.379165190190348,6.483584038856932,7.041935509944333,7.454883775279511
S11,6.535095313875449,6.629850711287031,7.36055308974437,6.930104144705921,5.930841252767687,6.0771584722476995,6.683963895070368,7.379165190190348,6.483584038856932,7.041935509944333,7.454883775279511,9.163161338813104
S12,6.629850711287031,7.36055308974437,6.930104144705921,5.930841252767687,6.0771584722476995,6.683963895070368,7.379165190190348,6.483584038856932,7.041935509944333,7.454883775279511,9.163161338813104,7.786147782725224
S13,7.36055308974437,6.930104144705921,5.930841252767687,6.0771584722476995,6.683963895070368,7.379165190190348,6.483584038856932,7.041935509944333,7.454883775279511,9.163161338813104,7.786147782725224,7.156818955701965
S14,6.930104144705921,5.930841252767687,6.0771584722476995,6.683963895070368,7.379165190190348,6.483584038856932,7.041935509944333,7.454883775279511,9.163161338813104,7.786147782725224,7.156818955701965,6.440744552568898
S15,5.930841252767687,6.0771584722476995,6.683963895070368,7.379165190190348,6.483584038856932,7.041935509944333,7.454883775279511,9.163161338813104,7.786147782725224,7.156818955701965,6.440744552568898,6.024646649946653
S16,6.0771584722476995,6.683963895070368,7.379165190190348,6.483584038856932,7.041935509944333,7.454883775279511,9.163161338813104,7.786147782725224,7.156818955701965,6.440744552568898,6.024646649946653,5.771373164688682
S17,6.683963895070368,7.379165190190348,6.483584038856932,7.041935509944333,7.454883775279511,9.163161338813104,7.786147782725224,7.156818955701965,6.440744552568898,6.024646649946653,5.771373164688682,5.933744578026892
S18,7.379165190190348,6.483584038856932,7.041935509944333,7.454883775279511,9.163161338813104,7.786147782725224,7.156818955701965,6.440744552568898,6.024646649946653,5.771373164688682,5.933744578026892,6.637668296968484
S19,6.483584038856932,7.041935509944333,7.454883775279511,9.163161338813104,7.786147782725224,7.156818955701965,6.440744552568898,6.024646649946653,5.771373164688682,5.933744578026892,6.637668296968484,7.197382380410053
S20,7.041935509944333,7.454883775279511,9.163161338813104,7.786147782725224,7.156818955701965,6.440744552568898,6.024646649946653,5.771373164688682,5.933744578026892,6.637668296968484,7.197382380410053,6.610728377945793
S21,7.454883775279511,9.163161338813104,7.786147782725224,7.156818955701965,6.440744552568898,6.024646649946653,5.771373164688682,5.933744578026892,6.637668296968484,7.197382380410053,6.610728377945793,5.444403713280932
S22,9.163161338813104,7.786147782725224,7.156818955701965,6.440744552568898,6.024646649946653,5.771373164688682,5.933744578026892,6.637668296968484,7.197382380410053,6.610728377945793,5.444403713280932,5.467001366473278
S23,7.786147782725224,7.156818955701965,6.440744552568898,6.024646649946653,5.771373164688682,5.933744578026892,6.637668296968484,7.197382380410053,6.610728377945793,5.444403713280932,5.467001366473278,5.4131370017518075
S24,7.156818955701965,6.440744552568898,6.024646649946653,5.771373164688682,5.933744578026892,6.637668296968484,7.197382380410053,6.610728377945793,5.444403713280932,5.467001366473278,5.4131370017518075,5.505023651300704
S25,6.440744552568898,6.024646649946653,5.771373164688682,5.933744578026892,6.637668296968484,7.197382380410053,6.610728377945793,5.444403713280932,5.467001366473278,5.4131370017518075,5.505023651300704,6.026433890361931
S26,6.024646649946653,5.771373164688682,5.933744578026892,6.637668296968484,7.197382380410053,6.610728377945793,5.444403713280932,5.467001366473278,5.4131370017518075,5.505023651300704,6.026433890361931,6.225077084527476
S27,5.771373164688682,5.933744578026892,6.637668296968484,7.197382380410053,6.610728377945793,5.444403713280932,5.467001366473278,5.4131370017518075,5.505023651300704,6.026433890361931,6.225077084527476,6.924991239669359
S28,5.933744578026892,6.637668296968484,7.197382380410053,6.610728377945793,5.444403713280932,5.467001366473278,5.4131370017518075,5.505023651300704,6.026433890361931,6.225077084527476,6.924991239669359,7.292148894372005
S29,6.637668296968484,7.197382380410053,6.610728377945793,5.444403713280932,5.467001366473278,5.4131370017518075,5.505023651300704,6.026433890361931,6.225077084527476,6.924991239669359,7.292148894372005,7.0399854494722565
S30,7.197382380410053,6.610728377945793,5.444403713280932,5.467001366473278,5.4131370017518075,5.505023651300704,6.026433890361931,6.225077084527476,6.924991239669359,7.292148894372005,7.0399854494722565,6.446069104621897
S31,6.610728377945793,5.444403713280932,5.467001366473278,5.4131370017518075,5.505023651300704,6.026433890361931,6.225077084527476,6.924991239669359,7.292148894372005,7.0399854494722565,6.446069104621897,6.381925167525645
S32,5.444403713280932,5.467001366473278,5.4131370017518075,5.505023651300704,6.026433890361931,6.225077084527476,6.924991239669359,7.292148894372005,7.0399854494722565,6.446069104621897,6.381925167525645,6.4342991441670385
