Segment,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
S1,5.065027476912366,5.013396604621755,5.159217638553191,5.684663662668328,5.3189509849702485,5.994810918323973,7.820471050078706,6.40172731704261,7.816382176110037,5.473563281150913,6.70629620883366,6.925642697641182
S2,5.013396604621755,5.159217638553191,5.684663662668328,5.3189509849702485,5.994810918323973,7.820471050078706,6.40172731704261,7.816382176110037,5.473563281150913,6.70629620883366,6.925642697641182,7.058323831332407
S3,5.159217638553191,5.684663662668328,5.3189509849702485,5.994810918323973,7.820471050078706,6.40172731704261,7.816382176110037,5.473563281150913,6.70629620883366,6.925642697641182,7.058323831332407,7.535928479560677
S4,5.684663662668328,5.3189509849702485,5.994810918323973,7.820471050078706,6.40172731704261,7.816382176110037,5.473563281150913,6.70629620883366,6.925642697641182,7.058323831332407,7.535928479560677,5.3252595010693815
S5,5.3189509849702485,5.994810918323973,7.820471050078706,6.40172731704261,7.816382176110037,5.473563281150913,6.70629620883366,6.925642697641182,7.058323831332407,7.535928479560677,5.3252595010693815,5.656843656394484
S6,5.994810918323973,7.820471050078706,6.40172731704261,7.816382176110037,5.473563281150913,6.70629620883366,6.925642697641182,7.058323831332407,7.535928479560677,5.3252595010693815,5.656843656394484,6.152512951946603
S7,7.820471050078706,6.40172731704261,7.816382176110037,5.473563281150913,6.70629620883366,6.925642697641182,7.058323831332407,7.535928479560677,5.3252595010693815,5.656843656394484,6.152512951946603,7.922466892471474
S8,6.40172731704261,7.816382176110037,5.473563281150913,6.70629620883366,6.925642697641182,7.058323831332407,7.535928479560677,5.3252595010693815,5.656843656394484,6.152512951946603,7.922466892471474,5.655708459627024
S9,7.816382176110037,5.473563281150913,6.70629620883366,6.925642697641182,7.058323831332407,7.535928479560677,5.3252595010693815,5.656843656394484,6.152512951946603,7.922466892471474,5.655708459627024,6.777772697109822
S10,5.473563281150913,6.70629620883366,6.925642697641182,7.058323831332407,7.535928479560677,5.3252595010693815,5.656843656394484,6.152512951946603,7.922466892471474,5.655708459627024,6.777772697109822,7.123524691310739
S11,6.70629620883366,6.925642697641182,7.058323831332407,7.535928479560677,5.3252595010693815,5.656843656394484,6.152512951946603,7.922466892471474,5.655708459627024,6.777772697109822,7.123524691310739,9.614671407813569
S12,6.925642697641182,7.058323831332407,7.535928479560677,5.3252595010693815,5.656843656394484,6.152512951946603,7.922466892471474,5.655708459627024,6.777772697109822,7.123524691310739,9.614671407813569,7.8454608148307905
S13,7.058323831332407,7.535928479560677,5.3252595010693815,5.656843656394484,6.152512951946603,7.922466892471474,5.655708459627024,6.777772697109822,7.123524691310739,9.614671407813569,7.8454608148307905,7.376427052645015
S14,7.535928479560677,5.3252595010693815,5.656843656394484,6.152512951946603,7.922466892471474,5.655708459627024,6.777772697109822,7.123524691310739,9.614671407813569,7.8454608148307905,7.376427052645015,6.027482883560103
S15,5.3252595010693815,5.656843656394484,6.152512951946603,7.922466892471474,5.655708459627024,6.777772697109822,7.123524691310739,9.614671407813569,7.8454608148307905,7.376427052645015,6.027482883560103,5.605401936776544
S16,5.656843656394484,6.152512951946603,7.922466892471474,5.655708459627024,6.777772697109822,7.123524691310739,9.614671407813569,7.8454608148307905,7.376427052645015,6.027482883560103,5.605401936776544,5.157210556548215
S17,6.152512951946603,7.922466892471474,5.655708459627024,6.777772697109822,7.123524691310739,9.614671407813569,7.8454608148307905,7.376427052645015,6.027482883560103,5.605401936776544,5.157210556548215,5.725086647363506
S18,7.922466892471474,5.655708459627024,6.777772697109822,7.123524691310739,9.614671407813569,7.8454608148307905,7.376427052645015,6.027482883560103,5.605401936776544,5.157210556548215,5.725086647363506,6.72546112668177
