Segment,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
S1,6.7106705,6.7106705,6.7987614,6.8198385,6.8386135,7.274131,7.702342,7.807265,8.43461,6.7837353,7.5168962,7.439012
S2,6.7106705,6.7987614,6.8198385,6.8386135,7.274131,7.702342,7.807265,8.43461,6.7837353,7.5168962,7.439012,7.810921
S3,6.7987614,6.8198385,6.8386135,7.274131,7.702342,7.807265,8.43461,6.7837353,7.5168962,7.439012,7.810921,7.996201
S4,6.8198385,6.8386135,7.274131,7.702342,7.807265,8.43461,6.7837353,7.5168962,7.439012,7.810921,7.996201,7.0531626
S5,6.8386135,7.274131,7.702342,7.807265,8.43461,6.7837353,7.5168962,7.439012,7.810921,7.996201,7.0531626,7.166895
S6,7.274131,7.702342,7.807265,8.43461,6.7837353,7.5168962,7.439012,7.810921,7.996201,7.0531626,7.166895,7.5909863
S7,7.702342,7.807265,8.43461,6.7837353,7.5168962,7.439012,7.810921,7.996201,7.0531626,7.166895,7.5909863,8.4415
S8,7.807265,8.43461,6.7837353,7.5168962,7.439012,7.810921,7.996201,7.0531626,7.166895,7.5909863,8.4415,7.199448
S9,8.43461,6.7837353,7.5168962,7.439012,7.810921,7.996201,7.0531626,7.166895,7.5909863,8.4415,7.199448,7.676366
S10,6.7837353,7.5168962,7.439012,7.810921,7.996201,7.0531626,7.166895,7.5909863,8.4415,7.199448,7.676366,8.291923
S11,7.5168962,7.439012,7.810921,7.996201,7.0531626,7.166895,7.5909863,8.4415,7.199448,7.676366,8.291923,9.305728
S12,7.439012,7.810921,7.996201,7.0531626,7.166895,7.5909863,8.4415,7.199448,7.676366,8.291923,9.305728,8.81237
S13,7.810921,7.996201,7.0531626,7.166895,7.5909863,8.4415,7.199448,7.676366,8.291923,9.305728,8.81237,8.246404
S14,7.996201,7.0531626,7.166895,7.5909863,8.4415,7.199448,7.676366,8.291923,9.305728,8.81237,8.246404,7.0716906
S15,7.0531626,7.166895,7.5909863,8.4415,7.199448,7.676366,8.291923,9.305728,8.81237,8.246404,7.0716906,6.8376713
S16,7.166895,7.5909863,8.4415,7.199448,7.676366,8.291923,9.305728,8.81237,8.246404,7.0716906,6.8376713,7.0891123
S17,7.5909863,8.4415,7.199448,7.676366,8.291923,9.305728,8.81237,8.246404,7.0716906,6.8376713,7.0891123,7.4645467
S18,8.4415,7.199448,7.676366,8.291923,9.305728,8.81237,8.246404,7.0716906,6.8376713,7.0891123,7.4645467,7.837166
S19,7.199448,7.676366,8.291923,9.305728,8.81237,8.246404,7.0716906,6.8376713,7.0891123,7.4645467,7.837166,8.344675
S20,7.676366,8.291923,9.305728,8.81237,8.246404,7.0716906,6.8376713,7.0891123,7.4645467,7.837166,8.344675,7.883904
S21,8.291923,9.305728,8.81237,8.246404,7.0716906,6.8376713,7.0891123,7.4645467,7.837166,8.344675,7.883904,6.7106705
S22,9.305728,8.81237,8.246404,7.0716906,6.8376713,7.0891123,7.4645467,7.837166,8.344675,7.883904,6.7106705,6.7106705
S23,8.81237,8.246404,7.0716906,6.8376713,7.0891123,7.4645467,7.837166,8.344675,7.883904,6.7106705,6.7106705,6.7236156
S24,8.246404,7.0716906,6.8376713,7.0891123,7.4645467,7.837166,8.344675,7.883904,6.7106705,6.7106705,6.7236156,6.754822
S25,7.0716906,6.8376713,7.0891123,7.4645467,7.837166,8.344675,7.883904,6.7106705,6.7106705,6.7236156,6.754822,6.903101
S26,6.8376713,7.0891123,7.4645467,7.837166,8.344675,7.883904,6.7106705,6.7106705,6.7236156,6.754822,6.903101,7.263121
S27,7.0891123,7.4645467,7.837166,8.344675,7.883904,6.7106705,6.7106705,6.7236156,6.754822,6.903101,7.263121,7.436641
S28,7.4645467,7.837166,8.344675,7.883904,6.7106705,6.7106705,6.7236156,6.754822,6.903101,7.263121,7.436641,7.673773
S29,7.837166,8.344675,7.883904,6.7106705,6.7106705,6.7236156,6.754822,6.903101,7.263121,7.436641,7.673773,8.020251
S30,8.344675,7.883904,6.7106705,6.7106705,6.7236156,6.754822,6.903101,7.263121,7.436641,7.673773,8.020251,6.9702973
S31,7.883904,6.7106705,6.7106705,6.7236156,6.754822,6.903101,7.263121,7.436641,7.673773,8.020251,6.9702973,7.006228
S32,6.7106705,6.7106705,6.7236156,6.754822,6.903101,7.263121,7.436641,7.673773,8.020251,6.9702973,7.006228,7.141141
S33,6.7106705,6.7236156,6.754822,6.903101,7.263121,7.436641,7.673773,8.020251,6.9702973,7.006228,7.141141,6.877914
S34,6.7236156,6.754822,6.903101,7.263121,7.436641,7.673773,8.020251,6.9702973,7.006228,7.141141,6.877914,6.9531374
S35,6.754822,6.903101,7.263121,7.436641,7.673773,8.020251,6.9702973,7.006228,7.141141,6.877914,6.9531374,6.9854226
S36,6.903101,7.263121,7.436641,7.673773,8.020251,6.9702973,7.006228,7.141141,6.877914,6.9531374,6.9854226,7.5359745
