Segment,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
S1,7.682796161332578,7.123254439215077,7.123254439215077,7.120113963012957,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985
S2,7.123254439215077,7.123254439215077,7.120113963012957,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985
S3,7.123254439215077,7.120113963012957,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985
S4,7.120113963012957,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985
S5,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.123254439215077
S6,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.123254439215077,7.123254439215077
S7,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.123254439215077,7.123254439215077,7.123254439215077
S8,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.123254439215077,7.123254439215077,7.123254439215077,7.081742781340985
S9,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.123254439215077,7.123254439215077,7.123254439215077,7.081742781340985,7.120113963012957
S10,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.123254439215077,7.123254439215077,7.123254439215077,7.081742781340985,7.120113963012957,7.120113963012957
S11,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.123254439215077,7.123254439215077,7.123254439215077,7.081742781340985,7.120113963012957,7.120113963012957,7.371938118701909
S12,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.123254439215077,7.123254439215077,7.123254439215077,7.081742781340985,7.120113963012957,7.120113963012957,7.371938118701909,7.682796161332578
S13,7.081742781340985,7.081742781340985,7.081742781340985,7.123254439215077,7.123254439215077,7.123254439215077,7.081742781340985,7.120113963012957,7.120113963012957,7.371938118701909,7.682796161332578,7.081742781340985
S14,7.081742781340985,7.081742781340985,7.123254439215077,7.123254439215077,7.123254439215077,7.081742781340985,7.120113963012957,7.120113963012957,7.371938118701909,7.682796161332578,7.081742781340985,7.081742781340985
S15,7.081742781340985,7.123254439215077,7.123254439215077,7.123254439215077,7.081742781340985,7.120113963012957,7.120113963012957,7.371938118701909,7.682796161332578,7.081742781340985,7.081742781340985,7.081742781340985
S16,7.123254439215077,7.123254439215077,7.123254439215077,7.081742781340985,7.120113963012957,7.120113963012957,7.371938118701909,7.682796161332578,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985
S17,7.123254439215077,7.123254439215077,7.081742781340985,7.120113963012957,7.120113963012957,7.371938118701909,7.682796161332578,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.120113963012957
S18,7.123254439215077,7.081742781340985,7.120113963012957,7.120113963012957,7.371938118701909,7.682796161332578,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.120113963012957,7.081742781340985
S19,7.081742781340985,7.120113963012957,7.120113963012957,7.371938118701909,7.682796161332578,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.120113963012957,7.081742781340985,7.123254439215077
S20,7.120113963012957,7.120113963012957,7.371938118701909,7.682796161332578,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.120113963012957,7.081742781340985,7.123254439215077,7.081742781340985
S21,7.120113963012957,7.371938118701909,7.682796161332578,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.120113963012957,7.081742781340985,7.123254439215077,7.081742781340985,7.081742781340985
S22,7.371938118701909,7.682796161332578,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.120113963012957,7.081742781340985,7.123254439215077,7.081742781340985,7.081742781340985,7.081742781340985
S23,7.682796161332578,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.120113963012957,7.081742781340985,7.123254439215077,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985
S24,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.120113963012957,7.081742781340985,7.123254439215077,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985
S25,7.081742781340985,7.081742781340985,7.081742781340985,7.120113963012957,7.081742781340985,7.123254439215077,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985
S26,7.081742781340985,7.081742781340985,7.120113963012957,7.081742781340985,7.123254439215077,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985
S27,7.081742781340985,7.120113963012957,7.081742781340985,7.123254439215077,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985
S28,7.120113963012957,7.081742781340985,7.123254439215077,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985
S29,7.081742781340985,7.123254439215077,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985
S30,7.123254439215077,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985
S31,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985
S32,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.123254439215077
S33,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.123254439215077,7.081742781340985
S34,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.123254439215077,7.081742781340985,7.081742781340985
S35,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.123254439215077,7.081742781340985,7.081742781340985,7.081742781340985
S36,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.123254439215077,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985
S37,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.123254439215077,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.123254439215077
S38,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.123254439215077,7.081742781340985,7.081742781340985,7.081742781340985,7.081742781340985,7.123254439215077,7.081742781340985
