Segment,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
S1,6.589596269575649,5.543414961723608,5.54533587319882,4.880631893522564,4.69973160359674,4.741676956308852,4.673022413442164,4.648125944164888,4.7893931250741035,4.71991862921647,4.765947398520186,4.971706383305008
S2,5.543414961723608,5.54533587319882,4.880631893522564,4.69973160359674,4.741676956308852,4.673022413442164,4.648125944164888,4.7893931250741035,4.71991862921647,4.765947398520186,4.971706383305008,5.124005676644304
S3,5.54533587319882,4.880631893522564,4.69973160359674,4.741676956308852,4.673022413442164,4.648125944164888,4.7893931250741035,4.71991862921647,4.765947398520186,4.971706383305008,5.124005676644304,5.288489677530246
S4,4.880631893522564,4.69973160359674,4.741676956308852,4.673022413442164,4.648125944164888,4.7893931250741035,4.71991862921647,4.765947398520186,4.971706383305008,5.124005676644304,5.288489677530246,5.319074158605149
S5,4.69973160359674,4.741676956308852,4.673022413442164,4.648125944164888,4.7893931250741035,4.71991862921647,4.765947398520186,4.971706383305008,5.124005676644304,5.288489677530246,5.319074158605149,5.798703111530873
S6,4.741676956308852,4.673022413442164,4.648125944164888,4.7893931250741035,4.71991862921647,4.765947398520186,4.971706383305008,5.124005676644304,5.288489677530246,5.319074158605149,5.798703111530873,5.868647478005897
S7,4.673022413442164,4.648125944164888,4.7893931250741035,4.71991862921647,4.765947398520186,4.971706383305008,5.124005676644304,5.288489677530246,5.319074158605149,5.798703111530873,5.868647478005897,5.855137595851517
S8,4.648125944164888,4.7893931250741035,4.71991862921647,4.765947398520186,4.971706383305008,5.124005676644304,5.288489677530246,5.319074158605149,5.798703111530873,5.868647478005897,5.855137595851517,5.492435178525064
S9,4.7893931250741035,4.71991862921647,4.765947398520186,4.971706383305008,5.124005676644304,5.288489677530246,5.319074158605149,5.798703111530873,5.868647478005897,5.855137595851517,5.492435178525064,5.902266049518461
S10,4.71991862921647,4.765947398520186,4.971706383305008,5.124005676644304,5.288489677530246,5.319074158605149,5.798703111530873,5.868647478005897,5.855137595851517,5.492435178525064,5.902266049518461,5.891014384757969
S11,4.765947398520186,4.971706383305008,5.124005676644304,5.288489677530246,5.319074158605149,5.798703111530873,5.868647478005897,5.855137595851517,5.492435178525064,5.902266049518461,5.891014384757969,5.482641340895624
S12,4.971706383305008,5.124005676644304,5.288489677530246,5.319074158605149,5.798703111530873,5.868647478005897,5.855137595851517,5.492435178525064,5.902266049518461,5.891014384757969,5.482641340895624,6.290899902560689
S13,5.124005676644304,5.288489677530246,5.319074158605149,5.798703111530873,5.868647478005897,5.855137595851517,5.492435178525064,5.902266049518461,5.891014384757969,5.482641340895624,6.290899902560689,4.462072826614035
S14,5.288489677530246,5.319074158605149,5.798703111530873,5.868647478005897,5.855137595851517,5.492435178525064,5.902266049518461,5.891014384757969,5.482641340895624,6.290899902560689,4.462072826614035,4.683090914044506
S15,5.319074158605149,5.798703111530873,5.868647478005897,5.855137595851517,5.492435178525064,5.902266049518461,5.891014384757969,5.482641340895624,6.290899902560689,4.462072826614035,4.683090914044506,4.910581606883831
S16,5.798703111530873,5.868647478005897,5.855137595851517,5.492435178525064,5.902266049518461,5.891014384757969,5.482641340895624,6.290899902560689,4.462072826614035,4.683090914044506,4.910581606883831,5.012133809481837
S17,5.868647478005897,5.855137595851517,5.492435178525064,5.902266049518461,5.891014384757969,5.482641340895624,6.290899902560689,4.462072826614035,4.683090914044506,4.910581606883831,5.012133809481837,5.425439685042766
S18,5.855137595851517,5.492435178525064,5.902266049518461,5.891014384757969,5.482641340895624,6.290899902560689,4.462072826614035,4.683090914044506,4.910581606883831,5.012133809481837,5.425439685042766,4.923972194604513
S19,5.492435178525064,5.902266049518461,5.891014384757969,5.482641340895624,6.290899902560689,4.462072826614035,4.683090914044506,4.910581606883831,5.012133809481837,5.425439685042766,4.923972194604513,5.091133236282834
S20,5.902266049518461,5.891014384757969,5.482641340895624,6.290899902560689,4.462072826614035,4.683090914044506,4.910581606883831,5.012133809481837,5.425439685042766,4.923972194604513,5.091133236282834,4.436438850125403
S21,5.891014384757969,5.482641340895624,6.290899902560689,4.462072826614035,4.683090914044506,4.910581606883831,5.012133809481837,5.425439685042766,4.923972194604513,5.091133236282834,4.436438850125403,4.666644439323066
S22,5.482641340895624,6.290899902560689,4.462072826614035,4.683090914044506,4.910581606883831,5.012133809481837,5.425439685042766,4.923972194604513,5.091133236282834,4.436438850125403,4.666644439323066,4.565612721485958
S23,6.290899902560689,4.462072826614035,4.683090914044506,4.910581606883831,5.012133809481837,5.425439685042766,4.923972194604513,5.091133236282834,4.436438850125403,4.666644439323066,4.565612721485958,4.60535424897479
S24,4.462072826614035,4.683090914044506,4.910581606883831,5.012133809481837,5.425439685042766,4.923972194604513,5.091133236282834,4.436438850125403,4.666644439323066,4.565612721485958,4.60535424897479,4.656325183494628
S25,4.683090914044506,4.910581606883831,5.012133809481837,5.425439685042766,4.923972194604513,5.091133236282834,4.436438850125403,4.666644439323066,4.565612721485958,4.60535424897479,4.656325183494628,4.758209792113014
S26,4.910581606883831,5.012133809481837,5.425439685042766,4.923972194604513,5.091133236282834,4.436438850125403,4.666644439323066,4.565612721485958,4.60535424897479,4.656325183494628,4.758209792113014,5.0432669519545055
S27,5.012133809481837,5.425439685042766,4.923972194604513,5.091133236282834,4.436438850125403,4.666644439323066,4.565612721485958,4.60535424897479,4.656325183494628,4.758209792113014,5.0432669519545055,4.579217544010324
S28,5.425439685042766,4.923972194604513,5.091133236282834,4.436438850125403,4.666644439323066,4.565612721485958,4.60535424897479,4.656325183494628,4.758209792113014,5.0432669519545055,4.579217544010324,4.87626744104705
S29,4.923972194604513,5.091133236282834,4.436438850125403,4.666644439323066,4.565612721485958,4.60535424897479,4.656325183494628,4.758209792113014,5.0432669519545055,4.579217544010324,4.87626744104705,5.2237445778123135
S30,5.091133236282834,4.436438850125403,4.666644439323066,4.565612721485958,4.60535424897479,4.656325183494628,4.758209792113014,5.0432669519545055,4.579217544010324,4.87626744104705,5.2237445778123135,4.825485097837361
S31,4.436438850125403,4.666644439323066,4.565612721485958,4.60535424897479,4.656325183494628,4.758209792113014,5.0432669519545055,4.579217544010324,4.87626744104705,5.2237445778123135,4.825485097837361,4.747794751048931
S32,4.666644439323066,4.565612721485958,4.60535424897479,4.656325183494628,4.758209792113014,5.0432669519545055,4.579217544010324,4.87626744104705,5.2237445778123135,4.825485097837361,4.747794751048931,5.4951151771014635
S33,4.565612721485958,4.60535424897479,4.656325183494628,4.758209792113014,5.0432669519545055,4.579217544010324,4.87626744104705,5.2237445778123135,4.825485097837361,4.747794751048931,5.4951151771014635,4.809316151149968
S34,4.60535424897479,4.656325183494628,4.758209792113014,5.0432669519545055,4.579217544010324,4.87626744104705,5.2237445778123135,4.825485097837361,4.747794751048931,5.4951151771014635,4.809316151149968,4.986560086540636
S35,4.656325183494628,4.758209792113014,5.0432669519545055,4.579217544010324,4.87626744104705,5.2237445778123135,4.825485097837361,4.747794751048931,5.4951151771014635,4.809316151149968,4.986560086540636,4.702138913874567
S36,4.758209792113014,5.0432669519545055,4.579217544010324,4.87626744104705,5.2237445778123135,4.825485097837361,4.747794751048931,5.4951151771014635,4.809316151149968,4.986560086540636,4.702138913874567,5.100244737928508
S37,5.0432669519545055,4.579217544010324,4.87626744104705,5.2237445778123135,4.825485097837361,4.747794751048931,5.4951151771014635,4.809316151149968,4.986560086540636,4.702138913874567,5.100244737928508,5.330045873199245
S38,4.579217544010324,4.87626744104705,5.2237445778123135,4.825485097837361,4.747794751048931,5.4951151771014635,4.809316151149968,4.986560086540636,4.702138913874567,5.100244737928508,5.330045873199245,4.601997361008495
