Segment,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
S1,7.212983591262933,6.793449644306974,6.275276084621407,5.722697348924147,5.412052209803991,5.3742052347115195,5.3257675238733215,5.351609247242417,5.401737201317285,5.555268586570731,5.558498136590264,5.705425337358961
S2,6.793449644306974,6.275276084621407,5.722697348924147,5.412052209803991,5.3742052347115195,5.3257675238733215,5.351609247242417,5.401737201317285,5.555268586570731,5.558498136590264,5.705425337358961,6.005368996797357
S3,6.275276084621407,5.722697348924147,5.412052209803991,5.3742052347115195,5.3257675238733215,5.351609247242417,5.401737201317285,5.555268586570731,5.558498136590264,5.705425337358961,6.005368996797357,6.241836975677478
S4,5.722697348924147,5.412052209803991,5.3742052347115195,5.3257675238733215,5.351609247242417,5.401737201317285,5.555268586570731,5.558498136590264,5.705425337358961,6.005368996797357,6.241836975677478,6.773594372642618
S5,5.412052209803991,5.3742052347115195,5.3257675238733215,5.351609247242417,5.401737201317285,5.555268586570731,5.558498136590264,5.705425337358961,6.005368996797357,6.241836975677478,6.773594372642618,7.117594968173485
S6,5.3742052347115195,5.3257675238733215,5.351609247242417,5.401737201317285,5.555268586570731,5.558498136590264,5.705425337358961,6.005368996797357,6.241836975677478,6.773594372642618,7.117594968173485,6.859126764913871
S7,5.3257675238733215,5.351609247242417,5.401737201317285,5.555268586570731,5.558498136590264,5.705425337358961,6.005368996797357,6.241836975677478,6.773594372642618,7.117594968173485,6.859126764913871,6.586313749041662
S8,5.351609247242417,5.401737201317285,5.555268586570731,5.558498136590264,5.705425337358961,6.005368996797357,6.241836975677478,6.773594372642618,7.117594968173485,6.859126764913871,6.586313749041662,6.414296645703308
S9,5.401737201317285,5.555268586570731,5.558498136590264,5.705425337358961,6.005368996797357,6.241836975677478,6.773594372642618,7.117594968173485,6.859126764913871,6.586313749041662,6.414296645703308,6.644415780850515
S10,5.555268586570731,5.558498136590264,5.705425337358961,6.005368996797357,6.241836975677478,6.773594372642618,7.117594968173485,6.859126764913871,6.586313749041662,6.414296645703308,6.644415780850515,6.725466565135382
S11,5.558498136590264,5.705425337358961,6.005368996797357,6.241836975677478,6.773594372642618,7.117594968173485,6.859126764913871,6.586313749041662,6.414296645703308,6.644415780850515,6.725466565135382,6.662878093776883
S12,5.705425337358961,6.005368996797357,6.241836975677478,6.773594372642618,7.117594968173485,6.859126764913871,6.586313749041662,6.414296645703308,6.644415780850515,6.725466565135382,6.662878093776883,6.258288156724643
S13,6.005368996797357,6.241836975677478,6.773594372642618,7.117594968173485,6.859126764913871,6.586313749041662,6.414296645703308,6.644415780850515,6.725466565135382,6.662878093776883,6.258288156724643,5.48878648417548
S14,6.241836975677478,6.773594372642618,7.117594968173485,6.859126764913871,6.586313749041662,6.414296645703308,6.644415780850515,6.725466565135382,6.662878093776883,6.258288156724643,5.48878648417548,5.696819878754592
S15,6.773594372642618,7.117594968173485,6.859126764913871,6.586313749041662,6.414296645703308,6.644415780850515,6.725466565135382,6.662878093776883,6.258288156724643,5.48878648417548,5.696819878754592,5.969326957857469
S16,7.117594968173485,6.859126764913871,6.586313749041662,6.414296645703308,6.644415780850515,6.725466565135382,6.662878093776883,6.258288156724643,5.48878648417548,5.696819878754592,5.969326957857469,6.2463780658400445
S17,6.859126764913871,6.586313749041662,6.414296645703308,6.644415780850515,6.725466565135382,6.662878093776883,6.258288156724643,5.48878648417548,5.696819878754592,5.969326957857469,6.2463780658400445,6.353640676277837
S18,6.586313749041662,6.414296645703308,6.644415780850515,6.725466565135382,6.662878093776883,6.258288156724643,5.48878648417548,5.696819878754592,5.969326957857469,6.2463780658400445,6.353640676277837,6.002749883068544
S19,6.414296645703308,6.644415780850515,6.725466565135382,6.662878093776883,6.258288156724643,5.48878648417548,5.696819878754592,5.969326957857469,6.2463780658400445,6.353640676277837,6.002749883068544,5.783970899029495
S20,6.644415780850515,6.725466565135382,6.662878093776883,6.258288156724643,5.48878648417548,5.696819878754592,5.969326957857469,6.2463780658400445,6.353640676277837,6.002749883068544,5.783970899029495,5.293086728829622
S21,6.725466565135382,6.662878093776883,6.258288156724643,5.48878648417548,5.696819878754592,5.969326957857469,6.2463780658400445,6.353640676277837,6.002749883068544,5.783970899029495,5.293086728829622,5.2873561924334265
S22,6.662878093776883,6.258288156724643,5.48878648417548,5.696819878754592,5.969326957857469,6.2463780658400445,6.353640676277837,6.002749883068544,5.783970899029495,5.293086728829622,5.2873561924334265,5.421676445195852
S23,6.258288156724643,5.48878648417548,5.696819878754592,5.969326957857469,6.2463780658400445,6.353640676277837,6.002749883068544,5.783970899029495,5.293086728829622,5.2873561924334265,5.421676445195852,5.526722288524988
S24,5.48878648417548,5.696819878754592,5.969326957857469,6.2463780658400445,6.353640676277837,6.002749883068544,5.783970899029495,5.293086728829622,5.2873561924334265,5.421676445195852,5.526722288524988,5.722643427544858
