Segment,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
S1,6.593406798613788,5.690204885811296,5.445424359245714,5.194928010556623,4.867053398061904,4.938400333150461,4.860139749583335,4.941602367063168,4.935636420921816,4.904497054981605,4.785337624800012,5.0605324659535365
S2,5.690204885811296,5.445424359245714,5.194928010556623,4.867053398061904,4.938400333150461,4.860139749583335,4.941602367063168,4.935636420921816,4.904497054981605,4.785337624800012,5.0605324659535365,4.833520304527641
S3,5.445424359245714,5.194928010556623,4.867053398061904,4.938400333150461,4.860139749583335,4.941602367063168,4.935636420921816,4.904497054981605,4.785337624800012,5.0605324659535365,4.833520304527641,5.285307144874173
S4,5.194928010556623,4.867053398061904,4.938400333150461,4.860139749583335,4.941602367063168,4.935636420921816,4.904497054981605,4.785337624800012,5.0605324659535365,4.833520304527641,5.285307144874173,5.547928514878678
S5,4.867053398061904,4.938400333150461,4.860139749583335,4.941602367063168,4.935636420921816,4.904497054981605,4.785337624800012,5.0605324659535365,4.833520304527641,5.285307144874173,5.547928514878678,5.820537690652919
S6,4.938400333150461,4.860139749583335,4.941602367063168,4.935636420921816,4.904497054981605,4.785337624800012,5.0605324659535365,4.833520304527641,5.285307144874173,5.547928514878678,5.820537690652919,5.751763948059032
S7,4.860139749583335,4.941602367063168,4.935636420921816,4.904497054981605,4.785337624800012,5.0605324659535365,4.833520304527641,5.285307144874173,5.547928514878678,5.820537690652919,5.751763948059032,5.797012918090832
S8,4.941602367063168,4.935636420921816,4.904497054981605,4.785337624800012,5.0605324659535365,4.833520304527641,5.285307144874173,5.547928514878678,5.820537690652919,5.751763948059032,5.797012918090832,5.774603475734637
S9,4.935636420921816,4.904497054981605,4.785337624800012,5.0605324659535365,4.833520304527641,5.285307144874173,5.547928514878678,5.820537690652919,5.751763948059032,5.797012918090832,5.774603475734637,6.163209756519623
S10,4.904497054981605,4.785337624800012,5.0605324659535365,4.833520304527641,5.285307144874173,5.547928514878678,5.820537690652919,5.751763948059032,5.797012918090832,5.774603475734637,6.163209756519623,6.137065225228109
S11,4.785337624800012,5.0605324659535365,4.833520304527641,5.285307144874173,5.547928514878678,5.820537690652919,5.751763948059032,5.797012918090832,5.774603475734637,6.163209756519623,6.137065225228109,5.937823293260648
S12,5.0605324659535365,4.833520304527641,5.285307144874173,5.547928514878678,5.820537690652919,5.751763948059032,5.797012918090832,5.774603475734637,6.163209756519623,6.137065225228109,5.937823293260648,6.379681687074937
S13,4.833520304527641,5.285307144874173,5.547928514878678,5.820537690652919,5.751763948059032,5.797012918090832,5.774603475734637,6.163209756519623,6.137065225228109,5.937823293260648,6.379681687074937,4.749955661066147
S14,5.285307144874173,5.547928514878678,5.820537690652919,5.751763948059032,5.797012918090832,5.774603475734637,6.163209756519623,6.137065225228109,5.937823293260648,6.379681687074937,4.749955661066147,4.785337624800012
S15,5.547928514878678,5.820537690652919,5.751763948059032,5.797012918090832,5.774603475734637,6.163209756519623,6.137065225228109,5.937823293260648,6.379681687074937,4.749955661066147,4.785337624800012,4.9512191682344
S16,5.820537690652919,5.751763948059032,5.797012918090832,5.774603475734637,6.163209756519623,6.137065225228109,5.937823293260648,6.379681687074937,4.749955661066147,4.785337624800012,4.9512191682344,5.068445198633946
S17,5.751763948059032,5.797012918090832,5.774603475734637,6.163209756519623,6.137065225228109,5.937823293260648,6.379681687074937,4.749955661066147,4.785337624800012,4.9512191682344,5.068445198633946,5.546958417606161
S18,5.797012918090832,5.774603475734637,6.163209756519623,6.137065225228109,5.937823293260648,6.379681687074937,4.749955661066147,4.785337624800012,4.9512191682344,5.068445198633946,5.546958417606161,5.068445198633946
S19,5.774603475734637,6.163209756519623,6.137065225228109,5.937823293260648,6.379681687074937,4.749955661066147,4.785337624800012,4.9512191682344,5.068445198633946,5.546958417606161,5.068445198633946,5.350800629675244
S20,6.163209756519623,6.137065225228109,5.937823293260648,6.379681687074937,4.749955661066147,4.785337624800012,4.9512191682344,5.068445198633946,5.546958417606161,5.068445198633946,5.350800629675244,4.749955661066147
S21,6.137065225228109,5.937823293260648,6.379681687074937,4.749955661066147,4.785337624800012,4.9512191682344,5.068445198633946,5.546958417606161,5.068445198633946,5.350800629675244,4.749955661066147,4.943218061961116
