Segment,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
S1,6.464625982109531,5.8529176920398704,5.6388726612807405,5.181759617158963,4.467064622548195,4.404057660526421,4.3369292990716755,4.410025089429031,4.697254772495038,4.661840576176353,4.910249991548178,4.90895308001927
S2,5.8529176920398704,5.6388726612807405,5.181759617158963,4.467064622548195,4.404057660526421,4.3369292990716755,4.410025089429031,4.697254772495038,4.661840576176353,4.910249991548178,4.90895308001927,4.86271644796151
S3,5.6388726612807405,5.181759617158963,4.467064622548195,4.404057660526421,4.3369292990716755,4.410025089429031,4.697254772495038,4.661840576176353,4.910249991548178,4.90895308001927,4.86271644796151,5.477742879365674
S4,5.181759617158963,4.467064622548195,4.404057660526421,4.3369292990716755,4.410025089429031,4.697254772495038,4.661840576176353,4.910249991548178,4.90895308001927,4.86271644796151,5.477742879365674,5.888921153705712
S5,4.467064622548195,4.404057660526421,4.3369292990716755,4.410025089429031,4.697254772495038,4.661840576176353,4.910249991548178,4.90895308001927,4.86271644796151,5.477742879365674,5.888921153705712,6.468116396284893
S6,4.404057660526421,4.3369292990716755,4.410025089429031,4.697254772495038,4.661840576176353,4.910249991548178,4.90895308001927,4.86271644796151,5.477742879365674,5.888921153705712,6.468116396284893,6.008899661255123
S7,4.3369292990716755,4.410025089429031,4.697254772495038,4.661840576176353,4.910249991548178,4.90895308001927,4.86271644796151,5.477742879365674,5.888921153705712,6.468116396284893,6.008899661255123,5.955782664891157
S8,4.410025089429031,4.697254772495038,4.661840576176353,4.910249991548178,4.90895308001927,4.86271644796151,5.477742879365674,5.888921153705712,6.468116396284893,6.008899661255123,5.955782664891157,5.992910706262874
S9,4.697254772495038,4.661840576176353,4.910249991548178,4.90895308001927,4.86271644796151,5.477742879365674,5.888921153705712,6.468116396284893,6.008899661255123,5.955782664891157,5.992910706262874,6.156463920550412
S10,4.661840576176353,4.910249991548178,4.90895308001927,4.86271644796151,5.477742879365674,5.888921153705712,6.468116396284893,6.008899661255123,5.955782664891157,5.992910706262874,6.156463920550412,6.0452299295556005
S11,4.910249991548178,4.90895308001927,4.86271644796151,5.477742879365674,5.888921153705712,6.468116396284893,6.008899661255123,5.955782664891157,5.992910706262874,6.156463920550412,6.0452299295556005,5.814813113744599
S12,4.90895308001927,4.86271644796151,5.477742879365674,5.888921153705712,6.468116396284893,6.008899661255123,5.955782664891157,5.992910706262874,6.156463920550412,6.0452299295556005,5.814813113744599,5.9935059915365025
S13,4.86271644796151,5.477742879365674,5.888921153705712,6.468116396284893,6.008899661255123,5.955782664891157,5.992910706262874,6.156463920550412,6.0452299295556005,5.814813113744599,5.9935059915365025,4.553803666117316
S14,5.477742879365674,5.888921153705712,6.468116396284893,6.008899661255123,5.955782664891157,5.992910706262874,6.156463920550412,6.0452299295556005,5.814813113744599,5.9935059915365025,4.553803666117316,4.971430540922558
S15,5.888921153705712,6.468116396284893,6.008899661255123,5.955782664891157,5.992910706262874,6.156463920550412,6.0452299295556005,5.814813113744599,5.9935059915365025,4.553803666117316,4.971430540922558,4.873885834417545
S16,6.468116396284893,6.008899661255123,5.955782664891157,5.992910706262874,6.156463920550412,6.0452299295556005,5.814813113744599,5.9935059915365025,4.553803666117316,4.971430540922558,4.873885834417545,5.373229461662747
S17,6.008899661255123,5.955782664891157,5.992910706262874,6.156463920550412,6.0452299295556005,5.814813113744599,5.9935059915365025,4.553803666117316,4.971430540922558,4.873885834417545,5.373229461662747,5.747067736298027
S18,5.955782664891157,5.992910706262874,6.156463920550412,6.0452299295556005,5.814813113744599,5.9935059915365025,4.553803666117316,4.971430540922558,4.873885834417545,5.373229461662747,5.747067736298027,5.2395836153834505
S19,5.992910706262874,6.156463920550412,6.0452299295556005,5.814813113744599,5.9935059915365025,4.553803666117316,4.971430540922558,4.873885834417545,5.373229461662747,5.747067736298027,5.2395836153834505,5.175090510068634
S20,6.156463920550412,6.0452299295556005,5.814813113744599,5.9935059915365025,4.553803666117316,4.971430540922558,4.873885834417545,5.373229461662747,5.747067736298027,5.2395836153834505,5.175090510068634,4.309803617569618
S21,6.0452299295556005,5.814813113744599,5.9935059915365025,4.553803666117316,4.971430540922558,4.873885834417545,5.373229461662747,5.747067736298027,5.2395836153834505,5.175090510068634,4.309803617569618,4.404057660526421
S22,5.814813113744599,5.9935059915365025,4.553803666117316,4.971430540922558,4.873885834417545,5.373229461662747,5.747067736298027,5.2395836153834505,5.175090510068634,4.309803617569618,4.404057660526421,4.476849794636062
S23,5.9935059915365025,4.553803666117316,4.971430540922558,4.873885834417545,5.373229461662747,5.747067736298027,5.2395836153834505,5.175090510068634,4.309803617569618,4.404057660526421,4.476849794636062,4.55183539472607
