Segment,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
S1,7.424993109230916,6.135534648431252,6.0348993114816585,5.75091549736538,4.915528423653978,4.908452323635872,4.905871491968509,4.909596742454479,4.9177973750428166,4.927240041283406,5.046733894267055,5.070840277683024
S2,6.135534648431252,6.0348993114816585,5.75091549736538,4.915528423653978,4.908452323635872,4.905871491968509,4.909596742454479,4.9177973750428166,4.927240041283406,5.046733894267055,5.070840277683024,5.04961030917576
S3,6.0348993114816585,5.75091549736538,4.915528423653978,4.908452323635872,4.905871491968509,4.909596742454479,4.9177973750428166,4.927240041283406,5.046733894267055,5.070840277683024,5.04961030917576,5.850225033295797
S4,5.75091549736538,4.915528423653978,4.908452323635872,4.905871491968509,4.909596742454479,4.9177973750428166,4.927240041283406,5.046733894267055,5.070840277683024,5.04961030917576,5.850225033295797,6.182003594317088
S5,4.915528423653978,4.908452323635872,4.905871491968509,4.909596742454479,4.9177973750428166,4.927240041283406,5.046733894267055,5.070840277683024,5.04961030917576,5.850225033295797,6.182003594317088,6.348231191434892
S6,4.908452323635872,4.905871491968509,4.909596742454479,4.9177973750428166,4.927240041283406,5.046733894267055,5.070840277683024,5.04961030917576,5.850225033295797,6.182003594317088,6.348231191434892,6.177583749835597
S7,4.905871491968509,4.909596742454479,4.9177973750428166,4.927240041283406,5.046733894267055,5.070840277683024,5.04961030917576,5.850225033295797,6.182003594317088,6.348231191434892,6.177583749835597,5.993964816377154
S8,4.909596742454479,4.9177973750428166,4.927240041283406,5.046733894267055,5.070840277683024,5.04961030917576,5.850225033295797,6.182003594317088,6.348231191434892,6.177583749835597,5.993964816377154,6.050730992423428
S9,4.9177973750428166,4.927240041283406,5.046733894267055,5.070840277683024,5.04961030917576,5.850225033295797,6.182003594317088,6.348231191434892,6.177583749835597,5.993964816377154,6.050730992423428,6.4214639545616015
S10,4.927240041283406,5.046733894267055,5.070840277683024,5.04961030917576,5.850225033295797,6.182003594317088,6.348231191434892,6.177583749835597,5.993964816377154,6.050730992423428,6.4214639545616015,6.264886209449497
S11,5.046733894267055,5.070840277683024,5.04961030917576,5.850225033295797,6.182003594317088,6.348231191434892,6.177583749835597,5.993964816377154,6.050730992423428,6.4214639545616015,6.264886209449497,6.178635159626529
S12,5.070840277683024,5.04961030917576,5.850225033295797,6.182003594317088,6.348231191434892,6.177583749835597,5.993964816377154,6.050730992423428,6.4214639545616015,6.264886209449497,6.178635159626529,6.9023689174278475
S13,5.04961030917576,5.850225033295797,6.182003594317088,6.348231191434892,6.177583749835597,5.993964816377154,6.050730992423428,6.4214639545616015,6.264886209449497,6.178635159626529,6.9023689174278475,4.941952953194633
S14,5.850225033295797,6.182003594317088,6.348231191434892,6.177583749835597,5.993964816377154,6.050730992423428,6.4214639545616015,6.264886209449497,6.178635159626529,6.9023689174278475,4.941952953194633,5.068192715520223
S15,6.182003594317088,6.348231191434892,6.177583749835597,5.993964816377154,6.050730992423428,6.4214639545616015,6.264886209449497,6.178635159626529,6.9023689174278475,4.941952953194633,5.068192715520223,5.139261299914705
S16,6.348231191434892,6.177583749835597,5.993964816377154,6.050730992423428,6.4214639545616015,6.264886209449497,6.178635159626529,6.9023689174278475,4.941952953194633,5.068192715520223,5.139261299914705,5.9316544660850585
S17,6.177583749835597,5.993964816377154,6.050730992423428,6.4214639545616015,6.264886209449497,6.178635159626529,6.9023689174278475,4.941952953194633,5.068192715520223,5.139261299914705,5.9316544660850585,5.988965891291339
S18,5.993964816377154,6.050730992423428,6.4214639545616015,6.264886209449497,6.178635159626529,6.9023689174278475,4.941952953194633,5.068192715520223,5.139261299914705,5.9316544660850585,5.988965891291339,5.866581846674688
S19,6.050730992423428,6.4214639545616015,6.264886209449497,6.178635159626529,6.9023689174278475,4.941952953194633,5.068192715520223,5.139261299914705,5.9316544660850585,5.988965891291339,5.866581846674688,5.746205297579008
S20,6.4214639545616015,6.264886209449497,6.178635159626529,6.9023689174278475,4.941952953194633,5.068192715520223,5.139261299914705,5.9316544660850585,5.988965891291339,5.866581846674688,5.746205297579008,4.905871491968509
S21,6.264886209449497,6.178635159626529,6.9023689174278475,4.941952953194633,5.068192715520223,5.139261299914705,5.9316544660850585,5.988965891291339,5.866581846674688,5.746205297579008,4.905871491968509,4.905871491968509
S22,6.178635159626529,6.9023689174278475,4.941952953194633,5.068192715520223,5.139261299914705,5.9316544660850585,5.988965891291339,5.866581846674688,5.746205297579008,4.905871491968509,4.905871491968509,4.914072124556847
S23,6.9023689174278475,4.941952953194633,5.068192715520223,5.139261299914705,5.9316544660850585,5.988965891291339,5.866581846674688,5.746205297579008,4.905871491968509,4.905871491968509,4.914072124556847,4.9218942045218945
S24,4.941952953194633,5.068192715520223,5.139261299914705,5.9316544660850585,5.988965891291339,5.866581846674688,5.746205297579008,4.905871491968509,4.905871491968509,4.914072124556847,4.9218942045218945,4.994430000481615
S25,5.068192715520223,5.139261299914705,5.9316544660850585,5.988965891291339,5.866581846674688,5.746205297579008,4.905871491968509,4.905871491968509,4.914072124556847,4.9218942045218945,4.994430000481615,5.088955761666374
S26,5.139261299914705,5.9316544660850585,5.988965891291339,5.866581846674688,5.746205297579008,4.905871491968509,4.905871491968509,4.914072124556847,4.9218942045218945,4.994430000481615,5.088955761666374,5.675421010752853
S27,5.9316544660850585,5.988965891291339,5.866581846674688,5.746205297579008,4.905871491968509,4.905871491968509,4.914072124556847,4.9218942045218945,4.994430000481615,5.088955761666374,5.675421010752853,4.975375109020333
S28,5.988965891291339,5.866581846674688,5.746205297579008,4.905871491968509,4.905871491968509,4.914072124556847,4.9218942045218945,4.994430000481615,5.088955761666374,5.675421010752853,4.975375109020333,5.127733046424442
