Segment,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
S1,7.992662,7.1994286,7.0692797,6.8460603,6.6861205,6.6861205,6.6861205,6.6861205,6.6861205,6.6861205,6.6861205,6.715205
S2,7.1994286,7.0692797,6.8460603,6.6861205,6.6861205,6.6861205,6.6861205,6.6861205,6.6861205,6.6861205,6.715205,6.76705
S3,7.0692797,6.8460603,6.6861205,6.6861205,6.6861205,6.6861205,6.6861205,6.6861205,6.6861205,6.715205,6.76705,6.895699
S4,6.8460603,6.6861205,6.6861205,6.6861205,6.6861205,6.6861205,6.6861205,6.6861205,6.715205,6.76705,6.895699,7.0071497
S5,6.6861205,6.6861205,6.6861205,6.6861205,6.6861205,6.6861205,6.6861205,6.715205,6.76705,6.895699,7.0071497,7.2111692
S6,6.6861205,6.6861205,6.6861205,6.6861205,6.6861205,6.6861205,6.715205,6.76705,6.895699,7.0071497,7.2111692,7.1409426
S7,6.6861205,6.6861205,6.6861205,6.6861205,6.6861205,6.715205,6.76705,6.895699,7.0071497,7.2111692,7.1409426,7.0324883
S8,6.6861205,6.6861205,6.6861205,6.6861205,6.715205,6.76705,6.895699,7.0071497,7.2111692,7.1409426,7.0324883,6.969007
S9,6.6861205,6.6861205,6.6861205,6.715205,6.76705,6.895699,7.0071497,7.2111692,7.1409426,7.0324883,6.969007,7.340047
S10,6.6861205,6.6861205,6.715205,6.76705,6.895699,7.0071497,7.2111692,7.1409426,7.0324883,6.969007,7.340047,7.378866
S11,6.6861205,6.715205,6.76705,6.895699,7.0071497,7.2111692,7.1409426,7.0324883,6.969007,7.340047,7.378866,7.472596
S12,6.715205,6.76705,6.895699,7.0071497,7.2111692,7.1409426,7.0324883,6.969007,7.340047,7.378866,7.472596,7.7808003
S13,6.76705,6.895699,7.0071497,7.2111692,7.1409426,7.0324883,6.969007,7.340047,7.378866,7.472596,7.7808003,6.6861205
S14,6.895699,7.0071497,7.2111692,7.1409426,7.0324883,6.969007,7.340047,7.378866,7.472596,7.7808003,6.6861205,6.6861205
S15,7.0071497,7.2111692,7.1409426,7.0324883,6.969007,7.340047,7.378866,7.472596,7.7808003,6.6861205,6.6861205,6.773911
S16,7.2111692,7.1409426,7.0324883,6.969007,7.340047,7.378866,7.472596,7.7808003,6.6861205,6.6861205,6.773911,6.919641
S17,7.1409426,7.0324883,6.969007,7.340047,7.378866,7.472596,7.7808003,6.6861205,6.6861205,6.773911,6.919641,6.9690266
S18,7.0324883,6.969007,7.340047,7.378866,7.472596,7.7808003,6.6861205,6.6861205,6.773911,6.919641,6.9690266,6.919641
S19,6.969007,7.340047,7.378866,7.472596,7.7808003,6.6861205,6.6861205,6.773911,6.919641,6.9690266,6.919641,6.9317775
S20,7.340047,7.378866,7.472596,7.7808003,6.6861205,6.6861205,6.773911,6.919641,6.9690266,6.919641,6.9317775,6.6861205
S21,7.378866,7.472596,7.7808003,6.6861205,6.6861205,6.773911,6.919641,6.9690266,6.919641,6.9317775,6.6861205,6.6861205
S22,7.472596,7.7808003,6.6861205,6.6861205,6.773911,6.919641,6.9690266,6.919641,6.9317775,6.6861205,6.6861205,6.6861205
S23,7.7808003,6.6861205,6.6861205,6.773911,6.919641,6.9690266,6.919641,6.9317775,6.6861205,6.6861205,6.6861205,6.6861205
S24,6.6861205,6.6861205,6.773911,6.919641,6.9690266,6.919641,6.9317775,6.6861205,6.6861205,6.6861205,6.6861205,6.6861205
S25,6.6861205,6.773911,6.919641,6.9690266,6.919641,6.9317775,6.6861205,6.6861205,6.6861205,6.6861205,6.6861205,6.7192507
S26,6.773911,6.919641,6.9690266,6.919641,6.9317775,6.6861205,6.6861205,6.6861205,6.6861205,6.6861205,6.7192507,6.7363443
S27,6.919641,6.9690266,6.919641,6.9317775,6.6861205,6.6861205,6.6861205,6.6861205,6.6861205,6.7192507,6.7363443,6.6861205
S28,6.9690266,6.919641,6.9317775,6.6861205,6.6861205,6.6861205,6.6861205,6.6861205,6.7192507,6.7363443,6.6861205,6.7324486
S29,6.919641,6.9317775,6.6861205,6.6861205,6.6861205,6.6861205,6.6861205,6.7192507,6.7363443,6.6861205,6.7324486,6.816236
S30,6.9317775,6.6861205,6.6861205,6.6861205,6.6861205,6.6861205,6.7192507,6.7363443,6.6861205,6.7324486,6.816236,6.773629
S31,6.6861205,6.6861205,6.6861205,6.6861205,6.6861205,6.7192507,6.7363443,6.6861205,6.7324486,6.816236,6.773629,6.869417
S32,6.6861205,6.6861205,6.6861205,6.6861205,6.7192507,6.7363443,6.6861205,6.7324486,6.816236,6.773629,6.869417,6.957646
S33,6.6861205,6.6861205,6.6861205,6.7192507,6.7363443,6.6861205,6.7324486,6.816236,6.773629,6.869417,6.957646,6.7324486
S34,6.6861205,6.6861205,6.7192507,6.7363443,6.6861205,6.7324486,6.816236,6.773629,6.869417,6.957646,6.7324486,6.8422527
