Segment,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
S1,7.604011,7.030821,6.899457,6.814596,6.2488623,6.2488623,6.2488623,6.2488623,6.25952,6.25362,6.355006,6.324929
S2,7.030821,6.899457,6.814596,6.2488623,6.2488623,6.2488623,6.2488623,6.25952,6.25362,6.355006,6.324929,6.289383
S3,6.899457,6.814596,6.2488623,6.2488623,6.2488623,6.2488623,6.25952,6.25362,6.355006,6.324929,6.289383,6.7907124
S4,6.814596,6.2488623,6.2488623,6.2488623,6.2488623,6.25952,6.25362,6.355006,6.324929,6.289383,6.7907124,7.165116
S5,6.2488623,6.2488623,6.2488623,6.2488623,6.25952,6.25362,6.355006,6.324929,6.289383,6.7907124,7.165116,7.1225195
S6,6.2488623,6.2488623,6.2488623,6.25952,6.25362,6.355006,6.324929,6.289383,6.7907124,7.165116,7.1225195,7.120128
S7,6.2488623,6.2488623,6.25952,6.25362,6.355006,6.324929,6.289383,6.7907124,7.165116,7.1225195,7.120128,6.9425087
S8,6.2488623,6.25952,6.25362,6.355006,6.324929,6.289383,6.7907124,7.165116,7.1225195,7.120128,6.9425087,6.960494
S9,6.25952,6.25362,6.355006,6.324929,6.289383,6.7907124,7.165116,7.1225195,7.120128,6.9425087,6.960494,7.2973557
S10,6.25362,6.355006,6.324929,6.289383,6.7907124,7.165116,7.1225195,7.120128,6.9425087,6.960494,7.2973557,7.0443573
S11,6.355006,6.324929,6.289383,6.7907124,7.165116,7.1225195,7.120128,6.9425087,6.960494,7.2973557,7.0443573,7.2220316
S12,6.324929,6.289383,6.7907124,7.165116,7.1225195,7.120128,6.9425087,6.960494,7.2973557,7.0443573,7.2220316,7.273858
S13,6.289383,6.7907124,7.165116,7.1225195,7.120128,6.9425087,6.960494,7.2973557,7.0443573,7.2220316,7.273858,6.2625337
S14,6.7907124,7.165116,7.1225195,7.120128,6.9425087,6.960494,7.2973557,7.0443573,7.2220316,7.273858,6.2625337,6.3655987
S15,7.165116,7.1225195,7.120128,6.9425087,6.960494,7.2973557,7.0443573,7.2220316,7.273858,6.2625337,6.3655987,6.432899
S16,7.1225195,7.120128,6.9425087,6.960494,7.2973557,7.0443573,7.2220316,7.273858,6.2625337,6.3655987,6.432899,6.7377725
S17,7.120128,6.9425087,6.960494,7.2973557,7.0443573,7.2220316,7.273858,6.2625337,6.3655987,6.432899,6.7377725,6.940351
S18,6.9425087,6.960494,7.2973557,7.0443573,7.2220316,7.273858,6.2625337,6.3655987,6.432899,6.7377725,6.940351,6.7051883
S19,6.960494,7.2973557,7.0443573,7.2220316,7.273858,6.2625337,6.3655987,6.432899,6.7377725,6.940351,6.7051883,6.827225
S20,7.2973557,7.0443573,7.2220316,7.273858,6.2625337,6.3655987,6.432899,6.7377725,6.940351,6.7051883,6.827225,6.2488623
S21,7.0443573,7.2220316,7.273858,6.2625337,6.3655987,6.432899,6.7377725,6.940351,6.7051883,6.827225,6.2488623,6.2488623
S22,7.2220316,7.273858,6.2625337,6.3655987,6.432899,6.7377725,6.940351,6.7051883,6.827225,6.2488623,6.2488623,6.2488623
