Segment,F1,F2,F3,F4,F5,F6
S1,5.001394626452829,6.040601013629549,6.944349974300579,5.880380022252368,5.1889880516442,5.966035134080466
S2,6.040601013629549,6.944349974300579,5.880380022252368,5.1889880516442,5.966035134080466,7.438205205725794
S3,6.944349974300579,5.880380022252368,5.1889880516442,5.966035134080466,7.438205205725794,6.223987599429451
S4,5.880380022252368,5.1889880516442,5.966035134080466,7.438205205725794,6.223987599429451,6.895601577514888
S5,5.1889880516442,5.966035134080466,7.438205205725794,6.223987599429451,6.895601577514888,5.768698406493958
S6,5.966035134080466,7.438205205725794,6.223987599429451,6.895601577514888,5.768698406493958,7.514188063473965
S7,7.438205205725794,6.223987599429451,6.895601577514888,5.768698406493958,7.514188063473965,7.279678093627751
S8,6.223987599429451,6.895601577514888,5.768698406493958,7.514188063473965,7.279678093627751,7.911266893037726
S9,6.895601577514888,5.768698406493958,7.514188063473965,7.279678093627751,7.911266893037726,6.960001610256303
S10,5.768698406493958,7.514188063473965,7.279678093627751,7.911266893037726,6.960001610256303,6.530172263426963
S11,7.514188063473965,7.279678093627751,7.911266893037726,6.960001610256303,6.530172263426963,5.3589589075819735
S12,7.279678093627751,7.911266893037726,6.960001610256303,6.530172263426963,5.3589589075819735,6.098450914092334
S13,7.911266893037726,6.960001610256303,6.530172263426963,5.3589589075819735,6.098450914092334,7.115356673153208
S14,6.960001610256303,6.530172263426963,5.3589589075819735,6.098450914092334,7.115356673153208,7.266408351256747
S15,6.530172263426963,5.3589589075819735,6.098450914092334,7.115356673153208,7.266408351256747,7.309544351765301
S16,5.3589589075819735,6.098450914092334,7.115356673153208,7.266408351256747,7.309544351765301,6.606073786995346
S17,6.098450914092334,7.115356673153208,7.266408351256747,7.309544351765301,6.606073786995346,6.955149980730106
S18,7.115356673153208,7.266408351256747,7.309544351765301,6.606073786995346,6.955149980730106,6.291654445101455
S19,7.266408351256747,7.309544351765301,6.606073786995346,6.955149980730106,6.291654445101455,6.408278017421226
S20,7.309544351765301,6.606073786995346,6.955149980730106,6.291654445101455,6.408278017421226,5.092190984364648
S21,6.606073786995346,6.955149980730106,6.291654445101455,6.408278017421226,5.092190984364648,5.665129780456439
S22,6.955149980730106,6.291654445101455,6.408278017421226,5.092190984364648,5.665129780456439,5.975359131022172
S23,6.291654445101455,6.408278017421226,5.092190984364648,5.665129780456439,5.975359131022172,5.870491577779145
S24,6.408278017421226,5.092190984364648,5.665129780456439,5.975359131022172,5.870491577779145,6.890122782061912
S25,5.092190984364648,5.665129780456439,5.975359131022172,5.870491577779145,6.890122782061912,6.471079114746782
S26,5.665129780456439,5.975359131022172,5.870491577779145,6.890122782061912,6.471079114746782,6.275097949978805
S27,5.975359131022172,5.870491577779145,6.890122782061912,6.471079114746782,6.275097949978805,5.227965132881241
S28,5.870491577779145,6.890122782061912,6.471079114746782,6.275097949978805,5.227965132881241,5.416989809421489
S29,6.890122782061912,6.471079114746782,6.275097949978805,5.227965132881241,5.416989809421489,5.643388629143713
S30,6.471079114746782,6.275097949978805,5.227965132881241,5.416989809421489,5.643388629143713,5.655496109289745
S31,6.275097949978805,5.227965132881241,5.416989809421489,5.643388629143713,5.655496109289745,6.018421144545588
S32,5.227965132881241,5.416989809421489,5.643388629143713,5.655496109289745,6.018421144545588,6.082702997605644
S33,5.416989809421489,5.643388629143713,5.655496109289745,6.018421144545588,6.082702997605644,6.218690452471195
S34,5.643388629143713,5.655496109289745,6.018421144545588,6.082702997605644,6.218690452471195,7.035566275114824
S35,5.655496109289745,6.018421144545588,6.082702997605644,6.218690452471195,7.035566275114824,6.759486739353003
S36,6.018421144545588,6.082702997605644,6.218690452471195,7.035566275114824,6.759486739353003,5.5364839758077675
S37,6.082702997605644,6.218690452471195,7.035566275114824,6.759486739353003,5.5364839758077675,7.3431053059000195
S38,6.218690452471195,7.035566275114824,6.759486739353003,5.5364839758077675,7.3431053059000195,8.273310246161271
S39,7.035566275114824,6.759486739353003,5.5364839758077675,7.3431053059000195,8.273310246161271,8.14236233267628
S40,6.759486739353003,5.5364839758077675,7.3431053059000195,8.273310246161271,8.14236233267628,6.253280197359746
S41,5.5364839758077675,7.3431053059000195,8.273310246161271,8.14236233267628,6.253280197359746,5.531087824108132
S42,7.3431053059000195,8.273310246161271,8.14236233267628,6.253280197359746,5.531087824108132,5.760249081686245
S43,8.273310246161271,8.14236233267628,6.253280197359746,5.531087824108132,5.760249081686245,5.451034826979017
S44,8.14236233267628,6.253280197359746,5.531087824108132,5.760249081686245,5.451034826979017,6.192570169039571
S45,6.253280197359746,5.531087824108132,5.760249081686245,5.451034826979017,6.192570169039571,12.786037659164556
S46,5.531087824108132,5.760249081686245,5.451034826979017,6.192570169039571,12.786037659164556,17.622248733384104
S47,5.760249081686245,5.451034826979017,6.192570169039571,12.786037659164556,17.622248733384104,7.938223820092267
S48,5.451034826979017,6.192570169039571,12.786037659164556,17.622248733384104,7.938223820092267,7.734137693318919
S49,6.192570169039571,12.786037659164556,17.622248733384104,7.938223820092267,7.734137693318919,8.573718427985954
S50,12.786037659164556,17.622248733384104,7.938223820092267,7.734137693318919,8.573718427985954,8.695323105945283
S51,17.622248733384104,7.938223820092267,7.734137693318919,8.573718427985954,8.695323105945283,6.574035152601207
S52,7.938223820092267,7.734137693318919,8.573718427985954,8.695323105945283,6.574035152601207,5.897399545713887
S53,7.734137693318919,8.573718427985954,8.695323105945283,6.574035152601207,5.897399545713887,7.081587643366323
S54,8.573718427985954,8.695323105945283,6.574035152601207,5.897399545713887,7.081587643366323,7.879438964971806
S55,8.695323105945283,6.574035152601207,5.897399545713887,7.081587643366323,7.879438964971806,6.527116074808817
S56,6.574035152601207,5.897399545713887,7.081587643366323,7.879438964971806,6.527116074808817,12.456892224595807
S57,5.897399545713887,7.081587643366323,7.879438964971806,6.527116074808817,12.456892224595807,12.690102555424772
