Segment,F1,F2,F3,F4,F5,F6
S1,5.789841405222117,6.411643637063187,7.105771748568217,6.409010710461359,6.108732261645328,6.195518096689634
S2,6.411643637063187,7.105771748568217,6.409010710461359,6.108732261645328,6.195518096689634,7.801394416396261
S3,7.105771748568217,6.409010710461359,6.108732261645328,6.195518096689634,7.801394416396261,6.936246811390682
S4,6.409010710461359,6.108732261645328,6.195518096689634,7.801394416396261,6.936246811390682,6.521231758546921
S5,6.108732261645328,6.195518096689634,7.801394416396261,6.936246811390682,6.521231758546921,6.254253956620395
S6,6.195518096689634,7.801394416396261,6.936246811390682,6.521231758546921,6.254253956620395,7.496840638289414
S7,7.801394416396261,6.936246811390682,6.521231758546921,6.254253956620395,7.496840638289414,8.033660376297425
S8,6.936246811390682,6.521231758546921,6.254253956620395,7.496840638289414,8.033660376297425,8.222842421334644
S9,6.521231758546921,6.254253956620395,7.496840638289414,8.033660376297425,8.222842421334644,7.453217976428158
S10,6.254253956620395,7.496840638289414,8.033660376297425,8.222842421334644,7.453217976428158,6.671461782279385
S11,7.496840638289414,8.033660376297425,8.222842421334644,7.453217976428158,6.671461782279385,6.306238202534269
S12,8.033660376297425,8.222842421334644,7.453217976428158,6.671461782279385,6.306238202534269,6.2718118349305225
S13,8.222842421334644,7.453217976428158,6.671461782279385,6.306238202534269,6.2718118349305225,6.698139683488887
S14,7.453217976428158,6.671461782279385,6.306238202534269,6.2718118349305225,6.698139683488887,6.873113586723787
S15,6.671461782279385,6.306238202534269,6.2718118349305225,6.698139683488887,6.873113586723787,7.664042073673716
S16,6.306238202534269,6.2718118349305225,6.698139683488887,6.873113586723787,7.664042073673716,7.332215334575253
S17,6.2718118349305225,6.698139683488887,6.873113586723787,7.664042073673716,7.332215334575253,7.269987984727903
S18,6.698139683488887,6.873113586723787,7.664042073673716,7.332215334575253,7.269987984727903,6.45902249931131
S19,6.873113586723787,7.664042073673716,7.332215334575253,7.269987984727903,6.45902249931131,5.837549033001588
S20,7.664042073673716,7.332215334575253,7.269987984727903,6.45902249931131,5.837549033001588,5.429862716553603
S21,7.332215334575253,7.269987984727903,6.45902249931131,5.837549033001588,5.429862716553603,5.9244638135290515
S22,7.269987984727903,6.45902249931131,5.837549033001588,5.429862716553603,5.9244638135290515,6.329587666360882
S23,6.45902249931131,5.837549033001588,5.429862716553603,5.9244638135290515,6.329587666360882,6.393406058309466
S24,5.837549033001588,5.429862716553603,5.9244638135290515,6.329587666360882,6.393406058309466,7.338618101218685
S25,5.429862716553603,5.9244638135290515,6.329587666360882,6.393406058309466,7.338618101218685,7.058293840650504
S26,5.9244638135290515,6.329587666360882,6.393406058309466,7.338618101218685,7.058293840650504,6.341572064558847
S27,6.329587666360882,6.393406058309466,7.338618101218685,7.058293840650504,6.341572064558847,5.909626752206767
S28,6.393406058309466,7.338618101218685,7.058293840650504,6.341572064558847,5.909626752206767,5.946954981789487
S29,7.338618101218685,7.058293840650504,6.341572064558847,5.909626752206767,5.946954981789487,6.01303478938187
S30,7.058293840650504,6.341572064558847,5.909626752206767,5.946954981789487,6.01303478938187,6.001859413905513
S31,6.341572064558847,5.909626752206767,5.946954981789487,6.01303478938187,6.001859413905513,6.469143427130636
S32,5.909626752206767,5.946954981789487,6.01303478938187,6.001859413905513,6.469143427130636,6.599276267730915
S33,5.946954981789487,6.01303478938187,6.001859413905513,6.469143427130636,6.599276267730915,6.767537089098017
S34,6.01303478938187,6.001859413905513,6.469143427130636,6.599276267730915,6.767537089098017,7.363900168674979
S35,6.001859413905513,6.469143427130636,6.599276267730915,6.767537089098017,7.363900168674979,6.756105622486554
S36,6.469143427130636,6.599276267730915,6.767537089098017,7.363900168674979,6.756105622486554,6.38950822697516
S37,6.599276267730915,6.767537089098017,7.363900168674979,6.756105622486554,6.38950822697516,7.34527678017859
S38,6.767537089098017,7.363900168674979,6.756105622486554,6.38950822697516,7.34527678017859,8.9565852983865
S39,7.363900168674979,6.756105622486554,6.38950822697516,7.34527678017859,8.9565852983865,8.326939969061055
S40,6.756105622486554,6.38950822697516,7.34527678017859,8.9565852983865,8.326939969061055,6.872665834151886
S41,6.38950822697516,7.34527678017859,8.9565852983865,8.326939969061055,6.872665834151886,6.358193457518
S42,7.34527678017859,8.9565852983865,8.326939969061055,6.872665834151886,6.358193457518,6.445365589373693
S43,8.9565852983865,8.326939969061055,6.872665834151886,6.358193457518,6.445365589373693,6.3613951444828
S44,8.326939969061055,6.872665834151886,6.358193457518,6.445365589373693,6.3613951444828,6.645501010302416
S45,6.872665834151886,6.358193457518,6.445365589373693,6.3613951444828,6.645501010302416,11.102836083156397
S46,6.358193457518,6.445365589373693,6.3613951444828,6.645501010302416,11.102836083156397,15.927349861781467
S47,6.445365589373693,6.3613951444828,6.645501010302416,11.102836083156397,15.927349861781467,10.471065755622288
S48,6.3613951444828,6.645501010302416,11.102836083156397,15.927349861781467,10.471065755622288,8.39418964797742
S49,6.645501010302416,11.102836083156397,15.927349861781467,10.471065755622288,8.39418964797742,7.910935154005474
S50,11.102836083156397,15.927349861781467,10.471065755622288,8.39418964797742,7.910935154005474,8.63174517504227
S51,15.927349861781467,10.471065755622288,8.39418964797742,7.910935154005474,8.63174517504227,7.455195350849238
S52,10.471065755622288,8.39418964797742,7.910935154005474,8.63174517504227,7.455195350849238,7.023933716566083
S53,8.39418964797742,7.910935154005474,8.63174517504227,7.455195350849238,7.023933716566083,7.067052673640324
S54,7.910935154005474,8.63174517504227,7.455195350849238,7.023933716566083,7.067052673640324,7.473255673966414
S55,8.63174517504227,7.455195350849238,7.023933716566083,7.067052673640324,7.473255673966414,7.985566612153958
S56,7.455195350849238,7.023933716566083,7.067052673640324,7.473255673966414,7.985566612153958,10.75876211611062
S57,7.023933716566083,7.067052673640324,7.473255673966414,7.985566612153958,10.75876211611062,10.657420079632075
S58,7.067052673640324,7.473255673966414,7.985566612153958,10.75876211611062,10.657420079632075,9.438738581396228
S59,7.473255673966414,7.985566612153958,10.75876211611062,10.657420079632075,9.438738581396228,9.746689497203462
S60,7.985566612153958,10.75876211611062,10.657420079632075,9.438738581396228,9.746689497203462,10.871702543963318
S61,10.75876211611062,10.657420079632075,9.438738581396228,9.746689497203462,10.871702543963318,10.96201592718673
S62,10.657420079632075,9.438738581396228,9.746689497203462,10.871702543963318,10.96201592718673,8.581361718267493
S63,9.438738581396228,9.746689497203462,10.871702543963318,10.96201592718673,8.581361718267493,7.880800675439059
S64,9.746689497203462,10.871702543963318,10.96201592718673,8.581361718267493,7.880800675439059,7.756388369977527
S65,10.871702543963318,10.96201592718673,8.581361718267493,7.880800675439059,7.756388369977527,8.006330220334034
S66,10.96201592718673,8.581361718267493,7.880800675439059,7.756388369977527,8.006330220334034,8.845625107554064
S67,8.581361718267493,7.880800675439059,7.756388369977527,8.006330220334034,8.845625107554064,9.706310321828761
S68,7.880800675439059,7.756388369977527,8.006330220334034,8.845625107554064,9.706310321828761,9.461355851323887
S69,7.756388369977527,8.006330220334034,8.845625107554064,9.706310321828761,9.461355851323887,8.95194026013359
S70,8.006330220334034,8.845625107554064,9.706310321828761,9.461355851323887,8.95194026013359,8.386778923838312
S71,8.845625107554064,9.706310321828761,9.461355851323887,8.95194026013359,8.386778923838312,7.534122029920499
S72,9.706310321828761,9.461355851323887,8.95194026013359,8.386778923838312,7.534122029920499,6.679879825747877
S73,9.461355851323887,8.95194026013359,8.386778923838312,7.534122029920499,6.679879825747877,8.471725985645657
S74,8.95194026013359,8.386778923838312,7.534122029920499,6.679879825747877,8.471725985645657,11.014705679735776
S75,8.386778923838312,7.534122029920499,6.679879825747877,8.471725985645657,11.014705679735776,10.308761368820136
S76,7.534122029920499,6.679879825747877,8.471725985645657,11.014705679735776,10.308761368820136,8.76635167070036
S77,6.679879825747877,8.471725985645657,11.014705679735776,10.308761368820136,8.76635167070036,8.707671531748893
S78,8.471725985645657,11.014705679735776,10.308761368820136,8.76635167070036,8.707671531748893,9.480221716361312
S79,11.014705679735776,10.308761368820136,8.76635167070036,8.707671531748893,9.480221716361312,8.481417573780714
S80,10.308761368820136,8.76635167070036,8.707671531748893,9.480221716361312,8.481417573780714,7.633843095201294
S81,8.76635167070036,8.707671531748893,9.480221716361312,8.481417573780714,7.633843095201294,7.725431486497614
S82,8.707671531748893,9.480221716361312,8.481417573780714,7.633843095201294,7.725431486497614,9.803022004409433
S83,9.480221716361312,8.481417573780714,7.633843095201294,7.725431486497614,9.803022004409433,9.671143381048585
S84,8.481417573780714,7.633843095201294,7.725431486497614,9.803022004409433,9.671143381048585,9.594894521301741
S85,7.633843095201294,7.725431486497614,9.803022004409433,9.671143381048585,9.594894521301741,11.223026228229937
S86,7.725431486497614,9.803022004409433,9.671143381048585,9.594894521301741,11.223026228229937,14.24211874588185
S87,9.803022004409433,9.671143381048585,9.594894521301741,11.223026228229937,14.24211874588185,12.289719704438209
S88,9.671143381048585,9.594894521301741,11.223026228229937,14.24211874588185,12.289719704438209,9.575499187617503
S89,9.594894521301741,11.223026228229937,14.24211874588185,12.289719704438209,9.575499187617503,8.70327955065885
S90,11.223026228229937,14.24211874588185,12.289719704438209,9.575499187617503,8.70327955065885,8.132005646664814
S91,14.24211874588185,12.289719704438209,9.575499187617503,8.70327955065885,8.132005646664814,8.120668081961723
S92,12.289719704438209,9.575499187617503,8.70327955065885,8.132005646664814,8.120668081961723,8.465430517460774
S93,9.575499187617503,8.70327955065885,8.132005646664814,8.120668081961723,8.465430517460774,9.111244019547067
S94,8.70327955065885,8.132005646664814,8.120668081961723,8.465430517460774,9.111244019547067,8.476281870028005
S95,8.132005646664814,8.120668081961723,8.465430517460774,9.111244019547067,8.476281870028005,9.115420174042121
S96,8.120668081961723,8.465430517460774,9.111244019547067,8.476281870028005,9.115420174042121,12.405809025955916
S97,8.465430517460774,9.111244019547067,8.476281870028005,9.115420174042121,12.405809025955916,12.59443675695501
S98,9.111244019547067,8.476281870028005,9.115420174042121,12.405809025955916,12.59443675695501,12.917063068750705
S99,8.476281870028005,9.115420174042121,12.405809025955916,12.59443675695501,12.917063068750705,10.000460806334402
S100,9.115420174042121,12.405809025955916,12.59443675695501,12.917063068750705,10.000460806334402,7.62170834415439
S101,12.405809025955916,12.59443675695501,12.917063068750705,10.000460806334402,7.62170834415439,7.031289151094331
S102,12.59443675695501,12.917063068750705,10.000460806334402,7.62170834415439,7.031289151094331,6.967310204006916
S103,12.917063068750705,10.000460806334402,7.62170834415439,7.031289151094331,6.967310204006916,7.32013775940767
S104,10.000460806334402,7.62170834415439,7.031289151094331,6.967310204006916,7.32013775940767,7.7516021020576265
S105,7.62170834415439,7.031289151094331,6.967310204006916,7.32013775940767,7.7516021020576265,8.801814710420901
S106,7.031289151094331,6.967310204006916,7.32013775940767,7.7516021020576265,8.801814710420901,9.50262917997062
S107,6.967310204006916,7.32013775940767,7.7516021020576265,8.801814710420901,9.50262917997062,9.268292751285365
S108,7.32013775940767,7.7516021020576265,8.801814710420901,9.50262917997062,9.268292751285365,8.33110367706745
S109,7.7516021020576265,8.801814710420901,9.50262917997062,9.268292751285365,8.33110367706745,7.153063527542665
S110,8.801814710420901,9.50262917997062,9.268292751285365,8.33110367706745,7.153063527542665,6.282384379222793
S111,9.50262917997062,9.268292751285365,8.33110367706745,7.153063527542665,6.282384379222793,5.71340165132141
S112,9.268292751285365,8.33110367706745,7.153063527542665,6.282384379222793,5.71340165132141,6.161973770124871
S113,8.33110367706745,7.153063527542665,6.282384379222793,5.71340165132141,6.161973770124871,6.428004006772559
S114,7.153063527542665,6.282384379222793,5.71340165132141,6.161973770124871,6.428004006772559,6.235644152275292
