Segment,F1,F2,F3,F4,F5,F6
S1,5.168881007842639,6.042074572166657,7.1180282400267485,5.6848325728270765,6.151873192142928,5.557533536963615
S2,6.042074572166657,7.1180282400267485,5.6848325728270765,6.151873192142928,5.557533536963615,7.905177039627697
S3,7.1180282400267485,5.6848325728270765,6.151873192142928,5.557533536963615,7.905177039627697,6.040415666822299
S4,5.6848325728270765,6.151873192142928,5.557533536963615,7.905177039627697,6.040415666822299,7.376002350284357
S5,6.151873192142928,5.557533536963615,7.905177039627697,6.040415666822299,7.376002350284357,5.678027445935124
S6,5.557533536963615,7.905177039627697,6.040415666822299,7.376002350284357,5.678027445935124,7.596635268710285
S7,7.905177039627697,6.040415666822299,7.376002350284357,5.678027445935124,7.596635268710285,7.51877142583136
S8,6.040415666822299,7.376002350284357,5.678027445935124,7.596635268710285,7.51877142583136,7.687550720702914
S9,7.376002350284357,5.678027445935124,7.596635268710285,7.51877142583136,7.687550720702914,7.162601747555565
S10,5.678027445935124,7.596635268710285,7.51877142583136,7.687550720702914,7.162601747555565,5.995868795656351
S11,7.596635268710285,7.51877142583136,7.687550720702914,7.162601747555565,5.995868795656351,5.710819233761888
S12,7.51877142583136,7.687550720702914,7.162601747555565,5.995868795656351,5.710819233761888,5.648440280660008
S13,7.687550720702914,7.162601747555565,5.995868795656351,5.710819233761888,5.648440280660008,7.507280018834579
S14,7.162601747555565,5.995868795656351,5.710819233761888,5.648440280660008,7.507280018834579,6.853561164751731
S15,5.995868795656351,5.710819233761888,5.648440280660008,7.507280018834579,6.853561164751731,7.807632092444122
S16,5.710819233761888,5.648440280660008,7.507280018834579,6.853561164751731,7.807632092444122,6.747629319157294
S17,5.648440280660008,7.507280018834579,6.853561164751731,7.807632092444122,6.747629319157294,7.547559061018043
S18,7.507280018834579,6.853561164751731,7.807632092444122,6.747629319157294,7.547559061018043,6.6495603880952086
S19,6.853561164751731,7.807632092444122,6.747629319157294,7.547559061018043,6.6495603880952086,6.3004408002353545
